"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Arvid Englund, Alexander Sommensjö","Stenhagen BoKC",1,1,"IBF Falun Ungdom",1
"2","Arvid Englund, Alexander Sommensjö","Stenhagen BoKC",1,1,"Stenhagens KK",1
"3","Arvid Englund, Jonas Nordqvist","IFU Arena A",1,1,"IBF Borlänge",1
"4","Arvid Englund, Jonas Nordqvist","IFU Arena A",1,1,"Hagunda IF",1
"5","Arvid Englund, Marko Spasic","Stenhagen BoKC",1,1,"Stenhagens KK",1
"6","Arvid Englund, Marko Spasic","Stenhagen BoKC",1,1,"KAIS Mora UIF",1
"7","Arvid Englund, Michaela Pålsson","IFU Arena A",1,5,"Gävle GIK",1
"8","Arvid Englund, Michaela Pålsson","IFU Arena A",1,5,"Storvreta IBK",1
"9","Arvid Englund, Michaela Pålsson","Olandshallen",3,5,"IK Sirius IBK",1
"10","Arvid Englund, Michaela Pålsson","Olandshallen",3,5,"IBF Hedemora",1
"11","Arvid Englund, Michaela Pålsson","Olandshallen",3,5,"Alunda IBF",3
"12","Arvid Englund, Michaela Pålsson","Olandshallen",3,5,"IBF Borlänge",1
"13","Arvid Englund, Michaela Pålsson","Stenhagen BoKC",1,5,"Stenhagens KK",1
"14","Arvid Englund, Michaela Pålsson","Stenhagen BoKC",1,5,"Alunda IBF",1
"15","Arvid Englund, Oliver Halvarsson","Olandshallen",1,1,"Stenhagens KK",1
"16","Arvid Englund, Oliver Halvarsson","Olandshallen",1,1,"Alunda IBF",1
"17","Arvid Englund, Rikard Ohlström","IFU Arena A",1,1,"Stenhagens KK",1
"18","Arvid Englund, Rikard Ohlström","IFU Arena A",1,1,"Storvreta IBK",1
"19","Arvid Englund, Thomas Tanskanen","Ekilla Sporthall",1,1,"Arlanda IBK",1
"20","Arvid Englund, Thomas Tanskanen","Ekilla Sporthall",1,1,"IBF Hedemora",1
"21","Bo Pettersson Loklint, Alexander Sommensjö","IFU Arena A",1,1,"IK Sirius IBK",1
"22","Bo Pettersson Loklint, Alexander Sommensjö","IFU Arena A",1,1,"KAIS Mora UIF",1
"23","Daniel Larsson, Amir Zilic","JALAS® Arena 1",1,5,"Gävle GIK",1
"24","Daniel Larsson, Amir Zilic","JALAS® Arena 1",1,5,"IBF Falun Ungdom",1
"25","Daniel Larsson, Amir Zilic","Maserhallen",3,5,"IBF Falun Ungdom",1
"26","Daniel Larsson, Amir Zilic","Maserhallen",3,5,"KAIS Mora UIF",1
"27","Daniel Larsson, Amir Zilic","Maserhallen",3,5,"IBF Borlänge",3
"28","Daniel Larsson, Amir Zilic","Maserhallen",3,5,"Storvreta IBK",1
"29","Daniel Larsson, Amir Zilic","Vasahallen",1,5,"IBF Hedemora",1
"30","Daniel Larsson, Amir Zilic","Vasahallen",1,5,"Storvreta IBK",1
"31","Erik Lindberg, Marcus Svedinger","Alfahallen - Gavlehov",1,1,"Gävle GIK",1
"32","Erik Lindberg, Marcus Svedinger","Alfahallen - Gavlehov",1,1,"Hagunda IF",1
"33","Erik Lindberg, Tony Nyberg","Ekilla Sporthall",1,1,"Arlanda IBK",1
"34","Erik Lindberg, Tony Nyberg","Ekilla Sporthall",1,1,"Alunda IBF",1
"35","Fredrik Andersson, Daniel Larsson","Idre Fjäll Arena",1,1,"KAIS Mora UIF",1
"36","Fredrik Andersson, Daniel Larsson","Idre Fjäll Arena",1,1,"Storvreta IBK",1
"37","Fredrik Andersson, Michelle Unger","Idre Fjäll Arena",3,9,"IBF Hedemora",1
"38","Fredrik Andersson, Michelle Unger","Idre Fjäll Arena",3,9,"Arlanda IBK",1
"39","Fredrik Andersson, Michelle Unger","Idre Fjäll Arena",3,9,"IBF Falun Ungdom",1
"40","Fredrik Andersson, Michelle Unger","Idre Fjäll Arena",3,9,"KAIS Mora UIF",3
"41","Fredrik Andersson, Michelle Unger","IFU Arena – Lundqvist EL",1,9,"Hagunda IF",1
"42","Fredrik Andersson, Michelle Unger","IFU Arena – Lundqvist EL",1,9,"Gävle GIK",1
"43","Fredrik Andersson, Michelle Unger","JALAS® Arena 1",1,9,"IBF Falun Ungdom",1
"44","Fredrik Andersson, Michelle Unger","JALAS® Arena 1",1,9,"Stenhagens KK",1
"45","Fredrik Andersson, Michelle Unger","Maserhallen",1,9,"IBF Borlänge",1
"46","Fredrik Andersson, Michelle Unger","Maserhallen",1,9,"IK Sirius IBK",1
"47","Fredrik Andersson, Michelle Unger","Träffen Arena",1,9,"Gävle GIK",1
"48","Fredrik Andersson, Michelle Unger","Träffen Arena",1,9,"Arlanda IBK",1
"49","Fredrik Andersson, Michelle Unger","Vasahallen",2,9,"Hagunda IF",1
"50","Fredrik Andersson, Michelle Unger","Vasahallen",2,9,"Stenhagens KK",1
"51","Fredrik Andersson, Michelle Unger","Vasahallen",2,9,"IBF Hedemora",2
"52","Frida Lanzaro, Bo Pettersson Loklint","Stenhagen BoKC",1,1,"IK Sirius IBK",1
"53","Frida Lanzaro, Bo Pettersson Loklint","Stenhagen BoKC",1,1,"Stenhagens KK",1
"54","Håkan Thunman, Magnus Undén","Nynäshallen",1,1,"IK Sirius IBK",1
"55","Håkan Thunman, Magnus Undén","Nynäshallen",1,1,"Gävle GIK",1
"56","Jonas Nordqvist, Anders Ståhlberg","IFU Arena – DHinox",1,2,"IBF Falun Ungdom",1
"57","Jonas Nordqvist, Anders Ståhlberg","IFU Arena – DHinox",1,2,"Hagunda IF",1
