"","Referee","TotalCount"
"1","Björn Grahn, Jürgen Neuenhofen",3
"2","Christian Olofsson, Svante Svensson",7
"3","David Dornlöv, Erik Hindemith",1
"4","Erik Hindemith, Fredrik Lundborg",1
"5","Erik Höst, Wiktor Kentander",5
"6","Håkan Bondesson, Isac Bondesson",1
"7","Jonas Karlsson, Kevin Prahl",4
"8","Leon Fuchs, Petter Niklasson",6
"9","Malena Björnlund, Magnus Dandanell",1
"10","Malena Björnlund, Mats Ekblad-Thun",1
"11","Malena Björnlund, Ronja Ottosson",7
"12","Markus Brink, Jonny Johansson",2
"13","Matti Rouhiainen, Shaban Sadiku",2
"14","Mikael Björkqvist, Johan Salomonsson",6
"15","Mikael Bohman, Per-Ivar Kullman",1
"16","Måns Gilén, Ali Tourabi",3
"17","Mårten Högblom, Jonas Pettersson",1
"18","Pierre Bergsten, Erik Götborg",5
"19","Roger Jönsson, Tojje Sildén-Glemark",2
