"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders A Nilsson, Nicklas Bard","Jönköpings Idrottshus D-hall",1,1,"IBF Tranås",1
"2","Anders A Nilsson, Nicklas Bard","Jönköpings Idrottshus D-hall",1,1,"Östra SK",1
"3","Anders Everstrand, Daniel Pettersson","Sävsjö Sporthall",1,1,"Växjö IBK",1
"4","Anders Everstrand, Daniel Pettersson","Sävsjö Sporthall",1,1,"Sävsjö IBK",1
"5","Anders Everstrand, Gustav Jarnegren","Arenan - Jönköpings Idrottshus",1,2,"Östra SK",1
"6","Anders Everstrand, Gustav Jarnegren","Arenan - Jönköpings Idrottshus",1,2,"Ryds SK",1
"7","Anders Everstrand, Gustav Jarnegren","Sävsjö Sporthall",1,2,"Sävsjö IBK",1
"8","Anders Everstrand, Gustav Jarnegren","Sävsjö Sporthall",1,2,"Östra SK",1
"9","Anders Everstrand, Johan Nero Wikstrand","Sävsjö Sporthall",1,1,"Sävsjö IBK",1
"10","Anders Everstrand, Johan Nero Wikstrand","Sävsjö Sporthall",1,1,"Gransholms IF",1
"11","Annie Nordmark, Daniel Pettersson","Fortnox Arena Nivika hallen",1,1,"Växjö IBK",1
"12","Annie Nordmark, Daniel Pettersson","Fortnox Arena Nivika hallen",1,1,"CL98IC",1
"13","Bengt Andersson, Anders Stenberg","Falkenbergshallen",1,1,"CL98IC",1
"14","Bengt Andersson, Anders Stenberg","Falkenbergshallen",1,1,"Ryds SK",1
"15","Bengt Andersson, Henrik Carlsson","Färjehallen",1,1,"FBC Kalmarsund Ungdom",1
"16","Bengt Andersson, Henrik Carlsson","Färjehallen",1,1,"Växjö IBK",1
"17","Bengt Andersson, Jonas Widenstedt","Falkenbergshallen",1,1,"IBF Tranås",1
"18","Bengt Andersson, Jonas Widenstedt","Falkenbergshallen",1,1,"CL98IC",1
"19","Bengt Andersson, Mathias Linde","Färjehallen",1,1,"FBC Kalmarsund Ungdom",1
"20","Bengt Andersson, Mathias Linde","Färjehallen",1,1,"IBF Tranås",1
"21","Bengt Andersson, Niklas Rosberg","Färjehallen",1,1,"FBC Kalmarsund Ungdom",1
"22","Bengt Andersson, Niklas Rosberg","Färjehallen",1,1,"Värnamo IK",1
"23","Bengt Andersson, Per Elofsson","Falkenbergshallen",1,1,"Östra SK",1
"24","Bengt Andersson, Per Elofsson","Falkenbergshallen",1,1,"CL98IC",1
"25","Casper Dahlberg, Niklas Dahlberg","Fortnox Arena Nivika hallen",1,5,"IBF Tranås",1
"26","Casper Dahlberg, Niklas Dahlberg","Fortnox Arena Nivika hallen",1,5,"Växjö IBK",1
"27","Casper Dahlberg, Niklas Dahlberg","Gemla Sporthall",2,5,"FBC Kalmarsund Ungdom",1
"28","Casper Dahlberg, Niklas Dahlberg","Gemla Sporthall",2,5,"Östra SK",1
"29","Casper Dahlberg, Niklas Dahlberg","Gemla Sporthall",2,5,"Gransholms IF",2
"30","Casper Dahlberg, Niklas Dahlberg","Sävsjö Sporthall",2,5,"Sävsjö IBK",2
"31","Casper Dahlberg, Niklas Dahlberg","Sävsjö Sporthall",2,5,"Vetlanda IBF",1
"32","Casper Dahlberg, Niklas Dahlberg","Sävsjö Sporthall",2,5,"Ryds SK",1
"33","Daniel Gyllander, Robert Risberg","Oskarshamns Sporthall A-hall",1,1,"Olofströms IBK",1
"34","Daniel Gyllander, Robert Risberg","Oskarshamns Sporthall A-hall",1,1,"Craftstadens IBK Oskarshamn",1
"35","Dawan Mofak, Jesper Rygert","ISCAR Arena Ney.se, Vetlanda",1,1,"Vetlanda IBF",1
"36","Dawan Mofak, Jesper Rygert","ISCAR Arena Ney.se, Vetlanda",1,1,"Craftstadens IBK Oskarshamn",1
"37","Edo Sabanovic, Rolf Vatvedt","Ryds Sporthall",1,1,"Ryds SK",1
"38","Edo Sabanovic, Rolf Vatvedt","Ryds Sporthall",1,1,"Gransholms IF",1
"39","Filip Karlsson, Magnus Widlund","Gemla Sporthall",1,1,"Ryds SK",1
"40","Filip Karlsson, Magnus Widlund","Gemla Sporthall",1,1,"Gransholms IF",1
"41","Fredrik Billemark, Senad Hamula","Värnamo Sporthall",1,1,"Värnamo IK",1
"42","Fredrik Billemark, Senad Hamula","Värnamo Sporthall",1,1,"FBC Kalmarsund Ungdom",1
"43","Fredrik Fältskog, Johan Nero Wikstrand","ISCAR Arena Ney.se, Vetlanda",1,3,"Vetlanda IBF",1
"44","Fredrik Fältskog, Johan Nero Wikstrand","ISCAR Arena Ney.se, Vetlanda",1,3,"Växjö IBK",1
"45","Fredrik Fältskog, Johan Nero Wikstrand","Jönköpings Idrottshus D-hall",1,3,"Craftstadens IBK Oskarshamn",1
"46","Fredrik Fältskog, Johan Nero Wikstrand","Jönköpings Idrottshus D-hall",1,3,"Östra SK",1
"47","Fredrik Fältskog, Johan Nero Wikstrand","Tranås Idrottshall",1,3,"IBF Tranås",1
"48","Fredrik Fältskog, Johan Nero Wikstrand","Tranås Idrottshall",1,3,"FBC Kalmarsund Ungdom",1
"49","Gerhardt Borkowski, Daniel Pettersson","ISCAR Arena Ney.se, Vetlanda",1,1,"Vetlanda IBF",1
"50","Gerhardt Borkowski, Daniel Pettersson","ISCAR Arena Ney.se, Vetlanda",1,1,"Olofströms IBK",1
"51","Gerhardt Borkowski, Viktor Bringstam","Gemla Sporthall",1,3,"Värnamo IK",1
"52","Gerhardt Borkowski, Viktor Bringstam","Gemla Sporthall",1,3,"Gransholms IF",1
"53","Gerhardt Borkowski, Viktor Bringstam","Jönköpings Idrottshus D-hall",1,3,"Östra SK",1
