"","Referee","TotalCount"
"1","Admir Brkic, Camilla Örnebro",1
"2","Andreas A Karlsson, Emil Magnusson",1
"3","Andreas A Karlsson, William Wengelin",1
"4","Bemir Brkic, Rasmus Widén",1
"5","Denis Ogresevic, Elvis Ogresevic",2
"6","Emil Glenngård, Thomas Nystrand",1
"7","Emil Lindhe, Daniel Pettersson",1
"8","Jimmy Eliasson, Daniel Lindbom-Rydell",1
"9","Jimmy Eliasson, Jesper Jonsson",1
"10","Jimmy Lindell, Sonny Weideborg",1
"11","Josef Celik, Mikael Celik",1
"12","Magnus Jakobsson, Johan Wiggur",1
"13","Malin Gelin, Claes Waernholm",2
"14","Markus Hilmerson, Håkan Karlsson",1
"15","Martin Dahl, Rågher Godin",1
"16","Martin Palmqvist, Oskar Åblad",1
"17","Mathias Lindvall, Ivan Wahlström",3
"18","Oscar Bard, Hampus Larsson",2
"19","Oscar Bard, Johan Wiggur",1
"20","Pierre Hultsten, Jimmy Lindell",1
"21","Robin Andersson, Rågher Godin",1
"22","Robin Andersson, Thomas Nystrand",1
"23","Robin Hynninen, Mats Jernmo",1
"24","Sigge Maurer, Daniel Pettersson",1
"25","Thomas Nystrand, Peter Ström",1
"26","Tom Nilsson, Sonny Weideborg",1
