"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Haglund, Tobias Jäderqvist","Brogårdshallen",1,2,"Kristinehamns IBF",1
"2","Adam Haglund, Tobias Jäderqvist","Brogårdshallen",1,2,"Sala Silverstaden IBK",1
"3","Adam Haglund, Tobias Jäderqvist","Spångbergshallen",1,2,"Lillån IBK",1
"4","Adam Haglund, Tobias Jäderqvist","Spångbergshallen",1,2,"Filipstad IBK ",1
"5","Albin Jakobsson, Lars Larsson","Colorama Arena",2,3,"Karlstad IBF Ungdom",2
"6","Albin Jakobsson, Lars Larsson","Colorama Arena",2,3,"Skattkärrs IK",2
"7","Albin Jakobsson, Lars Larsson","Spångbergshallen",1,3,"Karlstad IBF Ungdom",1
"8","Albin Jakobsson, Lars Larsson","Spångbergshallen",1,3,"Filipstad IBK ",1
"9","Anna Palmqvist, Micael Svensson","Idrottshuset, Örebro Plan 1",1,1,"Lillån IBK",1
"10","Anna Palmqvist, Micael Svensson","Idrottshuset, Örebro Plan 1",1,1,"Hagfors IF Uddeholm",1
"11","Camilla Eriksson, Carl Wikgren","Vasahallen",1,1,"IFK Arboga IBK",1
"12","Camilla Eriksson, Carl Wikgren","Vasahallen",1,1,"Filipstad IBK",1
"13","Camilla Eriksson, Kai Kinnari","Fagerstahallen",1,3,"Filipstad IBK",1
"14","Camilla Eriksson, Kai Kinnari","Fagerstahallen",1,3,"Per-Ols IBF",1
"15","Camilla Eriksson, Kai Kinnari","Nibblehallen",1,3,"IBK Sala",1
"16","Camilla Eriksson, Kai Kinnari","Nibblehallen",1,3,"IBK Hallsta",1
"17","Camilla Eriksson, Kai Kinnari","Sala Idrottshall",1,3,"Sala Silverstaden IBK",1
"18","Camilla Eriksson, Kai Kinnari","Sala Idrottshall",1,3,"IBF Örebro Ungdom",1
"19","Camilla Eriksson, Marcus Karppinen","Nibblehallen",1,1,"IBK Hallsta",1
"20","Camilla Eriksson, Marcus Karppinen","Nibblehallen",1,1,"IFK Arboga IBK",1
"21","Camilla Eriksson, Michael Rosenlönn","Sala Idrottshall",1,1,"Sala Silverstaden IBK",1
"22","Camilla Eriksson, Michael Rosenlönn","Sala Idrottshall",1,1,"Hagfors IF Uddeholm",1
"23","Christher Johansson, Micael Svensson","Kumlahallen",1,1,"IBK Hallsta",1
"24","Christher Johansson, Micael Svensson","Kumlahallen",1,1,"Kumla IBK",1
"25","Christher Johansson, Oscar Söljén","Kumlahallen",1,2,"Lillån IBK",1
"26","Christher Johansson, Oscar Söljén","Kumlahallen",1,2,"Kumla IBK",1
"27","Christher Johansson, Oscar Söljén","Mellringehallen - Örebro",1,2,"Kumla IBK",1
"28","Christher Johansson, Oscar Söljén","Mellringehallen - Örebro",1,2,"IBF Örebro Ungdom",1
"29","Christher Johansson, Tomas Persson","Idrottshuset, Örebro Plan 1",1,1,"IBK Sala",1
"30","Christher Johansson, Tomas Persson","Idrottshuset, Örebro Plan 1",1,1,"Lillån IBK",1
"31","Christher Johansson, Tony Wennberg","Idrottshuset, Örebro Plan 1",1,1,"Lillån IBK",1
"32","Christher Johansson, Tony Wennberg","Idrottshuset, Örebro Plan 1",1,1,"IFK Arboga IBK",1
"33","Christoffer Frykestam, Nicklas Johansson","Colorama Arena",1,1,"Karlstad IBF Ungdom",1
"34","Christoffer Frykestam, Nicklas Johansson","Colorama Arena",1,1,"Skälby IBK",1
"35","Dan Barthlen, Marcus Karppinen","Pettersbergsskolan (S:T Ilian Skolan)",1,1,"Skälby IBK",1
"36","Dan Barthlen, Marcus Karppinen","Pettersbergsskolan (S:T Ilian Skolan)",1,1,"IBK Sala",1
"37","Dan Barthlen, Patrik Ådemark","Sala Idrottshall",1,1,"Karlstad IBF Ungdom",1
"38","Dan Barthlen, Patrik Ådemark","Sala Idrottshall",1,1,"Sala Silverstaden IBK",1
"39","Dan Barthlen, Tobias Söderberg","Vasahallen",1,1,"IFK Arboga IBK",1
"40","Dan Barthlen, Tobias Söderberg","Vasahallen",1,1,"Skattkärrs IK",1
"41","David Granström, Oskar Sundin","Uddeholm Arena",1,1,"Hagfors IF Uddeholm",1
"42","David Granström, Oskar Sundin","Uddeholm Arena",1,1,"IFK Arboga IBK",1
