"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Carl Larsson, Harri Tjäder","Almåshallen - Borås",1,1,"Mullsjö AIS",1
"2","Carl Larsson, Harri Tjäder","Almåshallen - Borås",1,1,"Sandareds IBS",1
"3","Carl Larsson, Pavle Velcov","Stadsskogshallen, Alingsås",1,1,"IBK Alingsås ",1
"4","Carl Larsson, Pavle Velcov","Stadsskogshallen, Alingsås",1,1,"IBK Lidköping",1
"5","Christoffer Danielsson, Johan Thaning","Habo Sporthall A-hall",1,1,"Fagerhult Habo IBK ",1
"6","Christoffer Danielsson, Johan Thaning","Habo Sporthall A-hall",1,1,"Sandareds IBS",1
"7","Christoffer Danielsson, Kronoslav Kis","Idrottshallen, Töreboda",1,3,"Fagerhult Habo IBK",1
"8","Christoffer Danielsson, Kronoslav Kis","Idrottshallen, Töreboda",1,3,"BK Halna",1
"9","Christoffer Danielsson, Kronoslav Kis","LF-hallen, Mariestad",1,3,"Mullsjö AIS",1
"10","Christoffer Danielsson, Kronoslav Kis","LF-hallen, Mariestad",1,3,"IBK Lockerud Mariestad U",1
"11","Christoffer Danielsson, Kronoslav Kis","Nyhemshallen - Mullsjö",1,3,"Mullsjö AIS",1
"12","Christoffer Danielsson, Kronoslav Kis","Nyhemshallen - Mullsjö",1,3,"Fagerhult Habo IBK",1
"13","Christoffer Danielsson, Linus Svensson","Idrottens hus i Lidköping",1,1,"Fristads GoIF",1
"14","Christoffer Danielsson, Linus Svensson","Idrottens hus i Lidköping",1,1,"IBK Lidköping",1
"15","Christoffer Danielsson, Mikael Magnusson","Arena C, Skövde 35",1,2,"Fristads GoIF",1
"16","Christoffer Danielsson, Mikael Magnusson","Arena C, Skövde 35",1,2,"Skövde IBF",1
"17","Christoffer Danielsson, Mikael Magnusson","Nyhemshallen - Mullsjö",1,2,"Mullsjö AIS",1
"18","Christoffer Danielsson, Mikael Magnusson","Nyhemshallen - Mullsjö",1,2,"IBK Alingsås",1
"19","Dan Pettersson, Nebojsa Stefanovski","Stadsskogshallen, Alingsås",1,1,"BK Halna",1
"20","Dan Pettersson, Nebojsa Stefanovski","Stadsskogshallen, Alingsås",1,1,"IBK Alingsås ",1
"21","Daniel Dimitrovski, Kenth Lindqvist","Idrottshuset, Vänersborg",1,1,"Fristads GoIF",1
"22","Daniel Dimitrovski, Kenth Lindqvist","Idrottshuset, Vänersborg",1,1,"Tvåstad KIK",1
"23","Daniel Dimitrovski, Nebojsa Stefanovski","Arena C, Skövde",1,7,"Skövde IBF",1
"24","Daniel Dimitrovski, Nebojsa Stefanovski","Arena C, Skövde",1,7,"Sandareds IBS",1
"25","Daniel Dimitrovski, Nebojsa Stefanovski","Fristadhallen, Fristad",1,7,"Fristads GoIF",1
"26","Daniel Dimitrovski, Nebojsa Stefanovski","Fristadhallen, Fristad",1,7,"Fagerhult Habo IBK",1
"27","Daniel Dimitrovski, Nebojsa Stefanovski","Habo Sporthall A-hall",2,7,"Mullsjö AIS",1
"28","Daniel Dimitrovski, Nebojsa Stefanovski","Habo Sporthall A-hall",2,7,"IBK Tygriket 99",1
"29","Daniel Dimitrovski, Nebojsa Stefanovski","Habo Sporthall A-hall",2,7,"Fagerhult Habo IBK ",2
"30","Daniel Dimitrovski, Nebojsa Stefanovski","Kungabergshallen, Fritsla",1,7,"IBK Lidköping",1
"31","Daniel Dimitrovski, Nebojsa Stefanovski","Kungabergshallen, Fritsla",1,7,"IBK Tygriket 99",1
"32","Daniel Dimitrovski, Nebojsa Stefanovski","Nyhemshallen - Mullsjö",1,7,"Sandareds IBS",1
"33","Daniel Dimitrovski, Nebojsa Stefanovski","Nyhemshallen - Mullsjö",1,7,"Mullsjö AIS",1
"34","Daniel Dimitrovski, Nebojsa Stefanovski","Öxabäckshallen",1,7,"IBK Tygriket 99",1
"35","Daniel Dimitrovski, Nebojsa Stefanovski","Öxabäckshallen",1,7,"Skövde IBF",1
"36","David Karlsson, Dan Pettersson","Habo Sporthall A-hall",1,3,"Fagerhult Habo IBK ",1
"37","David Karlsson, Dan Pettersson","Habo Sporthall A-hall",1,3,"IBK Lidköping",1
"38","David Karlsson, Dan Pettersson","Idrottshuset, Vänersborg",1,3,"Tvåstad KIK",1
"39","David Karlsson, Dan Pettersson","Idrottshuset, Vänersborg",1,3,"Skövde IBF",1
"40","David Karlsson, Dan Pettersson","Stadsskogshallen, Alingsås",1,3,"IBK Alingsås ",1
"41","David Karlsson, Dan Pettersson","Stadsskogshallen, Alingsås",1,3,"Tvåstad KIK",1
"42","David Karlsson, Kenth Lindqvist","Idrottshuset, Vänersborg",1,1,"IBK Tygriket 99",1
"43","David Karlsson, Kenth Lindqvist","Idrottshuset, Vänersborg",1,1,"Tvåstad KIK",1
"44","David Persson, Harri Tjäder","Almåshallen - Borås",1,4,"Sandareds IBS",1
"45","David Persson, Harri Tjäder","Almåshallen - Borås",1,4,"IBK Lockerud Mariestad U",1
"46","David Persson, Harri Tjäder","Arena C, Skövde",1,4,"Skövde IBF",1
"47","David Persson, Harri Tjäder","Arena C, Skövde",1,4,"IBK Alingsås",1
"48","David Persson, Harri Tjäder","Fristadhallen, Fristad",1,4,"IBK Tygriket 99",1
"49","David Persson, Harri Tjäder","Fristadhallen, Fristad",1,4,"Fristads GoIF",1
"50","David Persson, Harri Tjäder","Habo Sporthall A-hall",1,4,"Fagerhult Habo IBK ",1
"51","David Persson, Harri Tjäder","Habo Sporthall A-hall",1,4,"Fristads GoIF",1
"52","Erling Josefsson, Joakim Mattsson","Almåshallen - Borås",1,3,"IBK Alingsås",1
"53","Erling Josefsson, Joakim Mattsson","Almåshallen - Borås",1,3,"Sandareds IBS",1
"54","Erling Josefsson, Joakim Mattsson","Arena C, Skövde",1,3,"Skövde IBF",1
"55","Erling Josefsson, Joakim Mattsson","Arena C, Skövde",1,3,"IBK Tygriket 99",1
"56","Erling Josefsson, Joakim Mattsson","Öxabäckshallen",1,3,"IBK Tygriket 99",1
"57","Erling Josefsson, Joakim Mattsson","Öxabäckshallen",1,3,"Sandareds IBS",1
"58","Erling Josefsson, Pedram Koublani","Fristadhallen, Fristad",1,1,"Fristads GoIF",1
"59","Erling Josefsson, Pedram Koublani","Fristadhallen, Fristad",1,1,"IBK Lockerud Mariestad U",1
"60","Esko Leppimaa, Kenth Lindqvist","Idrottshuset, Vänersborg",1,1,"Tvåstad KIK",1
"61","Esko Leppimaa, Kenth Lindqvist","Idrottshuset, Vänersborg",1,1,"IBK Lidköping",1
"62","Henrik Carlsson, Bjarne Wesenlund","Almåshallen - Borås",1,2,"Fristads GoIF",1
"63","Henrik Carlsson, Bjarne Wesenlund","Almåshallen - Borås",1,2,"Sandareds IBS",1
"64","Henrik Carlsson, Bjarne Wesenlund","Idrottshuset, Vänersborg",1,2,"Tvåstad KIK",1
"65","Henrik Carlsson, Bjarne Wesenlund","Idrottshuset, Vänersborg",1,2,"Fagerhult Habo IBK",1
"66","Henrik Carlsson, Dan Pettersson","Fristadhallen, Fristad",1,2,"IBK Alingsås",1
"67","Henrik Carlsson, Dan Pettersson","Fristadhallen, Fristad",1,2,"Fristads GoIF",1
"68","Henrik Carlsson, Dan Pettersson","Stadsskogshallen, Alingsås",1,2,"IBK Alingsås ",1
"69","Henrik Carlsson, Dan Pettersson","Stadsskogshallen, Alingsås",1,2,"Mullsjö AIS",1
"70","Henrik Carlsson, Magnus Jansson","Idrottshuset, Vänersborg",1,1,"Tvåstad KIK",1
"71","Henrik Carlsson, Magnus Jansson","Idrottshuset, Vänersborg",1,1,"IBK Lockerud Mariestad U",1
"72","Iza Hederdahl, Johan Thaning","Idrottens hus i Lidköping",1,2,"Mullsjö AIS",1
"73","Iza Hederdahl, Johan Thaning","Idrottens hus i Lidköping",1,2,"IBK Lidköping",1
"74","Iza Hederdahl, Johan Thaning","Nyhemshallen - Mullsjö",1,2,"Mullsjö AIS",1
"75","Iza Hederdahl, Johan Thaning","Nyhemshallen - Mullsjö",1,2,"BK Halna",1
"76","Kenth Lindqvist, Dan Pettersson","Idrottshuset, Vänersborg",1,1,"Mullsjö AIS",1
"77","Kenth Lindqvist, Dan Pettersson","Idrottshuset, Vänersborg",1,1,"Tvåstad KIK",1
"78","Kenth Lindqvist, Sven Persson","Stadsskogshallen, Alingsås",1,1,"IBK Tygriket 99",1
"79","Kenth Lindqvist, Sven Persson","Stadsskogshallen, Alingsås",1,1,"IBK Alingsås ",1
"80","Kronoslav Kis, Esko Leppimaa","Entréhallen, Trollhättan",1,1,"Tvåstad KIK",1
"81","Kronoslav Kis, Esko Leppimaa","Entréhallen, Trollhättan",1,1,"BK Halna",1
"82","Kronoslav Kis, Johan Thaning","ICA-kvantum hallen, Mariestad",1,1,"IBK Lockerud Mariestad U",1
"83","Kronoslav Kis, Johan Thaning","ICA-kvantum hallen, Mariestad",1,1,"BK Halna",1
"84","Kronoslav Kis, Mikael Magnusson","Almåshallen - Borås",1,8,"Tvåstad KIK",1
"85","Kronoslav Kis, Mikael Magnusson","Almåshallen - Borås",1,8,"Sandareds IBS",1
"86","Kronoslav Kis, Mikael Magnusson","Arena C, Skövde",1,8,"Skövde IBF",1
"87","Kronoslav Kis, Mikael Magnusson","Arena C, Skövde",1,8,"Fagerhult Habo IBK",1
