"","Referee","TotalCount"
"1","Adrian Melin Näslund, Dennis Wall",1
"2","Alexander Bergman, Arvid Larsson",3
"3","Alexander Bergman, Fredrik Strese",1
"4","Anders Johansson, Teodor Lundgren",1
"5","Andreas Lindberg, Fredrik Strese",1
"6","Andreas Nyman, Fredrik Söderholm",1
"7","Arvid Larsson, Fredrik Strese",1
"8","Arvid Larsson, Jan Öberg",1
"9","Fredrik Strese, Hans Söderblom",1
"10","Fredrik Strese, Jan Öberg",1
"11","Ivica Matanovic, Tony Strindlund",1
"12","Jesper Doherty, Patrik Sjöberg",1
"13","Jimmy Löfgren, Robert Mårtensson",3
"14","Johnny Sundberg, Leif Sundberg",2
"15","Markus Helsing, Arvid Larsson",1
"16","Markus Helsing, Patrik Sjöberg",3
"17","Markus Helsing, Peter Palander",1
"18","Markus Helsing, Teodor Lundgren",1
"19","Mats Finke, Urban Larsson",4
"20","Michael Hoek, Jimmy Löfgren",2
"21","Mikael Körning, Anders Öbergh",2
"22","Mikael Körning, Peder Lövdahl",1
"23","Patric Jonsson, Jimmy Löfgren",1
"24","Patrick Cederblad, Anders Johansson",3
"25","Patrick Cederblad, Roger Lundbäck",1
"26","Patrick Cederblad, Teodor Lundgren",1
"27","Peder Lövdahl, Göran Norberg",1
"28","Peter Palander, Patrik Sjöberg",2
"29","Robert Mårtensson, Niclas Olsson",1
"30","Thomas Berglund, Fredrik Strese",2
"31","Thomas Berglund, Roger Lundbäck",3
