"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Jällfält, Oscar Kjellgren Elgestål","Qvisthallen",1,1,"IBF Backadalen",1
"2","Adam Jällfält, Oscar Kjellgren Elgestål","Qvisthallen",1,1,"Partille IBS",1
"3","Adam Kruse, Torbjörn Zahner","Torpahallen",1,1,"Partille IBS",1
"4","Adam Kruse, Torbjörn Zahner","Torpahallen",1,1,"IBK Göteborg D1",1
"5","Adnan Tongur, Roger Zahnér","Almåshallen B",1,1,"FBC Lerum",1
"6","Adnan Tongur, Roger Zahnér","Almåshallen B",1,1,"Lindome IBK Utv D1",1
"7","Aldin Hadziselmovic, Alexander Pavlovic","Almåshallen A",1,12,"Lindome IBK Utv D1",1
"8","Aldin Hadziselmovic, Alexander Pavlovic","Almåshallen A",1,12,"IBF Backadalen",1
"9","Aldin Hadziselmovic, Alexander Pavlovic","Lundbystrand 1",1,12,"IBK Göteborg D1",1
"10","Aldin Hadziselmovic, Alexander Pavlovic","Lundbystrand 1",1,12,"IBF Backadalen",1
"11","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",2,12,"IBK Kungälv D1",2
"12","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",2,12,"IBF Backadalen",1
"13","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",2,12,"Partille IBS",1
"14","Aldin Hadziselmovic, Alexander Pavlovic","Qvisthallen",1,12,"Partille IBS",1
"15","Aldin Hadziselmovic, Alexander Pavlovic","Qvisthallen",1,12,"IK Zenith",1
"16","Aldin Hadziselmovic, Alexander Pavlovic","Rydsbergshallen",1,12,"IBF Backadalen",1
"17","Aldin Hadziselmovic, Alexander Pavlovic","Rydsbergshallen",1,12,"Floda IBK D1",1
"18","Aldin Hadziselmovic, Alexander Pavlovic","Streteredsskolan",1,12,"Burås IK D1",1
"19","Aldin Hadziselmovic, Alexander Pavlovic","Streteredsskolan",1,12,"Lindome IBK Utv D1",1
"20","Aldin Hadziselmovic, Alexander Pavlovic","Svingelns Sporthall",2,12,"FBC Lerum",1
"21","Aldin Hadziselmovic, Alexander Pavlovic","Svingelns Sporthall",2,12,"Floda IBK D1",1
"22","Aldin Hadziselmovic, Alexander Pavlovic","Svingelns Sporthall",2,12,"Burås IK D1",2
"23","Aldin Hadziselmovic, Alexander Pavlovic","Torpahallen",1,12,"IBK Göteborg D1",1
"24","Aldin Hadziselmovic, Alexander Pavlovic","Torpahallen",1,12,"FBC Lerum",1
"25","Aldin Hadziselmovic, Alexander Pavlovic","Tuve Sporthall",1,12,"IBF Backadalen",1
"26","Aldin Hadziselmovic, Alexander Pavlovic","Tuve Sporthall",1,12,"Floda IBK D1",1
"27","Aldin Hadziselmovic, Alexander Pavlovic","Wallenstamhallen",1,12,"Guldhedens IK D1",1
"28","Aldin Hadziselmovic, Alexander Pavlovic","Wallenstamhallen",1,12,"Pixbo Wallenstam IBF",1
"29","Aldin Hadziselmovic, Mats Sällberg","Svingelns Sporthall",1,1,"IBK Göteborg D1",1
"30","Aldin Hadziselmovic, Mats Sällberg","Svingelns Sporthall",1,1,"Burås IK D1",1
"31","Alexander Pavlovic, Roger Zahnér","Torpahallen",1,1,"Pixbo Wallenstam IBF",1
"32","Alexander Pavlovic, Roger Zahnér","Torpahallen",1,1,"IBK Göteborg D1",1
"33","Alexander Pavlovic, Walter Wästhage","Svingelns Sporthall",1,1,"Burås IK D1",1
"34","Alexander Pavlovic, Walter Wästhage","Svingelns Sporthall",1,1,"IBK Kungälv D1",1
"35","Apilou Dragin, Catrin Kleist","Ale Kulturrum",2,15,"IBF Backadalen",1
"36","Apilou Dragin, Catrin Kleist","Ale Kulturrum",2,15,"IK Zenith",1
"37","Apilou Dragin, Catrin Kleist","Ale Kulturrum",2,15,"Ale IBF",2
"38","Apilou Dragin, Catrin Kleist","Alléhallen",1,15,"Floda IBK D1",1
"39","Apilou Dragin, Catrin Kleist","Alléhallen",1,15,"Ale IBF",1
"40","Apilou Dragin, Catrin Kleist","Björlanda Idrottshall",3,15,"Floda IBK D1",1
"41","Apilou Dragin, Catrin Kleist","Björlanda Idrottshall",3,15,"IBK Kungälv D1",1
"42","Apilou Dragin, Catrin Kleist","Björlanda Idrottshall",3,15,"IK Zenith ",3
"43","Apilou Dragin, Catrin Kleist","Björlanda Idrottshall",3,15,"Partille IBS",1
"44","Apilou Dragin, Catrin Kleist","Estrad Alingsås",1,15,"IBF Backadalen",1
"45","Apilou Dragin, Catrin Kleist","Estrad Alingsås",1,15,"FBC Lerum",1
"46","Apilou Dragin, Catrin Kleist","Lundbystrand 1",2,15,"IBF Backadalen",2
"47","Apilou Dragin, Catrin Kleist","Lundbystrand 1",2,15,"Ale IBF",1
"48","Apilou Dragin, Catrin Kleist","Lundbystrand 1",2,15,"FBC Lerum",1
"49","Apilou Dragin, Catrin Kleist","Mimershus A-hallen",1,15,"IBK Kungälv D1",1
"50","Apilou Dragin, Catrin Kleist","Mimershus A-hallen",1,15,"Ale IBF",1
"51","Apilou Dragin, Catrin Kleist","Rydsbergshallen",1,15,"FBC Lerum",1
"52","Apilou Dragin, Catrin Kleist","Rydsbergshallen",1,15,"Ale IBF",1
"53","Apilou Dragin, Catrin Kleist","Svingelns Sporthall",1,15,"Burås IK D1",1
"54","Apilou Dragin, Catrin Kleist","Svingelns Sporthall",1,15,"Guldhedens IK D1",1
"55","Apilou Dragin, Catrin Kleist","Torpahallen",1,15,"IBK Göteborg D1",1
"56","Apilou Dragin, Catrin Kleist","Torpahallen",1,15,"Burås IK D1",1
"57","Apilou Dragin, Catrin Kleist","Valhalla A-hall",2,15,"Floda IBK D1",1
"58","Apilou Dragin, Catrin Kleist","Valhalla A-hall",2,15,"FBC Lerum",1
"59","Apilou Dragin, Catrin Kleist","Valhalla A-hall",2,15,"Guldhedens IK D1",2
"60","Besim Mehmedagic, Adnan Tongur","Mimershus A-hallen",1,1,"IBK Kungälv D1",1
"61","Besim Mehmedagic, Adnan Tongur","Mimershus A-hallen",1,1,"IK Zenith",1
"62","Gustav Glansén, Adnan Tongur","Almåshallen A",1,2,"Guldhedens IK D1",1
"63","Gustav Glansén, Adnan Tongur","Almåshallen A",1,2,"Lindome IBK Utv D1",1
"64","Gustav Glansén, Adnan Tongur","Wallenstamhallen",1,2,"Pixbo Wallenstam IBF",1
"65","Gustav Glansén, Adnan Tongur","Wallenstamhallen",1,2,"IBF Backadalen",1
"66","Gustav Glansén, Besim Mehmedagic","Wallenstamhallen",1,1,"Pixbo Wallenstam IBF",1
"67","Gustav Glansén, Besim Mehmedagic","Wallenstamhallen",1,1,"Burås IK D1",1
"68","Gustav Glansén, Christian Jensen","Lundbystrand 1",1,1,"IBF Backadalen",1
"69","Gustav Glansén, Christian Jensen","Lundbystrand 1",1,1,"Lindome IBK Utv D1",1
"70","Gustav Glansén, Maximilian Ziegler","Wallenstamhallen",1,1,"Pixbo Wallenstam IBF",1
"71","Gustav Glansén, Maximilian Ziegler","Wallenstamhallen",1,1,"Floda IBK D1",1
"72","Gustav Glansén, Oscar Kjellgren Elgestål","Ale Kulturrum",2,2,"Ale IBF",2
"73","Gustav Glansén, Oscar Kjellgren Elgestål","Ale Kulturrum",2,2,"Floda IBK D1",1
"74","Gustav Glansén, Oscar Kjellgren Elgestål","Ale Kulturrum",2,2,"Burås IK D1",1
"75","Hajrudin Begic, Adam Kruse","Torpahallen",1,1,"IBK Göteborg D1",1
"76","Hajrudin Begic, Adam Kruse","Torpahallen",1,1,"IK Zenith",1
"77","Hajrudin Begic, Alexander Pavlovic","Rydsbergshallen",1,1,"Guldhedens IK D1",1
"78","Hajrudin Begic, Alexander Pavlovic","Rydsbergshallen",1,1,"FBC Lerum",1
"79","Hajrudin Begic, Besim Mehmedagic","Alléhallen",2,11,"FBC Lerum",1
"80","Hajrudin Begic, Besim Mehmedagic","Alléhallen",2,11,"Floda IBK D1",2
"81","Hajrudin Begic, Besim Mehmedagic","Alléhallen",2,11,"Lindome IBK Utv D1",1
"82","Hajrudin Begic, Besim Mehmedagic","Björlanda Idrottshall",2,11,"IK Zenith ",2
"83","Hajrudin Begic, Besim Mehmedagic","Björlanda Idrottshall",2,11,"Lindome IBK Utv D1",1
"84","Hajrudin Begic, Besim Mehmedagic","Björlanda Idrottshall",2,11,"FBC Lerum",1
"85","Hajrudin Begic, Besim Mehmedagic","Mimershus A-hallen",1,11,"IBK Kungälv D1",1
"86","Hajrudin Begic, Besim Mehmedagic","Mimershus A-hallen",1,11,"Pixbo Wallenstam IBF",1
"87","Hajrudin Begic, Besim Mehmedagic","Rydsbergshallen",2,11,"Burås IK D1",1
"88","Hajrudin Begic, Besim Mehmedagic","Rydsbergshallen",2,11,"FBC Lerum",1
"89","Hajrudin Begic, Besim Mehmedagic","Rydsbergshallen",2,11,"Floda IBK D1",2
"90","Hajrudin Begic, Besim Mehmedagic","Svingelns Sporthall",1,11,"Burås IK D1",1
"91","Hajrudin Begic, Besim Mehmedagic","Svingelns Sporthall",1,11,"Lindome IBK Utv D1",1
"92","Hajrudin Begic, Besim Mehmedagic","Valhalla A-hall",2,11,"Burås IK D1",1
"93","Hajrudin Begic, Besim Mehmedagic","Valhalla A-hall",2,11,"IK Zenith",1
"94","Hajrudin Begic, Besim Mehmedagic","Valhalla A-hall",2,11,"Guldhedens IK D1",2
"95","Hajrudin Begic, Besim Mehmedagic","Wallenstamhallen",1,11,"FBC Lerum",1
"96","Hajrudin Begic, Besim Mehmedagic","Wallenstamhallen",1,11,"Pixbo Wallenstam IBF",1
"97","Hajrudin Begic, Gustav Glansén","Ale Kulturrum",1,1,"IBK Göteborg D1",1
"98","Hajrudin Begic, Gustav Glansén","Ale Kulturrum",1,1,"Ale IBF",1
"99","Hajrudin Begic, Jesper Dammert","Almåshallen A",1,1,"IK Zenith",1
"100","Hajrudin Begic, Jesper Dammert","Almåshallen A",1,1,"Lindome IBK Utv D1",1
"101","Hajrudin Begic, Mats Sällberg","Wallenstamhallen",1,1,"IBK Göteborg D1",1
"102","Hajrudin Begic, Mats Sällberg","Wallenstamhallen",1,1,"Pixbo Wallenstam IBF",1
"103","Hajrudin Begic, Pontus Ekengränd","Mimershus A-hallen",1,1,"FBC Lerum",1
"104","Hajrudin Begic, Pontus Ekengränd","Mimershus A-hallen",1,1,"IBK Kungälv D1",1
"105","Håkan Krafft, Walter Wästhage","Rydsbergshallen",1,1,"FBC Lerum",1
"106","Håkan Krafft, Walter Wästhage","Rydsbergshallen",1,1,"IBK Kungälv D1",1
"107","Jesper Axelsson, Henrik Lord Johansson","Mimershus A-hallen",1,1,"IBK Kungälv D1",1
"108","Jesper Axelsson, Henrik Lord Johansson","Mimershus A-hallen",1,1,"Burås IK D1",1
"109","Jesper Dammert, Besim Mehmedagic","Almåshallen A",1,1,"Partille IBS",1
"110","Jesper Dammert, Besim Mehmedagic","Almåshallen A",1,1,"Lindome IBK Utv D1",1
"111","Jesper Dammert, Carl Flyning","Almåshallen A",1,5,"Lindome IBK Utv D1",1
"112","Jesper Dammert, Carl Flyning","Almåshallen A",1,5,"Pixbo Wallenstam IBF",1
"113","Jesper Dammert, Carl Flyning","Lundbystrand 1",1,5,"Pixbo Wallenstam IBF",1
"114","Jesper Dammert, Carl Flyning","Lundbystrand 1",1,5,"IBF Backadalen",1
"115","Jesper Dammert, Carl Flyning","Rydsbergshallen",1,5,"FBC Lerum",1
"116","Jesper Dammert, Carl Flyning","Rydsbergshallen",1,5,"IK Zenith",1
"117","Jesper Dammert, Carl Flyning","Wallenstamhallen",2,5,"Ale IBF",1
"118","Jesper Dammert, Carl Flyning","Wallenstamhallen",2,5,"Pixbo Wallenstam IBF",2
"119","Jesper Dammert, Carl Flyning","Wallenstamhallen",2,5,"Lindome IBK Utv D1",1
"120","Jesper Dammert, Goran Kuduzovic","Torpahallen",1,1,"IBK Göteborg D1",1
"121","Jesper Dammert, Goran Kuduzovic","Torpahallen",1,1,"Floda IBK D1",1
"122","Jesper Dammert, Joakim Jögi","Qvisthallen",1,1,"Partille IBS",1
"123","Jesper Dammert, Joakim Jögi","Qvisthallen",1,1,"Floda IBK D1",1
"124","Jesper Dammert, Oscar Kjellgren Elgestål","Mimershus A-hallen",1,1,"IBK Kungälv D1",1
"125","Jesper Dammert, Oscar Kjellgren Elgestål","Mimershus A-hallen",1,1,"Lindome IBK Utv D1",1
"126","Jesper Dammert, Pierre Eberhard Berg","Björlanda Idrottshall",1,1,"Ale IBF",1
"127","Jesper Dammert, Pierre Eberhard Berg","Björlanda Idrottshall",1,1,"IK Zenith ",1
"128","Joakim Amri Nilsson, Adnan Tongur","Alléhallen",1,14,"Floda IBK D1",1
"129","Joakim Amri Nilsson, Adnan Tongur","Alléhallen",1,14,"Partille IBS",1
"130","Joakim Amri Nilsson, Adnan Tongur","Almåshallen B",1,14,"IBK Göteborg D1",1
"131","Joakim Amri Nilsson, Adnan Tongur","Almåshallen B",1,14,"Lindome IBK Utv D1",1
"132","Joakim Amri Nilsson, Adnan Tongur","Lundbystrand 1",2,14,"IK Zenith",1
"133","Joakim Amri Nilsson, Adnan Tongur","Lundbystrand 1",2,14,"IBF Backadalen",2
"134","Joakim Amri Nilsson, Adnan Tongur","Lundbystrand 1",2,14,"Guldhedens IK D1",1
"135","Joakim Amri Nilsson, Adnan Tongur","Mimershus A-hallen",1,14,"Floda IBK D1",1
"136","Joakim Amri Nilsson, Adnan Tongur","Mimershus A-hallen",1,14,"IBK Kungälv D1",1
"137","Joakim Amri Nilsson, Adnan Tongur","Qvisthallen",1,14,"Guldhedens IK D1",1
"138","Joakim Amri Nilsson, Adnan Tongur","Qvisthallen",1,14,"Partille IBS",1
"139","Joakim Amri Nilsson, Adnan Tongur","Rydsbergshallen",2,14,"Burås IK D1",1
"140","Joakim Amri Nilsson, Adnan Tongur","Rydsbergshallen",2,14,"Lindome IBK Utv D1",1
"141","Joakim Amri Nilsson, Adnan Tongur","Rydsbergshallen",2,14,"FBC Lerum",2
"142","Joakim Amri Nilsson, Adnan Tongur","Svingelns Sporthall",1,14,"Partille IBS",1
"143","Joakim Amri Nilsson, Adnan Tongur","Svingelns Sporthall",1,14,"Burås IK D1",1
"144","Joakim Amri Nilsson, Adnan Tongur","Torpahallen",2,14,"Lindome IBK Utv D1",1
"145","Joakim Amri Nilsson, Adnan Tongur","Torpahallen",2,14,"IBK Göteborg D1",2
"146","Joakim Amri Nilsson, Adnan Tongur","Torpahallen",2,14,"IBF Backadalen",1
