"","Referee","TotalCount"
"1","Albin Jakobsson, Lars Larsson",2
"2","Anna Palmqvist, Micael Svensson",1
"3","Camilla Eriksson, Carl Wikgren",1
"4","Camilla Eriksson, Marcus Karppinen",1
"5","Camilla Eriksson, Michael Rosenlönn",1
"6","Christher Johansson, Micael Svensson",1
"7","Christher Johansson, Tomas Persson",1
"8","Dan Barthlen, Marcus Karppinen",1
"9","Dan Barthlen, Tobias Söderberg",1
"10","David Granström, Oskar Sundin",1
"11","Edvin Lindelöf, Carl Wikgren",2
"12","Edvin Lindelöf, Fernando Rocabado",1
"13","Erik Bergström, Christoffer Frykestam",1
"14","Erik Ejerfeldt, Adam Haglund",2
"15","Erik Flink, Lars Flink",4
"16","Fernando Rocabado, Carl Wikgren",1
"17","Fernando Rocabado, Tony Wennberg",4
"18","Fredrik Knutsson, Henrik Zegelsson",1
"19","Fredrik Knutsson, Kim Palmroth",1
"20","Fredrik Knutsson, Micael Svensson",1
"21","Fredrik Knutsson, Oscar Söljén",1
"22","Fredrik Knutsson, Tommy Nordin",3
"23","Fredrik Knutsson, Tony Wennberg",2
"24","Gabriel Brandberg, Mårten Hanold",1
"25","Gerry Törnqvist, Daniel Östling",1
"26","Henrik Brehmer, Jonathan Morén",7
"27","Henrik Brehmer, Lars Flink",1
"28","Henrik Jansson, Nicklas Johansson",3
"29","Henrik Jansson, Oskar Sundin",2
"30","Jerry Nilsson, Jimmie Nilsson",1
"31","Johan Friman, Henrik Jansson",2
"32","Johan Friman, Jonas Snäll",3
"33","Johan Friman, Nicklas Johansson",1
"34","Juha Vanninen, Daniel Östling",1
"35","Lars Flink, Mårten Hanold",1
"36","Lars Flink, Peter Hofer",2
"37","Linus Larsson, Oskar Sundin",3
"38","Marco Mustonen, Tony Wennberg",1
"39","Marcus Karppinen, William Ringkvist",5
"40","Michael Nilsson, Henrik Zegelsson",2
"41","Michael Rosenlönn, Daniel Östling",1
"42","Mikael Jansson, Tomas Karlsson",3
"43","Mårten Hanold, Juha Vanninen",2
"44","Nicklas Johansson, Lars Larsson",1
"45","Philip Aronsson-Elffors, Christoffer Frykestam",1
"46","Philip Aronsson-Elffors, Christoffer Risberg",1
"47","Philip Aronsson-Elffors, Claes Knutsson",5
"48","Philip Aronsson-Elffors, Nicklas Johansson",1
"49","Robert Forslind Lovrencic, Fredrik Knutsson",1
"50","Sebastian Falk-Asplund, Mattias Pettersson",6
"51","Thomas Kallin, Tobias Söderberg",2
"52","Tim Solig, Rasmus Zarins",1
"53","Timmy Samuelsson, Robin Särén",1
"54","Tomas Persson, Berndt Swärd",2
"55","Tomas Persson, Oscar Söljén",1
"56","Tommy Nordin, Anna Palmqvist",1
"57","Tommy Nordin, Henrik Zegelsson",1
