"","Referee","TotalCount"
"1","Carl Larsson, Harri Tjäder",1
"2","Carl Larsson, Pavle Velcov",1
"3","Christoffer Danielsson, Johan Thaning",1
"4","Christoffer Danielsson, Kronoslav Kis",2
"5","Christoffer Danielsson, Linus Svensson",1
"6","Daniel Dimitrovski, Nebojsa Stefanovski",4
"7","David Karlsson, Dan Pettersson",3
"8","David Persson, Harri Tjäder",1
"9","Erling Josefsson, Joakim Mattsson",2
"10","Esko Leppimaa, Kenth Lindqvist",1
"11","Henrik Carlsson, Bjarne Wesenlund",1
"12","Henrik Carlsson, Dan Pettersson",2
"13","Henrik Carlsson, Magnus Jansson",1
"14","Iza Hederdahl, Johan Thaning",2
"15","Kenth Lindqvist, Dan Pettersson",1
"16","Kenth Lindqvist, Sven Persson",1
"17","Kronoslav Kis, Johan Thaning",1
"18","Kronoslav Kis, Mikael Magnusson",4
"19","Magnus Jansson, Henrik Sjöberg",1
"20","Magnus Jansson, Pedram Koublani",5
"21","Mattias Furbo, Esko Leppimaa",1
"22","Mattias Furbo, Sven Persson",2
"23","Ola Forsberg, Carl Larsson",4
"24","Ola Forsberg, Harri Tjäder",1
"25","Pedram Koublani, Dan Pettersson",1
"26","Per Johansson, Eino Vuoluterä",5
"27","Per Johansson, Kronoslav Kis",1
"28","Richard Claesson, Erling Josefsson",1
"29","Richard Claesson, Harri Tjäder",1
"30","Richard Claesson, Pedram Koublani",1
"31","Thomas Atting, Anders Everstrand",1
