"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund, Linus Berglund","IKSU Sport",1,1,"IKSU Ungdom",1
"2","Albin Berglund, Linus Berglund","IKSU Sport",1,1,"Hudik/Björkberg IBK",1
"3","Albin Jakobsson, Lars Larsson","Hammarö Arena",4,11,"Rönnby Västerås IBK Ungdom",1
"4","Albin Jakobsson, Lars Larsson","Hammarö Arena",4,11,"Skoghalls IBK",4
"5","Albin Jakobsson, Lars Larsson","Hammarö Arena",4,11,"FBC Kalmarsund",1
"6","Albin Jakobsson, Lars Larsson","Hammarö Arena",4,11,"IBK Lockerud Mariestad",1
"7","Albin Jakobsson, Lars Larsson","Hammarö Arena",4,11,"Lindome IBK",1
"8","Albin Jakobsson, Lars Larsson","ICA-kvantum hallen, Mariestad",3,11,"Telge SIBK",1
"9","Albin Jakobsson, Lars Larsson","ICA-kvantum hallen, Mariestad",3,11,"IBK Lockerud Mariestad",3
"10","Albin Jakobsson, Lars Larsson","ICA-kvantum hallen, Mariestad",3,11,"Lindome IBK",1
"11","Albin Jakobsson, Lars Larsson","ICA-kvantum hallen, Mariestad",3,11,"Västra Mälardalen IB",1
"12","Albin Jakobsson, Lars Larsson","Kristiansborgshallen",2,11,"Hovslätts IK",1
"13","Albin Jakobsson, Lars Larsson","Kristiansborgshallen",2,11,"Västerås IBS",1
"14","Albin Jakobsson, Lars Larsson","Kristiansborgshallen",2,11,"Fröjereds IF",1
"15","Albin Jakobsson, Lars Larsson","Kristiansborgshallen",2,11,"Rönnby Västerås IBK Ungdom",1
"16","Albin Jakobsson, Lars Larsson","Vasahallen",2,11,"Västra Mälardalen IB",2
"17","Albin Jakobsson, Lars Larsson","Vasahallen",2,11,"Hovslätts IK",1
"18","Albin Jakobsson, Lars Larsson","Vasahallen",2,11,"Fröjereds IF",1
"19","Anders Asp, Daniel Kölborn","Vasahallen",1,1,"Västra Mälardalen IB",1
"20","Anders Asp, Daniel Kölborn","Vasahallen",1,1,"Lindome IBK",1
"21","Anders Asp, Madelene Westerberg","Kristiansborgshallen",1,2,"Västra Mälardalen IB",1
"22","Anders Asp, Madelene Westerberg","Kristiansborgshallen",1,2,"Rönnby Västerås IBK Ungdom",1
"23","Anders Asp, Madelene Westerberg","Vasahallen",1,2,"Rönnby Västerås IBK Ungdom",1
"24","Anders Asp, Madelene Westerberg","Vasahallen",1,2,"Västra Mälardalen IB",1
"25","Anders Asp, Per Rosén","Folkungahallen",2,14,"Linköping IBK",1
"26","Anders Asp, Per Rosén","Folkungahallen",2,14,"Västerås IBS",1
"27","Anders Asp, Per Rosén","Folkungahallen",2,14,"Skoghalls IBK",1
"28","Anders Asp, Per Rosén","Folkungahallen",2,14,"IBF Linköping",1
"29","Anders Asp, Per Rosén","Jakobsbergs Sporthall",1,14,"IKSU Ungdom",1
"30","Anders Asp, Per Rosén","Jakobsbergs Sporthall",1,14,"Bele Barkarby IF IBF",1
"31","Anders Asp, Per Rosén","JALAS® Arena",1,14,"IBF Falun",1
"32","Anders Asp, Per Rosén","JALAS® Arena",1,14,"Nacka Wallenstam IBK",1
"33","Anders Asp, Per Rosén","Ormingehallen",2,14,"IBF Falun",1
"34","Anders Asp, Per Rosén","Ormingehallen",2,14,"IBF Dalen",1
"35","Anders Asp, Per Rosén","Ormingehallen",2,14,"Nacka Wallenstam IBK",2
"36","Anders Asp, Per Rosén","Sjöstadshallen",2,14,"Hammarby IF IBF",2
"37","Anders Asp, Per Rosén","Sjöstadshallen",2,14,"IBF Dalen",1
"38","Anders Asp, Per Rosén","Sjöstadshallen",2,14,"Älvsjö AIK IBF",1
"39","Anders Asp, Per Rosén","Sundsvalls Sporthall-A",1,14,"IKSU Ungdom",1
"40","Anders Asp, Per Rosén","Sundsvalls Sporthall-A",1,14,"Sundsvalls IBF",1
"41","Anders Asp, Per Rosén","Tullingehallen",2,14,"FBI Tullinge",2
"42","Anders Asp, Per Rosén","Tullingehallen",2,14,"Strömsbro IF",1
"43","Anders Asp, Per Rosén","Tullingehallen",2,14,"Notvikens IK",1
"44","Anders Asp, Per Rosén","Västergård Arena A",1,14,"Telge SIBK",1
"45","Anders Asp, Per Rosén","Västergård Arena A",1,14,"Västra Mälardalen IB",1
"46","Anders Asp, Per Rosén","Västertorpshallen",1,14,"Älvsjö AIK IBF",1
"47","Anders Asp, Per Rosén","Västertorpshallen",1,14,"Strömsbro IF",1
"48","Anders Asp, Per Rosén","Åkersberga Sporthall A",1,14,"Åkersberga IBF",1
"49","Anders Asp, Per Rosén","Åkersberga Sporthall A",1,14,"IBF Dalen",1
"50","Anders Asp, Roger Nilsson","Alfahallen - Gavlehov",1,1,"Ersboda SK",1
"51","Anders Asp, Roger Nilsson","Alfahallen - Gavlehov",1,1,"Strömsbro IF",1
"52","Anders Fredriksson, Pierre Malmgren","Vasahallen",1,2,"Västra Mälardalen IB",1
"53","Anders Fredriksson, Pierre Malmgren","Vasahallen",1,2,"Linköping IBK",1
"54","Anders Fredriksson, Pierre Malmgren","Västertorpshallen",1,2,"Älvsjö AIK IBF",1
"55","Anders Fredriksson, Pierre Malmgren","Västertorpshallen",1,2,"IBF Falun",1
"56","Andreas Eriksson, Mattias Karlsson","Umeå Energi Arena Väst",1,2,"IBF Dalen",1
"57","Andreas Eriksson, Mattias Karlsson","Umeå Energi Arena Väst",1,2,"Ersboda SK",1
"58","Andreas Eriksson, Mattias Karlsson","Umeå Energi Arena Öst",1,2,"IBF Dalen",1
"59","Andreas Eriksson, Mattias Karlsson","Umeå Energi Arena Öst",1,2,"RIG Umeå IBF",1
"60","Andreas Lindberg, Robin Palander","Alfahallen - Gavlehov",1,5,"Strömsbro IF",1
"61","Andreas Lindberg, Robin Palander","Alfahallen - Gavlehov",1,5,"Sundsvalls IBF",1
"62","Andreas Lindberg, Robin Palander","Ersängshallen",1,5,"Ersboda SK",1
"63","Andreas Lindberg, Robin Palander","Ersängshallen",1,5,"Sundsvalls IBF",1
"64","Andreas Lindberg, Robin Palander","Håstaholmen",1,5,"Bele Barkarby IF IBF",1
"65","Andreas Lindberg, Robin Palander","Håstaholmen",1,5,"Hudik/Björkberg IBK",1
"66","Andreas Lindberg, Robin Palander","Musköten 2",1,5,"RIG Umeå IBF",1
"67","Andreas Lindberg, Robin Palander","Musköten 2",1,5,"Team Kalix IBK",1
"68","Andreas Lindberg, Robin Palander","Sundsvalls Sporthall-A",1,5,"Notvikens IK",1
"69","Andreas Lindberg, Robin Palander","Sundsvalls Sporthall-A",1,5,"Sundsvalls IBF",1
"70","Apilou Dragin, Catrin Kleist","Jönköpings Idrottshus D-hall",1,2,"Hovslätts IK",1
"71","Apilou Dragin, Catrin Kleist","Jönköpings Idrottshus D-hall",1,2,"Åstorp/Kvidinge IBS",1
"72","Apilou Dragin, Catrin Kleist","Västergård Arena A",1,2,"Telge SIBK",1
"73","Apilou Dragin, Catrin Kleist","Västergård Arena A",1,2,"Lindome IBK",1
"74","Arash Sohrevardi, Shari Tingman","ICA-kvantum hallen, Mariestad",1,4,"FBC Kalmarsund",1
"75","Arash Sohrevardi, Shari Tingman","ICA-kvantum hallen, Mariestad",1,4,"IBK Lockerud Mariestad",1
"76","Arash Sohrevardi, Shari Tingman","Ormingehallen",1,4,"Nacka Wallenstam IBK",1
"77","Arash Sohrevardi, Shari Tingman","Ormingehallen",1,4,"Ersboda SK",1
"78","Arash Sohrevardi, Shari Tingman","Västertorpshallen",1,4,"Team Kalix IBK",1
"79","Arash Sohrevardi, Shari Tingman","Västertorpshallen",1,4,"Älvsjö AIK IBF",1
"80","Arash Sohrevardi, Shari Tingman","Åkersberga Sporthall A",1,4,"Älvsjö AIK IBF",1
"81","Arash Sohrevardi, Shari Tingman","Åkersberga Sporthall A",1,4,"Åkersberga IBF",1
"82","Björn Hedman, Nicklas Sundgren","Sjöstadshallen",1,1,"Nacka Wallenstam IBK",1
"83","Björn Hedman, Nicklas Sundgren","Sjöstadshallen",1,1,"Hammarby IF IBF",1
"84","Christer Avasjö, Jonas Holm","Hammarö Arena",1,3,"Skoghalls IBK",1
"85","Christer Avasjö, Jonas Holm","Hammarö Arena",1,3,"Lindås Rasta IBK",1
"86","Christer Avasjö, Jonas Holm","Jakobsbergs Sporthall",1,3,"Bele Barkarby IF IBF",1
"87","Christer Avasjö, Jonas Holm","Jakobsbergs Sporthall",1,3,"Ersboda SK",1
"88","Christer Avasjö, Jonas Holm","Västergård Arena A",1,3,"Telge SIBK",1
"89","Christer Avasjö, Jonas Holm","Västergård Arena A",1,3,"IBK Lockerud Mariestad",1
"90","Christer Avasjö, Pierre Borghoff","Ormingehallen",1,1,"FBI Tullinge",1
"91","Christer Avasjö, Pierre Borghoff","Ormingehallen",1,1,"Nacka Wallenstam IBK",1
"92","Christoffer Markovski, Patric Terelius","Ersängshallen",1,3,"FBI Tullinge",1
