"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund, Linus Berglund","Musköten 2",1,2,"Vindelns IF",1
"2","Albin Berglund, Linus Berglund","Musköten 2",1,2,"IBF Dalen DJ17",1
"3","Albin Berglund, Linus Berglund","Storsjöhallen",1,2,"Holmsund City IBC",1
"4","Albin Berglund, Linus Berglund","Storsjöhallen",1,2,"Bureå Idrottsförening",1
"5","Alvin Gustavsson, Ville Hedsberg","Balderhallen B",1,1,"Skellefteå IBK /RIF",1
"6","Alvin Gustavsson, Ville Hedsberg","Balderhallen B",1,1,"Kågedalens AIF",1
"7","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",1,1,"Gullänget-Kroksta IBS",1
"8","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",1,1,"IBF Dalen /Hissjö SK",1
"9","Bjarne Andersson, Jimmy Halldin","Vildmannahallen",1,1,"Gimonäs Umeå IF /F04",1
"10","Bjarne Andersson, Jimmy Halldin","Vildmannahallen",1,1,"Bureå Idrottsförening",1
"11","Björn Glad, Klas Höglund","Vildmannahallen",1,1,"Team Thorengruppen/Röbäcks IF",1
"12","Björn Glad, Klas Höglund","Vildmannahallen",1,1,"Umeå City IBF",1
"13","Björn Glad, Louise Ramebäck","Musköten 1",1,1,"Holmsund City IBC",1
"14","Björn Glad, Louise Ramebäck","Musköten 1",1,1,"Hissjö SK /IBF Dalen",1
"15","Björn Glad, Marcus Glad","Elofssonhallen",1,4,"Röbäcks IF",1
"16","Björn Glad, Marcus Glad","Elofssonhallen",1,4,"Skellefteå IBS",1
"17","Björn Glad, Marcus Glad","Musköten 2",1,4,"Gimonäs Umeå IF",1
"18","Björn Glad, Marcus Glad","Musköten 2",1,4,"IBF Dalen /Hissjö SK",1
"19","Björn Glad, Marcus Glad","Storsjöhallen",1,4,"Clemensnäs IF",1
"20","Björn Glad, Marcus Glad","Storsjöhallen",1,4,"Holmsund City IBC",1
"21","Björn Glad, Marcus Glad","Sävaråhallen",1,4,"Sävar IK/Täfteå IK",1
"22","Björn Glad, Marcus Glad","Sävaråhallen",1,4,"Örnsköldsvik IBK /IBF",1
"23","Björn Glad, Rasmus Säfvenberg","Olasjöhallen",1,1,"IBF Dalen DJ17",1
"24","Björn Glad, Rasmus Säfvenberg","Olasjöhallen",1,1,"Obbola IK",1
"25","Björn Glad, Thanasis Provatas","Vildmannahallen",1,1,"Gullänget-Kroksta IBS",1
"26","Björn Glad, Thanasis Provatas","Vildmannahallen",1,1,"Hissjö SK /IBF Dalen",1
"27","Christoffer Lind, Alvina Mukkala","Elofssonhallen",1,2,"Röbäcks IF",1
"28","Christoffer Lind, Alvina Mukkala","Elofssonhallen",1,2,"Gullänget-Kroksta IBS",1
"29","Christoffer Lind, Alvina Mukkala","Musköten 1",1,2,"IBF Dalen /Hissjö SK",1
"30","Christoffer Lind, Alvina Mukkala","Musköten 1",1,2,"Holmsund City IBC",1
"31","Daniel Degerman, Andreas Åström","Balderhallen A",1,2,"Skellefteå IBK /RIF",1
"32","Daniel Degerman, Andreas Åström","Balderhallen A",1,2,"Örnsköldsvik IBK /IBF",1
"33","Daniel Degerman, Andreas Åström","Morö Backe A",1,2,"Gimonäs Umeå IF",1
"34","Daniel Degerman, Andreas Åström","Morö Backe A",1,2,"Kågedalens AIF",1
"35","Daniel Degerman, Micael Holmbom","Balderhallen A",1,2,"Skellefteå IBK /RIF",1
"36","Daniel Degerman, Micael Holmbom","Balderhallen A",1,2,"Umeå City IBF",1
"37","Daniel Degerman, Micael Holmbom","Morö Backe A",1,2,"Team Thorengruppen/Röbäcks IF",1
"38","Daniel Degerman, Micael Holmbom","Morö Backe A",1,2,"Skellefteå IBK /RIF",1
"39","Daniel Degerman, Ville Hedsberg","Balderhallen A",1,1,"Sävar IK/Täfteå IK",1
"40","Daniel Degerman, Ville Hedsberg","Balderhallen A",1,1,"Gamla Stan IBK",1
"41","Daniel Johannesson, Louise Ramebäck","Sävaråhallen",1,1,"Sävar IK/Täfteå IK",1
"42","Daniel Johannesson, Louise Ramebäck","Sävaråhallen",1,1,"Umeå City IBF",1
"43","David Jonsson, Johan Rönnberg","Balderhallen B",1,2,"Bureå Idrottsförening",1
"44","David Jonsson, Johan Rönnberg","Balderhallen B",1,2,"Holmsund City IBC",1
"45","David Jonsson, Johan Rönnberg","Morö Backe A",1,2,"Skellefteå IBK /RIF",1
"46","David Jonsson, Johan Rönnberg","Morö Backe A",1,2,"Jäbo IK",1
"47","David Karlsson, Louise Ramebäck","FC Vindeln",1,8,"Obbola IK",1
"48","David Karlsson, Louise Ramebäck","FC Vindeln",1,8,"Vindelns IF",1
"49","David Karlsson, Louise Ramebäck","IKSU Sport",1,8,"IKSU/IKSU Ungdom",1
"50","David Karlsson, Louise Ramebäck","IKSU Sport",1,8,"IBF Dalen/Sandåkerns SK",1
"51","David Karlsson, Louise Ramebäck","Musköten 1",1,8,"IBF Dalen/Sandåkerns SK",1
"52","David Karlsson, Louise Ramebäck","Musköten 1",1,8,"IBF Dalen DJ17",1
"53","David Karlsson, Louise Ramebäck","Olasjöhallen",1,8,"Vindelns IF",1
"54","David Karlsson, Louise Ramebäck","Olasjöhallen",1,8,"Obbola IK",1
"55","David Karlsson, Louise Ramebäck","Storsjöhallen",1,8,"Holmsund City IBC",1
"56","David Karlsson, Louise Ramebäck","Storsjöhallen",1,8,"Skellefteå IBS",1
"57","David Karlsson, Louise Ramebäck","Vildmannahallen",3,8,"Umeå City IBF",1
"58","David Karlsson, Louise Ramebäck","Vildmannahallen",3,8,"Sävar IK/Täfteå IK",1
"59","David Karlsson, Louise Ramebäck","Vildmannahallen",3,8,"Röbäcks IF",1
"60","David Karlsson, Louise Ramebäck","Vildmannahallen",3,8,"IKSU/IKSU Ungdom",1
"61","David Karlsson, Louise Ramebäck","Vildmannahallen",3,8,"Team Thorengruppen/Röbäcks IF",1
"62","David Karlsson, Louise Ramebäck","Vildmannahallen",3,8,"Obbola IK",1
"63","David Karlsson, Roger Karlsson","FC Vindeln",1,2,"IBF Dalen DJ17",1
"64","David Karlsson, Roger Karlsson","FC Vindeln",1,2,"Vindelns IF",1
"65","David Karlsson, Roger Karlsson","Musköten 2",1,2,"Skellefteå IBS",1
"66","David Karlsson, Roger Karlsson","Musköten 2",1,2,"IBF Dalen /Hissjö SK",1
"67","Elias Bark Pettersson, Alvin Gustavsson","Balderhallen A",1,1,"Kågedalens AIF",1
"68","Elias Bark Pettersson, Alvin Gustavsson","Balderhallen A",1,1,"Clemensnäs IF",1
"69","Elias Bark Pettersson, Lasse Ekesryd","Balderhallen B",1,1,"Gimonäs Umeå IF",1
"70","Elias Bark Pettersson, Lasse Ekesryd","Balderhallen B",1,1,"Skellefteå IBS",1
"71","Elias Bark Pettersson, Micael Holmbom","Örjanshallen",1,1,"Clemensnäs IF",1
"72","Elias Bark Pettersson, Micael Holmbom","Örjanshallen",1,1,"Umeå City IBF",1
"73","Elin Lindgren, Ivica Matanovic","Örnsköldsviks Sporthall",1,1,"Gullänget-Kroksta IBS",1
"74","Elin Lindgren, Ivica Matanovic","Örnsköldsviks Sporthall",1,1,"Holmsund City IBC",1
"75","Gustav Broadhall, Daniel Johannesson","Midgårdshallen",1,4,"Kågedalens AIF",1
"76","Gustav Broadhall, Daniel Johannesson","Midgårdshallen",1,4,"Team Thorengruppen/Röbäcks IF",1
"77","Gustav Broadhall, Daniel Johannesson","Musköten 2",1,4,"IBF Dalen/Sandåkerns SK",1
"78","Gustav Broadhall, Daniel Johannesson","Musköten 2",1,4,"IBF Dalen DJ17",1
"79","Gustav Broadhall, Daniel Johannesson","Sävaråhallen",1,4,"Skellefteå IBK /RIF",1
"80","Gustav Broadhall, Daniel Johannesson","Sävaråhallen",1,4,"Sävar IK/Täfteå IK",1
"81","Gustav Broadhall, Daniel Johannesson","Vildmannahallen",1,4,"Umeå City IBF",1
"82","Gustav Broadhall, Daniel Johannesson","Vildmannahallen",1,4,"Gimonäs Umeå IF",1
"83","Gustav Broadhall, Klas Höglund","Umeå Energi Arena Öst",1,1,"Team Thorengruppen/Röbäcks IF",1
"84","Gustav Broadhall, Klas Höglund","Umeå Energi Arena Öst",1,1,"Gimonäs Umeå IF",1
"85","Göran Norberg, Tony Strindlund","Örnsköldsviks Sporthall",1,1,"Kågedalens AIF",1
"86","Göran Norberg, Tony Strindlund","Örnsköldsviks Sporthall",1,1,"Jäbo IK",1
"87","Henrik Johansson, Ivica Matanovic","Örnsköldsviks Sporthall",1,1,"Gullänget-Kroksta IBS",1
"88","Henrik Johansson, Ivica Matanovic","Örnsköldsviks Sporthall",1,1,"IBF Dalen/Sandåkerns SK",1
"89","Henrik Johansson, Joakim Nydahl","Skyttis Arena",1,1,"Gimonäs Umeå IF",1
"90","Henrik Johansson, Joakim Nydahl","Skyttis Arena",1,1,"Örnsköldsvik IBK /IBF",1
"91","Henrik Johansson, Peder Lövdahl","Skyttis Arena",1,1,"IKSU/IKSU Ungdom",1
"92","Henrik Johansson, Peder Lövdahl","Skyttis Arena",1,1,"Gullänget-Kroksta IBS",1
"93","Jimmy Halldin, Erik Hörnros","FC Vindeln",1,3,"Gullänget-Kroksta IBS",1
"94","Jimmy Halldin, Erik Hörnros","FC Vindeln",1,3,"Vindelns IF",1
"95","Jimmy Halldin, Erik Hörnros","Olasjöhallen",1,3,"Gimonäs Umeå IF",1
"96","Jimmy Halldin, Erik Hörnros","Olasjöhallen",1,3,"Holmsund City IBC",1
"97","Jimmy Halldin, Erik Hörnros","Storsjöhallen",1,3,"Holmsund City IBC",1
"98","Jimmy Halldin, Erik Hörnros","Storsjöhallen",1,3,"Gimonäs Umeå IF /F04",1
"99","Joakim Broman, Daniel Degerman","Balderhallen B",2,2,"Skellefteå IBS",1
"100","Joakim Broman, Daniel Degerman","Balderhallen B",2,2,"Kågedalens AIF",1
"101","Joakim Broman, Daniel Degerman","Balderhallen B",2,2,"Röbäcks IF",1
"102","Joakim Broman, Daniel Degerman","Balderhallen B",2,2,"Clemensnäs IF",1
"103","Joakim Nydahl, Andreas Nyman","Skyttis Arena",1,1,"Jäbo IK",1
"104","Joakim Nydahl, Andreas Nyman","Skyttis Arena",1,1,"Röbäcks IF",1
"105","Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",1,1,"Gullänget-Kroksta IBS",1
"106","Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",1,1,"Hissjö SK /IBF Dalen",1
"107","Jonas Hägglund, Ivica Matanovic","Örnsköldsviks Sporthall",2,2,"Jäbo IK",1
"108","Jonas Hägglund, Ivica Matanovic","Örnsköldsviks Sporthall",2,2,"Bureå Idrottsförening",1
"109","Jonas Hägglund, Ivica Matanovic","Örnsköldsviks Sporthall",2,2,"Gullänget-Kroksta IBS",1
"110","Jonas Hägglund, Ivica Matanovic","Örnsköldsviks Sporthall",2,2,"Umeå City IBF",1
"111","Julia Fältén, Lisa Vestman","Elofssonhallen",4,13,"Holmsund City IBC",1
"112","Julia Fältén, Lisa Vestman","Elofssonhallen",4,13,"Jäbo IK",1
"113","Julia Fältén, Lisa Vestman","Elofssonhallen",4,13,"Röbäcks IF",4
"114","Julia Fältén, Lisa Vestman","Elofssonhallen",4,13,"Umeå City IBF",1
"115","Julia Fältén, Lisa Vestman","Elofssonhallen",4,13,"IBF Dalen /Hissjö SK",1
"116","Julia Fältén, Lisa Vestman","FC Vindeln",1,13,"IBF Dalen/Sandåkerns SK",1
"117","Julia Fältén, Lisa Vestman","FC Vindeln",1,13,"Vindelns IF",1
"118","Julia Fältén, Lisa Vestman","Musköten 2",3,13,"Kågedalens AIF",1
"119","Julia Fältén, Lisa Vestman","Musköten 2",3,13,"Vindelns IF",1
"120","Julia Fältén, Lisa Vestman","Musköten 2",3,13,"IBF Dalen/Sandåkerns SK",2
"121","Julia Fältén, Lisa Vestman","Musköten 2",3,13,"IBF Dalen/Hissjö SK",1
"122","Julia Fältén, Lisa Vestman","Musköten 2",3,13,"Obbola IK",1
"123","Julia Fältén, Lisa Vestman","Sjöfruhallen",1,13,"Röbäcks IF",1
"124","Julia Fältén, Lisa Vestman","Sjöfruhallen",1,13,"Gimonäs Umeå IF",1
"125","Julia Fältén, Lisa Vestman","Sporthushallen",2,13,"Gamla Stan IBK",1
"126","Julia Fältén, Lisa Vestman","Sporthushallen",2,13,"Umeå City IBF",2
"127","Julia Fältén, Lisa Vestman","Sporthushallen",2,13,"Bureå Idrottsförening",1
"128","Julia Fältén, Lisa Vestman","Vildmannahallen",2,13,"IBF Dalen/Hissjö SK",1
"129","Julia Fältén, Lisa Vestman","Vildmannahallen",2,13,"Team Thorengruppen/Röbäcks IF",1
"130","Julia Fältén, Lisa Vestman","Vildmannahallen",2,13,"Umeå City IBF",1
"131","Julia Fältén, Lisa Vestman","Vildmannahallen",2,13,"Örnsköldsvik IBK /IBF",1
"132","Julian Amya, Micael Holmbom","Balderhallen B",1,1,"Jäbo IK",1
"133","Julian Amya, Micael Holmbom","Balderhallen B",1,1,"Gamla Stan IBK",1
"134","Kalle Dorell, Henrik Johansson","Skyttis Arena",1,1,"Örnsköldsvik IBK /IBF",1
"135","Kalle Dorell, Henrik Johansson","Skyttis Arena",1,1,"Umeå City IBF",1
"136","Kim Fallbjörk, Christoffer Lind","Sjöfruhallen",1,1,"Gimonäs Umeå IF /F04",1
"137","Kim Fallbjörk, Christoffer Lind","Sjöfruhallen",1,1,"Skellefteå IBS",1
"138","Kim Fallbjörk, David Karlsson","Sjöfruhallen",1,2,"Umeå City IBF",1
