"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Alexander Pettersson, Gustaf Vallgren","Pajala Sp",1,1,"IBK Luleå H2",1
"2","Alexander Pettersson, Gustaf Vallgren","Pajala Sp",1,1,"Pajala IF H2",1
"3","Christer Uggla, Pär Wårell","Hälsans hus",1,2,"Bergnäsets AIK H2",1
"4","Christer Uggla, Pär Wårell","Hälsans hus",1,2,"Wibax IBF Piteå H2",1
"5","Christer Uggla, Pär Wårell","Idrottshuset Haparanda",1,2,"K 4 IF H 2",1
"6","Christer Uggla, Pär Wårell","Idrottshuset Haparanda",1,2,"Haparanda AIK H2",1
"7","Conny Björnfot, Daniel Persson","Kronanhallen",2,4,"Bergnäsets AIK H2",1
"8","Conny Björnfot, Daniel Persson","Kronanhallen",2,4,"IBK Luleå H2",1
"9","Conny Björnfot, Daniel Persson","Kronanhallen",2,4,"Haparanda AIK H2",2
"10","Conny Björnfot, Daniel Persson","Pajala Sp",1,4,"K 4 IF H 2",1
"11","Conny Björnfot, Daniel Persson","Pajala Sp",1,4,"Pajala IF H2",1
"12","Conny Björnfot, Daniel Persson","Rakethallen Kiruna",1,4,"Kiruna AIF H2",1
"13","Conny Björnfot, Daniel Persson","Rakethallen Kiruna",1,4,"Öjebyns IBF H2",1
"14","Conny Björnfot, Gustaf Vallgren","Sunderby Sp",1,1,"Bergnäsets AIK H2",1
"15","Conny Björnfot, Gustaf Vallgren","Sunderby Sp",1,1,"Sunderby SK H2",1
"16","Conny Björnfot, Magnus Grahn","ND Hallen",1,6,"Öjebyns IBF H2",1
"17","Conny Björnfot, Magnus Grahn","ND Hallen",1,6,"K 4 IF H 2",1
"18","Conny Björnfot, Magnus Grahn","Norrmalmia Sph",3,6,"Öjebyns IBF H2",2
"19","Conny Björnfot, Magnus Grahn","Norrmalmia Sph",3,6,"Bergnäsets AIK H2",1
"20","Conny Björnfot, Magnus Grahn","Norrmalmia Sph",3,6,"Sunderby SK H2",1
"21","Conny Björnfot, Magnus Grahn","Norrmalmia Sph",3,6,"Wibax IBF Piteå H2",1
"22","Conny Björnfot, Magnus Grahn","Norrmalmia Sph",3,6,"Kiruna AIF H2",1
"23","Conny Björnfot, Magnus Grahn","Pajala Sp",1,6,"Sunderby SK H2",1
"24","Conny Björnfot, Magnus Grahn","Pajala Sp",1,6,"Pajala IF H2",1
"25","Conny Björnfot, Magnus Grahn","Sunderby Sp",1,6,"Sunderby SK H2",1
"26","Conny Björnfot, Magnus Grahn","Sunderby Sp",1,6,"IBK Luleå H2",1
