"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Björn Grahn, Jürgen Neuenhofen","Kungsgårdshallen",1,3,"FBC Engelholm H2",1
"2","Björn Grahn, Jürgen Neuenhofen","Kungsgårdshallen",1,3,"Lönsboda IBK",1
"3","Björn Grahn, Jürgen Neuenhofen","Lönsboda Sporthall",1,3,"Lomma FBC H2",1
"4","Björn Grahn, Jürgen Neuenhofen","Lönsboda Sporthall",1,3,"Lönsboda IBK",1
"5","Björn Grahn, Jürgen Neuenhofen","Åstorps Sporthall",1,3,"Åstorp/Kvidinge IBS H2",1
"6","Björn Grahn, Jürgen Neuenhofen","Åstorps Sporthall",1,3,"Lomma FBC H2",1
"7","David Dornlöv, Erik Hindemith","Aggarpshallen",1,3,"Palmstaden IK H2",1
"8","David Dornlöv, Erik Hindemith","Aggarpshallen",1,3,"IBS Svedala H2",1
"9","David Dornlöv, Erik Hindemith","Landskrona Idrottshall",1,3,"Palmstaden IK H2",1
"10","David Dornlöv, Erik Hindemith","Landskrona Idrottshall",1,3,"IBK Landskrona H2",1
"11","David Dornlöv, Erik Hindemith","Åstorps Sporthall",1,3,"Åstorp/Kvidinge IBS H2",1
"12","David Dornlöv, Erik Hindemith","Åstorps Sporthall",1,3,"Bjärreds IBK H2",1
"13","David Dornlöv, Fredrik Lundborg","Aggarpshallen",1,1,"IBK Höllviken H2",1
"14","David Dornlöv, Fredrik Lundborg","Aggarpshallen",1,1,"IBS Svedala H2",1
"15","David Dornlöv, Hussein Ibrahim","Halörhallen",1,2,"IBK Höllviken H2",1
"16","David Dornlöv, Hussein Ibrahim","Halörhallen",1,2,"Munka Ljungby IBK Akademi",1
"17","David Dornlöv, Hussein Ibrahim","Helsingborg Arena C",1,2,"Åstorp/Kvidinge IBS H2",1
"18","David Dornlöv, Hussein Ibrahim","Helsingborg Arena C",1,2,"FBC Helsingborg",1
"19","Erik Hindemith, Fredrik Lundborg","Aggarpshallen",1,6,"IBS Svedala H2",1
"20","Erik Hindemith, Fredrik Lundborg","Aggarpshallen",1,6,"Åstorp/Kvidinge IBS H2",1
"21","Erik Hindemith, Fredrik Lundborg","Bjärehovshallen",1,6,"Bjärreds IBK H2",1
"22","Erik Hindemith, Fredrik Lundborg","Bjärehovshallen",1,6,"IBK Höllviken H2",1
"23","Erik Hindemith, Fredrik Lundborg","Kristianstad Arena",1,6,"Åstorp/Kvidinge IBS H2",1
"24","Erik Hindemith, Fredrik Lundborg","Kristianstad Arena",1,6,"Willands IBK H2",1
"25","Erik Hindemith, Fredrik Lundborg","Landskrona Idrottshall",1,6,"IBK Landskrona H2",1
"26","Erik Hindemith, Fredrik Lundborg","Landskrona Idrottshall",1,6,"Willands IBK H2",1
"27","Erik Hindemith, Fredrik Lundborg","Munkahallen",1,6,"IBS Svedala H2",1
"28","Erik Hindemith, Fredrik Lundborg","Munkahallen",1,6,"Munka Ljungby IBK Akademi",1
"29","Erik Hindemith, Fredrik Lundborg","Söderslättshallen B",1,6,"Palmstaden IK H2",1
"30","Erik Hindemith, Fredrik Lundborg","Söderslättshallen B",1,6,"IBK Höllviken H2",1
"31","Hampe Gustavsson, Kevin Prahl","Bjärehovshallen",1,2,"Bjärreds IBK H2",1
"32","Hampe Gustavsson, Kevin Prahl","Bjärehovshallen",1,2,"Willands IBK H2",1
"33","Hampe Gustavsson, Kevin Prahl","Munkahallen",1,2,"FBC Helsingborg",1
"34","Hampe Gustavsson, Kevin Prahl","Munkahallen",1,2,"Munka Ljungby IBK Akademi",1
"35","Håkan Bondesson, Isac Bondesson","Helsingborg Arena C",2,9,"FBC Helsingborg",2
"36","Håkan Bondesson, Isac Bondesson","Helsingborg Arena C",2,9,"Lomma FBC H2",1
"37","Håkan Bondesson, Isac Bondesson","Helsingborg Arena C",2,9,"IBK Landskrona H2",1
"38","Håkan Bondesson, Isac Bondesson","Munkahallen",3,9,"Lomma FBC H2",1
"39","Håkan Bondesson, Isac Bondesson","Munkahallen",3,9,"Munka Ljungby IBK Akademi",3
"40","Håkan Bondesson, Isac Bondesson","Munkahallen",3,9,"IBK Höllviken H2",1
"41","Håkan Bondesson, Isac Bondesson","Munkahallen",3,9,"Lönsboda IBK",1
"42","Håkan Bondesson, Isac Bondesson","Slättängshallen",3,9,"Bjärreds IBK H2",1
"43","Håkan Bondesson, Isac Bondesson","Slättängshallen",3,9,"Lönsboda IBK",1
"44","Håkan Bondesson, Isac Bondesson","Slättängshallen",3,9,"IBK Höllviken H2",1
"45","Håkan Bondesson, Isac Bondesson","Slättängshallen",3,9,"Lomma FBC H2",3
"46","Håkan Bondesson, Isac Bondesson","Söderslättshallen B",1,9,"Bjärreds IBK H2",1
"47","Håkan Bondesson, Isac Bondesson","Söderslättshallen B",1,9,"Palmstaden IK H2",1
"48","Jonas Karlsson, Kevin Prahl","Borstahusens Idrottshall",1,4,"IBK Landskrona H2",1
"49","Jonas Karlsson, Kevin Prahl","Borstahusens Idrottshall",1,4,"IBS Svedala H2",1
"50","Jonas Karlsson, Kevin Prahl","Gyahallen",1,4,"IBK Höllviken H2",1
"51","Jonas Karlsson, Kevin Prahl","Gyahallen",1,4,"FBC Helsingborg",1
"52","Jonas Karlsson, Kevin Prahl","Lönsboda Sporthall",1,4,"Palmstaden IK H2",1
"53","Jonas Karlsson, Kevin Prahl","Lönsboda Sporthall",1,4,"Lönsboda IBK",1
"54","Jonas Karlsson, Kevin Prahl","Åstorps Sporthall",1,4,"Willands IBK H2",1
"55","Jonas Karlsson, Kevin Prahl","Åstorps Sporthall",1,4,"Åstorp/Kvidinge IBS H2",1
"56","Kevin Cardell, Rickard Nilsson","Söderslättshallen B",1,1,"Palmstaden IK H2",1
"57","Kevin Cardell, Rickard Nilsson","Söderslättshallen B",1,1,"Willands IBK H2",1
"58","Leon Fuchs, Petter Niklasson","Aggarpshallen",4,18,"FBC Helsingborg",1
"59","Leon Fuchs, Petter Niklasson","Aggarpshallen",4,18,"IBS Svedala H2",4
"60","Leon Fuchs, Petter Niklasson","Aggarpshallen",4,18,"Lomma FBC H2",1
"61","Leon Fuchs, Petter Niklasson","Aggarpshallen",4,18,"Willands IBK H2",1
"62","Leon Fuchs, Petter Niklasson","Aggarpshallen",4,18,"Lönsboda IBK",1
"63","Leon Fuchs, Petter Niklasson","Bjärehovshallen",4,18,"IBK Landskrona H2",1
"64","Leon Fuchs, Petter Niklasson","Bjärehovshallen",4,18,"FBC Engelholm H2",1
"65","Leon Fuchs, Petter Niklasson","Bjärehovshallen",4,18,"Bjärreds IBK H2",4
"66","Leon Fuchs, Petter Niklasson","Bjärehovshallen",4,18,"Munka Ljungby IBK Akademi",1
"67","Leon Fuchs, Petter Niklasson","Bjärehovshallen",4,18,"IBS Svedala H2",1
"68","Leon Fuchs, Petter Niklasson","Halörhallen",2,18,"IBK Höllviken H2",2
"69","Leon Fuchs, Petter Niklasson","Halörhallen",2,18,"Bjärreds IBK H2",1
"70","Leon Fuchs, Petter Niklasson","Halörhallen",2,18,"Åstorp/Kvidinge IBS H2",1
"71","Leon Fuchs, Petter Niklasson","Kungsgårdshallen",2,18,"FBC Engelholm H2",2
"72","Leon Fuchs, Petter Niklasson","Kungsgårdshallen",2,18,"Palmstaden IK H2",1
"73","Leon Fuchs, Petter Niklasson","Kungsgårdshallen",2,18,"Lomma FBC H2",1
"74","Leon Fuchs, Petter Niklasson","Lönsboda Sporthall",1,18,"Lönsboda IBK",1
"75","Leon Fuchs, Petter Niklasson","Lönsboda Sporthall",1,18,"IBK Höllviken H2",1
"76","Leon Fuchs, Petter Niklasson","Slättängshallen",2,18,"IBS Svedala H2",1
"77","Leon Fuchs, Petter Niklasson","Slättängshallen",2,18,"Lomma FBC H2",2
"78","Leon Fuchs, Petter Niklasson","Slättängshallen",2,18,"Munka Ljungby IBK Akademi",1
"79","Leon Fuchs, Petter Niklasson","Söderslättshallen B",3,18,"Palmstaden IK H2",3
"80","Leon Fuchs, Petter Niklasson","Söderslättshallen B",3,18,"Lomma FBC H2",1
"81","Leon Fuchs, Petter Niklasson","Söderslättshallen B",3,18,"FBC Helsingborg",1
"82","Leon Fuchs, Petter Niklasson","Söderslättshallen B",3,18,"Munka Ljungby IBK Akademi",1
"83","Leon Fuchs, Rickard Nilsson","Halörhallen",1,1,"IBK Höllviken H2",1
"84","Leon Fuchs, Rickard Nilsson","Halörhallen",1,1,"FBC Engelholm H2",1
"85","Mikael Björkqvist, Johan Salomonsson","Helsingborg Arena B",1,5,"Lönsboda IBK",1
"86","Mikael Björkqvist, Johan Salomonsson","Helsingborg Arena B",1,5,"FBC Helsingborg",1
"87","Mikael Björkqvist, Johan Salomonsson","Kristianstad Arena",1,5,"Willands IBK H2",1
"88","Mikael Björkqvist, Johan Salomonsson","Kristianstad Arena",1,5,"Lomma FBC H2",1
"89","Mikael Björkqvist, Johan Salomonsson","Kungsgårdshallen",1,5,"FBC Engelholm H2",1
"90","Mikael Björkqvist, Johan Salomonsson","Kungsgårdshallen",1,5,"FBC Helsingborg",1
"91","Mikael Björkqvist, Johan Salomonsson","Landskrona Idrottshall",1,5,"IBK Landskrona H2",1
"92","Mikael Björkqvist, Johan Salomonsson","Landskrona Idrottshall",1,5,"Åstorp/Kvidinge IBS H2",1
"93","Mikael Björkqvist, Johan Salomonsson","Söderslättshallen B",1,5,"Palmstaden IK H2",1
"94","Mikael Björkqvist, Johan Salomonsson","Söderslättshallen B",1,5,"FBC Engelholm H2",1
"95","Mikael Björkqvist, Roger Jönsson","Slättängshallen",1,1,"Lomma FBC H2",1
"96","Mikael Björkqvist, Roger Jönsson","Slättängshallen",1,1,"IBK Landskrona H2",1
"97","Mårten Högblom, Jonas Pettersson","Bjärehovshallen",2,7,"Bjärreds IBK H2",2
"98","Mårten Högblom, Jonas Pettersson","Bjärehovshallen",2,7,"FBC Helsingborg",1
"99","Mårten Högblom, Jonas Pettersson","Bjärehovshallen",2,7,"Lönsboda IBK",1
"100","Mårten Högblom, Jonas Pettersson","Helsingborg Arena B",1,7,"FBC Helsingborg",1
"101","Mårten Högblom, Jonas Pettersson","Helsingborg Arena B",1,7,"Palmstaden IK H2",1
"102","Mårten Högblom, Jonas Pettersson","Helsingborg Arena C",2,7,"FBC Helsingborg",2
"103","Mårten Högblom, Jonas Pettersson","Helsingborg Arena C",2,7,"Willands IBK H2",1
"104","Mårten Högblom, Jonas Pettersson","Helsingborg Arena C",2,7,"IBS Svedala H2",1
"105","Mårten Högblom, Jonas Pettersson","Kungsgårdshallen",1,7,"FBC Engelholm H2",1
"106","Mårten Högblom, Jonas Pettersson","Kungsgårdshallen",1,7,"IBK Landskrona H2",1
"107","Mårten Högblom, Jonas Pettersson","Landskrona Idrottshall",1,7,"IBK Landskrona H2",1
"108","Mårten Högblom, Jonas Pettersson","Landskrona Idrottshall",1,7,"Munka Ljungby IBK Akademi",1
"109","Ola Nilsson, Jens Staaf","Kungsgårdshallen",1,2,"Bjärreds IBK H2",1
"110","Ola Nilsson, Jens Staaf","Kungsgårdshallen",1,2,"FBC Engelholm H2",1
"111","Ola Nilsson, Jens Staaf","Åstorps Sporthall",1,2,"Åstorp/Kvidinge IBS H2",1
"112","Ola Nilsson, Jens Staaf","Åstorps Sporthall",1,2,"FBC Engelholm H2",1
"113","Ola Nilsson, Sigge Svensson Martell","Kungsgårdshallen",1,1,"FBC Engelholm H2",1
"114","Ola Nilsson, Sigge Svensson Martell","Kungsgårdshallen",1,1,"IBS Svedala H2",1
"115","Petter Niklasson, Ola Nilsson","Åstorps Sporthall",1,1,"Åstorp/Kvidinge IBS H2",1
"116","Petter Niklasson, Ola Nilsson","Åstorps Sporthall",1,1,"Palmstaden IK H2",1
"117","Pierre Bergsten, Erik Götborg","Idrottens Hus A",1,4,"Munka Ljungby IBK Akademi",1
"118","Pierre Bergsten, Erik Götborg","Idrottens Hus A",1,4,"FBC Helsingborg",1
"119","Pierre Bergsten, Erik Götborg","Kristianstad Arena",1,4,"Bjärreds IBK H2",1
"120","Pierre Bergsten, Erik Götborg","Kristianstad Arena",1,4,"Willands IBK H2",1
"121","Pierre Bergsten, Erik Götborg","Landskrona Idrottshall",2,4,"IBK Landskrona H2",2
"122","Pierre Bergsten, Erik Götborg","Landskrona Idrottshall",2,4,"IBK Höllviken H2",1
"123","Pierre Bergsten, Erik Götborg","Landskrona Idrottshall",2,4,"Lönsboda IBK",1
"124","Roger Jönsson, Klas Sjölin","Åstorps Sporthall",1,1,"Munka Ljungby IBK Akademi",1
"125","Roger Jönsson, Klas Sjölin","Åstorps Sporthall",1,1,"Åstorp/Kvidinge IBS H2",1
"126","Roger Jönsson, Tojje Sildén-Glemark","Halörhallen",1,13,"IBK Höllviken H2",1
"127","Roger Jönsson, Tojje Sildén-Glemark","Halörhallen",1,13,"Palmstaden IK H2",1
"128","Roger Jönsson, Tojje Sildén-Glemark","Kristianstad Arena",4,13,"Munka Ljungby IBK Akademi",1
"129","Roger Jönsson, Tojje Sildén-Glemark","Kristianstad Arena",4,13,"Willands IBK H2",4
"130","Roger Jönsson, Tojje Sildén-Glemark","Kristianstad Arena",4,13,"FBC Engelholm H2",1
"131","Roger Jönsson, Tojje Sildén-Glemark","Kristianstad Arena",4,13,"IBK Höllviken H2",1
"132","Roger Jönsson, Tojje Sildén-Glemark","Kristianstad Arena",4,13,"IBS Svedala H2",1
"133","Roger Jönsson, Tojje Sildén-Glemark","Lönsboda Sporthall",4,13,"Lönsboda IBK",4
"134","Roger Jönsson, Tojje Sildén-Glemark","Lönsboda Sporthall",4,13,"IBK Landskrona H2",1
"135","Roger Jönsson, Tojje Sildén-Glemark","Lönsboda Sporthall",4,13,"Åstorp/Kvidinge IBS H2",1
"136","Roger Jönsson, Tojje Sildén-Glemark","Lönsboda Sporthall",4,13,"Willands IBK H2",1
"137","Roger Jönsson, Tojje Sildén-Glemark","Lönsboda Sporthall",4,13,"FBC Engelholm H2",1
"138","Roger Jönsson, Tojje Sildén-Glemark","Munkahallen",2,13,"Munka Ljungby IBK Akademi",2
"139","Roger Jönsson, Tojje Sildén-Glemark","Munkahallen",2,13,"IBK Landskrona H2",1
"140","Roger Jönsson, Tojje Sildén-Glemark","Munkahallen",2,13,"FBC Engelholm H2",1
"141","Roger Jönsson, Tojje Sildén-Glemark","Åstorps Sporthall",2,13,"FBC Helsingborg",1
"142","Roger Jönsson, Tojje Sildén-Glemark","Åstorps Sporthall",2,13,"IBK Landskrona H2",1
"143","Roger Jönsson, Tojje Sildén-Glemark","Åstorps Sporthall",2,13,"Åstorp/Kvidinge IBS H2",2
