"","Referee","TotalCount"
"1","Björn Grahn, Jürgen Neuenhofen",1
"2","David Dornlöv, Erik Hindemith",3
"3","David Dornlöv, Fredrik Lundborg",1
"4","David Dornlöv, Hussein Ibrahim",1
"5","Erik Hindemith, Fredrik Lundborg",4
"6","Hampe Gustavsson, Kevin Prahl",2
"7","Håkan Bondesson, Isac Bondesson",8
"8","Jonas Karlsson, Kevin Prahl",3
"9","Kevin Cardell, Rickard Nilsson",1
"10","Leon Fuchs, Petter Niklasson",14
"11","Leon Fuchs, Rickard Nilsson",1
"12","Mikael Björkqvist, Johan Salomonsson",3
"13","Mikael Björkqvist, Roger Jönsson",1
"14","Mårten Högblom, Jonas Pettersson",6
"15","Ola Nilsson, Jens Staaf",2
"16","Ola Nilsson, Sigge Svensson Martell",1
"17","Petter Niklasson, Ola Nilsson",1
"18","Pierre Bergsten, Erik Götborg",2
"19","Roger Jönsson, Klas Sjölin",1
"20","Roger Jönsson, Tojje Sildén-Glemark",10
