"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Stenberg, Jonas Widenstedt","Torsås Sporthall",1,1,"Sävsjö IBK",1
"2","Anders Stenberg, Jonas Widenstedt","Torsås Sporthall",1,1,"Slätafly/SK IBK",1
"3","Casper Dahlberg, Niklas Dahlberg","ISCAR Arena Ney.se, Vetlanda",2,6,"Ingelstad IBK",1
"4","Casper Dahlberg, Niklas Dahlberg","ISCAR Arena Ney.se, Vetlanda",2,6,"Vetlanda IBF",2
"5","Casper Dahlberg, Niklas Dahlberg","ISCAR Arena Ney.se, Vetlanda",2,6,"Stenåsa-Sandby-Gårdby IF",1
"6","Casper Dahlberg, Niklas Dahlberg","Kalmar Sporthall A-hall",1,6,"Slätafly/SK IBK",1
"7","Casper Dahlberg, Niklas Dahlberg","Kalmar Sporthall A-hall",1,6,"CL98IC",1
"8","Casper Dahlberg, Niklas Dahlberg","Norrahammars Sporthall",2,6,"FBC Karlskrona",1
"9","Casper Dahlberg, Niklas Dahlberg","Norrahammars Sporthall",2,6,"Månsarps IBK",2
"10","Casper Dahlberg, Niklas Dahlberg","Norrahammars Sporthall",2,6,"Vetlanda IBF",1
"11","Casper Dahlberg, Niklas Dahlberg","Torsås Sporthall",1,6,"Vetlanda IBF",1
"12","Casper Dahlberg, Niklas Dahlberg","Torsås Sporthall",1,6,"Slätafly/SK IBK",1
"13","Dawan Mofak, Jesper Rygert","Ingelstads Sporthall",1,12,"CL98IC",1
"14","Dawan Mofak, Jesper Rygert","Ingelstads Sporthall",1,12,"Ingelstad IBK",1
"15","Dawan Mofak, Jesper Rygert","ISCAR Arena Ney.se, Vetlanda",2,12,"CL98IC",1
"16","Dawan Mofak, Jesper Rygert","ISCAR Arena Ney.se, Vetlanda",2,12,"Sävsjö IBK",1
"17","Dawan Mofak, Jesper Rygert","ISCAR Arena Ney.se, Vetlanda",2,12,"Vetlanda IBF",2
"18","Dawan Mofak, Jesper Rygert","Kalmar Sporthall A-hall",1,12,"Månsarps IBK",1
"19","Dawan Mofak, Jesper Rygert","Kalmar Sporthall A-hall",1,12,"CL98IC",1
"20","Dawan Mofak, Jesper Rygert","Norrahammars Sporthall",1,12,"Månsarps IBK",1
"21","Dawan Mofak, Jesper Rygert","Norrahammars Sporthall",1,12,"Gnosjö IBK",1
"22","Dawan Mofak, Jesper Rygert","Nässjö Sporthall",2,12,"FBC Karlskrona",1
"23","Dawan Mofak, Jesper Rygert","Nässjö Sporthall",2,12,"Ingelstad IBK",1
"24","Dawan Mofak, Jesper Rygert","Nässjö Sporthall",2,12,"Nässjö IBF",2
"25","Dawan Mofak, Jesper Rygert","Sävsjö Sporthall",3,12,"Nybro IBK",1
"26","Dawan Mofak, Jesper Rygert","Sävsjö Sporthall",3,12,"Nässjö IBF",1
"27","Dawan Mofak, Jesper Rygert","Sävsjö Sporthall",3,12,"Stenåsa-Sandby-Gårdby IF",1
"28","Dawan Mofak, Jesper Rygert","Sävsjö Sporthall",3,12,"Sävsjö IBK",3
"29","Dawan Mofak, Jesper Rygert","Töllstorpshallen",1,12,"Slätafly/SK IBK",1
"30","Dawan Mofak, Jesper Rygert","Töllstorpshallen",1,12,"Gnosjö IBK",1
"31","Dawan Mofak, Jesper Rygert","Vimmerby Sporthall",1,12,"Vimmerby IBK",1
"32","Dawan Mofak, Jesper Rygert","Vimmerby Sporthall",1,12,"Ingelstad IBK",1
"33","Edo Sabanovic, Anders Stenberg","Ingelstads Sporthall",1,1,"Vetlanda IBF",1
"34","Edo Sabanovic, Anders Stenberg","Ingelstads Sporthall",1,1,"Ingelstad IBK",1
"35","Edo Sabanovic, Jonas Widenstedt","Vimmerby Sporthall",1,1,"Vimmerby IBK",1
"36","Edo Sabanovic, Jonas Widenstedt","Vimmerby Sporthall",1,1,"Sävsjö IBK",1
"37","Edo Sabanovic, Rasmus Wirstam","Kalmar Sporthall A-hall",1,1,"Sävsjö IBK",1
"38","Edo Sabanovic, Rasmus Wirstam","Kalmar Sporthall A-hall",1,1,"CL98IC",1
"39","Fredrik Billemark, Dawan Mofak","Torslundahallen",1,1,"Nybro IBK",1
"40","Fredrik Billemark, Dawan Mofak","Torslundahallen",1,1,"Stenåsa-Sandby-Gårdby IF",1
"41","Gerhardt Borkowski, Viktor Bringstam","Ingelstads Sporthall",1,3,"Nybro IBK",1
"42","Gerhardt Borkowski, Viktor Bringstam","Ingelstads Sporthall",1,3,"Ingelstad IBK",1
"43","Gerhardt Borkowski, Viktor Bringstam","Kalmar Sporthall A-hall",1,3,"Nässjö IBF",1
"44","Gerhardt Borkowski, Viktor Bringstam","Kalmar Sporthall A-hall",1,3,"CL98IC",1
"45","Gerhardt Borkowski, Viktor Bringstam","Norrahammars Sporthall",1,3,"Månsarps IBK",1
"46","Gerhardt Borkowski, Viktor Bringstam","Norrahammars Sporthall",1,3,"Slätafly/SK IBK",1
"47","Henrik Carlsson, Edo Sabanovic","Vedeby Sporthall A",1,1,"CL98IC",1
"48","Henrik Carlsson, Edo Sabanovic","Vedeby Sporthall A",1,1,"FBC Karlskrona",1
"49","Henrik Carlsson, Joacim Olofsson","Färjehallen",1,13,"Stenåsa-Sandby-Gårdby IF",1
"50","Henrik Carlsson, Joacim Olofsson","Färjehallen",1,13,"Slätafly/SK IBK",1
"51","Henrik Carlsson, Joacim Olofsson","ISCAR Arena Ney.se, Vetlanda",1,13,"Vetlanda IBF",1
"52","Henrik Carlsson, Joacim Olofsson","ISCAR Arena Ney.se, Vetlanda",1,13,"Vimmerby IBK",1
"53","Henrik Carlsson, Joacim Olofsson","Nybro Sporthall",1,13,"Nybro IBK",1
"54","Henrik Carlsson, Joacim Olofsson","Nybro Sporthall",1,13,"CL98IC",1
"55","Henrik Carlsson, Joacim Olofsson","Nässjö Sporthall",1,13,"Stenåsa-Sandby-Gårdby IF",1
"56","Henrik Carlsson, Joacim Olofsson","Nässjö Sporthall",1,13,"Nässjö IBF",1
"57","Henrik Carlsson, Joacim Olofsson","OG-Hallen",1,13,"Nybro IBK",1
"58","Henrik Carlsson, Joacim Olofsson","OG-Hallen",1,13,"Gnosjö IBK",1
"59","Henrik Carlsson, Joacim Olofsson","Sävsjö Sporthall",3,13,"Gnosjö IBK",1
"60","Henrik Carlsson, Joacim Olofsson","Sävsjö Sporthall",3,13,"Sävsjö IBK",3
"61","Henrik Carlsson, Joacim Olofsson","Sävsjö Sporthall",3,13,"Vetlanda IBF",1
"62","Henrik Carlsson, Joacim Olofsson","Sävsjö Sporthall",3,13,"Vimmerby IBK",1
