"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Aarre Hietanen, Dennis Wagermark","Ramdalshallen",1,1,"Ekbackskyrkans IBK",1
"2","Aarre Hietanen, Dennis Wagermark","Ramdalshallen",1,1,"Onyx IBS ",1
"3","Aarre Hietanen, Henrik Ibjer","Duveholmshallen A",1,1,"Katrineholms IBF",1
"4","Aarre Hietanen, Henrik Ibjer","Duveholmshallen A",1,1,"IFK Gnesta",1
"5","Aarre Hietanen, Ken Johansson","Björkestahallen",1,1,"Trosa Edanö IBK",1
"6","Aarre Hietanen, Ken Johansson","Björkestahallen",1,1,"Nykvarns IF",1
"7","Aarre Hietanen, Magnus Nordahl","Hammarvallen",1,2,"Flens IBF",1
"8","Aarre Hietanen, Magnus Nordahl","Hammarvallen",1,2,"Ekbackskyrkans IBK",1
"9","Aarre Hietanen, Magnus Nordahl","Skjulstahallen A",1,2,"IK Standard ",1
"10","Aarre Hietanen, Magnus Nordahl","Skjulstahallen A",1,2,"Onyx IBS",1
"11","Aarre Hietanen, Mikael Samuelsson","Vingåkers Sporthall",1,1,"FBC Nyköping",1
"12","Aarre Hietanen, Mikael Samuelsson","Vingåkers Sporthall",1,1,"Ekbackskyrkans IBK",1
"13","Arne Brattehag, Aarre Hietanen","Vingåkers Sporthall",1,1,"Flens IBF",1
"14","Arne Brattehag, Aarre Hietanen","Vingåkers Sporthall",1,1,"Ekbackskyrkans IBK",1
"15","Arne Brattehag, Daniel Pettersson","Nyköpings Sporthall",1,1,"FBC Nyköping",1
"16","Arne Brattehag, Daniel Pettersson","Nyköpings Sporthall",1,1,"Trosa Edanö IBK",1
"17","Arne Brattehag, Mathias Lindvall","Västergård Arena A",1,1,"Telge SIBK",1
"18","Arne Brattehag, Mathias Lindvall","Västergård Arena A",1,1,"Trosa Edanö IBK",1
"19","Arne Brattehag, Mattias Lönnborg","Ramdalshallen",1,1,"Onyx IBS ",1
"20","Arne Brattehag, Mattias Lönnborg","Ramdalshallen",1,1,"IFK Gnesta",1
"21","Arne Brattehag, Sigge Maurer","Frejahallen",1,3,"IFK Gnesta ",1
"22","Arne Brattehag, Sigge Maurer","Frejahallen",1,3,"IK Standard",1
"23","Arne Brattehag, Sigge Maurer","Hammarvallen",1,3,"Onyx IBS",1
"24","Arne Brattehag, Sigge Maurer","Hammarvallen",1,3,"Flens IBF",1
"25","Arne Brattehag, Sigge Maurer","Rosvalla A",1,3,"FBC Nyköping",1
"26","Arne Brattehag, Sigge Maurer","Rosvalla A",1,3,"Flens IBF",1
"27","Bemir Brkic, Daniel Pettersson","Björkestahallen",1,4,"IK Standard",1
"28","Bemir Brkic, Daniel Pettersson","Björkestahallen",1,4,"Nykvarns IF",1
"29","Bemir Brkic, Daniel Pettersson","Duveholmshallen A",2,4,"Katrineholms IBF",2
"30","Bemir Brkic, Daniel Pettersson","Duveholmshallen A",2,4,"Ekbackskyrkans IBK",1
"31","Bemir Brkic, Daniel Pettersson","Duveholmshallen A",2,4,"Trosa Edanö IBK",1
"32","Bemir Brkic, Daniel Pettersson","Frejahallen",1,4,"Telge SIBK",1
"33","Bemir Brkic, Daniel Pettersson","Frejahallen",1,4,"IFK Gnesta ",1
"34","Bemir Brkic, Stefan Öberg","Nyköpings Sporthall",1,1,"FBC Nyköping",1
"35","Bemir Brkic, Stefan Öberg","Nyköpings Sporthall",1,1,"IK Standard",1
"36","Christer Avasjö, Arne Brattehag","Nyköpings Sporthall",1,1,"FBC Nyköping",1
"37","Christer Avasjö, Arne Brattehag","Nyköpings Sporthall",1,1,"Telge SIBK",1
"38","Christer Avasjö, Jonas Holm","Hammarvallen",1,2,"Flens IBF",1
"39","Christer Avasjö, Jonas Holm","Hammarvallen",1,2,"Trosa Edanö IBK",1
"40","Christer Avasjö, Jonas Holm","Rosvalla A",1,2,"FBC Nyköping",1
"41","Christer Avasjö, Jonas Holm","Rosvalla A",1,2,"Onyx IBS ",1
"42","Christian Jarl, Daniel Lindbom-Rydell","Rosvalla A",1,1,"IK Standard",1
"43","Christian Jarl, Daniel Lindbom-Rydell","Rosvalla A",1,1,"Onyx IBS ",1
