"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Aldin Imamovic, Johan Jäderlund","Idrottshuset Tumba",1,1,"Råsunda IS",1
"2","Aldin Imamovic, Johan Jäderlund","Idrottshuset Tumba",1,1,"Tumba GOIF",1
"3","Andreas Bengtsson, Arash Sohrevardi","Västertorpshallen",1,1,"Balrog B/S IK",1
"4","Andreas Bengtsson, Arash Sohrevardi","Västertorpshallen",1,1,"Hammarbyhöjden IBK",1
"5","Andreas Bengtsson, Christoffer Markovski","Fleminghallen",1,1,"Huddinge IBS ",1
"6","Andreas Bengtsson, Christoffer Markovski","Fleminghallen",1,1,"Runby IBK",1
"7","Andreas Bengtsson, Elis Erbing","Fleminghallen",1,4,"IBF Offensiv Lidingö (A)",1
"8","Andreas Bengtsson, Elis Erbing","Fleminghallen",1,4,"Huddinge IBS ",1
"9","Andreas Bengtsson, Elis Erbing","Råstaparkhallen",2,4,"Värmdö IF (B)",1
"10","Andreas Bengtsson, Elis Erbing","Råstaparkhallen",2,4,"Råsunda IS",2
"11","Andreas Bengtsson, Elis Erbing","Råstaparkhallen",2,4,"Grimsta AIK",1
"12","Andreas Bengtsson, Elis Erbing","Smedsgärdshallen",1,4,"Nacka Wallenstam IBK",1
"13","Andreas Bengtsson, Elis Erbing","Smedsgärdshallen",1,4,"Grimsta AIK",1
"14","Andreas Bengtsson, Fabian Fahimi","Fleminghallen",1,1,"Ingarö IF (A)",1
"15","Andreas Bengtsson, Fabian Fahimi","Fleminghallen",1,1,"Huddinge IBS ",1
"16","Andreas Bengtsson, Johan Jäderlund","Bodals Bollhall",1,1,"Tumba GOIF",1
"17","Andreas Bengtsson, Johan Jäderlund","Bodals Bollhall",1,1,"IBF Offensiv Lidingö (A)",1
"18","Andreas Bengtsson, Johannes Ekenberg","Botkyrkahallen",1,3,"Balrog B/S IK",1
"19","Andreas Bengtsson, Johannes Ekenberg","Botkyrkahallen",1,3,"Nacka Wallenstam IBK",1
"20","Andreas Bengtsson, Johannes Ekenberg","Väsby skolan",1,3,"Huddinge IBS",1
"21","Andreas Bengtsson, Johannes Ekenberg","Väsby skolan",1,3,"Runby IBK",1
"22","Andreas Bengtsson, Johannes Ekenberg","Västertorpshallen",1,3,"Hammarbyhöjden IBK",1
"23","Andreas Bengtsson, Johannes Ekenberg","Västertorpshallen",1,3,"Grimsta AIK",1
"24","Andreas Bengtsson, Jonas Edström","Mälaröhallen",1,1,"Ekerö IK ",1
"25","Andreas Bengtsson, Jonas Edström","Mälaröhallen",1,1,"Nacka Wallenstam IBK",1
"26","Björn Landin, Roland Nester","Bodals Bollhall",1,3,"Åkersberga IBF (A)",1
"27","Björn Landin, Roland Nester","Bodals Bollhall",1,3,"IBF Offensiv Lidingö (A)",1
"28","Björn Landin, Roland Nester","Mälaröhallen",1,3,"Ekerö IK ",1
"29","Björn Landin, Roland Nester","Mälaröhallen",1,3,"Huddinge IBS",1
"30","Björn Landin, Roland Nester","Smedsgärdshallen",1,3,"Grimsta AIK",1
"31","Björn Landin, Roland Nester","Smedsgärdshallen",1,3,"Ekerö IK",1
"32","Christian Högberg, Aldin Imamovic","Smedsgärdshallen",1,1,"Grimsta AIK",1
"33","Christian Högberg, Aldin Imamovic","Smedsgärdshallen",1,1,"Råsunda IS",1
"34","Christian Högberg, Anders Westerberg","Ormingehallen",1,1,"Nacka Wallenstam IBK",1
"35","Christian Högberg, Anders Westerberg","Ormingehallen",1,1,"Ingarö IF (A)",1
"36","Christian Högberg, Daniel Mårtensson","Bodals Bollhall",2,2,"Grimsta AIK",1
"37","Christian Högberg, Daniel Mårtensson","Bodals Bollhall",2,2,"IBF Offensiv Lidingö (A)",2
"38","Christian Högberg, Daniel Mårtensson","Bodals Bollhall",2,2,"Runby IBK",1
"39","Christian Högberg, Fredrik Landin","Väsby skolan",1,1,"Värmdö IF (B)",1
"40","Christian Högberg, Fredrik Landin","Väsby skolan",1,1,"Runby IBK",1
"41","Christian Högberg, Kari Karke","Botkyrkahallen",1,2,"Ingarö IF (A)",1
"42","Christian Högberg, Kari Karke","Botkyrkahallen",1,2,"Balrog B/S IK",1
"43","Christian Högberg, Kari Karke","Smedsgärdshallen",1,2,"Runby IBK",1
"44","Christian Högberg, Kari Karke","Smedsgärdshallen",1,2,"Nacka Wallenstam IBK",1
"45","Christian Högberg, Martin Johansson","Ingarö Sporthall",2,14,"Värmdö IF (B)",1
"46","Christian Högberg, Martin Johansson","Ingarö Sporthall",2,14,"Ingarö IF (A)",2
"47","Christian Högberg, Martin Johansson","Ingarö Sporthall",2,14,"Grimsta AIK",1
"48","Christian Högberg, Martin Johansson","Mälaröhallen",3,14,"Ingarö IF (A)",1
"49","Christian Högberg, Martin Johansson","Mälaröhallen",3,14,"Ekerö IK ",3
"50","Christian Högberg, Martin Johansson","Mälaröhallen",3,14,"Balrog B/S IK",1
"51","Christian Högberg, Martin Johansson","Mälaröhallen",3,14,"Runby IBK",1
"52","Christian Högberg, Martin Johansson","Ormingehallen",3,14,"Balrog B/S IK",1
"53","Christian Högberg, Martin Johansson","Ormingehallen",3,14,"Åkersberga IBF (A)",1
"54","Christian Högberg, Martin Johansson","Ormingehallen",3,14,"Värmdö IF (B)",1
"55","Christian Högberg, Martin Johansson","Ormingehallen",3,14,"Nacka Wallenstam IBK",3
"56","Christian Högberg, Martin Johansson","Råstaparkhallen",2,14,"Råsunda IS",2
"57","Christian Högberg, Martin Johansson","Råstaparkhallen",2,14,"Hammarbyhöjden IBK",1
"58","Christian Högberg, Martin Johansson","Råstaparkhallen",2,14,"Nacka Wallenstam IBK",1
