"","Referee","TotalCount"
"1","Adam Haglund, Tobias Jäderqvist",1
"2","Albin Jakobsson, Lars Larsson",4
"3","Christoffer Frykestam, Jonas Snäll",1
"4","Erik Bergström, Christoffer Frykestam",8
"5","Henrik Jansson, Anders Leander",1
"6","Henrik Jansson, Nicklas Johansson",6
"7","Henrik Jansson, Pierre Malmgren",1
"8","Henrik Jansson, Timmy Samuelsson",1
"9","Johan Friman, Claes Knutsson",1
"10","Johan Friman, Jonas Snäll",9
"11","Lars Larsson, Pierre Malmgren",1
"12","Nicklas Johansson, Oskar Sundin",1
"13","Nicklas Johansson, Pierre Malmgren",1
"14","Philip Aronsson-Elffors, Claes Knutsson",4
"15","Philip Aronsson-Elffors, Jonas Snäll",1
"16","Philip Aronsson-Elffors, Nicklas Johansson",1
"17","Philip Aronsson-Elffors, Timmy Samuelsson",1
"18","Roger Nilsson, Jonas Snäll",1
"19","Tobias Jäderqvist, Timmy Samuelsson",1
