"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Daniel Dimitrovski, Nebojsa Stefanovski","Alléhallen, Vara",1,17,"Skövde IBF",1
"2","Daniel Dimitrovski, Nebojsa Stefanovski","Alléhallen, Vara",1,17,"Vara IBK ",1
"3","Daniel Dimitrovski, Nebojsa Stefanovski","Almåshallen - Borås",1,17,"Stöpen IBK",1
"4","Daniel Dimitrovski, Nebojsa Stefanovski","Almåshallen - Borås",1,17,"Sandareds IBS",1
"5","Daniel Dimitrovski, Nebojsa Stefanovski","Arena A, Skövde",1,17,"Skövde IBF ",1
"6","Daniel Dimitrovski, Nebojsa Stefanovski","Arena A, Skövde",1,17,"Stöpen IBK",1
"7","Daniel Dimitrovski, Nebojsa Stefanovski","Arena C, Skövde",1,17,"Wårgårda IBK",1
"8","Daniel Dimitrovski, Nebojsa Stefanovski","Arena C, Skövde",1,17,"Skövde IBF ",1
"9","Daniel Dimitrovski, Nebojsa Stefanovski","Daltorphallen, Borås",1,17,"Skövde IBF",1
"10","Daniel Dimitrovski, Nebojsa Stefanovski","Daltorphallen, Borås",1,17,"Borås IBF",1
"11","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshallen, Töreboda",2,17,"IBK Vänersborg",1
"12","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshallen, Töreboda",2,17,"BK Halna",2
"13","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshallen, Töreboda",2,17,"Borås IBF",1
"14","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshallen, Viskafors",1,17,"BK Halna",1
"15","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshallen, Viskafors",1,17,"Rydboholms SK",1
"16","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshuset, Vänersborg",2,17,"Wårgårda IBK",1
"17","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshuset, Vänersborg",2,17,"IBK Vänersborg",2
"18","Daniel Dimitrovski, Nebojsa Stefanovski","Idrottshuset, Vänersborg",2,17,"Fröjereds IF",1
"19","Daniel Dimitrovski, Nebojsa Stefanovski","Kungabergshallen, Fritsla",2,17,"IBK Tygriket 99",2
