"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Alexander Bergman, Arvid Larsson","Sundsvalls Sporthall-A",1,1,"Sundsvall FBC Ungdom",1
"2","Alexander Bergman, Arvid Larsson","Sundsvalls Sporthall-A",1,1,"FBC Lo",1
"3","Andreas Lindberg, Robin Palander","Skönsbergshallen",2,3,"Sundsvall FBC Utveckling",2
"4","Andreas Lindberg, Robin Palander","Skönsbergshallen",2,3,"Sundsvall FBC Ungdom",1
"5","Andreas Lindberg, Robin Palander","Skönsbergshallen",2,3,"Håsta IBK",1
"6","Andreas Lindberg, Robin Palander","Sundsvalls Sporthall-A",1,3,"Sundsvall FBC Ungdom",1
"7","Andreas Lindberg, Robin Palander","Sundsvalls Sporthall-A",1,3,"Alfta IBK",1
"8","Andreas Nyman, Fredrik Söderholm","Bollstahallen",1,1,"Fränsta IK",1
"9","Andreas Nyman, Fredrik Söderholm","Bollstahallen",1,1,"FBC Lo",1
"10","Göran Norberg, Tony Strindlund","Bollstahallen",1,2,"FBC Lo",1
"11","Göran Norberg, Tony Strindlund","Bollstahallen",1,2,"IBK Härnösand",1
"12","Göran Norberg, Tony Strindlund","Öbacka SC",1,2,"IBK Härnösand",1
"13","Göran Norberg, Tony Strindlund","Öbacka SC",1,2,"Klockarbergets BK",1
"14","Jesper Doherty, Patrik Sjöberg","Njurundahallen",1,1,"FBC Lo",1
"15","Jesper Doherty, Patrik Sjöberg","Njurundahallen",1,1,"Klockarbergets BK",1
"16","Joakim Nydahl, Fredrik Söderholm","Öbacka SC",1,1,"IBK Härnösand",1
"17","Joakim Nydahl, Fredrik Söderholm","Öbacka SC",1,1,"Sundsvall City IBC U",1
"18","Johnnie Lundmark, Fredrik Söderholm","Bollstahallen",1,2,"Jemtland Innebandy Utv",1
"19","Johnnie Lundmark, Fredrik Söderholm","Bollstahallen",1,2,"FBC Lo",1
"20","Johnnie Lundmark, Fredrik Söderholm","Öbacka SC",1,2,"Alfta IBK",1
"21","Johnnie Lundmark, Fredrik Söderholm","Öbacka SC",1,2,"IBK Härnösand",1
"22","Johnny Sundberg, Leif Sundberg","Alfta Sporthall",6,23,"FBC Lo",1
"23","Johnny Sundberg, Leif Sundberg","Alfta Sporthall",6,23,"Fränsta IK",1
"24","Johnny Sundberg, Leif Sundberg","Alfta Sporthall",6,23,"IBK Härnösand",1
"25","Johnny Sundberg, Leif Sundberg","Alfta Sporthall",6,23,"Sundsvall FBC Utveckling",1
"26","Johnny Sundberg, Leif Sundberg","Alfta Sporthall",6,23,"Hudik/Björkberg U",1
"27","Johnny Sundberg, Leif Sundberg","Alfta Sporthall",6,23,"Alfta IBK",6
"28","Johnny Sundberg, Leif Sundberg","Alfta Sporthall",6,23,"Sundsvall City IBC U",1
"29","Johnny Sundberg, Leif Sundberg","Håstaholmen",10,23,"Sundsvall FBC Ungdom",1
"30","Johnny Sundberg, Leif Sundberg","Håstaholmen",10,23,"Sundsvall City IBC U",2
"31","Johnny Sundberg, Leif Sundberg","Håstaholmen",10,23,"Hudik/Björkberg U",5
"32","Johnny Sundberg, Leif Sundberg","Håstaholmen",10,23,"Fränsta IK",1
"33","Johnny Sundberg, Leif Sundberg","Håstaholmen",10,23,"IBK Härnösand",1
"34","Johnny Sundberg, Leif Sundberg","Håstaholmen",10,23,"Håsta IBK",6
