"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Kruse, Adnan Tongur","Mimershus A-hallen",1,1,"Romelanda UF H2",1
"2","Adam Kruse, Adnan Tongur","Mimershus A-hallen",1,1,"Landvetter IBK H2",1
"3","Adam Kruse, Torbjörn Zahner","Torpahallen",1,1,"IBK Göteborg H2",1
"4","Adam Kruse, Torbjörn Zahner","Torpahallen",1,1,"Partille IBS H2",1
"5","Adnan Tongur, Roger Zahnér","Almåshallen B",1,1,"Lindome IBK H2",1
"6","Adnan Tongur, Roger Zahnér","Almåshallen B",1,1,"Landvetter IBK H2",1
"7","Aldin Hadziselmovic, Adnan Tongur","Almåshallen B",1,1,"Lindome IBK H2",1
"8","Aldin Hadziselmovic, Adnan Tongur","Almåshallen B",1,1,"Hovås IBK",1
"9","Aldin Hadziselmovic, Alexander Pavlovic","Almåshallen A",1,7,"Frölunda IBK H2",1
"10","Aldin Hadziselmovic, Alexander Pavlovic","Almåshallen A",1,7,"Lindome IBK H2",1
"11","Aldin Hadziselmovic, Alexander Pavlovic","Lundbystrand 1",1,7,"IBK Göteborg H2",1
"12","Aldin Hadziselmovic, Alexander Pavlovic","Lundbystrand 1",1,7,"IBF Backadalen",1
"13","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",3,7,"Frölunda IBK H2",1
"14","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",3,7,"IBF Backadalen",1
"15","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",3,7,"Partille IBS H2",1
"16","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",3,7,"IBK Kungälv H2",2
"17","Aldin Hadziselmovic, Alexander Pavlovic","Mimershus A-hallen",3,7,"Romelanda UF H2",1
"18","Aldin Hadziselmovic, Alexander Pavlovic","Svingelns Sporthall",2,7,"Lindome IBK H2",1
"19","Aldin Hadziselmovic, Alexander Pavlovic","Svingelns Sporthall",2,7,"IBK Göteborg H2",1
"20","Aldin Hadziselmovic, Alexander Pavlovic","Svingelns Sporthall",2,7,"Burås IK H2",2
"21","Aldin Hadziselmovic, Besim Mehmedagic","Pinntorps Idrottshall",1,1,"Lindome IBK H2",1
"22","Aldin Hadziselmovic, Besim Mehmedagic","Pinntorps Idrottshall",1,1,"Landvetter IBK H2",1
"23","Alexander Pavlovic, Walter Wästhage","Svingelns Sporthall",1,1,"Burås IK H2",1
"24","Alexander Pavlovic, Walter Wästhage","Svingelns Sporthall",1,1,"IBF Backadalen",1
