"","Referee","TotalCount"
"1","Andreas Nyman, Fredrik Söderholm",3
"2","Bjarne Andersson, Björn Glad",2
"3","Bjarne Andersson, Roger Karlsson",1
"4","Daniel Degerman, Andreas Åström",1
"5","David Jonsson, Johan Rönnberg",5
"6","Gustav Broadhall, Daniel Johannesson",1
"7","Jimmy Halldin, Erik Hörnros",10
"8","Joakim Nydahl, Fredrik Söderholm",1
"9","Johnnie Lundmark, Fredrik Söderholm",1
"10","Jonas Ahlehjelm, David Lundberg",14
"11","Jonas Ahlehjelm, Mats Öster",1
"12","Jonas Ahlehjelm, Thomas Jonsson",1
"13","Manuel Garzon, Rasmus Säfvenberg",5
"14","Mats Erelund, Mats Öster",1
"15","Mats Erelund, Thomas Jonsson",3
"16","Mikael Körning, Göran Norberg",1
"17","Olle Eliasson, Erik Johansson",1
"18","Olle Eliasson, Mats Erelund",1
"19","Olle Eliasson, Mats Öster",1
"20","Olle Eliasson, Thomas Jonsson",4
"21","Patrik Häggström, Jens Marklund",1
"22","Peder Lövdahl, Göran Norberg",1
"23","Roger Karlsson, Peter Poopuu",1
"24","Therese Edin, Frida Nilsson",1
"25","Thomas Jonsson, Mats Öster",2
"26","Tony Cederholm, Mats Öster",2
"27","Ville Hedsberg, Andreas Åström",1
"28","Ville Hedsberg, Jens Marklund",1
