"","Referee","TotalCount"
"1","Daniel Dimitrovski, Nebojsa Stefanovski",14
"2","David Persson, Harri Tjäder",15
"3","Erling Josefsson, Joakim Mattsson",9
"4","Erling Josefsson, Nebojsa Stefanovski",1
"5","Erling Josefsson, Sven Persson",1
"6","Henrik Carlsson, Bjarne Wesenlund",7
"7","Henrik Carlsson, Erling Josefsson",1
"8","Kronoslav Kis, Kenth Lindqvist",1
"9","Kronoslav Kis, Mikael Magnusson",11
"10","Magnus Jansson, Harri Tjäder",1
"11","Magnus Jansson, Kronoslav Kis",1
"12","Magnus Jansson, Nebojsa Stefanovski",1
"13","Magnus Jansson, Pedram Koublani",2
"14","Mattias Furbo, Kenth Lindqvist",1
"15","Mattias Furbo, Sven Persson",10
"16","Ola Forsberg, Bjarne Wesenlund",1
