"","Referee","TotalCount"
"1","Daniel Hermansson, Henric Lundeborg",3
"2","David Björketun, Jesper Jonsson",4
"3","Denis Ogresevic, Elvis Ogresevic",6
"4","Emil Glenngård, Johan Wiggur",1
"5","Jimmy Eliasson, Daniel Hermansson",1
"6","Jimmy Eliasson, Jesper Liedberg",6
"7","Jimmy Eliasson, Magnus Jakobsson",2
"8","Johan Nordlander, William Wengelin",4
"9","Magnus Jakobsson, Johan Wiggur",2
"10","Magnus Jakobsson, Sonny Weideborg",1
"11","Martin Eriksson, Emil Glenngård",3
"12","Oscar Bard, Hampus Larsson",3
"13","Oscar Bard, Sonny Weideborg",2
"14","Thomas Nystrand, Peter Ström",11
"15","Thomas Nystrand, Rickard Olsen",1
"16","Tom Nilsson, Sonny Weideborg",4
