"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Holm, Stefan Olsson","Habo Sporthall A-hall",1,3,"Warberg IC",1
"2","Andreas Holm, Stefan Olsson","Habo Sporthall A-hall",1,3,"Fagerhult Habo IBK",1
"3","Andreas Holm, Stefan Olsson","Oskarshamns Sporthall A-hall",1,3,"Craftstadens IBK Oskarshamn",1
"4","Andreas Holm, Stefan Olsson","Oskarshamns Sporthall A-hall",1,3,"Fagerhult Habo IBK",1
"5","Andreas Holm, Stefan Olsson","Sparbanken Wictory Center, Salmingplanen",1,3,"Warberg IC",1
"6","Andreas Holm, Stefan Olsson","Sparbanken Wictory Center, Salmingplanen",1,3,"Fagerhult Habo IBK",1
"7","Björn Hedman, Nicklas Sundgren","Alfahallen - Gavlehov",3,14,"Gävle GIK",3
"8","Björn Hedman, Nicklas Sundgren","Alfahallen - Gavlehov",3,14,"Hagunda IF",1
"9","Björn Hedman, Nicklas Sundgren","Alfahallen - Gavlehov",3,14,"FBI Tullinge",1
"10","Björn Hedman, Nicklas Sundgren","Alfahallen - Gavlehov",3,14,"Salems IF",1
"11","Björn Hedman, Nicklas Sundgren","Eriksdalshallen",2,14,"Hagunda IF",1
"12","Björn Hedman, Nicklas Sundgren","Eriksdalshallen",2,14,"Djurgårdens IF IBS",2
"13","Björn Hedman, Nicklas Sundgren","Eriksdalshallen",2,14,"FBI Tullinge",1
"14","Björn Hedman, Nicklas Sundgren","Håstaholmen",1,14,"Hagunda IF",1
"15","Björn Hedman, Nicklas Sundgren","Håstaholmen",1,14,"Hudik/Björkberg IBK",1
"16","Björn Hedman, Nicklas Sundgren","Idrottshuset, Örebro Plan 1",2,14,"Lillån IBK",2
"17","Björn Hedman, Nicklas Sundgren","Idrottshuset, Örebro Plan 1",2,14,"Malmö FBC",1
"18","Björn Hedman, Nicklas Sundgren","Idrottshuset, Örebro Plan 1",2,14,"Fagerhult Habo IBK",1
"19","Björn Hedman, Nicklas Sundgren","IFU Arena A",1,14,"Hagunda IF",1
