"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Jakobsson, Lars Larsson","Arenan - Jönköpings Idrottshus",1,25,"Jönköping IBK Ungdom",1
"2","Albin Jakobsson, Lars Larsson","Arenan - Jönköpings Idrottshus",1,25,"Tyresö Trollbäcken IBK",1
"3","Albin Jakobsson, Lars Larsson","Arvika Sporthall",2,25,"Surahammars IBF",1
"4","Albin Jakobsson, Lars Larsson","Arvika Sporthall",2,25,"IBK Lockerud Mariestad",1
"5","Albin Jakobsson, Lars Larsson","Arvika Sporthall",2,25,"Arvika IBF",2
"6","Albin Jakobsson, Lars Larsson","Campushallen",1,25,"Hammarby IF IBF",1
"7","Albin Jakobsson, Lars Larsson","Campushallen",1,25,"Ledberg IBF",1
"8","Albin Jakobsson, Lars Larsson","Forshaga Sporthall",1,25,"GS 86 AIF",1
"9","Albin Jakobsson, Lars Larsson","Forshaga Sporthall",1,25,"Surahammars IBF",1
"10","Albin Jakobsson, Lars Larsson","Halmstad Arena A 1",1,25,"Halmstads IBK",1
"11","Albin Jakobsson, Lars Larsson","Halmstad Arena A 1",1,25,"IK Stanstad",1
"12","Albin Jakobsson, Lars Larsson","Hammarö Arena",5,25,"Arvika IBF",1
"13","Albin Jakobsson, Lars Larsson","Hammarö Arena",5,25,"Kumla IBK",1
"14","Albin Jakobsson, Lars Larsson","Hammarö Arena",5,25,"Skoghalls IBK",5
"15","Albin Jakobsson, Lars Larsson","Hammarö Arena",5,25,"Surahammars IBF",1
"16","Albin Jakobsson, Lars Larsson","Hammarö Arena",5,25,"IBK Lockerud Mariestad",1
"17","Albin Jakobsson, Lars Larsson","Hammarö Arena",5,25,"IBF Västerås",1
"18","Albin Jakobsson, Lars Larsson","ICA-kvantum hallen, Mariestad",1,25,"IBK Lockerud Mariestad",1
"19","Albin Jakobsson, Lars Larsson","ICA-kvantum hallen, Mariestad",1,25,"Kumla IBK",1
"20","Albin Jakobsson, Lars Larsson","Idrottens hus i Lidköping",2,25,"IBK Lidköping",2
"21","Albin Jakobsson, Lars Larsson","Idrottens hus i Lidköping",2,25,"Herrestads AIF",1
"22","Albin Jakobsson, Lars Larsson","Idrottens hus i Lidköping",2,25,"Floda IBK",1
"23","Albin Jakobsson, Lars Larsson","Kumlahallen",1,25,"GS 86 AIF",1
"24","Albin Jakobsson, Lars Larsson","Kumlahallen",1,25,"Kumla IBK",1
"25","Albin Jakobsson, Lars Larsson","Rydsbergshallen",1,25,"Floda IBK",1
"26","Albin Jakobsson, Lars Larsson","Rydsbergshallen",1,25,"IK Zenith",1
"27","Albin Jakobsson, Lars Larsson","Sparbanken Wictory Center, Salmingplanen",1,25,"Warberg IBF",1
"28","Albin Jakobsson, Lars Larsson","Sparbanken Wictory Center, Salmingplanen",1,25,"Munka-Ljungby IBK",1
"29","Albin Jakobsson, Lars Larsson","Spångbergshallen",4,25,"Surahammars IBF",1
"30","Albin Jakobsson, Lars Larsson","Spångbergshallen",4,25,"Skoghalls IBK",1
"31","Albin Jakobsson, Lars Larsson","Spångbergshallen",4,25,"Kumla IBK",1
"32","Albin Jakobsson, Lars Larsson","Spångbergshallen",4,25,"GS 86 AIF",1
"33","Albin Jakobsson, Lars Larsson","Spångbergshallen",4,25,"Filipstad IBK",4
"34","Albin Jakobsson, Lars Larsson","Uddeholm Arena",4,25,"IBF Västerås",1
"35","Albin Jakobsson, Lars Larsson","Uddeholm Arena",4,25,"Filipstad IBK",1
"36","Albin Jakobsson, Lars Larsson","Uddeholm Arena",4,25,"IBK Lockerud Mariestad",1
"37","Albin Jakobsson, Lars Larsson","Uddeholm Arena",4,25,"Hagfors IBS",4
"38","Albin Jakobsson, Lars Larsson","Uddeholm Arena",4,25,"Torshälla IBK",1
"39","Alexander Bergman, Robin Palander","Bollnäs Sporthall A",1,1,"FBC Bollnäs",1
"40","Alexander Bergman, Robin Palander","Bollnäs Sporthall A",1,1,"Team Thorengruppen Ungdom SK",1
"41","Anders Fredriksson, Pierre Malmgren","Hässelbyhallen",1,2,"Hässelby SK IBK",1
"42","Anders Fredriksson, Pierre Malmgren","Hässelbyhallen",1,2,"Rotebro IS IBK",1
"43","Anders Fredriksson, Pierre Malmgren","Sjöstadshallen",1,2,"Farsta IBK",1
"44","Anders Fredriksson, Pierre Malmgren","Sjöstadshallen",1,2,"Hammarby IF IBF",1
"45","Andreas Holm, Håkan Söderman","Rydsbergshallen",1,2,"Floda IBK",1
"46","Andreas Holm, Håkan Söderman","Rydsbergshallen",1,2,"IBK Alingsås",1
"47","Andreas Holm, Håkan Söderman","Stenungsund Arena",1,2,"Mölndals IBF",1
"48","Andreas Holm, Håkan Söderman","Stenungsund Arena",1,2,"Stenungsunds IBK",1
"49","Andreas Holm, Stefan Olsson","Fristadhallen, Fristad",1,4,"IBK Lidköping",1
"50","Andreas Holm, Stefan Olsson","Fristadhallen, Fristad",1,4,"Fristads GoIF",1
"51","Andreas Holm, Stefan Olsson","Munkahallen",1,4,"Warberg IBF",1
"52","Andreas Holm, Stefan Olsson","Munkahallen",1,4,"Munka-Ljungby IBK",1
"53","Andreas Holm, Stefan Olsson","Qpoolen",1,4,"Röke IBK",1
"54","Andreas Holm, Stefan Olsson","Qpoolen",1,4,"Åstorp/Kvidinge IBS",1
"55","Andreas Holm, Stefan Olsson","Qvisthallen",1,4,"Pixbo Wallenstam IBF",1
"56","Andreas Holm, Stefan Olsson","Qvisthallen",1,4,"FBC Partille",1
"57","Andreas Lindberg, Robin Palander","Bollnäs Sporthall A",1,15,"Timrå IBC",1
"58","Andreas Lindberg, Robin Palander","Bollnäs Sporthall A",1,15,"FBC Bollnäs",1
"59","Andreas Lindberg, Robin Palander","Hagahallen",1,15,"Gamla Stan IBK",1
"60","Andreas Lindberg, Robin Palander","Hagahallen",1,15,"Sundsvall FBC Ungdom",1
"61","Andreas Lindberg, Robin Palander","Musköten 2",1,15,"Timrå IBC",1
"62","Andreas Lindberg, Robin Palander","Musköten 2",1,15,"IBF Dalen",1
"63","Andreas Lindberg, Robin Palander","Sjöfruhallen",1,15,"Gimonäs Umeå IF",1
"64","Andreas Lindberg, Robin Palander","Sjöfruhallen",1,15,"Gamla Stan IBK",1
"65","Andreas Lindberg, Robin Palander","Skyttis Arena",3,15,"Timrå IBC",1
"66","Andreas Lindberg, Robin Palander","Skyttis Arena",3,15,"Gamla Stan IBK",1
"67","Andreas Lindberg, Robin Palander","Skyttis Arena",3,15,"Team Thorengruppen Ungdom SK",1
"68","Andreas Lindberg, Robin Palander","Skyttis Arena",3,15,"Örnsköldsvik IBK",3
"69","Andreas Lindberg, Robin Palander","Skönsbergshallen",1,15,"IBF Dalen",1
"70","Andreas Lindberg, Robin Palander","Skönsbergshallen",1,15,"Sundsvall FBC Ungdom",1
"71","Andreas Lindberg, Robin Palander","Sundsvalls Sporthall-A",2,15,"Gamla Stan IBK",1
"72","Andreas Lindberg, Robin Palander","Sundsvalls Sporthall-A",2,15,"Sundsvall FBC",2
"73","Andreas Lindberg, Robin Palander","Sundsvalls Sporthall-A",2,15,"Sundsvall FBC Ungdom",1
"74","Andreas Lindberg, Robin Palander","Timrå Sporthall",3,15,"Timrå IBC",3
"75","Andreas Lindberg, Robin Palander","Timrå Sporthall",3,15,"FBC Bollnäs",1
"76","Andreas Lindberg, Robin Palander","Timrå Sporthall",3,15,"Gimonäs Umeå IF",1
"77","Andreas Lindberg, Robin Palander","Timrå Sporthall",3,15,"Örnsköldsvik IBK",1
"78","Andreas Lindberg, Robin Palander","Torvallaskolans sporthall",1,15,"Jemtland Innebandy",1
