"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund, Linus Berglund","Ersängshallen",4,15,"Umeå City IBF",1
"2","Albin Berglund, Linus Berglund","Ersängshallen",4,15,"Ersboda SK",4
"3","Albin Berglund, Linus Berglund","Ersängshallen",4,15,"Rönnskär Railcare IF",1
"4","Albin Berglund, Linus Berglund","Ersängshallen",4,15,"Gamla Stan IBK",1
"5","Albin Berglund, Linus Berglund","Ersängshallen",4,15,"IBF Dalen /IBS Dalen",1
"6","Albin Berglund, Linus Berglund","Hammarhallen Vännäs",1,15,"Spöland Vännäs IF",1
"7","Albin Berglund, Linus Berglund","Hammarhallen Vännäs",1,15,"Skellefteå IBK",1
"8","Albin Berglund, Linus Berglund","Midgårdshallen",4,15,"Gullänget-Kroksta IBS",1
"9","Albin Berglund, Linus Berglund","Midgårdshallen",4,15,"Robertsfors IK",1
"10","Albin Berglund, Linus Berglund","Midgårdshallen",4,15,"Gimonäs Umeå IF/IBF",1
"11","Albin Berglund, Linus Berglund","Midgårdshallen",4,15,"Umeå City IBF",2
"12","Albin Berglund, Linus Berglund","Midgårdshallen",4,15,"IBF Dalen/IBS Dalen",1
"13","Albin Berglund, Linus Berglund","Midgårdshallen",4,15,"Gimonäs Umeå IF",1
"14","Albin Berglund, Linus Berglund","Midgårdshallen",4,15,"Gamla Stan IBK",1
"15","Albin Berglund, Linus Berglund","Musköten 2",3,15,"Spöland Vännäs IF",1
"16","Albin Berglund, Linus Berglund","Musköten 2",3,15,"Gimonäs Umeå IF",1
"17","Albin Berglund, Linus Berglund","Musköten 2",3,15,"Gimonäs Umeå IF/IBF",1
"18","Albin Berglund, Linus Berglund","Musköten 2",3,15,"IBF Dalen /IBS Dalen",3
"19","Albin Berglund, Linus Berglund","Sporthushallen",1,15,"Umeå City IBF",1
"20","Albin Berglund, Linus Berglund","Sporthushallen",1,15,"Gimonäs Umeå IF/IBF",1
"21","Albin Berglund, Linus Berglund","Vildmannahallen",2,15,"Umeå City IBF/P04Vit",1
"22","Albin Berglund, Linus Berglund","Vildmannahallen",2,15,"Team Thorengruppen SK",1
"23","Albin Berglund, Linus Berglund","Vildmannahallen",2,15,"Umeå City IBF",1
"24","Albin Berglund, Linus Berglund","Vildmannahallen",2,15,"Gimonäs Umeå IF",1
"25","Alexander Bergman, Arvid Larsson","Örnsköldsviks Sporthall",1,1,"Spöland Vännäs IF",1
"26","Alexander Bergman, Arvid Larsson","Örnsköldsviks Sporthall",1,1,"Gullänget-Kroksta IBS",1
"27","Alvin Gustavsson, Ville Hedsberg","Balderhallen B",1,1,"Umeå City IBF",1
"28","Alvin Gustavsson, Ville Hedsberg","Balderhallen B",1,1,"Skellefteå IBK",1
"29","Andreas Eriksson, David Karlsson","FC Vindeln",1,1,"Vindelns IF",1
"30","Andreas Eriksson, David Karlsson","FC Vindeln",1,1,"Umeå City IBF",1
"31","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",1,1,"Vindelns IF",1
"32","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",1,1,"Gullänget-Kroksta IBS",1
"33","Bjarne Andersson, Roger Karlsson","Hammarhallen Vännäs",1,1,"Umeå City IBF",1
"34","Bjarne Andersson, Roger Karlsson","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"35","Björn Glad, Klas Höglund","Ersängshallen",1,1,"Ersboda SK",1
"36","Björn Glad, Klas Höglund","Ersängshallen",1,1,"IBF Dalen/IBS Dalen",1
"37","Björn Glad, Marcus Glad","FC Vindeln",1,7,"Gullänget-Kroksta IBS",1
"38","Björn Glad, Marcus Glad","FC Vindeln",1,7,"Vindelns IF",1
"39","Björn Glad, Marcus Glad","Hammarhallen Vännäs",2,7,"Spöland Vännäs IF",2
"40","Björn Glad, Marcus Glad","Hammarhallen Vännäs",2,7,"Team Thorengruppen SK",1
"41","Björn Glad, Marcus Glad","Hammarhallen Vännäs",2,7,"Ersboda SK",1
"42","Björn Glad, Marcus Glad","Musköten 2",2,7,"IBF Dalen/IBS Dalen",1
"43","Björn Glad, Marcus Glad","Musköten 2",2,7,"Umeå City IBF",1
"44","Björn Glad, Marcus Glad","Musköten 2",2,7,"IBF Dalen /IBS Dalen",1
"45","Björn Glad, Marcus Glad","Musköten 2",2,7,"Ersboda SK",1
"46","Björn Glad, Marcus Glad","Storsjöhallen",2,7,"Gimonäs Umeå IF",1
"47","Björn Glad, Marcus Glad","Storsjöhallen",2,7,"Team Thorengruppen SK",1
"48","Björn Glad, Marcus Glad","Storsjöhallen",2,7,"Holmsund City IBC",2
"49","Björn Glad, Thanasis Provatas","Umeå Energi Arena Väst",2,2,"Gimonäs Umeå IF",1
"50","Björn Glad, Thanasis Provatas","Umeå Energi Arena Väst",2,2,"Team Thorengruppen SK",1
"51","Björn Glad, Thanasis Provatas","Umeå Energi Arena Väst",2,2,"Ersboda SK",1
"52","Björn Glad, Thanasis Provatas","Umeå Energi Arena Väst",2,2,"Gamla Stan IBK",1
"53","Daniel Degerman, Andreas Åström","Eddahallen",1,3,"IBF Dalen /IBS Dalen",1
"54","Daniel Degerman, Andreas Åström","Eddahallen",1,3,"Gamla Stan IBK",1
"55","Daniel Degerman, Andreas Åström","Morö Backe A",1,3,"Spöland Vännäs IF",1
"56","Daniel Degerman, Andreas Åström","Morö Backe A",1,3,"Skellefteå IBK",1
"57","Daniel Degerman, Andreas Åström","Örjanshallen",1,3,"Ersboda SK",1
"58","Daniel Degerman, Andreas Åström","Örjanshallen",1,3,"Rönnskär Railcare IF",1
"59","Daniel Degerman, Micael Holmbom","Balderhallen A",1,2,"Gamla Stan IBK",1
"60","Daniel Degerman, Micael Holmbom","Balderhallen A",1,2,"Gimonäs Umeå IF",1
