"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Asp, Per Rosén","Colorama Arena",1,5,"Karlstad IBF",1
"2","Anders Asp, Per Rosén","Colorama Arena",1,5,"IKSU",1
"3","Anders Asp, Per Rosén","Idre Fjäll Arena",1,5,"KAIS Mora IF",1
"4","Anders Asp, Per Rosén","Idre Fjäll Arena",1,5,"IBK Göteborg",1
"5","Anders Asp, Per Rosén","Lundenhallen",1,5,"KAIS Mora IF",1
"6","Anders Asp, Per Rosén","Lundenhallen",1,5,"IBK Göteborg",1
"7","Anders Asp, Per Rosén","Skyttis Arena",1,5,"Örnsköldsvik IBK",1
"8","Anders Asp, Per Rosén","Skyttis Arena",1,5,"KAIS Mora IF",1
"9","Anders Asp, Per Rosén","Umeå Energi Arena",1,5,"IBK Dalen",1
"10","Anders Asp, Per Rosén","Umeå Energi Arena",1,5,"Jönköpings IK",1
"11","Anders Fredriksson, Pierre Malmgren","Bombardier Arena A",1,9,"Västerås Rönnby IBK",1
"12","Anders Fredriksson, Pierre Malmgren","Bombardier Arena A",1,9,"Endre IF",1
"13","Anders Fredriksson, Pierre Malmgren","Colorama Arena",2,9,"Karlstad IBF",2
"14","Anders Fredriksson, Pierre Malmgren","Colorama Arena",2,9,"IBK Dalen",1
"15","Anders Fredriksson, Pierre Malmgren","Colorama Arena",2,9,"Pixbo Wallenstam IBK",1
"16","Anders Fredriksson, Pierre Malmgren","Idre Fjäll Arena",1,9,"Warberg IC",1
"17","Anders Fredriksson, Pierre Malmgren","Idre Fjäll Arena",1,9,"KAIS Mora IF",1
"18","Anders Fredriksson, Pierre Malmgren","IFU Arena A",1,9,"IK Sirius FBC",1
"19","Anders Fredriksson, Pierre Malmgren","IFU Arena A",1,9,"Örnsköldsvik IBK",1
"20","Anders Fredriksson, Pierre Malmgren","IKSU Sport",1,9,"IKSU",1
"21","Anders Fredriksson, Pierre Malmgren","IKSU Sport",1,9,"Örnsköldsvik IBK",1
"22","Anders Fredriksson, Pierre Malmgren","Sparbanken Wictory Center, Salmingplanen",2,9,"Warberg IC",2
"23","Anders Fredriksson, Pierre Malmgren","Sparbanken Wictory Center, Salmingplanen",2,9,"IKSU",1
"24","Anders Fredriksson, Pierre Malmgren","Sparbanken Wictory Center, Salmingplanen",2,9,"IBK Göteborg",1
"25","Anders Fredriksson, Pierre Malmgren","Umeå Energi Arena",1,9,"IBK Dalen",1
"26","Anders Fredriksson, Pierre Malmgren","Umeå Energi Arena",1,9,"Warberg IC",1
"27","Andreas Holm, Stefan Olsson","Lisebergshallen",2,3,"IKSU",1
"28","Andreas Holm, Stefan Olsson","Lisebergshallen",2,3,"Malmö FBC",1
"29","Andreas Holm, Stefan Olsson","Lisebergshallen",2,3,"IBK Göteborg",2
"30","Andreas Holm, Stefan Olsson","Sparbanken Wictory Center, Salmingplanen",1,3,"Endre IF",1
"31","Andreas Holm, Stefan Olsson","Sparbanken Wictory Center, Salmingplanen",1,3,"Warberg IC",1
"32","Christoffer Markovski, Patric Terelius","Bombardier Arena A",1,8,"Pixbo Wallenstam IBK",1
"33","Christoffer Markovski, Patric Terelius","Bombardier Arena A",1,8,"Västerås Rönnby IBK",1
"34","Christoffer Markovski, Patric Terelius","ICA Maxi Arena",1,8,"Endre IF",1
"35","Christoffer Markovski, Patric Terelius","ICA Maxi Arena",1,8,"Västerås Rönnby IBK",1
"36","Christoffer Markovski, Patric Terelius","IFU Arena A",2,8,"IBK Göteborg",1
"37","Christoffer Markovski, Patric Terelius","IFU Arena A",2,8,"Jönköpings IK",1
"38","Christoffer Markovski, Patric Terelius","IFU Arena A",2,8,"IK Sirius FBC",2
"39","Christoffer Markovski, Patric Terelius","Skyttis Arena",1,8,"Örnsköldsvik IBK",1
"40","Christoffer Markovski, Patric Terelius","Skyttis Arena",1,8,"Karlstad IBF",1
"41","Christoffer Markovski, Patric Terelius","Tibblehallen CC",1,8,"Täby FC IBK",1
"42","Christoffer Markovski, Patric Terelius","Tibblehallen CC",1,8,"Malmö FBC",1
"43","Christoffer Markovski, Patric Terelius","Umeå Energi Arena",1,8,"IBK Dalen",1
"44","Christoffer Markovski, Patric Terelius","Umeå Energi Arena",1,8,"Pixbo Wallenstam IBK",1
"45","Christoffer Markovski, Patric Terelius","Umeå Energi Arena Vatten",1,8,"IBK Dalen",1
"46","Christoffer Markovski, Patric Terelius","Umeå Energi Arena Vatten",1,8,"Endre IF",1
"47","David Berger, Tobias Berger","Baltiska Hallen A",1,5,"Malmö FBC",1
"48","David Berger, Tobias Berger","Baltiska Hallen A",1,5,"Karlstad IBF",1
"49","David Berger, Tobias Berger","Colorama Arena",1,5,"Örnsköldsvik IBK",1
"50","David Berger, Tobias Berger","Colorama Arena",1,5,"Karlstad IBF",1
"51","David Berger, Tobias Berger","ICA Maxi Arena",1,5,"Endre IF",1
"52","David Berger, Tobias Berger","ICA Maxi Arena",1,5,"IBK Dalen",1
"53","David Berger, Tobias Berger","Umeå Energi Arena",2,5,"IBK Göteborg",1
"54","David Berger, Tobias Berger","Umeå Energi Arena",2,5,"Malmö FBC",1
"55","David Berger, Tobias Berger","Umeå Energi Arena",2,5,"IBK Dalen",2
"56","Frans Dahlstedt, Tobias Levin","Arenan - Jönköpings Idrottshus",1,5,"IBK Göteborg",1
"57","Frans Dahlstedt, Tobias Levin","Arenan - Jönköpings Idrottshus",1,5,"Jönköpings IK",1
"58","Frans Dahlstedt, Tobias Levin","Baltiska Hallen A",1,5,"Malmö FBC",1
"59","Frans Dahlstedt, Tobias Levin","Baltiska Hallen A",1,5,"KAIS Mora IF",1
"60","Frans Dahlstedt, Tobias Levin","Lundenhallen",1,5,"IBK Göteborg",1
"61","Frans Dahlstedt, Tobias Levin","Lundenhallen",1,5,"IBK Dalen",1
"62","Frans Dahlstedt, Tobias Levin","Tibblehallen CC",1,5,"IKSU",1
"63","Frans Dahlstedt, Tobias Levin","Tibblehallen CC",1,5,"Täby FC IBK",1
"64","Frans Dahlstedt, Tobias Levin","Wallenstamhallen",1,5,"Pixbo Wallenstam IBK",1
"65","Frans Dahlstedt, Tobias Levin","Wallenstamhallen",1,5,"Warberg IC",1
"66","Johnny Lindberg, Roger Nilsson","Arenan - Jönköpings Idrottshus",2,26,"Karlstad IBF",1
"67","Johnny Lindberg, Roger Nilsson","Arenan - Jönköpings Idrottshus",2,26,"KAIS Mora IF",1
"68","Johnny Lindberg, Roger Nilsson","Arenan - Jönköpings Idrottshus",2,26,"Jönköpings IK",2
"69","Johnny Lindberg, Roger Nilsson","Bombardier Arena A",5,26,"IBK Dalen",1
"70","Johnny Lindberg, Roger Nilsson","Bombardier Arena A",5,26,"Västerås Rönnby IBK",5
"71","Johnny Lindberg, Roger Nilsson","Bombardier Arena A",5,26,"IKSU",1
"72","Johnny Lindberg, Roger Nilsson","Bombardier Arena A",5,26,"Malmö FBC",1
"73","Johnny Lindberg, Roger Nilsson","Bombardier Arena A",5,26,"Örnsköldsvik IBK",1
"74","Johnny Lindberg, Roger Nilsson","Bombardier Arena A",5,26,"IK Sirius FBC",1
"75","Johnny Lindberg, Roger Nilsson","Colorama Arena",1,26,"Karlstad IBF",1
"76","Johnny Lindberg, Roger Nilsson","Colorama Arena",1,26,"Warberg IC",1
"77","Johnny Lindberg, Roger Nilsson","ICA Maxi Arena",3,26,"Endre IF",3
"78","Johnny Lindberg, Roger Nilsson","ICA Maxi Arena",3,26,"Warberg IC",1
"79","Johnny Lindberg, Roger Nilsson","ICA Maxi Arena",3,26,"Pixbo Wallenstam IBK",1
"80","Johnny Lindberg, Roger Nilsson","ICA Maxi Arena",3,26,"IKSU",1
"81","Johnny Lindberg, Roger Nilsson","Idre Fjäll Arena",3,26,"IBK Dalen",1
"82","Johnny Lindberg, Roger Nilsson","Idre Fjäll Arena",3,26,"Täby FC IBK",1
"83","Johnny Lindberg, Roger Nilsson","Idre Fjäll Arena",3,26,"KAIS Mora IF",3
"84","Johnny Lindberg, Roger Nilsson","Idre Fjäll Arena",3,26,"Endre IF",1
"85","Johnny Lindberg, Roger Nilsson","IKSU Sport",2,26,"Malmö FBC",1
