"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Alexander Andersen","Halmstad Arena A 1",1,3,"Halmstads IBK",1
"2","Alexander Andersen","Halmstad Arena A 1",1,3,"Warberg IBF Dam Div1",1
"3","Alexander Andersen","Lindälvshallen",1,3,"Halmstads IBK",1
"4","Alexander Andersen","Lindälvshallen",1,3,"Varla IBK Dam",1
"5","Alexander Andersen","Sparbanken Wictory Center, Salmingplanen",1,3,"Varla IBK Dam",1
"6","Alexander Andersen","Sparbanken Wictory Center, Salmingplanen",1,3,"Warberg IBF Dam Div1",1
"7","Björn Österberg","Tvååkers Idrottshall",1,1,"Tvååkers IBK",1
"8","Björn Österberg","Tvååkers Idrottshall",1,1,"Halmstads IBK",1
"9","Christoffer Söderström","Halmstad Arena A 1",1,5,"Halmstads IBK",1
"10","Christoffer Söderström","Halmstad Arena A 1",1,5,"Warberg IBF Dam Div1",1
"11","Christoffer Söderström","Kattegatthallen",1,5,"Warberg IBF Dam Div1",1
"12","Christoffer Söderström","Kattegatthallen",1,5,"Falkenbergs IBK",1
"13","Christoffer Söderström","Presse Idrottshall",2,5,"Onsala IBK Dam 1",2
"14","Christoffer Söderström","Presse Idrottshall",2,5,"Warberg IBF Dam Div1",1
"15","Christoffer Söderström","Presse Idrottshall",2,5,"Tvååkers IBK",1
"16","Christoffer Söderström","Tvååkers Idrottshall",1,5,"Tvååkers IBK",1
"17","Christoffer Söderström","Tvååkers Idrottshall",1,5,"Varla IBK Dam",1
"18","Daniel Hultberg","Tvååkers Idrottshall",1,1,"Falkenbergs IBK",1
"19","Daniel Hultberg","Tvååkers Idrottshall",1,1,"Tvååkers IBK",1
"20","Daniel Stoltz","Halmstad Arena A 1",1,3,"Halmstads IBK",1
"21","Daniel Stoltz","Halmstad Arena A 1",1,3,"Warberg IBF Dam Div1",1
"22","Daniel Stoltz","Halmstad Arena B 1",1,3,"Halmstads IBK",1
"23","Daniel Stoltz","Halmstad Arena B 1",1,3,"Varla IBK Dam",1
