"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Ali Tourabi","Halörhallen",2,6,"Skurups IBK D1",1
"2","Ali Tourabi","Halörhallen",2,6,"Höllvikens IBF",2
"3","Ali Tourabi","Halörhallen",2,6,"IBK Lund D1",1
"4","Ali Tourabi","Häljarps Idrottshall",1,6,"IK Stanstad",1
"5","Ali Tourabi","Häljarps Idrottshall",1,6,"Häljarps SK",1
"6","Ali Tourabi","Kungsgårdshallen",2,6,"FBC Engelholm D1",2
"7","Ali Tourabi","Kungsgårdshallen",2,6,"Munka-Ljungby IBK",1
"8","Ali Tourabi","Kungsgårdshallen",2,6,"Skurups IBK D1",1
"9","Ali Tourabi","Ängelholms Idrottshall",1,6,"Malmö FBC Ungdom",1
"10","Ali Tourabi","Ängelholms Idrottshall",1,6,"FBC Engelholm D1",1
"11","Björn Grahn","Helsingborg Arena B",1,3,"IBK Lund D1",1
"12","Björn Grahn","Helsingborg Arena B",1,3,"FC Helsingborg",1
"13","Björn Grahn","Kungsgårdshallen",1,3,"FC Helsingborg",1
"14","Björn Grahn","Kungsgårdshallen",1,3,"FBC Engelholm D1",1
"15","Björn Grahn","Munkahallen",1,3,"Munka-Ljungby IBK",1
"16","Björn Grahn","Munkahallen",1,3,"Willands IBK",1
"17","Christian Olofsson","Bråhögshallen",2,10,"Malmö FBC Ungdom",1
"18","Christian Olofsson","Bråhögshallen",2,10,"IK Stanstad",2
"19","Christian Olofsson","Bråhögshallen",2,10,"Willands IBK",1
"20","Christian Olofsson","Helsingborg Arena B",1,10,"Häljarps SK",1
"21","Christian Olofsson","Helsingborg Arena B",1,10,"FC Helsingborg",1
"22","Christian Olofsson","Häljarps Idrottshall",4,10,"Häljarps SK",4
"23","Christian Olofsson","Häljarps Idrottshall",4,10,"Skurups IBK D1",1
"24","Christian Olofsson","Häljarps Idrottshall",4,10,"FC Helsingborg",1
"25","Christian Olofsson","Häljarps Idrottshall",4,10,"FBC Engelholm D1",1
"26","Christian Olofsson","Häljarps Idrottshall",4,10,"IBK Landskrona",1
"27","Christian Olofsson","Kungsgårdshallen",1,10,"FBC Engelholm D1",1
"28","Christian Olofsson","Kungsgårdshallen",1,10,"Häljarps SK",1
"29","Christian Olofsson","Landskrona Idrottshall",2,10,"IBK Lund D1",1
"30","Christian Olofsson","Landskrona Idrottshall",2,10,"IBK Landskrona",2
"31","Christian Olofsson","Landskrona Idrottshall",2,10,"Willands IBK",1
"32","David Dornlöv","Landskrona Idrottshall",1,1,"IBK Landskrona",1
"33","David Dornlöv","Landskrona Idrottshall",1,1,"Höllvikens IBF",1
"34","Erik Götborg","Helsingborg Arena A",1,5,"Willands IBK",1
"35","Erik Götborg","Helsingborg Arena A",1,5,"FC Helsingborg",1
"36","Erik Götborg","Helsingborg Arena B",1,5,"FC Helsingborg",1
"37","Erik Götborg","Helsingborg Arena B",1,5,"Munka-Ljungby IBK",1
"38","Erik Götborg","Munkahallen",2,5,"Munka-Ljungby IBK",2
"39","Erik Götborg","Munkahallen",2,5,"IK Stanstad",1
"40","Erik Götborg","Munkahallen",2,5,"Malmö FBC Ungdom",1
"41","Erik Götborg","Vipeholmshallen",1,5,"Willands IBK",1
"42","Erik Götborg","Vipeholmshallen",1,5,"IBK Lund D1",1
"43","Erik Hindemith","Landskrona Idrottshall",2,2,"IBK Landskrona",1
"44","Erik Hindemith","Landskrona Idrottshall",2,2,"Malmö FBC Ungdom",1
"45","Erik Hindemith","Landskrona Idrottshall",2,2,"Höllvikens IBF",1
"46","Erik Hindemith","Landskrona Idrottshall",2,2,"IBK Landskrona",1
"47","Erik Höst","Baltiska Hallen B",1,7,"Malmö FBC Ungdom",1
"48","Erik Höst","Baltiska Hallen B",1,7,"Willands IBK",1
"49","Erik Höst","Halörhallen",1,7,"Höllvikens IBF",1
"50","Erik Höst","Halörhallen",1,7,"Malmö FBC Ungdom",1
"51","Erik Höst","Häljarps Idrottshall",1,7,"Häljarps SK",1
"52","Erik Höst","Häljarps Idrottshall",1,7,"Höllvikens IBF",1
"53","Erik Höst","Munkahallen",1,7,"Skurups IBK D1",1
"54","Erik Höst","Munkahallen",1,7,"Munka-Ljungby IBK",1
"55","Erik Höst","Nosabyhallen",1,7,"Willands IBK",1
"56","Erik Höst","Nosabyhallen",1,7,"Skurups IBK D1",1
"57","Erik Höst","Skurups Sparbank Arena",2,7,"Skurups IBK D1",2
"58","Erik Höst","Skurups Sparbank Arena",2,7,"Häljarps SK",1
"59","Erik Höst","Skurups Sparbank Arena",2,7,"Willands IBK",1
"60","Fredrik Lundborg","Landskrona Idrottshall",1,1,"Malmö FBC Ungdom",1
"61","Fredrik Lundborg","Landskrona Idrottshall",1,1,"IBK Landskrona",1
"62","Håkan Bondesson","Helsingborg Arena B",1,1,"FC Helsingborg",1
"63","Håkan Bondesson","Helsingborg Arena B",1,1,"Höllvikens IBF",1
"64","Isac Bondesson","Helsingborg Arena B",1,1,"Höllvikens IBF",1
"65","Isac Bondesson","Helsingborg Arena B",1,1,"FC Helsingborg",1
"66","Johan Salomonsson","Borstahusens Idrottshall",1,9,"IBK Landskrona",1
"67","Johan Salomonsson","Borstahusens Idrottshall",1,9,"FBC Engelholm D1",1
"68","Johan Salomonsson","Halörhallen",2,9,"Munka-Ljungby IBK",1
"69","Johan Salomonsson","Halörhallen",2,9,"IK Stanstad",1
"70","Johan Salomonsson","Halörhallen",2,9,"Höllvikens IBF",2
"71","Johan Salomonsson","Hammar Skolas Sporthall",3,9,"Munka-Ljungby IBK",1
"72","Johan Salomonsson","Hammar Skolas Sporthall",3,9,"IBK Landskrona",1
"73","Johan Salomonsson","Hammar Skolas Sporthall",3,9,"Malmö FBC Ungdom",1
"74","Johan Salomonsson","Hammar Skolas Sporthall",3,9,"Willands IBK",3
"75","Johan Salomonsson","Kirsebergs Sporthall",1,9,"Malmö FBC Ungdom",1
"76","Johan Salomonsson","Kirsebergs Sporthall",1,9,"Höllvikens IBF",1
"77","Johan Salomonsson","Landskrona Idrottshall",1,9,"IK Stanstad",1
"78","Johan Salomonsson","Landskrona Idrottshall",1,9,"IBK Landskrona",1
"79","Johan Salomonsson","Skurups Sparbank Arena",1,9,"Skurups IBK D1",1
"80","Johan Salomonsson","Skurups Sparbank Arena",1,9,"FBC Engelholm D1",1
"81","Jonas Karlsson","Bråhögshallen",1,6,"FBC Engelholm D1",1
"82","Jonas Karlsson","Bråhögshallen",1,6,"IK Stanstad",1
"83","Jonas Karlsson","Halörhallen",1,6,"Höllvikens IBF",1
"84","Jonas Karlsson","Halörhallen",1,6,"IBK Landskrona",1
"85","Jonas Karlsson","Hammar Skolas Sporthall",1,6,"Häljarps SK",1
"86","Jonas Karlsson","Hammar Skolas Sporthall",1,6,"Willands IBK",1
"87","Jonas Karlsson","Häljarps Idrottshall",1,6,"Munka-Ljungby IBK",1
"88","Jonas Karlsson","Häljarps Idrottshall",1,6,"Häljarps SK",1
"89","Jonas Karlsson","Vipeholmshallen",2,6,"FBC Engelholm D1",1
"90","Jonas Karlsson","Vipeholmshallen",2,6,"Skurups IBK D1",1
"91","Jonas Karlsson","Vipeholmshallen",2,6,"IBK Lund D1",2
"92","Jonas Pettersson","Häljarps Idrottshall",1,3,"Häljarps SK",1
"93","Jonas Pettersson","Häljarps Idrottshall",1,3,"Malmö FBC Ungdom",1
"94","Jonas Pettersson","Munkahallen",1,3,"FC Helsingborg",1
"95","Jonas Pettersson","Munkahallen",1,3,"Munka-Ljungby IBK",1
"96","Jonas Pettersson","Vipeholmshallen",1,3,"IBK Lund D1",1
"97","Jonas Pettersson","Vipeholmshallen",1,3,"IK Stanstad",1
"98","Jonny Johansson","Halörhallen",1,4,"Höllvikens IBF",1
"99","Jonny Johansson","Halörhallen",1,4,"FC Helsingborg",1
"100","Jonny Johansson","Hammar Skolas Sporthall",1,4,"IBK Lund D1",1
"101","Jonny Johansson","Hammar Skolas Sporthall",1,4,"Willands IBK",1
"102","Jonny Johansson","Landskrona Idrottshall",1,4,"Häljarps SK",1
"103","Jonny Johansson","Landskrona Idrottshall",1,4,"IBK Landskrona",1
"104","Jonny Johansson","Rydsgårds Arena",1,4,"Skurups IBK D1",1
"105","Jonny Johansson","Rydsgårds Arena",1,4,"Höllvikens IBF",1
"106","Jürgen Neuenhofen","Helsingborg Arena B",2,4,"IBK Lund D1",1
"107","Jürgen Neuenhofen","Helsingborg Arena B",2,4,"FBC Engelholm D1",1
"108","Jürgen Neuenhofen","Helsingborg Arena B",2,4,"FC Helsingborg",2
"109","Jürgen Neuenhofen","Kungsgårdshallen",1,4,"FC Helsingborg",1
"110","Jürgen Neuenhofen","Kungsgårdshallen",1,4,"FBC Engelholm D1",1
"111","Jürgen Neuenhofen","Munkahallen",1,4,"Munka-Ljungby IBK",1
"112","Jürgen Neuenhofen","Munkahallen",1,4,"Willands IBK",1
"113","Kevin Prahl","Bråhögshallen",1,6,"FBC Engelholm D1",1
"114","Kevin Prahl","Bråhögshallen",1,6,"IK Stanstad",1
"115","Kevin Prahl","Halörhallen",1,6,"Höllvikens IBF",1
"116","Kevin Prahl","Halörhallen",1,6,"IBK Landskrona",1
"117","Kevin Prahl","Hammar Skolas Sporthall",1,6,"Häljarps SK",1
"118","Kevin Prahl","Hammar Skolas Sporthall",1,6,"Willands IBK",1
"119","Kevin Prahl","Häljarps Idrottshall",1,6,"Munka-Ljungby IBK",1
"120","Kevin Prahl","Häljarps Idrottshall",1,6,"Häljarps SK",1
"121","Kevin Prahl","Vipeholmshallen",2,6,"Skurups IBK D1",1
"122","Kevin Prahl","Vipeholmshallen",2,6,"IBK Lund D1",2
"123","Kevin Prahl","Vipeholmshallen",2,6,"FBC Engelholm D1",1
"124","Leon Fuchs","Bråhögshallen",1,10,"IK Stanstad",1
"125","Leon Fuchs","Bråhögshallen",1,10,"IBK Lund D1",1
"126","Leon Fuchs","Helsingborg Arena B",1,10,"FC Helsingborg",1
"127","Leon Fuchs","Helsingborg Arena B",1,10,"IK Stanstad",1
"128","Leon Fuchs","Kungsgårdshallen",2,10,"FBC Engelholm D1",2
"129","Leon Fuchs","Kungsgårdshallen",2,10,"Willands IBK",1
"130","Leon Fuchs","Kungsgårdshallen",2,10,"IBK Lund D1",1
"131","Leon Fuchs","Landskrona Idrottshall",1,10,"Munka-Ljungby IBK",1
"132","Leon Fuchs","Landskrona Idrottshall",1,10,"IBK Landskrona",1
"133","Leon Fuchs","Munkahallen",1,10,"Munka-Ljungby IBK",1
"134","Leon Fuchs","Munkahallen",1,10,"IBK Lund D1",1
"135","Leon Fuchs","Skurups Sparbank Arena",3,10,"FC Helsingborg",1
"136","Leon Fuchs","Skurups Sparbank Arena",3,10,"IBK Landskrona",1
"137","Leon Fuchs","Skurups Sparbank Arena",3,10,"Skurups IBK D1",3
"138","Leon Fuchs","Skurups Sparbank Arena",3,10,"Munka-Ljungby IBK",1
"139","Leon Fuchs","Östratornhallen",1,10,"IBK Lund D1",1
"140","Leon Fuchs","Östratornhallen",1,10,"Höllvikens IBF",1
"141","Magnus Dandanell","Vipeholmshallen",1,1,"IBK Lund D1",1
"142","Magnus Dandanell","Vipeholmshallen",1,1,"Munka-Ljungby IBK",1
"143","Malena Björnlund","Baltiska Hallen B",1,10,"IK Stanstad",1
"144","Malena Björnlund","Baltiska Hallen B",1,10,"Malmö FBC Ungdom",1
"145","Malena Björnlund","Bråhögshallen",1,10,"IK Stanstad",1
"146","Malena Björnlund","Bråhögshallen",1,10,"FC Helsingborg",1
"147","Malena Björnlund","Halörhallen",1,10,"Höllvikens IBF",1
"148","Malena Björnlund","Halörhallen",1,10,"FBC Engelholm D1",1
"149","Malena Björnlund","Helsingborg Arena B",1,10,"FC Helsingborg",1
"150","Malena Björnlund","Helsingborg Arena B",1,10,"Skurups IBK D1",1
"151","Malena Björnlund","Häljarps Idrottshall",1,10,"Häljarps SK",1
"152","Malena Björnlund","Häljarps Idrottshall",1,10,"IBK Lund D1",1
"153","Malena Björnlund","Kirsebergs Sporthall",1,10,"FBC Engelholm D1",1
"154","Malena Björnlund","Kirsebergs Sporthall",1,10,"Malmö FBC Ungdom",1
"155","Malena Björnlund","Landskrona Idrottshall",1,10,"FC Helsingborg",1
"156","Malena Björnlund","Landskrona Idrottshall",1,10,"IBK Landskrona",1
"157","Malena Björnlund","Munkahallen",1,10,"Munka-Ljungby IBK",1
"158","Malena Björnlund","Munkahallen",1,10,"IBK Landskrona",1
"159","Malena Björnlund","Vipeholmshallen",2,10,"Malmö FBC Ungdom",1
"160","Malena Björnlund","Vipeholmshallen",2,10,"Munka-Ljungby IBK",1
"161","Malena Björnlund","Vipeholmshallen",2,10,"IBK Lund D1",2
"162","Markus Brink","Halörhallen",1,4,"Höllvikens IBF",1
"163","Markus Brink","Halörhallen",1,4,"FC Helsingborg",1
"164","Markus Brink","Hammar Skolas Sporthall",1,4,"Willands IBK",1
"165","Markus Brink","Hammar Skolas Sporthall",1,4,"IBK Lund D1",1
"166","Markus Brink","Landskrona Idrottshall",1,4,"IBK Landskrona",1
"167","Markus Brink","Landskrona Idrottshall",1,4,"Häljarps SK",1
"168","Markus Brink","Rydsgårds Arena",1,4,"Skurups IBK D1",1
"169","Markus Brink","Rydsgårds Arena",1,4,"Höllvikens IBF",1
"170","Mats Ekblad-Thun","Landskrona Idrottshall",1,1,"FC Helsingborg",1
"171","Mats Ekblad-Thun","Landskrona Idrottshall",1,1,"IBK Landskrona",1
"172","Matti Rouhiainen","Bråhögshallen",1,5,"IBK Landskrona",1
"173","Matti Rouhiainen","Bråhögshallen",1,5,"IK Stanstad",1
"174","Matti Rouhiainen","Kirsebergs Sporthall",4,5,"Häljarps SK",1
"175","Matti Rouhiainen","Kirsebergs Sporthall",4,5,"IBK Lund D1",1
"176","Matti Rouhiainen","Kirsebergs Sporthall",4,5,"Malmö FBC Ungdom",4
"177","Matti Rouhiainen","Kirsebergs Sporthall",4,5,"Skurups IBK D1",1
"178","Matti Rouhiainen","Kirsebergs Sporthall",4,5,"Munka-Ljungby IBK",1
"179","Mikael Björkqvist","Borstahusens Idrottshall",1,10,"FBC Engelholm D1",1
"180","Mikael Björkqvist","Borstahusens Idrottshall",1,10,"IBK Landskrona",1
"181","Mikael Björkqvist","Halörhallen",2,10,"Höllvikens IBF",2
"182","Mikael Björkqvist","Halörhallen",2,10,"IK Stanstad",1
"183","Mikael Björkqvist","Halörhallen",2,10,"Munka-Ljungby IBK",1
"184","Mikael Björkqvist","Hammar Skolas Sporthall",3,10,"IBK Landskrona",1
"185","Mikael Björkqvist","Hammar Skolas Sporthall",3,10,"Malmö FBC Ungdom",1
"186","Mikael Björkqvist","Hammar Skolas Sporthall",3,10,"Munka-Ljungby IBK",1
"187","Mikael Björkqvist","Hammar Skolas Sporthall",3,10,"Willands IBK",3
"188","Mikael Björkqvist","Kirsebergs Sporthall",1,10,"Höllvikens IBF",1
"189","Mikael Björkqvist","Kirsebergs Sporthall",1,10,"Malmö FBC Ungdom",1
"190","Mikael Björkqvist","Landskrona Idrottshall",1,10,"IBK Landskrona",1
"191","Mikael Björkqvist","Landskrona Idrottshall",1,10,"IK Stanstad",1
"192","Mikael Björkqvist","Skurups Sparbank Arena",2,10,"Skurups IBK D1",2
"193","Mikael Björkqvist","Skurups Sparbank Arena",2,10,"FBC Engelholm D1",1
"194","Mikael Björkqvist","Skurups Sparbank Arena",2,10,"IK Stanstad",1
"195","Mikael Bohman","Hammar Skolas Sporthall",1,2,"Willands IBK",1
"196","Mikael Bohman","Hammar Skolas Sporthall",1,2,"Höllvikens IBF",1
"197","Mikael Bohman","Kungsgårdshallen",1,2,"IBK Landskrona",1
"198","Mikael Bohman","Kungsgårdshallen",1,2,"FBC Engelholm D1",1
"199","Måns Gilén","Halörhallen",2,6,"Skurups IBK D1",1
"200","Måns Gilén","Halörhallen",2,6,"Höllvikens IBF",2
"201","Måns Gilén","Halörhallen",2,6,"IBK Lund D1",1
"202","Måns Gilén","Häljarps Idrottshall",1,6,"IK Stanstad",1
"203","Måns Gilén","Häljarps Idrottshall",1,6,"Häljarps SK",1
"204","Måns Gilén","Kungsgårdshallen",2,6,"Skurups IBK D1",1
"205","Måns Gilén","Kungsgårdshallen",2,6,"Munka-Ljungby IBK",1
"206","Måns Gilén","Kungsgårdshallen",2,6,"FBC Engelholm D1",2
"207","Måns Gilén","Ängelholms Idrottshall",1,6,"FBC Engelholm D1",1
"208","Måns Gilén","Ängelholms Idrottshall",1,6,"Malmö FBC Ungdom",1
"209","Mårten Högblom","Helsingborg Arena B",1,4,"FBC Engelholm D1",1
"210","Mårten Högblom","Helsingborg Arena B",1,4,"FC Helsingborg",1
"211","Mårten Högblom","Häljarps Idrottshall",1,4,"Malmö FBC Ungdom",1
"212","Mårten Högblom","Häljarps Idrottshall",1,4,"Häljarps SK",1
"213","Mårten Högblom","Munkahallen",1,4,"FC Helsingborg",1
"214","Mårten Högblom","Munkahallen",1,4,"Munka-Ljungby IBK",1
"215","Mårten Högblom","Vipeholmshallen",1,4,"IK Stanstad",1
"216","Mårten Högblom","Vipeholmshallen",1,4,"IBK Lund D1",1
"217","Per-Ivar Kullman","Hammar Skolas Sporthall",1,2,"Willands IBK",1
"218","Per-Ivar Kullman","Hammar Skolas Sporthall",1,2,"Höllvikens IBF",1
"219","Per-Ivar Kullman","Kungsgårdshallen",1,2,"FBC Engelholm D1",1
"220","Per-Ivar Kullman","Kungsgårdshallen",1,2,"IBK Landskrona",1
"221","Petter Niklasson","Bråhögshallen",1,10,"IBK Lund D1",1
"222","Petter Niklasson","Bråhögshallen",1,10,"IK Stanstad",1
"223","Petter Niklasson","Helsingborg Arena B",1,10,"IK Stanstad",1
"224","Petter Niklasson","Helsingborg Arena B",1,10,"FC Helsingborg",1
"225","Petter Niklasson","Kungsgårdshallen",2,10,"IBK Lund D1",1
"226","Petter Niklasson","Kungsgårdshallen",2,10,"Willands IBK",1
"227","Petter Niklasson","Kungsgårdshallen",2,10,"FBC Engelholm D1",2
"228","Petter Niklasson","Landskrona Idrottshall",1,10,"IBK Landskrona",1
