"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Nikolausson","ISCAR Arena Ney.se, Vetlanda",1,4,"Vetlanda IBF",1
"2","Adam Nikolausson","ISCAR Arena Ney.se, Vetlanda",1,4,"IBF Tranås",1
"3","Adam Nikolausson","Tranås Idrottshall",1,4,"IBF Tranås",1
"4","Adam Nikolausson","Tranås Idrottshall",1,4,"Olofströms IBK",1
"5","Adam Nikolausson","Värnamo Sporthall",2,4,"Craftstadens IBK Oskarshamn",1
"6","Adam Nikolausson","Värnamo Sporthall",2,4,"CL98IC",1
"7","Adam Nikolausson","Värnamo Sporthall",2,4,"Värnamo IK",2
"8","Anders A Nilsson","Jönköpings Idrottshus D-hall",1,2,"IBF Tranås",1
"9","Anders A Nilsson","Jönköpings Idrottshus D-hall",1,2,"Östra SK",1
"10","Anders A Nilsson","Värnamo Sporthall",1,2,"Värnamo IK",1
"11","Anders A Nilsson","Värnamo Sporthall",1,2,"Ryds SK",1
"12","Anders Everstrand","Arenan - Jönköpings Idrottshus",1,9,"Ryds SK",1
"13","Anders Everstrand","Arenan - Jönköpings Idrottshus",1,9,"Östra SK",1
"14","Anders Everstrand","Fortnox Arena Nivika hallen",1,9,"Östra SK",1
"15","Anders Everstrand","Fortnox Arena Nivika hallen",1,9,"Växjö IBK",1
"16","Anders Everstrand","Sävsjö Sporthall",3,9,"Gransholms IF",1
"17","Anders Everstrand","Sävsjö Sporthall",3,9,"Sävsjö IBK",3
"18","Anders Everstrand","Sävsjö Sporthall",3,9,"Östra SK",1
"19","Anders Everstrand","Sävsjö Sporthall",3,9,"Växjö IBK",1
"20","Anders Everstrand","Tranås Idrottshall",1,9,"Craftstadens IBK Oskarshamn",1
"21","Anders Everstrand","Tranås Idrottshall",1,9,"IBF Tranås",1
"22","Anders Everstrand","Värnamo Sporthall",3,9,"Värnamo IK",3
"23","Anders Everstrand","Värnamo Sporthall",3,9,"Gransholms IF",1
"24","Anders Everstrand","Värnamo Sporthall",3,9,"Olofströms IBK",1
"25","Anders Everstrand","Värnamo Sporthall",3,9,"Östra SK",1
"26","Anders Stenberg","Falkenbergshallen",1,9,"CL98IC",1
"27","Anders Stenberg","Falkenbergshallen",1,9,"Ryds SK",1
"28","Anders Stenberg","Färjehallen",2,9,"FBC Kalmarsund Ungdom",2
"29","Anders Stenberg","Färjehallen",2,9,"Östra SK",1
"30","Anders Stenberg","Färjehallen",2,9,"CL98IC",1
"31","Anders Stenberg","Kalmar Sporthall A-hall",1,9,"CL98IC",1
"32","Anders Stenberg","Kalmar Sporthall A-hall",1,9,"Växjö IBK",1
"33","Anders Stenberg","Olofströms Sporthall",2,9,"Olofströms IBK",2
"34","Anders Stenberg","Olofströms Sporthall",2,9,"Vetlanda IBF",1
"35","Anders Stenberg","Olofströms Sporthall",2,9,"Östra SK",1
"36","Anders Stenberg","Oskarshamns Sporthall A-hall",1,9,"Craftstadens IBK Oskarshamn",1
"37","Anders Stenberg","Oskarshamns Sporthall A-hall",1,9,"Sävsjö IBK",1
"38","Anders Stenberg","Ryds Sporthall",2,9,"FBC Kalmarsund Ungdom",1
"39","Anders Stenberg","Ryds Sporthall",2,9,"CL98IC",1
"40","Anders Stenberg","Ryds Sporthall",2,9,"Ryds SK",2
"41","Annie Nordmark","Fortnox Arena Nivika hallen",1,1,"Växjö IBK",1
"42","Annie Nordmark","Fortnox Arena Nivika hallen",1,1,"CL98IC",1
"43","Bengt Andersson","Falkenbergshallen",3,7,"CL98IC",3
"44","Bengt Andersson","Falkenbergshallen",3,7,"Ryds SK",1
"45","Bengt Andersson","Falkenbergshallen",3,7,"Östra SK",1
"46","Bengt Andersson","Falkenbergshallen",3,7,"IBF Tranås",1
"47","Bengt Andersson","Färjehallen",3,7,"Värnamo IK",1
"48","Bengt Andersson","Färjehallen",3,7,"IBF Tranås",1
"49","Bengt Andersson","Färjehallen",3,7,"Växjö IBK",1
"50","Bengt Andersson","Färjehallen",3,7,"FBC Kalmarsund Ungdom",3
"51","Bengt Andersson","Oskarshamns Sporthall A-hall",1,7,"IBF Tranås",1
"52","Bengt Andersson","Oskarshamns Sporthall A-hall",1,7,"Craftstadens IBK Oskarshamn",1
"53","Casper Dahlberg","Fortnox Arena Nivika hallen",1,5,"Växjö IBK",1
"54","Casper Dahlberg","Fortnox Arena Nivika hallen",1,5,"IBF Tranås",1
"55","Casper Dahlberg","Gemla Sporthall",2,5,"FBC Kalmarsund Ungdom",1
"56","Casper Dahlberg","Gemla Sporthall",2,5,"Östra SK",1
"57","Casper Dahlberg","Gemla Sporthall",2,5,"Gransholms IF",2
"58","Casper Dahlberg","Sävsjö Sporthall",2,5,"Sävsjö IBK",2
"59","Casper Dahlberg","Sävsjö Sporthall",2,5,"Vetlanda IBF",1
