"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Admir Brkic","Västergård Arena A",1,1,"Boxholms IBK",1
"2","Admir Brkic","Västergård Arena A",1,1,"Telge SIBK U-lag",1
"3","Andreas A Karlsson","Billbäcks Arena",2,2,"Boxholms IBK",1
"4","Andreas A Karlsson","Billbäcks Arena",2,2,"Telge SIBK U-lag",1
"5","Andreas A Karlsson","Billbäcks Arena",2,2,"BK Vingen /IBF Norrköping",2
"6","Bemir Brkic","Björkestahallen",1,1,"Nykvarns IBF Ungdom ",1
"7","Bemir Brkic","Björkestahallen",1,1,"IBK Åtvidaberg/IBF Linköping U-lag",1
"8","Camilla Örnebro","Västergård Arena A",1,1,"Boxholms IBK",1
"9","Camilla Örnebro","Västergård Arena A",1,1,"Telge SIBK U-lag",1
"10","Claes Waernholm","Boxholm Sporthall",1,2,"Boxholms IBK ",1
"11","Claes Waernholm","Boxholm Sporthall",1,2,"FBC Nyköping",1
"12","Claes Waernholm","Rydshallen",1,2,"IBK Åtvidaberg/IBF Linköping U-lag",1
"13","Claes Waernholm","Rydshallen",1,2,"Nykvarns IBF Ungdom",1
"14","Daniel Lindbom-Rydell","Rydshallen",1,1,"Linköpings Universitets AIF IBK",1
"15","Daniel Lindbom-Rydell","Rydshallen",1,1,"Telge SIBK U-lag",1
"16","Daniel Pettersson","Nyköpings Sporthall",2,2,"FBC Nyköping",2
"17","Daniel Pettersson","Nyköpings Sporthall",2,2,"BK Vingen /IBF Norrköping",1
"18","Daniel Pettersson","Nyköpings Sporthall",2,2,"Telge SIBK U-lag",1
"19","Denis Ogresevic","Folkungahallen",1,2,"Linköpings Universitets AIF IBK",1
"20","Denis Ogresevic","Folkungahallen",1,2,"FBC Nyköping",1
"21","Denis Ogresevic","Motala Sporthall",1,2,"Solfjäderstaden IBK/Bergs IK",1
"22","Denis Ogresevic","Motala Sporthall",1,2,"Telge SIBK U-lag",1
"23","Elvis Ogresevic","Folkungahallen",1,2,"Linköpings Universitets AIF IBK",1
"24","Elvis Ogresevic","Folkungahallen",1,2,"FBC Nyköping",1
"25","Elvis Ogresevic","Motala Sporthall",1,2,"Solfjäderstaden IBK/Bergs IK",1
"26","Elvis Ogresevic","Motala Sporthall",1,2,"Telge SIBK U-lag",1
"27","Emil Glenngård","Boxholm Sporthall",1,1,"Linköpings Universitets AIF IBK",1
"28","Emil Glenngård","Boxholm Sporthall",1,1,"Boxholms IBK ",1
"29","Emil Lindhe","Nyköpings Sporthall",1,1,"Telge SIBK U-lag",1
"30","Emil Lindhe","Nyköpings Sporthall",1,1,"FBC Nyköping",1
"31","Emil Magnusson","Billbäcks Arena",1,1,"BK Vingen /IBF Norrköping",1
"32","Emil Magnusson","Billbäcks Arena",1,1,"Boxholms IBK",1
"33","Hampus Larsson","Boxholm Sporthall",2,2,"Boxholms IBK ",2
"34","Hampus Larsson","Boxholm Sporthall",2,2,"Nykvarns IBF Ungdom",1
"35","Hampus Larsson","Boxholm Sporthall",2,2,"IBK Åtvidaberg/IBF Linköping U-lag",1
"36","Håkan Karlsson","Kärnahallen",1,1,"IBK Åtvidaberg/IBF Linköping U-lag",1
"37","Håkan Karlsson","Kärnahallen",1,1,"BK Vingen /IBF Norrköping",1
"38","Ivan Wahlström","Björkestahallen",2,3,"Nykvarns IBF Ungdom ",2
"39","Ivan Wahlström","Björkestahallen",2,3,"Telge SIBK U-lag",1
"40","Ivan Wahlström","Björkestahallen",2,3,"Solfjäderstaden IBK/Bergs IK",1
"41","Ivan Wahlström","Västergård Arena A",1,3,"Linköpings Universitets AIF IBK",1
"42","Ivan Wahlström","Västergård Arena A",1,3,"Telge SIBK U-lag",1
"43","Jesper Jonsson","Kärnahallen",1,1,"Linköpings Universitets AIF IBK",1
"44","Jesper Jonsson","Kärnahallen",1,1,"Nykvarns IBF Ungdom",1
"45","Jimmy Eliasson","Kärnahallen",1,2,"Nykvarns IBF Ungdom",1
"46","Jimmy Eliasson","Kärnahallen",1,2,"Linköpings Universitets AIF IBK",1
"47","Jimmy Eliasson","Rydshallen",1,2,"Linköpings Universitets AIF IBK",1
"48","Jimmy Eliasson","Rydshallen",1,2,"Telge SIBK U-lag",1
"49","Jimmy Lindell","Folkungahallen",1,2,"Linköpings Universitets AIF IBK",1
"50","Jimmy Lindell","Folkungahallen",1,2,"BK Vingen /IBF Norrköping",1
"51","Jimmy Lindell","Rydshallen",1,2,"IBK Åtvidaberg/IBF Linköping U-lag",1
"52","Jimmy Lindell","Rydshallen",1,2,"Solfjäderstaden IBK/Bergs IK",1
"53","Johan Wiggur","Mässhallen A",1,2,"Nykvarns IBF Ungdom",1
"54","Johan Wiggur","Mässhallen A",1,2,"BK Vingen /IBF Norrköping",1
"55","Johan Wiggur","Rydshallen",1,2,"IBK Åtvidaberg/IBF Linköping U-lag",1
"56","Johan Wiggur","Rydshallen",1,2,"Linköpings Universitets AIF IBK",1
"57","Josef Celik","Björkestahallen",1,1,"Nykvarns IBF Ungdom ",1
"58","Josef Celik","Björkestahallen",1,1,"FBC Nyköping",1
"59","Magnus Jakobsson","Mässhallen A",1,1,"Nykvarns IBF Ungdom",1
"60","Magnus Jakobsson","Mässhallen A",1,1,"BK Vingen /IBF Norrköping",1
"61","Malin Gelin","Boxholm Sporthall",1,2,"Boxholms IBK ",1
"62","Malin Gelin","Boxholm Sporthall",1,2,"FBC Nyköping",1
"63","Malin Gelin","Rydshallen",1,2,"Nykvarns IBF Ungdom",1
"64","Malin Gelin","Rydshallen",1,2,"IBK Åtvidaberg/IBF Linköping U-lag",1
"65","Markus Hilmerson","Kärnahallen",1,1,"BK Vingen /IBF Norrköping",1
"66","Markus Hilmerson","Kärnahallen",1,1,"IBK Åtvidaberg/IBF Linköping U-lag",1
"67","Martin Dahl","Boxholm Sporthall",1,1,"Solfjäderstaden IBK/Bergs IK",1
"68","Martin Dahl","Boxholm Sporthall",1,1,"Boxholms IBK ",1
"69","Martin Palmqvist","Rydshallen",1,1,"FBC Nyköping",1
"70","Martin Palmqvist","Rydshallen",1,1,"IBK Åtvidaberg/IBF Linköping U-lag",1
"71","Mathias Lindvall","Björkestahallen",2,3,"Solfjäderstaden IBK/Bergs IK",1
"72","Mathias Lindvall","Björkestahallen",2,3,"Telge SIBK U-lag",1
