"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Haglund","Brogårdshallen",2,5,"Sala Silverstaden IBK",1
"2","Adam Haglund","Brogårdshallen",2,5,"Kristinehamns IBF",1
"3","Adam Haglund","Brogårdshallen",2,5,"IFK Arboga IBK",1
"4","Adam Haglund","Brogårdshallen",2,5,"Kristinehamns IBF",1
"5","Adam Haglund","Colorama Arena",2,5,"Per-Ols IBF",1
"6","Adam Haglund","Colorama Arena",2,5,"IBK Sala",1
"7","Adam Haglund","Colorama Arena",2,5,"Skattkärrs IK",1
"8","Adam Haglund","Colorama Arena",2,5,"Karlstad IBF Ungdom",1
"9","Adam Haglund","Spångbergshallen",1,5,"Lillån IBK",1
"10","Adam Haglund","Spångbergshallen",1,5,"Filipstad IBK ",1
"11","Albin Jakobsson","Colorama Arena",2,3,"Skattkärrs IK",2
"12","Albin Jakobsson","Colorama Arena",2,3,"Karlstad IBF Ungdom",2
"13","Albin Jakobsson","Spångbergshallen",1,3,"Filipstad IBK ",1
"14","Albin Jakobsson","Spångbergshallen",1,3,"Karlstad IBF Ungdom",1
"15","Anna Palmqvist","Idrottshuset, Örebro Plan 1",1,2,"Lillån IBK",1
"16","Anna Palmqvist","Idrottshuset, Örebro Plan 1",1,2,"Hagfors IF Uddeholm",1
"17","Anna Palmqvist","Kumlahallen",1,2,"Kumla IBK",1
"18","Anna Palmqvist","Kumlahallen",1,2,"Per-Ols IBF",1
"19","Berndt Swärd","Idrottshuset, Örebro Plan 1",2,3,"Skattkärrs IK",1
"20","Berndt Swärd","Idrottshuset, Örebro Plan 1",2,3,"Lillån IBK",2
"21","Berndt Swärd","Idrottshuset, Örebro Plan 1",2,3,"Kristinehamns IBF",1
"22","Berndt Swärd","Mellringehallen - Örebro",1,3,"IBF Örebro Ungdom",1
"23","Berndt Swärd","Mellringehallen - Örebro",1,3,"Karlstad IBF Ungdom",1
"24","Camilla Eriksson","Fagerstahallen",1,6,"Per-Ols IBF",1
"25","Camilla Eriksson","Fagerstahallen",1,6,"Filipstad IBK",1
"26","Camilla Eriksson","Nibblehallen",2,6,"IBK Hallsta",2
"27","Camilla Eriksson","Nibblehallen",2,6,"IBK Sala",1
