"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund","Storsjöhallen",3,4,"Örnsköldsvik IBF",1
"2","Albin Berglund","Storsjöhallen",3,4,"Holmsund City IBC",3
"3","Albin Berglund","Storsjöhallen",3,4,"Skellefteå IBK",1
"4","Albin Berglund","Storsjöhallen",3,4,"Sandåkerns SK",1
"5","Albin Berglund","Sävaråhallen",1,4,"Kågedalens AIF",1
"6","Albin Berglund","Sävaråhallen",1,4,"Sävar IK",1
"7","Alvin Gustavsson","Balderhallen A",1,1,"Röbäcks IF",1
"8","Alvin Gustavsson","Balderhallen A",1,1,"Kågedalens AIF",1
"9","Andreas Nyman","Skyttis Arena",2,2,"Sävar IK",1
"10","Andreas Nyman","Skyttis Arena",2,2,"Örnsköldsvik IBF",1
"11","Andreas Nyman","Skyttis Arena",2,2,"Örnsköldsvik IBF",1
"12","Andreas Nyman","Skyttis Arena",2,2,"Kågedalens AIF",1
"13","Andreas Weckfors","Elofssonhallen",1,1,"Röbäcks IF",1
"14","Andreas Weckfors","Elofssonhallen",1,1,"Sävar IK",1
"15","Daniel Johannesson","Musköten 1",1,4,"Sandåkerns SK",1
"16","Daniel Johannesson","Musköten 1",1,4,"Sävar IK",1
"17","Daniel Johannesson","Musköten 2",1,4,"Sandåkerns SK",1
"18","Daniel Johannesson","Musköten 2",1,4,"Holmsund City IBC",1
"19","Daniel Johannesson","Storsjöhallen",1,4,"Sävar IK",1
"20","Daniel Johannesson","Storsjöhallen",1,4,"Holmsund City IBC",1
"21","Daniel Johannesson","Sävaråhallen",1,4,"Örnsköldsvik IBF",1
"22","Daniel Johannesson","Sävaråhallen",1,4,"Sävar IK",1
"23","David Jonsson","Balderhallen A",1,1,"Kågedalens AIF",1
"24","David Jonsson","Balderhallen A",1,1,"Holmsund City IBC",1
"25","David Karlsson","Hammarhallen Vännäs",1,1,"Kågedalens AIF",1
"26","David Karlsson","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"27","Erik Hörnros","Hammarhallen Vännäs",1,3,"Holmsund City IBC",1
"28","Erik Hörnros","Hammarhallen Vännäs",1,3,"Spöland Vännäs IF",1
"29","Erik Hörnros","Musköten 2",1,3,"Sandåkerns SK",1
"30","Erik Hörnros","Musköten 2",1,3,"Spöland Vännäs IF",1
"31","Erik Hörnros","Sävaråhallen",1,3,"Sävar IK",1
"32","Erik Hörnros","Sävaråhallen",1,3,"Skellefteå IBK",1
"33","Fredrik Söderholm","Skyttis Arena",1,1,"Örnsköldsvik IBF",1
"34","Fredrik Söderholm","Skyttis Arena",1,1,"Sävar IK",1
"35","Gustav Broadhall","Musköten 1",1,4,"Sävar IK",1
"36","Gustav Broadhall","Musköten 1",1,4,"Sandåkerns SK",1
"37","Gustav Broadhall","Musköten 2",1,4,"Sandåkerns SK",1
"38","Gustav Broadhall","Musköten 2",1,4,"Holmsund City IBC",1
"39","Gustav Broadhall","Storsjöhallen",1,4,"Sävar IK",1
"40","Gustav Broadhall","Storsjöhallen",1,4,"Holmsund City IBC",1
"41","Gustav Broadhall","Sävaråhallen",1,4,"Sävar IK",1
"42","Gustav Broadhall","Sävaråhallen",1,4,"Örnsköldsvik IBF",1
"43","Jimmy Halldin","Hammarhallen Vännäs",1,3,"Holmsund City IBC",1
"44","Jimmy Halldin","Hammarhallen Vännäs",1,3,"Spöland Vännäs IF",1
"45","Jimmy Halldin","Musköten 2",1,3,"Sandåkerns SK",1
"46","Jimmy Halldin","Musköten 2",1,3,"Spöland Vännäs IF",1
"47","Jimmy Halldin","Sävaråhallen",1,3,"Skellefteå IBK",1
"48","Jimmy Halldin","Sävaråhallen",1,3,"Sävar IK",1
"49","Joakim Nydahl","Skyttis Arena",1,1,"Örnsköldsvik IBF",1
"50","Joakim Nydahl","Skyttis Arena",1,1,"Kågedalens AIF",1
"51","Johan Rönnberg","Balderhallen A",2,2,"Holmsund City IBC",1
"52","Johan Rönnberg","Balderhallen A",2,2,"Kågedalens AIF",2
"53","Johan Rönnberg","Balderhallen A",2,2,"Skellefteå IBK",1
"54","Julia Fältén","Musköten 2",1,2,"Sandåkerns SK",1
"55","Julia Fältén","Musköten 2",1,2,"Kågedalens AIF",1
"56","Julia Fältén","Storsjöhallen",1,2,"Röbäcks IF",1
"57","Julia Fältén","Storsjöhallen",1,2,"Holmsund City IBC",1
"58","Linus Berglund","Storsjöhallen",3,4,"Skellefteå IBK",1
"59","Linus Berglund","Storsjöhallen",3,4,"Holmsund City IBC",3
"60","Linus Berglund","Storsjöhallen",3,4,"Örnsköldsvik IBF",1
