"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Everstrand","Nyhemshallen - Mullsjö",1,1,"Mullsjö AIS",1
"2","Anders Everstrand","Nyhemshallen - Mullsjö",1,1,"Fristads GoIF",1
"3","Bjarne Wesenlund","Almåshallen - Borås",2,3,"Sandareds IBS",2
"4","Bjarne Wesenlund","Almåshallen - Borås",2,3,"BK Halna",1
"5","Bjarne Wesenlund","Almåshallen - Borås",2,3,"Fristads GoIF",1
"6","Bjarne Wesenlund","Idrottshuset, Vänersborg",1,3,"Tvåstad KIK",1
"7","Bjarne Wesenlund","Idrottshuset, Vänersborg",1,3,"Fagerhult Habo IBK",1
"8","Carl Larsson","Almåshallen - Borås",1,7,"Mullsjö AIS",1
"9","Carl Larsson","Almåshallen - Borås",1,7,"Sandareds IBS",1
"10","Carl Larsson","Fristadhallen, Fristad",1,7,"Fristads GoIF",1
"11","Carl Larsson","Fristadhallen, Fristad",1,7,"BK Halna",1
"12","Carl Larsson","Habo Sporthall A-hall",2,7,"Fagerhult Habo IBK ",2
"13","Carl Larsson","Habo Sporthall A-hall",2,7,"Skövde IBF",1
"14","Carl Larsson","Habo Sporthall A-hall",2,7,"IBK Alingsås",1
"15","Carl Larsson","Nyhemshallen - Mullsjö",1,7,"IBK Lockerud Mariestad U",1
"16","Carl Larsson","Nyhemshallen - Mullsjö",1,7,"Mullsjö AIS",1
"17","Carl Larsson","Stadsskogshallen, Alingsås",1,7,"IBK Alingsås ",1
"18","Carl Larsson","Stadsskogshallen, Alingsås",1,7,"IBK Lidköping",1
"19","Carl Larsson","Öxabäckshallen",1,7,"IBK Tygriket 99",1
"20","Carl Larsson","Öxabäckshallen",1,7,"BK Halna",1
"21","Christoffer Danielsson","Habo Sporthall A-hall",1,4,"Fagerhult Habo IBK ",1
"22","Christoffer Danielsson","Habo Sporthall A-hall",1,4,"Sandareds IBS",1
"23","Christoffer Danielsson","Idrottens hus i Lidköping",1,4,"IBK Lidköping",1
"24","Christoffer Danielsson","Idrottens hus i Lidköping",1,4,"Fristads GoIF",1
"25","Christoffer Danielsson","Idrottshallen, Töreboda",1,4,"Fagerhult Habo IBK",1
"26","Christoffer Danielsson","Idrottshallen, Töreboda",1,4,"BK Halna",1
"27","Christoffer Danielsson","Nyhemshallen - Mullsjö",1,4,"Fagerhult Habo IBK",1
"28","Christoffer Danielsson","Nyhemshallen - Mullsjö",1,4,"Mullsjö AIS",1
"29","Dan Pettersson","Arena C, Skövde",1,9,"BK Halna",1
"30","Dan Pettersson","Arena C, Skövde",1,9,"Skövde IBF",1
"31","Dan Pettersson","Fristadhallen, Fristad",1,9,"Fristads GoIF",1
"32","Dan Pettersson","Fristadhallen, Fristad",1,9,"IBK Alingsås",1
"33","Dan Pettersson","Habo Sporthall A-hall",1,9,"IBK Lidköping",1
"34","Dan Pettersson","Habo Sporthall A-hall",1,9,"Fagerhult Habo IBK ",1
"35","Dan Pettersson","Idrottshuset, Vänersborg",2,9,"Skövde IBF",1
"36","Dan Pettersson","Idrottshuset, Vänersborg",2,9,"Tvåstad KIK",2
"37","Dan Pettersson","Idrottshuset, Vänersborg",2,9,"Mullsjö AIS",1
"38","Dan Pettersson","Stadsskogshallen, Alingsås",4,9,"BK Halna",1
"39","Dan Pettersson","Stadsskogshallen, Alingsås",4,9,"Fagerhult Habo IBK",1
"40","Dan Pettersson","Stadsskogshallen, Alingsås",4,9,"IBK Alingsås ",1
"41","Dan Pettersson","Stadsskogshallen, Alingsås",4,9,"Tvåstad KIK",1
"42","Dan Pettersson","Stadsskogshallen, Alingsås",4,9,"Mullsjö AIS",1
"43","Dan Pettersson","Stadsskogshallen, Alingsås",4,9,"IBK Alingsås ",3
"44","Daniel Dimitrovski","Arena C, Skövde",1,8,"Sandareds IBS",1
"45","Daniel Dimitrovski","Arena C, Skövde",1,8,"Skövde IBF",1
"46","Daniel Dimitrovski","Fristadhallen, Fristad",1,8,"Fristads GoIF",1
"47","Daniel Dimitrovski","Fristadhallen, Fristad",1,8,"Fagerhult Habo IBK",1
"48","Daniel Dimitrovski","Habo Sporthall A-hall",2,8,"Mullsjö AIS",1
"49","Daniel Dimitrovski","Habo Sporthall A-hall",2,8,"IBK Tygriket 99",1
"50","Daniel Dimitrovski","Habo Sporthall A-hall",2,8,"Fagerhult Habo IBK ",2
"51","Daniel Dimitrovski","Idrottshuset, Vänersborg",1,8,"Fristads GoIF",1
"52","Daniel Dimitrovski","Idrottshuset, Vänersborg",1,8,"Tvåstad KIK",1
"53","Daniel Dimitrovski","Kungabergshallen, Fritsla",1,8,"IBK Tygriket 99",1
"54","Daniel Dimitrovski","Kungabergshallen, Fritsla",1,8,"IBK Lidköping",1
"55","Daniel Dimitrovski","Nyhemshallen - Mullsjö",1,8,"Sandareds IBS",1
"56","Daniel Dimitrovski","Nyhemshallen - Mullsjö",1,8,"Mullsjö AIS",1
"57","Daniel Dimitrovski","Öxabäckshallen",1,8,"Skövde IBF",1
"58","Daniel Dimitrovski","Öxabäckshallen",1,8,"IBK Tygriket 99",1
"59","David Karlsson","Fristadhallen, Fristad",1,5,"IBK Lidköping",1
"60","David Karlsson","Fristadhallen, Fristad",1,5,"Fristads GoIF",1
"61","David Karlsson","Habo Sporthall A-hall",1,5,"IBK Lidköping",1
"62","David Karlsson","Habo Sporthall A-hall",1,5,"Fagerhult Habo IBK ",1
"63","David Karlsson","Idrottshuset, Vänersborg",2,5,"IBK Tygriket 99",1
"64","David Karlsson","Idrottshuset, Vänersborg",2,5,"Tvåstad KIK",2
"65","David Karlsson","Idrottshuset, Vänersborg",2,5,"Skövde IBF",1
"66","David Karlsson","Stadsskogshallen, Alingsås",1,5,"IBK Alingsås ",1
"67","David Karlsson","Stadsskogshallen, Alingsås",1,5,"Tvåstad KIK",1
"68","David Persson","Almåshallen - Borås",1,3,"Sandareds IBS",1
"69","David Persson","Almåshallen - Borås",1,3,"IBK Lockerud Mariestad U",1
"70","David Persson","Arena C, Skövde",1,3,"IBK Alingsås",1
"71","David Persson","Arena C, Skövde",1,3,"Skövde IBF",1
"72","David Persson","Fristadhallen, Fristad",1,3,"IBK Tygriket 99",1
"73","David Persson","Fristadhallen, Fristad",1,3,"Fristads GoIF",1
"74","Eino Vuoluterä","Arena C, Skövde",1,6,"Skövde IBF",1
"75","Eino Vuoluterä","Arena C, Skövde",1,6,"Mullsjö AIS",1
"76","Eino Vuoluterä","ICA-kvantum hallen, Mariestad",1,6,"IBK Lockerud Mariestad U",1
"77","Eino Vuoluterä","ICA-kvantum hallen, Mariestad",1,6,"Fristads GoIF",1
"78","Eino Vuoluterä","Idrottshallen, Töreboda",1,6,"BK Halna",1
"79","Eino Vuoluterä","Idrottshallen, Töreboda",1,6,"Mullsjö AIS",1
"80","Eino Vuoluterä","UW-Elasthallen, Mariestad",3,6,"IBK Lockerud Mariestad U",3
"81","Eino Vuoluterä","UW-Elasthallen, Mariestad",3,6,"IBK Alingsås",1
"82","Eino Vuoluterä","UW-Elasthallen, Mariestad",3,6,"IBK Tygriket 99",1
"83","Eino Vuoluterä","UW-Elasthallen, Mariestad",3,6,"Fagerhult Habo IBK",1
"84","Erling Josefsson","Almåshallen - Borås",1,6,"Sandareds IBS",1
"85","Erling Josefsson","Almåshallen - Borås",1,6,"IBK Alingsås",1
"86","Erling Josefsson","Arena C, Skövde",1,6,"Skövde IBF",1
"87","Erling Josefsson","Arena C, Skövde",1,6,"IBK Tygriket 99",1
"88","Erling Josefsson","Fristadhallen, Fristad",1,6,"IBK Lockerud Mariestad U",1
"89","Erling Josefsson","Fristadhallen, Fristad",1,6,"Fristads GoIF",1
"90","Erling Josefsson","Kungabergshallen, Fritsla",1,6,"Fristads GoIF",1
"91","Erling Josefsson","Kungabergshallen, Fritsla",1,6,"IBK Tygriket 99",1
"92","Erling Josefsson","Öxabäckshallen",2,6,"Sandareds IBS",1
"93","Erling Josefsson","Öxabäckshallen",2,6,"IBK Tygriket 99",1
"94","Erling Josefsson","Öxabäckshallen",2,6,"IBK Tygriket 99",1
"95","Erling Josefsson","Öxabäckshallen",2,6,"Mullsjö AIS",1
"96","Esko Leppimaa","Entréhallen, Trollhättan",2,3,"Sandareds IBS",1
"97","Esko Leppimaa","Entréhallen, Trollhättan",2,3,"BK Halna",1
"98","Esko Leppimaa","Entréhallen, Trollhättan",2,3,"Tvåstad KIK",2
"99","Esko Leppimaa","Idrottshuset, Vänersborg",1,3,"IBK Lidköping",1
"100","Esko Leppimaa","Idrottshuset, Vänersborg",1,3,"Tvåstad KIK",1
"101","Harri Tjäder","Almåshallen - Borås",3,6,"Sandareds IBS",3
"102","Harri Tjäder","Almåshallen - Borås",3,6,"Skövde IBF",1
"103","Harri Tjäder","Almåshallen - Borås",3,6,"IBK Lockerud Mariestad U",1
"104","Harri Tjäder","Almåshallen - Borås",3,6,"Mullsjö AIS",1
"105","Harri Tjäder","Arena C, Skövde",1,6,"Skövde IBF",1
"106","Harri Tjäder","Arena C, Skövde",1,6,"IBK Alingsås",1
"107","Harri Tjäder","Fristadhallen, Fristad",1,6,"IBK Tygriket 99",1
"108","Harri Tjäder","Fristadhallen, Fristad",1,6,"Fristads GoIF",1
"109","Harri Tjäder","Nyhemshallen - Mullsjö",1,6,"IBK Tygriket 99",1
"110","Harri Tjäder","Nyhemshallen - Mullsjö",1,6,"Mullsjö AIS",1
"111","Henrik Carlsson","Almåshallen - Borås",1,5,"Fristads GoIF",1
"112","Henrik Carlsson","Almåshallen - Borås",1,5,"Sandareds IBS",1
"113","Henrik Carlsson","Fristadhallen, Fristad",1,5,"IBK Alingsås",1
"114","Henrik Carlsson","Fristadhallen, Fristad",1,5,"Fristads GoIF",1
"115","Henrik Carlsson","Idrottshuset, Vänersborg",2,5,"Fagerhult Habo IBK",1
"116","Henrik Carlsson","Idrottshuset, Vänersborg",2,5,"IBK Lockerud Mariestad U",1
"117","Henrik Carlsson","Idrottshuset, Vänersborg",2,5,"Tvåstad KIK",2
"118","Henrik Carlsson","Stadsskogshallen, Alingsås",1,5,"IBK Alingsås ",1
"119","Henrik Carlsson","Stadsskogshallen, Alingsås",1,5,"Mullsjö AIS",1
"120","Henrik Sjöberg","Idrottens hus i Lidköping",1,1,"IBK Lockerud Mariestad U",1
"121","Henrik Sjöberg","Idrottens hus i Lidköping",1,1,"IBK Lidköping",1
"122","Iza Hederdahl","Idrottens hus i Lidköping",1,2,"Mullsjö AIS",1
"123","Iza Hederdahl","Idrottens hus i Lidköping",1,2,"IBK Lidköping",1
"124","Iza Hederdahl","Nyhemshallen - Mullsjö",1,2,"BK Halna",1
"125","Iza Hederdahl","Nyhemshallen - Mullsjö",1,2,"Mullsjö AIS",1
"126","Joakim Mattsson","Almåshallen - Borås",1,4,"Sandareds IBS",1
"127","Joakim Mattsson","Almåshallen - Borås",1,4,"IBK Alingsås",1
"128","Joakim Mattsson","Arena C, Skövde",1,4,"IBK Tygriket 99",1
"129","Joakim Mattsson","Arena C, Skövde",1,4,"Skövde IBF",1
"130","Joakim Mattsson","Öxabäckshallen",2,4,"Fagerhult Habo IBK",1
"131","Joakim Mattsson","Öxabäckshallen",2,4,"IBK Tygriket 99",2
"132","Joakim Mattsson","Öxabäckshallen",2,4,"Sandareds IBS",1
"133","Johan Thaning","Habo Sporthall A-hall",1,4,"Fagerhult Habo IBK ",1
"134","Johan Thaning","Habo Sporthall A-hall",1,4,"Sandareds IBS",1
"135","Johan Thaning","ICA-kvantum hallen, Mariestad",1,4,"BK Halna",1
