"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Jällfält","Qvisthallen",2,2,"Ale IBF",1
"2","Adam Jällfält","Qvisthallen",2,2,"IBF Backadalen",1
"3","Adam Jällfält","Qvisthallen",2,2,"Partille IBS",1
"4","Adam Jällfält","Qvisthallen",2,2,"Partille IBS",1
"5","Adam Kruse","Ale Kulturrum",1,16,"Lindome IBK Utv D1",1
"6","Adam Kruse","Ale Kulturrum",1,16,"Ale IBF",1
"7","Adam Kruse","Alléhallen",1,16,"Floda IBK D1",1
"8","Adam Kruse","Alléhallen",1,16,"Pixbo Wallenstam IBF",1
"9","Adam Kruse","Almåshallen A",1,16,"Lindome IBK Utv D1",1
"10","Adam Kruse","Almåshallen A",1,16,"IBK Kungälv D1",1
"11","Adam Kruse","Almåshallen B",1,16,"Ale IBF",1
"12","Adam Kruse","Almåshallen B",1,16,"Lindome IBK Utv D1",1
"13","Adam Kruse","Lundbystrand 1",1,16,"Burås IK D1",1
"14","Adam Kruse","Lundbystrand 1",1,16,"IBF Backadalen",1
"15","Adam Kruse","Qvisthallen",3,16,"IBK Göteborg D1",1
"16","Adam Kruse","Qvisthallen",3,16,"Partille IBS",3
"17","Adam Kruse","Qvisthallen",3,16,"Burås IK D1",1
"18","Adam Kruse","Qvisthallen",3,16,"IBK Kungälv D1",1
"19","Adam Kruse","Svingelns Sporthall",2,16,"Burås IK D1",2
"20","Adam Kruse","Svingelns Sporthall",2,16,"IK Zenith",1
"21","Adam Kruse","Svingelns Sporthall",2,16,"Pixbo Wallenstam IBF",1
"22","Adam Kruse","Torpahallen",3,16,"Partille IBS",1
"23","Adam Kruse","Torpahallen",3,16,"IBK Göteborg D1",1
"24","Adam Kruse","Torpahallen",3,16,"IK Zenith",1
"25","Adam Kruse","Torpahallen",3,16,"IBK Göteborg D1",2
"26","Adam Kruse","Torpahallen",3,16,"IBK Kungälv D1",1
"27","Adam Kruse","Tuve Sporthall",1,16,"Partille IBS",1
"28","Adam Kruse","Tuve Sporthall",1,16,"IBF Backadalen",1
"29","Adam Kruse","Valhalla A-hall",1,16,"Guldhedens IK D1",1
"30","Adam Kruse","Valhalla A-hall",1,16,"IBK Göteborg D1",1
"31","Adam Kruse","Wallenstamhallen",1,16,"IBK Kungälv D1",1
"32","Adam Kruse","Wallenstamhallen",1,16,"Pixbo Wallenstam IBF",1
"33","Adnan Tongur","Alléhallen",2,20,"Floda IBK D1",2
"34","Adnan Tongur","Alléhallen",2,20,"IBK Kungälv D1",1
"35","Adnan Tongur","Alléhallen",2,20,"Partille IBS",1
"36","Adnan Tongur","Almåshallen A",1,20,"Lindome IBK Utv D1",1
"37","Adnan Tongur","Almåshallen A",1,20,"Guldhedens IK D1",1
"38","Adnan Tongur","Almåshallen B",2,20,"FBC Lerum",1
"39","Adnan Tongur","Almåshallen B",2,20,"IBK Göteborg D1",1
"40","Adnan Tongur","Almåshallen B",2,20,"Lindome IBK Utv D1",1
"41","Adnan Tongur","Almåshallen B",2,20,"Lindome IBK Utv D1",1
"42","Adnan Tongur","Lundbystrand 1",2,20,"Guldhedens IK D1",1
"43","Adnan Tongur","Lundbystrand 1",2,20,"IK Zenith",1
"44","Adnan Tongur","Lundbystrand 1",2,20,"IBF Backadalen",2
"45","Adnan Tongur","Mimershus A-hallen",2,20,"IBK Kungälv D1",2
"46","Adnan Tongur","Mimershus A-hallen",2,20,"Floda IBK D1",1
"47","Adnan Tongur","Mimershus A-hallen",2,20,"IK Zenith",1
"48","Adnan Tongur","Qvisthallen",1,20,"Guldhedens IK D1",1
"49","Adnan Tongur","Qvisthallen",1,20,"Partille IBS",1
"50","Adnan Tongur","Rydsbergshallen",3,20,"Lindome IBK Utv D1",1
"51","Adnan Tongur","Rydsbergshallen",3,20,"Burås IK D1",1
"52","Adnan Tongur","Rydsbergshallen",3,20,"IBK Göteborg D1",1
"53","Adnan Tongur","Rydsbergshallen",3,20,"FBC Lerum",3
"54","Adnan Tongur","Svingelns Sporthall",1,20,"Partille IBS",1
"55","Adnan Tongur","Svingelns Sporthall",1,20,"Burås IK D1",1
"56","Adnan Tongur","Torpahallen",2,20,"IBK Göteborg D1",2
"57","Adnan Tongur","Torpahallen",2,20,"Lindome IBK Utv D1",1
"58","Adnan Tongur","Torpahallen",2,20,"IBF Backadalen",1
"59","Adnan Tongur","Valhalla A-hall",1,20,"IBF Backadalen",1
"60","Adnan Tongur","Valhalla A-hall",1,20,"Guldhedens IK D1",1
"61","Adnan Tongur","Valhalla C-hall",1,20,"IBK Kungälv D1",1
"62","Adnan Tongur","Valhalla C-hall",1,20,"Guldhedens IK D1",1
"63","Adnan Tongur","Wallenstamhallen",2,20,"IK Zenith",1
"64","Adnan Tongur","Wallenstamhallen",2,20,"Pixbo Wallenstam IBF",2
"65","Adnan Tongur","Wallenstamhallen",2,20,"IBF Backadalen",1
"66","Aldin Hadziselmovic","Almåshallen A",1,13,"IBF Backadalen",1
"67","Aldin Hadziselmovic","Almåshallen A",1,13,"Lindome IBK Utv D1",1
"68","Aldin Hadziselmovic","Lundbystrand 1",1,13,"IBF Backadalen",1
"69","Aldin Hadziselmovic","Lundbystrand 1",1,13,"IBK Göteborg D1",1
"70","Aldin Hadziselmovic","Mimershus A-hallen",2,13,"IBK Kungälv D1",2
"71","Aldin Hadziselmovic","Mimershus A-hallen",2,13,"Partille IBS",1
"72","Aldin Hadziselmovic","Mimershus A-hallen",2,13,"IBF Backadalen",1
"73","Aldin Hadziselmovic","Qvisthallen",1,13,"Partille IBS",1
"74","Aldin Hadziselmovic","Qvisthallen",1,13,"IK Zenith",1
"75","Aldin Hadziselmovic","Rydsbergshallen",1,13,"Floda IBK D1",1
"76","Aldin Hadziselmovic","Rydsbergshallen",1,13,"IBF Backadalen",1
"77","Aldin Hadziselmovic","Streteredsskolan",1,13,"Burås IK D1",1
"78","Aldin Hadziselmovic","Streteredsskolan",1,13,"Lindome IBK Utv D1",1
"79","Aldin Hadziselmovic","Svingelns Sporthall",3,13,"Burås IK D1",3
"80","Aldin Hadziselmovic","Svingelns Sporthall",3,13,"Floda IBK D1",1
"81","Aldin Hadziselmovic","Svingelns Sporthall",3,13,"IBK Göteborg D1",1
"82","Aldin Hadziselmovic","Svingelns Sporthall",3,13,"FBC Lerum",1
"83","Aldin Hadziselmovic","Torpahallen",1,13,"FBC Lerum",1
"84","Aldin Hadziselmovic","Torpahallen",1,13,"IBK Göteborg D1",1
"85","Aldin Hadziselmovic","Tuve Sporthall",1,13,"Floda IBK D1",1
