"","Referee","TotalCount"
"1","Albin Berglund",4
"2","Alvin Gustavsson",1
"3","Andreas Nyman",2
"4","Andreas Weckfors",1
"5","Daniel Johannesson",4
"6","David Jonsson",1
"7","David Karlsson",1
"8","Erik Hörnros",3
"9","Fredrik Söderholm",1
"10","Gustav Broadhall",4
"11","Jimmy Halldin",3
"12","Joakim Nydahl",1
"13","Johan Rönnberg",2
"14","Julia Fältén",2
"15","Linus Berglund",4
"16","Lisa Vestman",2
"17","Lydia Elstig",2
"18","Mattias Karlsson",3
"19","Micael Holmbom",3
"20","Mikael Berglund",2
"21","Mikael Körning",1
"22","Olle Eliasson",1
"23","Patrik Häggström",1
"24","Peder Lövdahl",1
"25","Per Fallbjörk",3
"26","Rasmus Säfvenberg",1
"27","Roger Karlsson",2
"28","Sanna Åslin",2
"29","Stefan Nyberg",2
"30","Thomas Jonsson",1
"31","Tilde Wikström",1
"32","Ville Hedsberg",4
