"","Referee","TotalCount"
"1","Adam Kruse",9
"2","Adnan Tongur",15
"3","Aldin Hadziselmovic",4
"4","Alexander Pavlovic",5
"5","Apilou Dragin",12
"6","Besim Mehmedagic",6
"7","Carl Flyning",1
"8","Catrin Kleist",13
"9","Christian Jensen",2
"10","Gustav Glansén",4
"11","Hajrudin Begic",6
"12","Henrik Lord Johansson",1
"13","Håkan Krafft",6
"14","Jesper Dammert",2
"15","Joakim Amri Nilsson",10
"16","Joakim Jögi",1
"17","Johannes Svensson",1
"18","Kevin Nilsson",1
"19","Mats Sällberg",3
"20","Pelle Hellberg",2
"21","Peter Axelsson",5
"22","Pierre Eberhard Berg",2
"23","Pontus Ekengränd",7
"24","Rikard Mott",2
"25","Robin Cederdahl",1
"26","Roger Zahnér",3
"27","Torbjörn Zahner",2
"28","Walter Wästhage",4
