"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund","Musköten 2",1,2,"IBF Dalen DJ17",1
"2","Albin Berglund","Musköten 2",1,2,"Vindelns IF",1
"3","Albin Berglund","Storsjöhallen",1,2,"Holmsund City IBC",1
"4","Albin Berglund","Storsjöhallen",1,2,"Bureå Idrottsförening",1
"5","Alvin Gustavsson","Balderhallen A",1,2,"Clemensnäs IF",1
"6","Alvin Gustavsson","Balderhallen A",1,2,"Kågedalens AIF",1
"7","Alvin Gustavsson","Balderhallen B",1,2,"Skellefteå IBK /RIF",1
"8","Alvin Gustavsson","Balderhallen B",1,2,"Kågedalens AIF",1
"9","Alvina Mukkala","Elofssonhallen",1,2,"Gullänget-Kroksta IBS",1
"10","Alvina Mukkala","Elofssonhallen",1,2,"Röbäcks IF",1
"11","Alvina Mukkala","Musköten 1",1,2,"IBF Dalen /Hissjö SK",1
"12","Alvina Mukkala","Musköten 1",1,2,"Holmsund City IBC",1
"13","Andreas Nyman","Skyttis Arena",2,2,"IBF Dalen /Hissjö SK",1
"14","Andreas Nyman","Skyttis Arena",2,2,"Röbäcks IF",1
"15","Andreas Nyman","Skyttis Arena",2,2,"Gullänget-Kroksta IBS",1
"16","Andreas Nyman","Skyttis Arena",2,2,"Jäbo IK",1
"17","Andreas Åström","Balderhallen A",1,3,"Örnsköldsvik IBK /IBF",1
"18","Andreas Åström","Balderhallen A",1,3,"Skellefteå IBK /RIF",1
"19","Andreas Åström","Eddahallen",1,3,"Kågedalens AIF",1
"20","Andreas Åström","Eddahallen",1,3,"Umeå City IBF",1
"21","Andreas Åström","Morö Backe A",1,3,"Gimonäs Umeå IF",1
"22","Andreas Åström","Morö Backe A",1,3,"Kågedalens AIF",1
"23","Bjarne Andersson","Vildmannahallen",1,1,"Gimonäs Umeå IF /F04",1
"24","Bjarne Andersson","Vildmannahallen",1,1,"Bureå Idrottsförening",1
"25","Björn Glad","Elofssonhallen",1,9,"Röbäcks IF",1
"26","Björn Glad","Elofssonhallen",1,9,"Skellefteå IBS",1
"27","Björn Glad","Musköten 1",1,9,"Hissjö SK /IBF Dalen",1
"28","Björn Glad","Musköten 1",1,9,"Holmsund City IBC",1
"29","Björn Glad","Musköten 2",2,9,"IBF Dalen DJ17",1
"30","Björn Glad","Musköten 2",2,9,"Obbola IK",1
"31","Björn Glad","Musköten 2",2,9,"Gimonäs Umeå IF",1
"32","Björn Glad","Musköten 2",2,9,"IBF Dalen /Hissjö SK",1
"33","Björn Glad","Olasjöhallen",1,9,"IBF Dalen DJ17",1
"34","Björn Glad","Olasjöhallen",1,9,"Obbola IK",1
"35","Björn Glad","Storsjöhallen",1,9,"Clemensnäs IF",1
"36","Björn Glad","Storsjöhallen",1,9,"Holmsund City IBC",1
"37","Björn Glad","Sävaråhallen",1,9,"Örnsköldsvik IBK /IBF",1
"38","Björn Glad","Sävaråhallen",1,9,"Sävar IK/Täfteå IK",1
"39","Björn Glad","Vildmannahallen",2,9,"Hissjö SK /IBF Dalen",1
"40","Björn Glad","Vildmannahallen",2,9,"Umeå City IBF",1
"41","Björn Glad","Vildmannahallen",2,9,"Team Thorengruppen/Röbäcks IF",1
"42","Björn Glad","Vildmannahallen",2,9,"Gullänget-Kroksta IBS",1
"43","Carl Rosenberg","Anderstorpshallen",1,3,"Hissjö SK /IBF Dalen",1
"44","Carl Rosenberg","Anderstorpshallen",1,3,"Bureå Idrottsförening",1
"45","Carl Rosenberg","Balderhallen A",1,3,"Sävar IK/Täfteå IK",1
"46","Carl Rosenberg","Balderhallen A",1,3,"Kågedalens AIF",1
"47","Carl Rosenberg","Eddahallen",1,3,"Skellefteå IBS",1
"48","Carl Rosenberg","Eddahallen",1,3,"Bureå Idrottsförening",1
