"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Amir Zilic","Leksandshallen",4,9,"IK Sirius FBC",1
"2","Amir Zilic","Leksandshallen",4,9,"Insjöns BK",4
"3","Amir Zilic","Leksandshallen",4,9,"IBF Gagnef",1
"4","Amir Zilic","Leksandshallen",4,9,"Strömsbro IF",1
"5","Amir Zilic","Leksandshallen",4,9,"IBK Östhammar",1
"6","Amir Zilic","Maserhallen",2,9,"Björklinge BK",1
"7","Amir Zilic","Maserhallen",2,9,"KFUM Falun",1
"8","Amir Zilic","Maserhallen",2,9,"IBF Borlänge ",2
"9","Amir Zilic","Mockfjärds Sporthall",2,9,"Södra Tolvfors IF",1
"10","Amir Zilic","Mockfjärds Sporthall",2,9,"IBF Gagnef",2
"11","Amir Zilic","Mockfjärds Sporthall",2,9,"IBF Borlänge",1
"12","Amir Zilic","Testebo Arena",1,9,"KFUM Falun",1
"13","Amir Zilic","Testebo Arena",1,9,"Strömsbro IF",1
"14","Andreas Svensson","Enahallen",1,1,"Södra Tolvfors IF",1
"15","Andreas Svensson","Enahallen",1,1,"Lokomotiv Grillby IBK",1
"16","Arvid Englund","Enahallen",3,13,"Strömsbro IF",1
"17","Arvid Englund","Enahallen",3,13,"Björklinge BK",1
"18","Arvid Englund","Enahallen",3,13,"Lokomotiv Grillby IBK",3
"19","Arvid Englund","Enahallen",3,13,"Södra Tolvfors IF",1
"20","Arvid Englund","Frösåkersskolan",1,13,"Strömsbro IF",1
"21","Arvid Englund","Frösåkersskolan",1,13,"IBK Östhammar",1
"22","Arvid Englund","IFU Arena – Lundqvist EL",3,13,"IK Sirius FBC",3
"23","Arvid Englund","IFU Arena – Lundqvist EL",3,13,"Skutskärs IBK",1
"24","Arvid Englund","IFU Arena – Lundqvist EL",3,13,"Strömsbro IF",1
"25","Arvid Englund","IFU Arena – Lundqvist EL",3,13,"Björklinge BK",1
"26","Arvid Englund","IFU Arena A",2,13,"IK Sirius FBC",1
"27","Arvid Englund","IFU Arena A",2,13,"Livets Ord IF",1
"28","Arvid Englund","IFU Arena A",2,13,"IBF Borlänge",1
"29","Arvid Englund","IFU Arena A",2,13,"Björklinge BK",1
"30","Arvid Englund","Rotskärsskolans Sporthall",1,13,"Skutskärs IBK",1
"31","Arvid Englund","Rotskärsskolans Sporthall",1,13,"Björklinge BK",1
"32","Arvid Englund","Uppsala Life Arena",3,13,"Livets Ord IF",3
"33","Arvid Englund","Uppsala Life Arena",3,13,"Björklinge BK",1
