"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Christoffer Söderström","Haverdalshallen",1,13,"Kustens IF",1
"2","Christoffer Söderström","Haverdalshallen",1,13,"Warberg IBF",1
"3","Christoffer Söderström","Kattegatthallen",2,13,"Falkenbergs IBK",1
"4","Christoffer Söderström","Kattegatthallen",2,13,"Träslövsläge IF",1
"5","Christoffer Söderström","Kattegatthallen",2,13,"Särö IBK",1
"6","Christoffer Söderström","Kattegatthallen",2,13,"Falkenbergs IBK",1
"7","Christoffer Söderström","Kullavikshallen",3,13,"Sandö IBK",1
"8","Christoffer Söderström","Kullavikshallen",3,13,"Särö IBK",2
"9","Christoffer Söderström","Kullavikshallen",3,13,"Vinbergs IBS",1
"10","Christoffer Söderström","Kullavikshallen",3,13,"Onsala IBK",1
"11","Christoffer Söderström","Kullavikshallen",3,13,"Särö IBK",1
"12","Christoffer Söderström","Presse Idrottshall",1,13,"Sandö IBK",1
"13","Christoffer Söderström","Presse Idrottshall",1,13,"Onsala IBK",1
"14","Christoffer Söderström","Sparbanken Wictory Center, Salmingplanen",1,13,"Warberg IBF",1
"15","Christoffer Söderström","Sparbanken Wictory Center, Salmingplanen",1,13,"Träslövsläge IF",1
"16","Christoffer Söderström","Vallda Idrottshall",1,13,"Sandö IBK",1
"17","Christoffer Söderström","Vallda Idrottshall",1,13,"Träslövsläge IF",1
"18","Christoffer Söderström","Vidhögehallen",3,13,"Kustens IF",1
"19","Christoffer Söderström","Vidhögehallen",3,13,"Vinbergs IBS",1
"20","Christoffer Söderström","Vidhögehallen",3,13,"Sandö IBK",1
"21","Christoffer Söderström","Vidhögehallen",3,13,"Veddige IBK",3
"22","Christoffer Söderström","Vinbergs Idrottshall",1,13,"Särö IBK",1
"23","Christoffer Söderström","Vinbergs Idrottshall",1,13,"Vinbergs IBS",1
"24","Daniel Hultberg","Haverdalshallen",1,5,"Falkenbergs IBK",1
"25","Daniel Hultberg","Haverdalshallen",1,5,"Kustens IF",1
"26","Daniel Hultberg","Kattegatthallen",1,5,"Sandö IBK",1
"27","Daniel Hultberg","Kattegatthallen",1,5,"Falkenbergs IBK",1
"28","Daniel Hultberg","Kullavikshallen",1,5,"Träslövsläge IF",1
"29","Daniel Hultberg","Kullavikshallen",1,5,"Särö IBK",1
"30","Daniel Hultberg","Presse Idrottshall",1,5,"Onsala IBK",1
"31","Daniel Hultberg","Presse Idrottshall",1,5,"Träslövsläge IF",1
"32","Daniel Hultberg","Vidhögehallen",1,5,"Warberg IBF",1
"33","Daniel Hultberg","Vidhögehallen",1,5,"Veddige IBK",1
"34","Eino Kozan","Kattegatthallen",1,1,"Falkenbergs IBK",1
"35","Eino Kozan","Kattegatthallen",1,1,"Träslövsläge IF",1
"36","Henrik Andersson","Ankarhallen",1,12,"Sandö IBK",1
"37","Henrik Andersson","Ankarhallen",1,12,"Träslövsläge IF",1
"38","Henrik Andersson","Brearedshallen",1,12,"Träslövsläge IF",1
"39","Henrik Andersson","Brearedshallen",1,12,"Vinbergs IBS",1
"40","Henrik Andersson","Falkhallen",1,12,"Vinbergs IBS",1
"41","Henrik Andersson","Falkhallen",1,12,"Falkenbergs IBK",1
"42","Henrik Andersson","Kattegatthallen",2,12,"Falkenbergs IBK",2
"43","Henrik Andersson","Kattegatthallen",2,12,"Veddige IBK",1
"44","Henrik Andersson","Kattegatthallen",2,12,"Kustens IF",1
"45","Henrik Andersson","Presse Idrottshall",2,12,"Kustens IF",1
"46","Henrik Andersson","Presse Idrottshall",2,12,"Onsala IBK",2
"47","Henrik Andersson","Presse Idrottshall",2,12,"Veddige IBK",1
"48","Henrik Andersson","Vallda Idrottshall",1,12,"Warberg IBF",1
"49","Henrik Andersson","Vallda Idrottshall",1,12,"Sandö IBK",1
"50","Henrik Andersson","Vidhögehallen",1,12,"Veddige IBK",1
"51","Henrik Andersson","Vidhögehallen",1,12,"Träslövsläge IF",1
"52","Henrik Andersson","Vinbergs Idrottshall",3,12,"Vinbergs IBS",3
"53","Henrik Andersson","Vinbergs Idrottshall",3,12,"Veddige IBK",1
"54","Henrik Andersson","Vinbergs Idrottshall",3,12,"Träslövsläge IF",1
"55","Henrik Andersson","Vinbergs Idrottshall",3,12,"Onsala IBK",1
"56","Jonas Löfwander","Sparbanken Wictory Center, Stadaxplanen",1,1,"Warberg IBF",1
