"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Daniel Hermansson","Folkungahallen",3,7,"Linköping Legends FBC",1
"2","Daniel Hermansson","Folkungahallen",3,7,"Solfjäderstaden IBK",1
"3","Daniel Hermansson","Folkungahallen",3,7,"Linköping Legends FBC",2
"4","Daniel Hermansson","Folkungahallen",3,7,"Finspång IBK",1
"5","Daniel Hermansson","Folkungahallen",3,7,"Linköping IBK Ungdom",1
"6","Daniel Hermansson","Linköpings Sporthall",1,7,"IBK Succé",1
"7","Daniel Hermansson","Linköpings Sporthall",1,7,"Linköping Legends FBC",1
"8","Daniel Hermansson","Ljungsbro Sporthall",1,7,"IBK Succé",1
"9","Daniel Hermansson","Ljungsbro Sporthall",1,7,"Bergs IK",1
"10","Daniel Hermansson","Sporthallen Vikingen",1,7,"Linköping Legends FBC",1
"11","Daniel Hermansson","Sporthallen Vikingen",1,7,"Söderköpings IBK",1
"12","Daniel Hermansson","Åsundahallen",1,7,"Bergs IK",1
"13","Daniel Hermansson","Åsundahallen",1,7,"Rimforsa IF",1
"14","David Björketun","Borgsmohallen",1,6,"IBF Norrköping",1
"15","David Björketun","Borgsmohallen",1,6,"Solfjäderstaden IBK",1
"16","David Björketun","Folkungahallen",1,6,"Linköpings Universitets AIF IBK",1
"17","David Björketun","Folkungahallen",1,6,"IBF Norrköping",1
"18","David Björketun","Ljungsbro Sporthall",1,6,"Bergs IK",1
"19","David Björketun","Ljungsbro Sporthall",1,6,"Solfjäderstaden IBK",1
"20","David Björketun","Motala Sporthall",1,6,"Solfjäderstaden IBK",1
"21","David Björketun","Motala Sporthall",1,6,"Rimforsa IF",1
"22","David Björketun","Sporthallen Vikingen",2,6,"IBF Norrköping",1
"23","David Björketun","Sporthallen Vikingen",2,6,"Linköping IBK Ungdom",1
"24","David Björketun","Sporthallen Vikingen",2,6,"Söderköpings IBK",2
"25","Denis Ogresevic","Folkungahallen",4,9,"IBF Norrköping",1
"26","Denis Ogresevic","Folkungahallen",4,9,"Finspång IBK",1
"27","Denis Ogresevic","Folkungahallen",4,9,"Linköping IBK Ungdom",1
"28","Denis Ogresevic","Folkungahallen",4,9,"Linköpings Universitets AIF IBK",1
"29","Denis Ogresevic","Folkungahallen",4,9,"IBK Succé",3
"30","Denis Ogresevic","Folkungahallen",4,9,"Söderköpings IBK",1
"31","Denis Ogresevic","Motala Sporthall",2,9,"Solfjäderstaden IBK",2
"32","Denis Ogresevic","Motala Sporthall",2,9,"KFUM Norrköping IBF",1
"33","Denis Ogresevic","Motala Sporthall",2,9,"Linköpings Universitets AIF IBK",1
"34","Denis Ogresevic","Mässhallen A",2,9,"Rimforsa IF",1
"35","Denis Ogresevic","Mässhallen A",2,9,"KFUM Norrköping IBF",2
"36","Denis Ogresevic","Mässhallen A",2,9,"Finspång IBK",1
"37","Denis Ogresevic","Åsundahallen",1,9,"Rimforsa IF",1
"38","Denis Ogresevic","Åsundahallen",1,9,"IBK Succé",1
"39","Elvis Ogresevic","Folkungahallen",4,9,"Söderköpings IBK",1
"40","Elvis Ogresevic","Folkungahallen",4,9,"IBK Succé",3
"41","Elvis Ogresevic","Folkungahallen",4,9,"Linköpings Universitets AIF IBK",1
"42","Elvis Ogresevic","Folkungahallen",4,9,"Linköping IBK Ungdom",1
"43","Elvis Ogresevic","Folkungahallen",4,9,"IBF Norrköping",1
"44","Elvis Ogresevic","Folkungahallen",4,9,"Finspång IBK",1
"45","Elvis Ogresevic","Motala Sporthall",2,9,"KFUM Norrköping IBF",1
"46","Elvis Ogresevic","Motala Sporthall",2,9,"Solfjäderstaden IBK",2
"47","Elvis Ogresevic","Motala Sporthall",2,9,"Linköpings Universitets AIF IBK",1
"48","Elvis Ogresevic","Mässhallen A",2,9,"Rimforsa IF",1
"49","Elvis Ogresevic","Mässhallen A",2,9,"KFUM Norrköping IBF",2
"50","Elvis Ogresevic","Mässhallen A",2,9,"Finspång IBK",1
"51","Elvis Ogresevic","Åsundahallen",1,9,"IBK Succé",1
"52","Elvis Ogresevic","Åsundahallen",1,9,"Rimforsa IF",1
"53","Emil Glenngård","Borgsmohallen",3,9,"IBF Norrköping",1
"54","Emil Glenngård","Borgsmohallen",3,9,"IBK Succé",1
"55","Emil Glenngård","Borgsmohallen",3,9,"Linköping IBK Ungdom",1
"56","Emil Glenngård","Borgsmohallen",3,9,"Linköpings Universitets AIF IBK",1
"57","Emil Glenngård","Borgsmohallen",3,9,"IBF Norrköping",2
"58","Emil Glenngård","Folkungahallen",2,9,"Linköping IBK Ungdom",1
"59","Emil Glenngård","Folkungahallen",2,9,"IBK Succé",1
"60","Emil Glenngård","Folkungahallen",2,9,"Linköping Legends FBC",1
"61","Emil Glenngård","Folkungahallen",2,9,"Rimforsa IF",1
"62","Emil Glenngård","Ljungsbro Sporthall",1,9,"Finspång IBK",1
"63","Emil Glenngård","Ljungsbro Sporthall",1,9,"Bergs IK",1
"64","Emil Glenngård","Motala Sporthall",1,9,"Solfjäderstaden IBK",1
"65","Emil Glenngård","Motala Sporthall",1,9,"Linköping Legends FBC",1
"66","Emil Glenngård","Åsundahallen",2,9,"Rimforsa IF",2
"67","Emil Glenngård","Åsundahallen",2,9,"IBF Norrköping",1
"68","Emil Glenngård","Åsundahallen",2,9,"Linköping IBK Ungdom",1
"69","Hampus Larsson","Folkungahallen",1,4,"Söderköpings IBK",1
"70","Hampus Larsson","Folkungahallen",1,4,"Linköping IBK Ungdom",1
"71","Hampus Larsson","Ljungsbro Sporthall",2,4,"Bergs IK",2
"72","Hampus Larsson","Ljungsbro Sporthall",2,4,"IBF Norrköping",1
"73","Hampus Larsson","Ljungsbro Sporthall",2,4,"Linköpings Universitets AIF IBK",1
"74","Hampus Larsson","Mässhallen A",1,4,"KFUM Norrköping IBF",1
"75","Hampus Larsson","Mässhallen A",1,4,"Linköpings Universitets AIF IBK",1
"76","Henric Lundeborg","Folkungahallen",2,5,"Finspång IBK",1
"77","Henric Lundeborg","Folkungahallen",2,5,"Linköping IBK Ungdom",1
"78","Henric Lundeborg","Folkungahallen",2,5,"Linköping Legends FBC",2
"79","Henric Lundeborg","Linköpings Sporthall",1,5,"IBK Succé",1
"80","Henric Lundeborg","Linköpings Sporthall",1,5,"Linköping Legends FBC",1
"81","Henric Lundeborg","Ljungsbro Sporthall",1,5,"IBK Succé",1
"82","Henric Lundeborg","Ljungsbro Sporthall",1,5,"Bergs IK",1
"83","Henric Lundeborg","Åsundahallen",1,5,"Rimforsa IF",1
"84","Henric Lundeborg","Åsundahallen",1,5,"Bergs IK",1
"85","Jesper Jonsson","Folkungahallen",1,5,"Linköpings Universitets AIF IBK",1
"86","Jesper Jonsson","Folkungahallen",1,5,"IBF Norrköping",1
"87","Jesper Jonsson","Ljungsbro Sporthall",1,5,"Solfjäderstaden IBK",1
"88","Jesper Jonsson","Ljungsbro Sporthall",1,5,"Bergs IK",1
"89","Jesper Jonsson","Motala Sporthall",1,5,"Rimforsa IF",1
"90","Jesper Jonsson","Motala Sporthall",1,5,"Solfjäderstaden IBK",1
"91","Jesper Jonsson","Sporthallen Vikingen",2,5,"IBF Norrköping",1
"92","Jesper Jonsson","Sporthallen Vikingen",2,5,"Linköping IBK Ungdom",1
"93","Jesper Jonsson","Sporthallen Vikingen",2,5,"Söderköpings IBK",2
"94","Jesper Liedberg","Arena Grosvad",2,8,"Finspång IBK",2
"95","Jesper Liedberg","Arena Grosvad",2,8,"KFUM Norrköping IBF",1
"96","Jesper Liedberg","Arena Grosvad",2,8,"Solfjäderstaden IBK",1
"97","Jesper Liedberg","Folkungahallen",3,8,"Solfjäderstaden IBK",1
"98","Jesper Liedberg","Folkungahallen",3,8,"IBK Succé",1
"99","Jesper Liedberg","Folkungahallen",3,8,"Linköpings Universitets AIF IBK",2
"100","Jesper Liedberg","Folkungahallen",3,8,"Linköping IBK Ungdom",1
"101","Jesper Liedberg","Folkungahallen",3,8,"Rimforsa IF",1
"102","Jesper Liedberg","Sporthallen Vikingen",1,8,"Söderköpings IBK",1
"103","Jesper Liedberg","Sporthallen Vikingen",1,8,"Solfjäderstaden IBK",1
"104","Jesper Liedberg","Åsundahallen",2,8,"Söderköpings IBK",1
"105","Jesper Liedberg","Åsundahallen",2,8,"Linköping Legends FBC",1
"106","Jesper Liedberg","Åsundahallen",2,8,"Rimforsa IF",2
"107","Jimmy Eliasson","Arena Grosvad",2,13,"Solfjäderstaden IBK",1
"108","Jimmy Eliasson","Arena Grosvad",2,13,"KFUM Norrköping IBF",1
"109","Jimmy Eliasson","Arena Grosvad",2,13,"Finspång IBK",2
"110","Jimmy Eliasson","Borgsmohallen",1,13,"IBF Norrköping",1
"111","Jimmy Eliasson","Borgsmohallen",1,13,"Solfjäderstaden IBK",1
"112","Jimmy Eliasson","Folkungahallen",6,13,"Linköping IBK Ungdom",1
