"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Björn Grahn","Kungsgårdshallen",2,5,"Lönsboda IBK",1
"2","Björn Grahn","Kungsgårdshallen",2,5,"Åstorp/Kvidinge IBS H2",1
"3","Björn Grahn","Kungsgårdshallen",2,5,"FBC Engelholm H2",2
"4","Björn Grahn","Lönsboda Sporthall",1,5,"Lomma FBC H2",1
"5","Björn Grahn","Lönsboda Sporthall",1,5,"Lönsboda IBK",1
"6","Björn Grahn","Munkahallen",1,5,"Munka Ljungby IBK Akademi",1
"7","Björn Grahn","Munkahallen",1,5,"Palmstaden IK H2",1
"8","Björn Grahn","Åstorps Sporthall",1,5,"Åstorp/Kvidinge IBS H2",1
"9","Björn Grahn","Åstorps Sporthall",1,5,"Lomma FBC H2",1
"10","David Dornlöv","Aggarpshallen",3,8,"IBS Svedala H2",3
"11","David Dornlöv","Aggarpshallen",3,8,"IBK Höllviken H2",1
"12","David Dornlöv","Aggarpshallen",3,8,"Palmstaden IK H2",1
"13","David Dornlöv","Aggarpshallen",3,8,"IBK Landskrona H2",1
"14","David Dornlöv","Halörhallen",1,8,"Munka Ljungby IBK Akademi",1
"15","David Dornlöv","Halörhallen",1,8,"IBK Höllviken H2",1
"16","David Dornlöv","Helsingborg Arena C",1,8,"FBC Helsingborg",1
"17","David Dornlöv","Helsingborg Arena C",1,8,"Åstorp/Kvidinge IBS H2",1
"18","David Dornlöv","Landskrona Idrottshall",1,8,"Palmstaden IK H2",1
"19","David Dornlöv","Landskrona Idrottshall",1,8,"IBK Landskrona H2",1
"20","David Dornlöv","Söderslättshallen B",1,8,"Palmstaden IK H2",1
"21","David Dornlöv","Söderslättshallen B",1,8,"IBK Landskrona H2",1
"22","David Dornlöv","Åstorps Sporthall",1,8,"Åstorp/Kvidinge IBS H2",1
"23","David Dornlöv","Åstorps Sporthall",1,8,"Bjärreds IBK H2",1
"24","Erik Götborg","Idrottens Hus A",1,6,"Munka Ljungby IBK Akademi",1
"25","Erik Götborg","Idrottens Hus A",1,6,"FBC Helsingborg",1
"26","Erik Götborg","Kristianstad Arena",1,6,"Willands IBK H2",1
"27","Erik Götborg","Kristianstad Arena",1,6,"Bjärreds IBK H2",1
"28","Erik Götborg","Landskrona Idrottshall",2,6,"Lönsboda IBK",1
"29","Erik Götborg","Landskrona Idrottshall",2,6,"IBK Landskrona H2",2
"30","Erik Götborg","Landskrona Idrottshall",2,6,"IBK Höllviken H2",1
"31","Erik Götborg","Slättängshallen",1,6,"Palmstaden IK H2",1
"32","Erik Götborg","Slättängshallen",1,6,"Lomma FBC H2",1
"33","Erik Götborg","Västergårdshallen",1,6,"FBC Helsingborg",1
"34","Erik Götborg","Västergårdshallen",1,6,"IBK Höllviken H2",1
"35","Erik Hindemith","Aggarpshallen",3,11,"IBS Svedala H2",2
"36","Erik Hindemith","Aggarpshallen",3,11,"Munka Ljungby IBK Akademi",1
"37","Erik Hindemith","Aggarpshallen",3,11,"Palmstaden IK H2",1
"38","Erik Hindemith","Aggarpshallen",3,11,"Åstorp/Kvidinge IBS H2",1
"39","Erik Hindemith","Aggarpshallen",3,11,"IBS Svedala H2",1
"40","Erik Hindemith","Bjärehovshallen",1,11,"IBK Höllviken H2",1
"41","Erik Hindemith","Bjärehovshallen",1,11,"Bjärreds IBK H2",1
"42","Erik Hindemith","Kristianstad Arena",1,11,"Willands IBK H2",1
"43","Erik Hindemith","Kristianstad Arena",1,11,"Åstorp/Kvidinge IBS H2",1
"44","Erik Hindemith","Landskrona Idrottshall",2,11,"Palmstaden IK H2",1
"45","Erik Hindemith","Landskrona Idrottshall",2,11,"Willands IBK H2",1
"46","Erik Hindemith","Landskrona Idrottshall",2,11,"IBK Landskrona H2",1
"47","Erik Hindemith","Landskrona Idrottshall",2,11,"IBK Landskrona H2",1
"48","Erik Hindemith","Munkahallen",1,11,"Munka Ljungby IBK Akademi",1
"49","Erik Hindemith","Munkahallen",1,11,"IBS Svedala H2",1
"50","Erik Hindemith","Slättängshallen",1,11,"Åstorp/Kvidinge IBS H2",1
"51","Erik Hindemith","Slättängshallen",1,11,"Lomma FBC H2",1
"52","Erik Hindemith","Söderslättshallen B",1,11,"Palmstaden IK H2",1
"53","Erik Hindemith","Söderslättshallen B",1,11,"IBK Höllviken H2",1
"54","Erik Hindemith","Åstorps Sporthall",1,11,"Bjärreds IBK H2",1
"55","Erik Hindemith","Åstorps Sporthall",1,11,"Åstorp/Kvidinge IBS H2",1
"56","Fredrik Lundborg","Aggarpshallen",3,9,"Munka Ljungby IBK Akademi",1
"57","Fredrik Lundborg","Aggarpshallen",3,9,"IBS Svedala H2",3
"58","Fredrik Lundborg","Aggarpshallen",3,9,"IBK Höllviken H2",1
"59","Fredrik Lundborg","Aggarpshallen",3,9,"Åstorp/Kvidinge IBS H2",1
"60","Fredrik Lundborg","Bjärehovshallen",1,9,"IBK Höllviken H2",1
"61","Fredrik Lundborg","Bjärehovshallen",1,9,"Bjärreds IBK H2",1
"62","Fredrik Lundborg","Kristianstad Arena",1,9,"Åstorp/Kvidinge IBS H2",1
"63","Fredrik Lundborg","Kristianstad Arena",1,9,"Willands IBK H2",1
"64","Fredrik Lundborg","Landskrona Idrottshall",1,9,"Willands IBK H2",1
"65","Fredrik Lundborg","Landskrona Idrottshall",1,9,"IBK Landskrona H2",1
"66","Fredrik Lundborg","Munkahallen",1,9,"Munka Ljungby IBK Akademi",1
"67","Fredrik Lundborg","Munkahallen",1,9,"IBS Svedala H2",1
"68","Fredrik Lundborg","Söderslättshallen B",2,9,"IBK Landskrona H2",1
"69","Fredrik Lundborg","Söderslättshallen B",2,9,"Palmstaden IK H2",2
"70","Fredrik Lundborg","Söderslättshallen B",2,9,"IBK Höllviken H2",1
"71","Hampe Gustavsson","Bjärehovshallen",1,2,"Willands IBK H2",1
"72","Hampe Gustavsson","Bjärehovshallen",1,2,"Bjärreds IBK H2",1
"73","Hampe Gustavsson","Munkahallen",1,2,"Munka Ljungby IBK Akademi",1
"74","Hampe Gustavsson","Munkahallen",1,2,"FBC Helsingborg",1
"75","Hussein Ibrahim","Aggarpshallen",1,3,"IBS Svedala H2",1
"76","Hussein Ibrahim","Aggarpshallen",1,3,"IBK Landskrona H2",1
"77","Hussein Ibrahim","Halörhallen",1,3,"Munka Ljungby IBK Akademi",1
"78","Hussein Ibrahim","Halörhallen",1,3,"IBK Höllviken H2",1
"79","Hussein Ibrahim","Helsingborg Arena C",1,3,"Åstorp/Kvidinge IBS H2",1
"80","Hussein Ibrahim","Helsingborg Arena C",1,3,"FBC Helsingborg",1
"81","Håkan Bondesson","Helsingborg Arena C",2,11,"Lomma FBC H2",1
"82","Håkan Bondesson","Helsingborg Arena C",2,11,"FBC Helsingborg",2
"83","Håkan Bondesson","Helsingborg Arena C",2,11,"IBK Landskrona H2",1
"84","Håkan Bondesson","Lönsboda Sporthall",1,11,"IBS Svedala H2",1
"85","Håkan Bondesson","Lönsboda Sporthall",1,11,"Lönsboda IBK",1
"86","Håkan Bondesson","Munkahallen",3,11,"Munka Ljungby IBK Akademi",3
"87","Håkan Bondesson","Munkahallen",3,11,"IBK Höllviken H2",1
"88","Håkan Bondesson","Munkahallen",3,11,"Lomma FBC H2",1
"89","Håkan Bondesson","Munkahallen",3,11,"Lönsboda IBK",1
"90","Håkan Bondesson","Slättängshallen",4,11,"Lönsboda IBK",1
"91","Håkan Bondesson","Slättängshallen",4,11,"IBK Höllviken H2",1
"92","Håkan Bondesson","Slättängshallen",4,11,"Lomma FBC H2",4
"93","Håkan Bondesson","Slättängshallen",4,11,"Bjärreds IBK H2",1
"94","Håkan Bondesson","Slättängshallen",4,11,"Åstorp/Kvidinge IBS H2",1
"95","Håkan Bondesson","Söderslättshallen B",1,11,"Palmstaden IK H2",1
"96","Håkan Bondesson","Söderslättshallen B",1,11,"Bjärreds IBK H2",1
"97","Isac Bondesson","Helsingborg Arena C",2,9,"FBC Helsingborg",2
"98","Isac Bondesson","Helsingborg Arena C",2,9,"Lomma FBC H2",1
"99","Isac Bondesson","Helsingborg Arena C",2,9,"IBK Landskrona H2",1
"100","Isac Bondesson","Munkahallen",3,9,"Lomma FBC H2",1
"101","Isac Bondesson","Munkahallen",3,9,"Munka Ljungby IBK Akademi",3
"102","Isac Bondesson","Munkahallen",3,9,"IBK Höllviken H2",1
"103","Isac Bondesson","Munkahallen",3,9,"Lönsboda IBK",1
"104","Isac Bondesson","Slättängshallen",3,9,"Lomma FBC H2",3
"105","Isac Bondesson","Slättängshallen",3,9,"Lönsboda IBK",1
"106","Isac Bondesson","Slättängshallen",3,9,"Bjärreds IBK H2",1
"107","Isac Bondesson","Slättängshallen",3,9,"IBK Höllviken H2",1
"108","Isac Bondesson","Söderslättshallen B",1,9,"Palmstaden IK H2",1
"109","Isac Bondesson","Söderslättshallen B",1,9,"Bjärreds IBK H2",1
"110","Jens Staaf","Kungsgårdshallen",1,2,"Bjärreds IBK H2",1
"111","Jens Staaf","Kungsgårdshallen",1,2,"FBC Engelholm H2",1
"112","Jens Staaf","Åstorps Sporthall",1,2,"FBC Engelholm H2",1
"113","Jens Staaf","Åstorps Sporthall",1,2,"Åstorp/Kvidinge IBS H2",1
"114","Johan Salomonsson","Helsingborg Arena B",1,7,"FBC Helsingborg",1
"115","Johan Salomonsson","Helsingborg Arena B",1,7,"Lönsboda IBK",1
"116","Johan Salomonsson","Kristianstad Arena",1,7,"Lomma FBC H2",1
"117","Johan Salomonsson","Kristianstad Arena",1,7,"Willands IBK H2",1
"118","Johan Salomonsson","Kungsgårdshallen",1,7,"FBC Helsingborg",1
"119","Johan Salomonsson","Kungsgårdshallen",1,7,"FBC Engelholm H2",1
"120","Johan Salomonsson","Landskrona Idrottshall",1,7,"Åstorp/Kvidinge IBS H2",1
"121","Johan Salomonsson","Landskrona Idrottshall",1,7,"IBK Landskrona H2",1
"122","Johan Salomonsson","Svedala Sporthall",1,7,"IBS Svedala H2",1
"123","Johan Salomonsson","Svedala Sporthall",1,7,"FBC Engelholm H2",1
"124","Johan Salomonsson","Söderslättshallen B",2,7,"Palmstaden IK H2",2
"125","Johan Salomonsson","Söderslättshallen B",2,7,"FBC Engelholm H2",1
"126","Johan Salomonsson","Söderslättshallen B",2,7,"Åstorp/Kvidinge IBS H2",1
"127","Jonas Karlsson","Borstahusens Idrottshall",1,7,"IBS Svedala H2",1
"128","Jonas Karlsson","Borstahusens Idrottshall",1,7,"IBK Landskrona H2",1
"129","Jonas Karlsson","Gyahallen",1,7,"IBK Höllviken H2",1
"130","Jonas Karlsson","Gyahallen",1,7,"FBC Helsingborg",1
"131","Jonas Karlsson","Halörhallen",2,7,"IBS Svedala H2",1
"132","Jonas Karlsson","Halörhallen",2,7,"Lomma FBC H2",1
"133","Jonas Karlsson","Halörhallen",2,7,"IBK Höllviken H2",2
