"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Stenberg","Ingelstads Sporthall",3,17,"Vetlanda IBF",1
"2","Anders Stenberg","Ingelstads Sporthall",3,17,"Nässjö IBF",1
"3","Anders Stenberg","Ingelstads Sporthall",3,17,"Ingelstad IBK",3
"4","Anders Stenberg","Ingelstads Sporthall",3,17,"FBC Karlskrona",1
"5","Anders Stenberg","ISCAR Arena Ney.se, Vetlanda",2,17,"FBC Karlskrona",1
"6","Anders Stenberg","ISCAR Arena Ney.se, Vetlanda",2,17,"Vetlanda IBF",2
"7","Anders Stenberg","ISCAR Arena Ney.se, Vetlanda",2,17,"Nässjö IBF",1
"8","Anders Stenberg","Kalmar Sporthall A-hall",2,17,"CL98IC",2
"9","Anders Stenberg","Kalmar Sporthall A-hall",2,17,"Stenåsa-Sandby-Gårdby IF",1
"10","Anders Stenberg","Kalmar Sporthall A-hall",2,17,"Gnosjö IBK",1
"11","Anders Stenberg","Nybro Sporthall",1,17,"Slätafly/SK IBK",1
"12","Anders Stenberg","Nybro Sporthall",1,17,"Nybro IBK",1
"13","Anders Stenberg","Torslundahallen",3,17,"Månsarps IBK",1
"14","Anders Stenberg","Torslundahallen",3,17,"Gnosjö IBK",1
"15","Anders Stenberg","Torslundahallen",3,17,"Stenåsa-Sandby-Gårdby IF",3
"16","Anders Stenberg","Torslundahallen",3,17,"Nässjö IBF",1
"17","Anders Stenberg","Torsås Sporthall",3,17,"Ingelstad IBK",1
"18","Anders Stenberg","Torsås Sporthall",3,17,"Sävsjö IBK",1
"19","Anders Stenberg","Torsås Sporthall",3,17,"Stenåsa-Sandby-Gårdby IF",1
"20","Anders Stenberg","Torsås Sporthall",3,17,"Slätafly/SK IBK",2
"21","Anders Stenberg","Torsås Sporthall",3,17,"Slätafly/SK IBK",1
"22","Anders Stenberg","Vedeby Sporthall A",1,17,"FBC Karlskrona",1
"23","Anders Stenberg","Vedeby Sporthall A",1,17,"Vetlanda IBF",1
"24","Anders Stenberg","Vimmerby Sporthall",2,17,"Slätafly/SK IBK",1
"25","Anders Stenberg","Vimmerby Sporthall",2,17,"Vimmerby IBK",2
"26","Anders Stenberg","Vimmerby Sporthall",2,17,"CL98IC",1
"27","Casper Dahlberg","ISCAR Arena Ney.se, Vetlanda",2,6,"Ingelstad IBK",1
"28","Casper Dahlberg","ISCAR Arena Ney.se, Vetlanda",2,6,"Vetlanda IBF",2
"29","Casper Dahlberg","ISCAR Arena Ney.se, Vetlanda",2,6,"Stenåsa-Sandby-Gårdby IF",1
"30","Casper Dahlberg","Kalmar Sporthall A-hall",1,6,"Slätafly/SK IBK",1
"31","Casper Dahlberg","Kalmar Sporthall A-hall",1,6,"CL98IC",1
"32","Casper Dahlberg","Norrahammars Sporthall",2,6,"Vetlanda IBF",1
"33","Casper Dahlberg","Norrahammars Sporthall",2,6,"FBC Karlskrona",1
"34","Casper Dahlberg","Norrahammars Sporthall",2,6,"Månsarps IBK",2
"35","Casper Dahlberg","Torsås Sporthall",1,6,"Slätafly/SK IBK",1
"36","Casper Dahlberg","Torsås Sporthall",1,6,"Vetlanda IBF",1
"37","Dawan Mofak","Ingelstads Sporthall",1,17,"Ingelstad IBK",1
"38","Dawan Mofak","Ingelstads Sporthall",1,17,"CL98IC",1
"39","Dawan Mofak","ISCAR Arena Ney.se, Vetlanda",2,17,"Sävsjö IBK",1
"40","Dawan Mofak","ISCAR Arena Ney.se, Vetlanda",2,17,"CL98IC",1
"41","Dawan Mofak","ISCAR Arena Ney.se, Vetlanda",2,17,"Vetlanda IBF",2
"42","Dawan Mofak","Kalmar Sporthall A-hall",1,17,"Månsarps IBK",1
"43","Dawan Mofak","Kalmar Sporthall A-hall",1,17,"CL98IC",1
"44","Dawan Mofak","Norrahammars Sporthall",1,17,"Månsarps IBK",1
"45","Dawan Mofak","Norrahammars Sporthall",1,17,"Gnosjö IBK",1
"46","Dawan Mofak","Nässjö Sporthall",4,17,"Nässjö IBF",2
"47","Dawan Mofak","Nässjö Sporthall",4,17,"Ingelstad IBK",1
"48","Dawan Mofak","Nässjö Sporthall",4,17,"Vimmerby IBK",1
"49","Dawan Mofak","Nässjö Sporthall",4,17,"Nybro IBK",1
"50","Dawan Mofak","Nässjö Sporthall",4,17,"Nässjö IBF",2
"51","Dawan Mofak","Nässjö Sporthall",4,17,"FBC Karlskrona",1
"52","Dawan Mofak","Sävsjö Sporthall",3,17,"Nässjö IBF",1
"53","Dawan Mofak","Sävsjö Sporthall",3,17,"Stenåsa-Sandby-Gårdby IF",1
"54","Dawan Mofak","Sävsjö Sporthall",3,17,"Nybro IBK",1
"55","Dawan Mofak","Sävsjö Sporthall",3,17,"Sävsjö IBK",3
"56","Dawan Mofak","Torslundahallen",1,17,"Stenåsa-Sandby-Gårdby IF",1
"57","Dawan Mofak","Torslundahallen",1,17,"Nybro IBK",1
"58","Dawan Mofak","Töllstorpshallen",2,17,"Slätafly/SK IBK",1
"59","Dawan Mofak","Töllstorpshallen",2,17,"Nybro IBK",1
"60","Dawan Mofak","Töllstorpshallen",2,17,"Gnosjö IBK",2
"61","Dawan Mofak","Vimmerby Sporthall",2,17,"Vimmerby IBK",1
"62","Dawan Mofak","Vimmerby Sporthall",2,17,"Gnosjö IBK",1
"63","Dawan Mofak","Vimmerby Sporthall",2,17,"Vimmerby IBK",1
"64","Dawan Mofak","Vimmerby Sporthall",2,17,"Ingelstad IBK",1
"65","Edo Sabanovic","Ingelstads Sporthall",3,12,"Vimmerby IBK",1
"66","Edo Sabanovic","Ingelstads Sporthall",3,12,"Slätafly/SK IBK",1
"67","Edo Sabanovic","Ingelstads Sporthall",3,12,"Ingelstad IBK",1
"68","Edo Sabanovic","Ingelstads Sporthall",3,12,"Vetlanda IBF",1
"69","Edo Sabanovic","Ingelstads Sporthall",3,12,"Ingelstad IBK",2
"70","Edo Sabanovic","Kalmar Sporthall A-hall",2,12,"Vetlanda IBF",1
"71","Edo Sabanovic","Kalmar Sporthall A-hall",2,12,"Sävsjö IBK",1
"72","Edo Sabanovic","Kalmar Sporthall A-hall",2,12,"CL98IC",1
"73","Edo Sabanovic","Kalmar Sporthall A-hall",2,12,"CL98IC",1
"74","Edo Sabanovic","Nässjö Sporthall",1,12,"Sävsjö IBK",1
"75","Edo Sabanovic","Nässjö Sporthall",1,12,"Nässjö IBF",1
"76","Edo Sabanovic","Torslundahallen",1,12,"FBC Karlskrona",1
"77","Edo Sabanovic","Torslundahallen",1,12,"Stenåsa-Sandby-Gårdby IF",1
"78","Edo Sabanovic","Töllstorpshallen",2,12,"Sävsjö IBK",1
"79","Edo Sabanovic","Töllstorpshallen",2,12,"Gnosjö IBK",2
"80","Edo Sabanovic","Töllstorpshallen",2,12,"Stenåsa-Sandby-Gårdby IF",1
"81","Edo Sabanovic","Vedeby Sporthall A",1,12,"CL98IC",1
"82","Edo Sabanovic","Vedeby Sporthall A",1,12,"FBC Karlskrona",1
"83","Edo Sabanovic","Vimmerby Sporthall",2,12,"Vimmerby IBK",1
"84","Edo Sabanovic","Vimmerby Sporthall",2,12,"Sävsjö IBK",1
