"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Aarre Hietanen","Björkestahallen",1,8,"Trosa Edanö IBK",1
"2","Aarre Hietanen","Björkestahallen",1,8,"Nykvarns IF",1
"3","Aarre Hietanen","Duveholmshallen A",1,8,"Katrineholms IBF",1
"4","Aarre Hietanen","Duveholmshallen A",1,8,"IFK Gnesta",1
"5","Aarre Hietanen","Hammarvallen",1,8,"Flens IBF",1
"6","Aarre Hietanen","Hammarvallen",1,8,"Ekbackskyrkans IBK",1
"7","Aarre Hietanen","Ramdalshallen",1,8,"Ekbackskyrkans IBK",1
"8","Aarre Hietanen","Ramdalshallen",1,8,"Onyx IBS ",1
"9","Aarre Hietanen","Skjulstahallen A",1,8,"Onyx IBS",1
"10","Aarre Hietanen","Skjulstahallen A",1,8,"IK Standard ",1
"11","Aarre Hietanen","Vingåkers Sporthall",3,8,"Flens IBF",1
"12","Aarre Hietanen","Vingåkers Sporthall",3,8,"Ekbackskyrkans IBK",1
"13","Aarre Hietanen","Vingåkers Sporthall",3,8,"Ekbackskyrkans IBK",2
"14","Aarre Hietanen","Vingåkers Sporthall",3,8,"Telge SIBK",1
"15","Aarre Hietanen","Vingåkers Sporthall",3,8,"FBC Nyköping",1
"16","Arne Brattehag","Frejahallen",1,8,"IFK Gnesta ",1
"17","Arne Brattehag","Frejahallen",1,8,"IK Standard",1
"18","Arne Brattehag","Hammarvallen",1,8,"Flens IBF",1
"19","Arne Brattehag","Hammarvallen",1,8,"Onyx IBS",1
"20","Arne Brattehag","Nyköpings Sporthall",2,8,"FBC Nyköping",1
"21","Arne Brattehag","Nyköpings Sporthall",2,8,"FBC Nyköping",1
"22","Arne Brattehag","Nyköpings Sporthall",2,8,"Trosa Edanö IBK",1
"23","Arne Brattehag","Nyköpings Sporthall",2,8,"Telge SIBK",1
"24","Arne Brattehag","Ramdalshallen",1,8,"IFK Gnesta",1
"25","Arne Brattehag","Ramdalshallen",1,8,"Onyx IBS ",1
"26","Arne Brattehag","Rosvalla A",1,8,"FBC Nyköping",1
"27","Arne Brattehag","Rosvalla A",1,8,"Flens IBF",1
"28","Arne Brattehag","Vingåkers Sporthall",1,8,"Ekbackskyrkans IBK",1
"29","Arne Brattehag","Vingåkers Sporthall",1,8,"Flens IBF",1
"30","Arne Brattehag","Västergård Arena A",1,8,"Trosa Edanö IBK",1
"31","Arne Brattehag","Västergård Arena A",1,8,"Telge SIBK",1
"32","Bemir Brkic","Björkestahallen",1,5,"Nykvarns IF",1
"33","Bemir Brkic","Björkestahallen",1,5,"IK Standard",1
