"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Aldin Imamovic","Råstaparkhallen",1,3,"Råsunda IS",1
"2","Aldin Imamovic","Råstaparkhallen",1,3,"Ekerö IK",1
"3","Aldin Imamovic","Smedsgärdshallen",1,3,"Grimsta AIK",1
"4","Aldin Imamovic","Smedsgärdshallen",1,3,"Råsunda IS",1
"5","Aldin Imamovic","Storvretens Sporthall",1,3,"Ekerö IK",1
"6","Aldin Imamovic","Storvretens Sporthall",1,3,"Tumba GOIF",1
"7","Aleksi Partanen","Ingarö Sporthall",1,1,"Ingarö IF (A)",1
"8","Aleksi Partanen","Ingarö Sporthall",1,1,"Balrog B/S IK",1
"9","Alexander Sommensjö","Fleminghallen",1,4,"Balrog B/S IK",1
"10","Alexander Sommensjö","Fleminghallen",1,4,"Huddinge IBS ",1
"11","Alexander Sommensjö","Värmdö sporthall",1,4,"Ingarö IF (A)",1
"12","Alexander Sommensjö","Värmdö sporthall",1,4,"Värmdö IF (B)",1
"13","Alexander Sommensjö","Väsby skolan",2,4,"Åkersberga IBF (A)",1
"14","Alexander Sommensjö","Väsby skolan",2,4,"Runby IBK",2
"15","Alexander Sommensjö","Väsby skolan",2,4,"Ingarö IF (A)",1
"16","Anders Westerberg","Fleminghallen",1,2,"Råsunda IS",1
"17","Anders Westerberg","Fleminghallen",1,2,"Huddinge IBS ",1
"18","Anders Westerberg","Ormingehallen",1,2,"Ingarö IF (A)",1
"19","Anders Westerberg","Ormingehallen",1,2,"Nacka Wallenstam IBK",1
"20","Andreas Bengtsson","Bodals Bollhall",1,10,"Tumba GOIF",1
"21","Andreas Bengtsson","Bodals Bollhall",1,10,"IBF Offensiv Lidingö (A)",1
"22","Andreas Bengtsson","Botkyrkahallen",1,10,"Balrog B/S IK",1
"23","Andreas Bengtsson","Botkyrkahallen",1,10,"Nacka Wallenstam IBK",1
"24","Andreas Bengtsson","Fleminghallen",2,10,"Huddinge IBS ",2
"25","Andreas Bengtsson","Fleminghallen",2,10,"Runby IBK",1
"26","Andreas Bengtsson","Fleminghallen",2,10,"IBF Offensiv Lidingö (A)",1
"27","Andreas Bengtsson","Mälaröhallen",1,10,"Nacka Wallenstam IBK",1
"28","Andreas Bengtsson","Mälaröhallen",1,10,"Ekerö IK ",1
"29","Andreas Bengtsson","Råstaparkhallen",2,10,"Grimsta AIK",1
"30","Andreas Bengtsson","Råstaparkhallen",2,10,"Värmdö IF (B)",1
"31","Andreas Bengtsson","Råstaparkhallen",2,10,"Råsunda IS",2
"32","Andreas Bengtsson","Smedsgärdshallen",1,10,"Nacka Wallenstam IBK",1
"33","Andreas Bengtsson","Smedsgärdshallen",1,10,"Grimsta AIK",1
"34","Andreas Bengtsson","Västertorpshallen",2,10,"Grimsta AIK",1
"35","Andreas Bengtsson","Västertorpshallen",2,10,"Balrog B/S IK",1
"36","Andreas Bengtsson","Västertorpshallen",2,10,"Hammarbyhöjden IBK",2
"37","Arash Sohrevardi","Smedsgärdshallen",2,4,"Balrog B/S IK",1
"38","Arash Sohrevardi","Smedsgärdshallen",2,4,"Ingarö IF (A)",1
"39","Arash Sohrevardi","Smedsgärdshallen",2,4,"Grimsta AIK",2
"40","Arash Sohrevardi","Västertorpshallen",2,4,"Balrog B/S IK",1
"41","Arash Sohrevardi","Västertorpshallen",2,4,"Hammarbyhöjden IBK",2
"42","Arash Sohrevardi","Västertorpshallen",2,4,"Värmdö IF (B)",1
"43","Björn Landin","Mälaröhallen",1,2,"Ekerö IK ",1
"44","Björn Landin","Mälaröhallen",1,2,"Huddinge IBS",1
"45","Björn Landin","Smedsgärdshallen",1,2,"Ekerö IK",1
"46","Björn Landin","Smedsgärdshallen",1,2,"Grimsta AIK",1
"47","Christian Högberg","Bodals Bollhall",2,18,"IBF Offensiv Lidingö (A)",2
"48","Christian Högberg","Bodals Bollhall",2,18,"Runby IBK",1
"49","Christian Högberg","Bodals Bollhall",2,18,"Grimsta AIK",1
"50","Christian Högberg","Mälaröhallen",2,18,"Runby IBK",1
"51","Christian Högberg","Mälaröhallen",2,18,"Ingarö IF (A)",1
"52","Christian Högberg","Mälaröhallen",2,18,"Ekerö IK ",2
"53","Christian Högberg","Ormingehallen",4,18,"Värmdö IF (B)",1
"54","Christian Högberg","Ormingehallen",4,18,"Balrog B/S IK",1
"55","Christian Högberg","Ormingehallen",4,18,"Nacka Wallenstam IBK",4
"56","Christian Högberg","Ormingehallen",4,18,"Ingarö IF (A)",1
"57","Christian Högberg","Ormingehallen",4,18,"Åkersberga IBF (A)",1
"58","Christian Högberg","Råstaparkhallen",1,18,"Nacka Wallenstam IBK",1
"59","Christian Högberg","Råstaparkhallen",1,18,"Råsunda IS",1
"60","Christian Högberg","Smedsgärdshallen",2,18,"Grimsta AIK",2
"61","Christian Högberg","Smedsgärdshallen",2,18,"Tumba GOIF",1
"62","Christian Högberg","Smedsgärdshallen",2,18,"Råsunda IS",1
"63","Christian Högberg","Väsby skolan",2,18,"Tumba GOIF",1
"64","Christian Högberg","Väsby skolan",2,18,"Värmdö IF (B)",1
"65","Christian Högberg","Väsby skolan",2,18,"Runby IBK",1
"66","Christian Högberg","Väsby skolan",2,18,"Runby IBK",1
"67","Christian Högberg","Åkersberga Sporthall A",5,18,"Ekerö IK",1
"68","Christian Högberg","Åkersberga Sporthall A",5,18,"Åkersberga IBF (A)",3
"69","Christian Högberg","Åkersberga Sporthall A",5,18,"Grimsta AIK",1
"70","Christian Högberg","Åkersberga Sporthall A",5,18,"Åkersberga IBF (A)",2
"71","Christian Högberg","Åkersberga Sporthall A",5,18,"Huddinge IBS",1
"72","Christian Högberg","Åkersberga Sporthall A",5,18,"Ingarö IF (A)",1
"73","Christian Högberg","Åkersberga Sporthall A",5,18,"IBF Offensiv Lidingö (A)",1
