"","Referee","TotalCount"
"1","Aarre Hietanen",2
"2","Arne Brattehag",4
"3","Christer Avasjö",1
"4","Christian Jarl",1
"5","Christian Johnsson",6
"6","Daniel Lindbom-Rydell",1
"7","Daniel Pettersson",15
"8","Dennis Wagermark",2
"9","Emil Lindhe",7
"10","Fredrik Wernqvist",2
"11","Göran Engfors",1
"12","Henrik Ibjer",6
"13","Håkan Rask",1
"14","Ivan Wahlström",4
"15","Jesper Liedberg",1
"16","Jimmy Eliasson",1
"17","Johan Nordlander",1
"18","Jonas Holm",1
"19","Josef Celik",1
"20","Kent Erlandsson",5
"21","Mathias Lindvall",6
"22","Mattias Lönnborg",6
"23","Mikael Andersson",2
"24","Mikael Celik",4
"25","Mikael Samuelsson",1
"26","Richard Himberg",5
"27","Sigge Maurer",1
"28","Sonny Weideborg",1
"29","Stefan Öberg",9
"30","Tom Nilsson",1
"31","William Wengelin",1
