"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Haglund","Fageråshallen",1,1,"Hultsberg/Björkås IBF",1
"2","Adam Haglund","Fageråshallen",1,1,"Nilsby IK",1
"3","Albin Jakobsson","Colorama Arena",2,5,"SK Örnen",1
"4","Albin Jakobsson","Colorama Arena",2,5,"Hultsberg/Björkås IBF",1
"5","Albin Jakobsson","Colorama Arena",2,5,"Karlstad IBF Ungdom",1
"6","Albin Jakobsson","Colorama Arena",2,5,"Skattkärrs IK ",1
"7","Albin Jakobsson","Hammarö Arena",1,5,"Karlstad IBF Ungdom",1
"8","Albin Jakobsson","Hammarö Arena",1,5,"Skoghalls IBK Utveckling ",1
"9","Albin Jakobsson","Karlbergshallen Åmål",1,5,"Åmåls IBK ",1
"10","Albin Jakobsson","Karlbergshallen Åmål",1,5,"Skattkärrs IK",1
"11","Albin Jakobsson","Väse Sporthall",1,5,"IFK Väse",1
"12","Albin Jakobsson","Väse Sporthall",1,5,"Skoghalls IBK Utveckling",1
"13","Anders Leander","Grums Sporthall",1,2,"Karlstad IBF Ungdom",1
"14","Anders Leander","Grums Sporthall",1,2,"Grums IBK ",1
"15","Anders Leander","Karlbergshallen Karlskoga",1,2,"Karlskoga IBF",1
"16","Anders Leander","Karlbergshallen Karlskoga",1,2,"Skattkärrs IK",1
"17","Christoffer Frykestam","Colorama Arena",5,15,"Hultsberg/Björkås IBF ",1
"18","Christoffer Frykestam","Colorama Arena",5,15,"Karlskoga IBF",1
"19","Christoffer Frykestam","Colorama Arena",5,15,"Hultsberg/Björkås IBF ",2
"20","Christoffer Frykestam","Colorama Arena",5,15,"Karlstad IBF Ungdom",1
"21","Christoffer Frykestam","Colorama Arena",5,15,"Skoghalls IBK Utveckling",1
"22","Christoffer Frykestam","Colorama Arena",5,15,"IFK Väse",1
"23","Christoffer Frykestam","Colorama Arena",5,15,"Skattkärrs IK",1
"24","Christoffer Frykestam","Colorama Arena",5,15,"Skattkärrs IK ",2
"25","Christoffer Frykestam","Fageråshallen",2,15,"Grums IBK",1
"26","Christoffer Frykestam","Fageråshallen",2,15,"IFK Väse",1
"27","Christoffer Frykestam","Fageråshallen",2,15,"Nilsby IK",2
"28","Christoffer Frykestam","Grums Sporthall",2,15,"Grums IBK ",1
"29","Christoffer Frykestam","Grums Sporthall",2,15,"Karlstad IBF Ungdom",1
"30","Christoffer Frykestam","Grums Sporthall",2,15,"Grums IBK ",1
"31","Christoffer Frykestam","Grums Sporthall",2,15,"Skattkärrs IK",1
"32","Christoffer Frykestam","Hammarö Arena",2,15,"Åmåls IBK",1
"33","Christoffer Frykestam","Hammarö Arena",2,15,"Skoghalls IBK Utveckling ",1
"34","Christoffer Frykestam","Hammarö Arena",2,15,"Skoghalls IBK Utveckling ",1
