"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Nyman","Skyttis Arena",3,3,"Hörnefors IF",1
"2","Andreas Nyman","Skyttis Arena",3,3,"Gullänget-Kroksta IBS",3
"3","Andreas Nyman","Skyttis Arena",3,3,"Obbola IK",1
"4","Andreas Nyman","Skyttis Arena",3,3,"Vindelns IF",1
"5","Andreas Weckfors","FC Vindeln",1,1,"Clemensnäs IF",1
"6","Andreas Weckfors","FC Vindeln",1,1,"Vindelns IF",1
"7","Andreas Åström","Balderhallen A",1,5,"Täfteå IK",1
"8","Andreas Åström","Balderhallen A",1,5,"Clemensnäs IF",1
"9","Andreas Åström","Eddahallen",2,5,"Rönnskär Railcare IF",1
"10","Andreas Åström","Eddahallen",2,5,"Clemensnäs IF",1
"11","Andreas Åström","Eddahallen",2,5,"Umeå City IBF",1
"12","Andreas Åström","Eddahallen",2,5,"IK SPIF Umeå",1
"13","Andreas Åström","Morö Backe A",2,5,"IBS Dalen",1
"14","Andreas Åström","Morö Backe A",2,5,"Hörnefors IF",1
"15","Andreas Åström","Morö Backe A",2,5,"FBC Moröbacke",2
"16","Bjarne Andersson","Hammarhallen Vännäs",1,3,"Vindelns IF",1
"17","Bjarne Andersson","Hammarhallen Vännäs",1,3,"Spöland Vännäs IF",1
"18","Bjarne Andersson","Midgårdshallen",1,3,"IBK Umeå Norr",1
"19","Bjarne Andersson","Midgårdshallen",1,3,"Gullänget-Kroksta IBS",1
"20","Bjarne Andersson","Musköten 2",1,3,"IBS Dalen",1
"21","Bjarne Andersson","Musköten 2",1,3,"Rönnskär Railcare IF",1
"22","Björn Glad","Midgårdshallen",2,3,"Täfteå IK",1
"23","Björn Glad","Midgårdshallen",2,3,"IBK Umeå Norr",1
"24","Björn Glad","Midgårdshallen",2,3,"IBK Umeå Norr",1
"25","Björn Glad","Midgårdshallen",2,3,"Gullänget-Kroksta IBS",1
"26","Björn Glad","Musköten 2",1,3,"IBS Dalen",1
"27","Björn Glad","Musköten 2",1,3,"Rönnskär Railcare IF",1
"28","Daniel Degerman","Eddahallen",2,4,"Clemensnäs IF",1
"29","Daniel Degerman","Eddahallen",2,4,"IBK Umeå Norr",2
"30","Daniel Degerman","Eddahallen",2,4,"FBC Moröbacke",1
"31","Daniel Degerman","Morö Backe A",2,4,"Täfteå IK",1
"32","Daniel Degerman","Morö Backe A",2,4,"FBC Moröbacke",2
"33","Daniel Degerman","Morö Backe A",2,4,"Hörnefors IF",1
"34","Daniel Johannesson","Bråvallahallen",1,7,"Clemensnäs IF",1
"35","Daniel Johannesson","Bråvallahallen",1,7,"Hörnefors IF",1
"36","Daniel Johannesson","Hammarhallen Vännäs",1,7,"Spöland Vännäs IF",1
"37","Daniel Johannesson","Hammarhallen Vännäs",1,7,"IBS Dalen",1
"38","Daniel Johannesson","Musköten 2",1,7,"IBS Dalen",1
"39","Daniel Johannesson","Musköten 2",1,7,"Vindelns IF",1
"40","Daniel Johannesson","Sjöfruhallen",1,7,"IBS Dalen",1
"41","Daniel Johannesson","Sjöfruhallen",1,7,"Gimonäs Umeå IBF",1
"42","Daniel Johannesson","Vildmannahallen",3,7,"Täfteå IK",1
"43","Daniel Johannesson","Vildmannahallen",3,7,"Rönnskär Railcare IF",1
"44","Daniel Johannesson","Vildmannahallen",3,7,"Umeå City IBF",3
"45","Daniel Johannesson","Vildmannahallen",3,7,"Vindelns IF",1
"46","David Jonsson","Eddahallen",8,10,"Vindelns IF",1
"47","David Jonsson","Eddahallen",8,10,"Holmsund City IBC",1
"48","David Jonsson","Eddahallen",8,10,"Clemensnäs IF",3
"49","David Jonsson","Eddahallen",8,10,"Umeå City IBF",1
"50","David Jonsson","Eddahallen",8,10,"Gullänget-Kroksta IBS",1
"51","David Jonsson","Eddahallen",8,10,"Gimonäs Umeå IBF",1
"52","David Jonsson","Eddahallen",8,10,"Rönnskär Railcare IF",5
"53","David Jonsson","Eddahallen",8,10,"IK SPIF Umeå",1
"54","David Jonsson","Eddahallen",8,10,"FBC Moröbacke",2
"55","David Jonsson","Morö Backe A",2,10,"FBC Moröbacke",1
"56","David Jonsson","Morö Backe A",2,10,"Clemensnäs IF",1
"57","David Jonsson","Morö Backe A",2,10,"IK SPIF Umeå",1
"58","David Jonsson","Morö Backe A",2,10,"Gimonäs Umeå IBF",1
"59","David Lundberg","Bråvallahallen",3,21,"Gullänget-Kroksta IBS",1
