"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Bjarne Wesenlund","Alléhallen, Vara",2,11,"Vara IBK ",2
"2","Bjarne Wesenlund","Alléhallen, Vara",2,11,"IBK Tygriket 99",1
"3","Bjarne Wesenlund","Alléhallen, Vara",2,11,"Tranemo IBK",1
"4","Bjarne Wesenlund","Almåshallen - Borås",2,11,"Rydboholms SK",1
"5","Bjarne Wesenlund","Almåshallen - Borås",2,11,"Sandareds IBS",2
"6","Bjarne Wesenlund","Almåshallen - Borås",2,11,"Tranemo IBK",1
"7","Bjarne Wesenlund","Arena C, Skövde",1,11,"IBK Vänersborg",1
"8","Bjarne Wesenlund","Arena C, Skövde",1,11,"Skövde IBF ",1
"9","Bjarne Wesenlund","Daltorphallen, Borås",2,11,"Borås IBF",2
"10","Bjarne Wesenlund","Daltorphallen, Borås",2,11,"Tranemo IBK",1
"11","Bjarne Wesenlund","Daltorphallen, Borås",2,11,"IBK Tygriket 99",1
"12","Bjarne Wesenlund","Idrottshall, Tranemo",2,11,"Tranemo IBK",2
"13","Bjarne Wesenlund","Idrottshall, Tranemo",2,11,"Borås IBF",1
"14","Bjarne Wesenlund","Idrottshall, Tranemo",2,11,"Fröjereds IF",1
"15","Bjarne Wesenlund","Idrottshuset, Vänersborg",1,11,"Tranemo IBK",1
"16","Bjarne Wesenlund","Idrottshuset, Vänersborg",1,11,"IBK Vänersborg",1
"17","Bjarne Wesenlund","Öxabäckshallen",1,11,"Stöpen IBK",1
"18","Bjarne Wesenlund","Öxabäckshallen",1,11,"IBK Tygriket 99",1
"19","Daniel Dimitrovski","Alléhallen, Vara",2,21,"Skövde IBF",1
"20","Daniel Dimitrovski","Alléhallen, Vara",2,21,"BK Halna",1
"21","Daniel Dimitrovski","Alléhallen, Vara",2,21,"Vara IBK ",2
"22","Daniel Dimitrovski","Almåshallen - Borås",1,21,"Stöpen IBK",1
"23","Daniel Dimitrovski","Almåshallen - Borås",1,21,"Sandareds IBS",1
"24","Daniel Dimitrovski","Arena A, Skövde",1,21,"Stöpen IBK",1
"25","Daniel Dimitrovski","Arena A, Skövde",1,21,"Skövde IBF ",1
"26","Daniel Dimitrovski","Arena C, Skövde",1,21,"Wårgårda IBK",1
"27","Daniel Dimitrovski","Arena C, Skövde",1,21,"Skövde IBF ",1
"28","Daniel Dimitrovski","Daltorphallen, Borås",2,21,"Borås IBF",2
"29","Daniel Dimitrovski","Daltorphallen, Borås",2,21,"Stöpen IBK",1
"30","Daniel Dimitrovski","Daltorphallen, Borås",2,21,"Skövde IBF",1
"31","Daniel Dimitrovski","Idrottshallen, Töreboda",2,21,"Borås IBF",1
"32","Daniel Dimitrovski","Idrottshallen, Töreboda",2,21,"BK Halna",2
"33","Daniel Dimitrovski","Idrottshallen, Töreboda",2,21,"IBK Vänersborg",1
"34","Daniel Dimitrovski","Idrottshallen, Viskafors",2,21,"Rydboholms SK",2
"35","Daniel Dimitrovski","Idrottshallen, Viskafors",2,21,"Wårgårda IBK",1
"36","Daniel Dimitrovski","Idrottshallen, Viskafors",2,21,"BK Halna",1
"37","Daniel Dimitrovski","Idrottshuset, Vänersborg",2,21,"IBK Vänersborg",2
"38","Daniel Dimitrovski","Idrottshuset, Vänersborg",2,21,"Wårgårda IBK",1
"39","Daniel Dimitrovski","Idrottshuset, Vänersborg",2,21,"Fröjereds IF",1
"40","Daniel Dimitrovski","Kungabergshallen, Fritsla",2,21,"IBK Tygriket 99",2
"41","Daniel Dimitrovski","Kungabergshallen, Fritsla",2,21,"Wårgårda IBK",1
"42","Daniel Dimitrovski","Kungabergshallen, Fritsla",2,21,"Vara IBK",1
"43","Daniel Dimitrovski","Sparbankshallen, T-holm",2,21,"Fröjereds IF",2
"44","Daniel Dimitrovski","Sparbankshallen, T-holm",2,21,"IBK Tygriket 99",1
"45","Daniel Dimitrovski","Sparbankshallen, T-holm",2,21,"Rydboholms SK",1
"46","Daniel Dimitrovski","Sporthallen, Vårgårda",1,21,"Skövde IBF",1
"47","Daniel Dimitrovski","Sporthallen, Vårgårda",1,21,"Wårgårda IBK",1
"48","Daniel Dimitrovski","Stöpenhallen, Skövde",2,21,"Fröjereds IF",1
"49","Daniel Dimitrovski","Stöpenhallen, Skövde",2,21,"Stöpen IBK ",2
"50","Daniel Dimitrovski","Stöpenhallen, Skövde",2,21,"IBK Tygriket 99",1
"51","Daniel Dimitrovski","Öxabäckshallen",1,21,"IBK Tygriket 99",1
"52","Daniel Dimitrovski","Öxabäckshallen",1,21,"Borås IBF",1
"53","David Persson","Alléhallen, Vara",2,21,"Sandareds IBS",1
"54","David Persson","Alléhallen, Vara",2,21,"Rydboholms SK",1
"55","David Persson","Alléhallen, Vara",2,21,"Vara IBK ",2
"56","David Persson","Almåshallen - Borås",2,21,"Sandareds IBS",2
"57","David Persson","Almåshallen - Borås",2,21,"Skövde IBF",1
"58","David Persson","Almåshallen - Borås",2,21,"IBK Tygriket 99",1
"59","David Persson","Arena C, Skövde",2,21,"Borås IBF",1
"60","David Persson","Arena C, Skövde",2,21,"IBK Tygriket 99",1
"61","David Persson","Arena C, Skövde",2,21,"Skövde IBF ",2
"62","David Persson","Daltorphallen, Borås",1,21,"Borås IBF",1
"63","David Persson","Daltorphallen, Borås",1,21,"IBK Vänersborg",1
"64","David Persson","Idrottshall, Tranemo",2,21,"Stöpen IBK",1
"65","David Persson","Idrottshall, Tranemo",2,21,"Tranemo IBK",2
"66","David Persson","Idrottshall, Tranemo",2,21,"Skövde IBF",1
"67","David Persson","Idrottshallen, Viskafors",1,21,"Rydboholms SK",1
"68","David Persson","Idrottshallen, Viskafors",1,21,"Vara IBK",1
"69","David Persson","Idrottshuset, Vänersborg",1,21,"IBK Vänersborg",1
"70","David Persson","Idrottshuset, Vänersborg",1,21,"Skövde IBF",1
"71","David Persson","Kungabergshallen, Fritsla",1,21,"IBK Tygriket 99",1
"72","David Persson","Kungabergshallen, Fritsla",1,21,"Fröjereds IF",1
"73","David Persson","Sparbankshallen, T-holm",1,21,"Fröjereds IF",1
"74","David Persson","Sparbankshallen, T-holm",1,21,"Sandareds IBS",1
"75","David Persson","Sporthallen, Vårgårda",4,21,"Rydboholms SK",1
"76","David Persson","Sporthallen, Vårgårda",4,21,"Wårgårda IBK",4
"77","David Persson","Sporthallen, Vårgårda",4,21,"IBK Tygriket 99",1
"78","David Persson","Sporthallen, Vårgårda",4,21,"Sandareds IBS",1
"79","David Persson","Sporthallen, Vårgårda",4,21,"IBK Vänersborg",1
"80","David Persson","Stöpenhallen, Skövde",2,21,"Sandareds IBS",1
"81","David Persson","Stöpenhallen, Skövde",2,21,"Stöpen IBK ",2
"82","David Persson","Stöpenhallen, Skövde",2,21,"Wårgårda IBK",1
"83","David Persson","Öxabäckshallen",2,21,"Tranemo IBK",1
"84","David Persson","Öxabäckshallen",2,21,"IBK Tygriket 99",2
"85","David Persson","Öxabäckshallen",2,21,"IBK Vänersborg",1
"86","Erling Josefsson","Alléhallen, Vara",1,17,"Wårgårda IBK",1
"87","Erling Josefsson","Alléhallen, Vara",1,17,"Vara IBK ",1
"88","Erling Josefsson","Almåshallen - Borås",1,17,"BK Halna",1
"89","Erling Josefsson","Almåshallen - Borås",1,17,"Sandareds IBS",1
"90","Erling Josefsson","Arena C, Skövde",1,17,"Skövde IBF ",1
"91","Erling Josefsson","Arena C, Skövde",1,17,"BK Halna",1
"92","Erling Josefsson","Idrottshall, Tranemo",3,17,"IBK Vänersborg",1
"93","Erling Josefsson","Idrottshall, Tranemo",3,17,"BK Halna",1
"94","Erling Josefsson","Idrottshall, Tranemo",3,17,"Rydboholms SK",1
"95","Erling Josefsson","Idrottshall, Tranemo",3,17,"Tranemo IBK",3
"96","Erling Josefsson","Idrottshallen, Viskafors",4,17,"Rydboholms SK",2
"97","Erling Josefsson","Idrottshallen, Viskafors",4,17,"Sandareds IBS",1
"98","Erling Josefsson","Idrottshallen, Viskafors",4,17,"IBK Tygriket 99",1
"99","Erling Josefsson","Idrottshallen, Viskafors",4,17,"IBK Vänersborg",1
"100","Erling Josefsson","Idrottshallen, Viskafors",4,17,"Skövde IBF",1
"101","Erling Josefsson","Idrottshallen, Viskafors",4,17,"Rydboholms SK",2
"102","Erling Josefsson","Idrottshuset, Vänersborg",2,17,"Sandareds IBS",1
"103","Erling Josefsson","Idrottshuset, Vänersborg",2,17,"IBK Vänersborg",2
"104","Erling Josefsson","Idrottshuset, Vänersborg",2,17,"BK Halna",1
"105","Erling Josefsson","Sparbankshallen, T-holm",3,17,"Fröjereds IF",1
"106","Erling Josefsson","Sparbankshallen, T-holm",3,17,"Borås IBF",1
"107","Erling Josefsson","Sparbankshallen, T-holm",3,17,"Vara IBK",1
"108","Erling Josefsson","Sparbankshallen, T-holm",3,17,"IBK Vänersborg",1
"109","Erling Josefsson","Sparbankshallen, T-holm",3,17,"Fröjereds IF",2
"110","Erling Josefsson","Sporthallen, Vårgårda",2,17,"Wårgårda IBK",2
"111","Erling Josefsson","Sporthallen, Vårgårda",2,17,"Vara IBK",1
"112","Erling Josefsson","Sporthallen, Vårgårda",2,17,"Borås IBF",1
"113","Harri Tjäder","Alléhallen, Vara",3,24,"Sandareds IBS",1
"114","Harri Tjäder","Alléhallen, Vara",3,24,"Stöpen IBK",1
"115","Harri Tjäder","Alléhallen, Vara",3,24,"Vara IBK ",3
"116","Harri Tjäder","Alléhallen, Vara",3,24,"Rydboholms SK",1
"117","Harri Tjäder","Almåshallen - Borås",2,24,"Sandareds IBS",2
"118","Harri Tjäder","Almåshallen - Borås",2,24,"Skövde IBF",1
"119","Harri Tjäder","Almåshallen - Borås",2,24,"IBK Tygriket 99",1
"120","Harri Tjäder","Arena C, Skövde",2,24,"Skövde IBF ",2
"121","Harri Tjäder","Arena C, Skövde",2,24,"Borås IBF",1
"122","Harri Tjäder","Arena C, Skövde",2,24,"IBK Tygriket 99",1
"123","Harri Tjäder","Daltorphallen, Borås",1,24,"Borås IBF",1
"124","Harri Tjäder","Daltorphallen, Borås",1,24,"IBK Vänersborg",1
"125","Harri Tjäder","Idrottshall, Tranemo",2,24,"Stöpen IBK",1
"126","Harri Tjäder","Idrottshall, Tranemo",2,24,"Tranemo IBK",2
"127","Harri Tjäder","Idrottshall, Tranemo",2,24,"Skövde IBF",1
"128","Harri Tjäder","Idrottshallen, Viskafors",1,24,"Rydboholms SK",1
"129","Harri Tjäder","Idrottshallen, Viskafors",1,24,"Vara IBK",1
"130","Harri Tjäder","Idrottshuset, Vänersborg",1,24,"Skövde IBF",1
"131","Harri Tjäder","Idrottshuset, Vänersborg",1,24,"IBK Vänersborg",1
"132","Harri Tjäder","Kungabergshallen, Fritsla",1,24,"IBK Tygriket 99",1
"133","Harri Tjäder","Kungabergshallen, Fritsla",1,24,"Fröjereds IF",1
"134","Harri Tjäder","Sparbankshallen, T-holm",2,24,"Fröjereds IF",2
"135","Harri Tjäder","Sparbankshallen, T-holm",2,24,"Wårgårda IBK",1
"136","Harri Tjäder","Sparbankshallen, T-holm",2,24,"Sandareds IBS",1
"137","Harri Tjäder","Sporthallen, Vårgårda",4,24,"IBK Vänersborg",1
"138","Harri Tjäder","Sporthallen, Vårgårda",4,24,"Rydboholms SK",1
"139","Harri Tjäder","Sporthallen, Vårgårda",4,24,"Wårgårda IBK",4
"140","Harri Tjäder","Sporthallen, Vårgårda",4,24,"Sandareds IBS",1
"141","Harri Tjäder","Sporthallen, Vårgårda",4,24,"IBK Tygriket 99",1
"142","Harri Tjäder","Stöpenhallen, Skövde",2,24,"Sandareds IBS",1
"143","Harri Tjäder","Stöpenhallen, Skövde",2,24,"Wårgårda IBK",1
"144","Harri Tjäder","Stöpenhallen, Skövde",2,24,"Stöpen IBK ",2
"145","Harri Tjäder","Öxabäckshallen",3,24,"IBK Tygriket 99",3
"146","Harri Tjäder","Öxabäckshallen",3,24,"BK Halna",1
"147","Harri Tjäder","Öxabäckshallen",3,24,"IBK Vänersborg",1
"148","Harri Tjäder","Öxabäckshallen",3,24,"Tranemo IBK",1
"149","Henrik Carlsson","Alléhallen, Vara",2,12,"Tranemo IBK",1
"150","Henrik Carlsson","Alléhallen, Vara",2,12,"IBK Tygriket 99",1
"151","Henrik Carlsson","Alléhallen, Vara",2,12,"Vara IBK ",2
"152","Henrik Carlsson","Almåshallen - Borås",2,12,"Tranemo IBK",1
"153","Henrik Carlsson","Almåshallen - Borås",2,12,"Sandareds IBS",2
"154","Henrik Carlsson","Almåshallen - Borås",2,12,"Rydboholms SK",1
"155","Henrik Carlsson","Arena C, Skövde",1,12,"IBK Vänersborg",1
"156","Henrik Carlsson","Arena C, Skövde",1,12,"Skövde IBF ",1
"157","Henrik Carlsson","Daltorphallen, Borås",2,12,"Borås IBF",2
"158","Henrik Carlsson","Daltorphallen, Borås",2,12,"IBK Tygriket 99",1
"159","Henrik Carlsson","Daltorphallen, Borås",2,12,"Tranemo IBK",1
"160","Henrik Carlsson","Idrottshall, Tranemo",1,12,"Tranemo IBK",1
"161","Henrik Carlsson","Idrottshall, Tranemo",1,12,"Borås IBF",1
"162","Henrik Carlsson","Idrottshallen, Viskafors",1,12,"IBK Tygriket 99",1
"163","Henrik Carlsson","Idrottshallen, Viskafors",1,12,"Rydboholms SK",1
"164","Henrik Carlsson","Idrottshuset, Vänersborg",1,12,"IBK Vänersborg",1
"165","Henrik Carlsson","Idrottshuset, Vänersborg",1,12,"Tranemo IBK",1
"166","Henrik Carlsson","Öxabäckshallen",2,12,"IBK Tygriket 99",2
"167","Henrik Carlsson","Öxabäckshallen",2,12,"BK Halna",1
"168","Henrik Carlsson","Öxabäckshallen",2,12,"Stöpen IBK",1
"169","Joakim Mattsson","Almåshallen - Borås",1,12,"Sandareds IBS",1
"170","Joakim Mattsson","Almåshallen - Borås",1,12,"BK Halna",1
"171","Joakim Mattsson","Arena C, Skövde",1,12,"Skövde IBF ",1
"172","Joakim Mattsson","Arena C, Skövde",1,12,"BK Halna",1
"173","Joakim Mattsson","Idrottshall, Tranemo",2,12,"Tranemo IBK",2
"174","Joakim Mattsson","Idrottshall, Tranemo",2,12,"BK Halna",1
"175","Joakim Mattsson","Idrottshall, Tranemo",2,12,"Rydboholms SK",1
