"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Alexander Bergman","Sundsvalls Sporthall-A",1,1,"FBC Lo",1
"2","Alexander Bergman","Sundsvalls Sporthall-A",1,1,"Sundsvall FBC Ungdom",1
"3","Anders Johansson","Fränsta Sporthall",3,11,"Jemtland Innebandy Utv",1
"4","Anders Johansson","Fränsta Sporthall",3,11,"FBC Lo",1
"5","Anders Johansson","Fränsta Sporthall",3,11,"Fränsta IK",3
"6","Anders Johansson","Fränsta Sporthall",3,11,"Wallviks IK",1
"7","Anders Johansson","Hagahallen",2,11,"Hudik/Björkberg U",1
"8","Anders Johansson","Hagahallen",2,11,"Klockarbergets BK",1
"9","Anders Johansson","Hagahallen",2,11,"Alfta IBK",1
"10","Anders Johansson","Hagahallen",2,11,"Sundsvall FBC Utveckling",1
"11","Anders Johansson","Njurundahallen",4,11,"Fränsta IK",1
"12","Anders Johansson","Njurundahallen",4,11,"Hudik/Björkberg U",1
"13","Anders Johansson","Njurundahallen",4,11,"Sundsvall FBC Utveckling",1
"14","Anders Johansson","Njurundahallen",4,11,"Jemtland Innebandy Utv",1
"15","Anders Johansson","Njurundahallen",4,11,"Klockarbergets BK",4
"16","Anders Johansson","Sundsvalls Sporthall-A",2,11,"Wallviks IK",1
"17","Anders Johansson","Sundsvalls Sporthall-A",2,11,"IBK Härnösand",1
"18","Anders Johansson","Sundsvalls Sporthall-A",2,11,"Sundsvall FBC Utveckling",1
"19","Anders Johansson","Sundsvalls Sporthall-A",2,11,"Sundsvall FBC Ungdom",1
"20","Anders Öbergh","Bollstahallen",2,3,"Wallviks IK",1
"21","Anders Öbergh","Bollstahallen",2,3,"FBC Lo",2
"22","Anders Öbergh","Bollstahallen",2,3,"Hudik/Björkberg U",1
"23","Anders Öbergh","Öbacka SC",1,3,"IBK Härnösand",1
"24","Anders Öbergh","Öbacka SC",1,3,"Håsta IBK",1
"25","Andreas Lindberg","Skönsbergshallen",2,3,"Sundsvall FBC Utveckling",2
"26","Andreas Lindberg","Skönsbergshallen",2,3,"Sundsvall FBC Ungdom",1
"27","Andreas Lindberg","Skönsbergshallen",2,3,"Håsta IBK",1
"28","Andreas Lindberg","Sundsvalls Sporthall-A",1,3,"Alfta IBK",1
"29","Andreas Lindberg","Sundsvalls Sporthall-A",1,3,"Sundsvall FBC Ungdom",1
"30","Andreas Nyman","Bollstahallen",1,1,"FBC Lo",1
"31","Andreas Nyman","Bollstahallen",1,1,"Fränsta IK",1
"32","Arvid Larsson","Fränsta Sporthall",1,2,"Sundsvall City IBC U",1
"33","Arvid Larsson","Fränsta Sporthall",1,2,"Fränsta IK",1
"34","Arvid Larsson","Sundsvalls Sporthall-A",1,2,"FBC Lo",1
"35","Arvid Larsson","Sundsvalls Sporthall-A",1,2,"Sundsvall FBC Ungdom",1
"36","Dennis Wall","Torvallaskolans sporthall",1,1,"IBK Härnösand",1
"37","Dennis Wall","Torvallaskolans sporthall",1,1,"Jemtland Innebandy Utv",1
"38","Fredrik Strese","Sundsvalls Sporthall-A",1,2,"FBC Lo",1
"39","Fredrik Strese","Sundsvalls Sporthall-A",1,2,"Sundsvall FBC Utveckling",1
"40","Fredrik Strese","Öbacka SC",1,2,"Sundsvall FBC Utveckling",1
"41","Fredrik Strese","Öbacka SC",1,2,"IBK Härnösand",1
"42","Fredrik Söderholm","Bollstahallen",2,4,"Jemtland Innebandy Utv",1
"43","Fredrik Söderholm","Bollstahallen",2,4,"Fränsta IK",1
"44","Fredrik Söderholm","Bollstahallen",2,4,"FBC Lo",2
"45","Fredrik Söderholm","Öbacka SC",2,4,"Sundsvall City IBC U",1
"46","Fredrik Söderholm","Öbacka SC",2,4,"IBK Härnösand",2
"47","Fredrik Söderholm","Öbacka SC",2,4,"Alfta IBK",1
"48","Göran Norberg","Bollstahallen",2,4,"FBC Lo",1
"49","Göran Norberg","Bollstahallen",2,4,"IBK Härnösand",1
"50","Göran Norberg","Bollstahallen",2,4,"Sundsvall FBC Ungdom",1
"51","Göran Norberg","Bollstahallen",2,4,"FBC Lo",1
"52","Göran Norberg","Öbacka SC",2,4,"Klockarbergets BK",1
"53","Göran Norberg","Öbacka SC",2,4,"IBK Härnösand",1
"54","Göran Norberg","Öbacka SC",2,4,"IBK Härnösand",1
"55","Göran Norberg","Öbacka SC",2,4,"Hudik/Björkberg U",1
"56","Hans Söderblom","Höglunda",2,3,"Wallviks IK",1
"57","Hans Söderblom","Höglunda",2,3,"Sundsvall City IBC U",2
"58","Hans Söderblom","Höglunda",2,3,"FBC Lo",1
"59","Hans Söderblom","Skönsbergshallen",1,3,"Sundsvall City IBC U",1
"60","Hans Söderblom","Skönsbergshallen",1,3,"Fränsta IK",1
"61","Jesper Doherty","Njurundahallen",1,1,"FBC Lo",1
"62","Jesper Doherty","Njurundahallen",1,1,"Klockarbergets BK",1
"63","Jimmy Löfgren","Alfta Sporthall",1,5,"Alfta IBK",1
"64","Jimmy Löfgren","Alfta Sporthall",1,5,"Jemtland Innebandy Utv",1
"65","Jimmy Löfgren","Håstaholmen",4,5,"Hudik/Björkberg U",1
"66","Jimmy Löfgren","Håstaholmen",4,5,"Klockarbergets BK",1
"67","Jimmy Löfgren","Håstaholmen",4,5,"IBK Härnösand",1
"68","Jimmy Löfgren","Håstaholmen",4,5,"Fränsta IK",1
"69","Jimmy Löfgren","Håstaholmen",4,5,"Håsta IBK",3
"70","Jimmy Löfgren","Håstaholmen",4,5,"Wallviks IK",1
"71","Joakim Nydahl","Öbacka SC",1,1,"IBK Härnösand",1
"72","Joakim Nydahl","Öbacka SC",1,1,"Sundsvall City IBC U",1
"73","Johnnie Lundmark","Bollstahallen",1,2,"FBC Lo",1
"74","Johnnie Lundmark","Bollstahallen",1,2,"Jemtland Innebandy Utv",1
