"","Referee","TotalCount"
"1","Anders Johansson",8
"2","Anders Öbergh",3
"3","Andreas Lindberg",3
"4","Dennis Wall",1
"5","Fredrik Strese",2
"6","Fredrik Söderholm",2
"7","Göran Norberg",3
"8","Hans Söderblom",3
"9","Jesper Doherty",1
"10","Jimmy Löfgren",3
"11","Joakim Nydahl",1
"12","Johnnie Lundmark",1
"13","Johnny Sundberg",20
"14","Leif Sundberg",16
"15","Mats Finke",3
"16","Mats Sjöqvist",3
"17","Michael Hoek",1
"18","Mikael Körning",6
"19","Niclas Engström",1
"20","Patric Jonsson",8
"21","Patrick Cederblad",10
"22","Patrik Sjöberg",9
"23","Peder Lövdahl",5
"24","Peter Boije",1
"25","Peter Palander",8
"26","Robert Mårtensson",1
"27","Robert Olofsson",3
"28","Robin Palander",3
"29","Roger Lundbäck",8
"30","Thomas Berglund",11
"31","Tony Strindlund",1
"32","Urban Henrixon",2
"33","Urban Larsson",3
