"","Referee","TotalCount"
"1","Adam Kruse",9
"2","Adnan Tongur",16
"3","Aldin Hadziselmovic",5
"4","Alexander Pavlovic",6
"5","Apilou Dragin",7
"6","Besim Mehmedagic",11
"7","Carl Flyning",3
"8","Catrin Kleist",8
"9","Christian Jensen",6
"10","Gustav Glansén",5
"11","Hajrudin Begic",10
"12","Håkan Krafft",2
"13","Jesper Dammert",5
"14","Joakim Amri Nilsson",9
"15","Joakim Jögi",4
"16","Pelle Hellberg",4
"17","Peter Axelsson",2
"18","Pierre Eberhard Berg",4
"19","Pontus Ekengränd",7
"20","Roger Zahnér",4
"21","Torbjörn Zahner",2
"22","Walter Wästhage",1
