"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Westerberg","Idre Fjäll Arena",1,2,"KAIS Mora IF",1
"2","Anders Westerberg","Idre Fjäll Arena",1,2,"Gävle GIK",1
"3","Anders Westerberg","Jakobsbergs Sporthall",1,2,"Hudik/Björkberg IBK",1
"4","Anders Westerberg","Jakobsbergs Sporthall",1,2,"AIK IBF",1
"5","Andreas Holm","Habo Sporthall A-hall",1,2,"Fagerhult Habo IBK",1
"6","Andreas Holm","Habo Sporthall A-hall",1,2,"Warberg IC",1
"7","Andreas Holm","Sparbanken Wictory Center, Salmingplanen",1,2,"Fagerhult Habo IBK",1
"8","Andreas Holm","Sparbanken Wictory Center, Salmingplanen",1,2,"Warberg IC",1
"9","Andreas Lybacken","Rydsbergshallen",1,1,"FBC Lerum",1
"10","Andreas Lybacken","Rydsbergshallen",1,1,"Fagerhult Habo IBK",1
"11","Björn Hedman","Alfahallen - Gavlehov",2,10,"FBI Tullinge",1
"12","Björn Hedman","Alfahallen - Gavlehov",2,10,"Gävle GIK",2
"13","Björn Hedman","Alfahallen - Gavlehov",2,10,"Hagunda IF",1
"14","Björn Hedman","Eriksdalshallen",1,10,"Djurgårdens IF IBS",1
"15","Björn Hedman","Eriksdalshallen",1,10,"FBI Tullinge",1
"16","Björn Hedman","Idrottshuset, Örebro Plan 1",2,10,"Fagerhult Habo IBK",1
"17","Björn Hedman","Idrottshuset, Örebro Plan 1",2,10,"Lillån IBK",2
"18","Björn Hedman","Idrottshuset, Örebro Plan 1",2,10,"Malmö FBC",1
"19","Björn Hedman","IFU Arena A",1,10,"Hagunda IF",1
"20","Björn Hedman","IFU Arena A",1,10,"FBI Tullinge",1
"21","Björn Hedman","Rosvalla A",1,10,"Karlstad IBF",1
"22","Björn Hedman","Rosvalla A",1,10,"Onyx IBK",1
"23","Björn Hedman","Thomas Arena",1,10,"Strängnäs IBK",1
"24","Björn Hedman","Thomas Arena",1,10,"Malmö FBC",1
"25","Björn Hedman","Umeå Energi Arena",2,10,"Wibax-Piteå IBK",1
"26","Björn Hedman","Umeå Energi Arena",2,10,"Gävle GIK",1
"27","Björn Hedman","Umeå Energi Arena",2,10,"Team Thorengruppen SK",1
"28","Björn Hedman","Umeå Energi Arena",2,10,"RIG Umeå IBF",1
"29","Christoffer Markovski","Alfahallen - Gavlehov",1,8,"Gävle GIK",1
"30","Christoffer Markovski","Alfahallen - Gavlehov",1,8,"AIK IBF",1
"31","Christoffer Markovski","ICA Maxi Arena",1,8,"Visby IBK",1
"32","Christoffer Markovski","ICA Maxi Arena",1,8,"Warberg IC",1
"33","Christoffer Markovski","IFU Arena A",1,8,"Hagunda IF",1
"34","Christoffer Markovski","IFU Arena A",1,8,"AIK IBF",1
"35","Christoffer Markovski","IKSU Sport",1,8,"IBK Runsten",1
"36","Christoffer Markovski","IKSU Sport",1,8,"Team Thorengruppen SK",1
"37","Christoffer Markovski","Oskarshamns Sporthall A-hall",1,8,"Visby IBK",1
"38","Christoffer Markovski","Oskarshamns Sporthall A-hall",1,8,"Craftstadens IBK Oskarshamn",1
"39","Christoffer Markovski","Sparbankshallen Varberg",1,8,"Karlstad IBF",1
"40","Christoffer Markovski","Sparbankshallen Varberg",1,8,"Warberg IC",1
"41","Christoffer Markovski","Umeå Energi Arena Vatten",1,8,"AIK IBF",1
"42","Christoffer Markovski","Umeå Energi Arena Vatten",1,8,"Team Thorengruppen SK",1
"43","Christoffer Markovski","Åby Arena",1,8,"Åby IBK",1
"44","Christoffer Markovski","Åby Arena",1,8,"Malmö FBC",1
"45","Daniel Böcker","Rydsbergshallen",1,1,"Fagerhult Habo IBK",1
"46","Daniel Böcker","Rydsbergshallen",1,1,"FBC Lerum",1
"47","Daniel Fathi-Najafi","Sparbanken Wictory Center, Salmingplanen",1,1,"Lagan IBK",1
"48","Daniel Fathi-Najafi","Sparbanken Wictory Center, Salmingplanen",1,1,"Warberg IC",1
"49","Daniel Söderberg","Fleminghallen",2,5,"IBK Runsten",1
"50","Daniel Söderberg","Fleminghallen",2,5,"Gävle GIK",1
"51","Daniel Söderberg","Fleminghallen",2,5,"FBI Tullinge",2
"52","Daniel Söderberg","Norrmalmia Sph",2,5,"Wibax-Piteå IBK",2
"53","Daniel Söderberg","Norrmalmia Sph",2,5,"Djurgårdens IF IBS",1
"54","Daniel Söderberg","Norrmalmia Sph",2,5,"Team Thorengruppen SK",1
"55","Daniel Söderberg","Rosvalla A",1,5,"Onyx IBK",1
"56","Daniel Söderberg","Rosvalla A",1,5,"Lagan IBK",1
"57","David Berger","Alfahallen - Gavlehov",2,24,"Gävle GIK",2
"58","David Berger","Alfahallen - Gavlehov",2,24,"Hudik/Björkberg IBK",1
"59","David Berger","Alfahallen - Gavlehov",2,24,"IBK Runsten",1
"60","David Berger","Baltiska Hallen A",1,24,"Warberg IC",1
"61","David Berger","Baltiska Hallen A",1,24,"Malmö FBC",1
"62","David Berger","Colorama Arena",2,24,"Karlstad IBF",2
"63","David Berger","Colorama Arena",2,24,"Lagan IBK",1
"64","David Berger","Colorama Arena",2,24,"Malmö FBC",1
"65","David Berger","Eriksdalshallen",2,24,"Salems IF",1
"66","David Berger","Eriksdalshallen",2,24,"IBK Runsten",1
"67","David Berger","Eriksdalshallen",2,24,"Djurgårdens IF IBS",2
"68","David Berger","Fleminghallen",1,24,"FBI Tullinge",1
"69","David Berger","Fleminghallen",1,24,"Team Thorengruppen SK",1
"70","David Berger","Habo Sporthall A-hall",1,24,"Malmö FBC",1
"71","David Berger","Habo Sporthall A-hall",1,24,"Fagerhult Habo IBK",1
"72","David Berger","Idre Fjäll Arena",1,24,"RIG Umeå IBF",1
"73","David Berger","Idre Fjäll Arena",1,24,"KAIS Mora IF",1
"74","David Berger","Idrottshuset, Örebro Plan 1",1,24,"Craftstadens IBK Oskarshamn",1
"75","David Berger","Idrottshuset, Örebro Plan 1",1,24,"Lillån IBK",1
"76","David Berger","IFU Arena A",3,24,"RIG Umeå IBF",1
"77","David Berger","IFU Arena A",3,24,"Hagunda IF",3
"78","David Berger","IFU Arena A",3,24,"IBK Runsten",1
"79","David Berger","IFU Arena A",3,24,"Hudik/Björkberg IBK",1
"80","David Berger","Rosvalla A",1,24,"Fagerhult Habo IBK",1
"81","David Berger","Rosvalla A",1,24,"Onyx IBK",1
"82","David Berger","Skogsängshallen",2,24,"Salems IF",2
"83","David Berger","Skogsängshallen",2,24,"KAIS Mora IF",1
"84","David Berger","Skogsängshallen",2,24,"Wibax-Piteå IBK",1
"85","David Berger","Solnahallen",3,24,"Hagunda IF",1
"86","David Berger","Solnahallen",3,24,"Gävle GIK",1
"87","David Berger","Solnahallen",3,24,"AIK IBF",3
"88","David Berger","Solnahallen",3,24,"FBI Tullinge",1
"89","David Berger","Thomas Arena",1,24,"Strängnäs IBK",1
"90","David Berger","Thomas Arena",1,24,"FBC Lerum",1
"91","David Berger","Umeå Energi Arena",1,24,"RIG Umeå IBF",1
"92","David Berger","Umeå Energi Arena",1,24,"Team Thorengruppen SK",1
"93","David Berger","Umeå Energi Arena Väst",1,24,"Djurgårdens IF IBS",1
"94","David Berger","Umeå Energi Arena Väst",1,24,"RIG Umeå IBF",1
"95","David Berger","Åby Arena",1,24,"Åby IBK",1
"96","David Berger","Åby Arena",1,24,"Karlstad IBF",1
"97","David Geiser","Kirsebergs Sporthall",1,1,"Onyx IBK",1
"98","David Geiser","Kirsebergs Sporthall",1,1,"Malmö FBC",1
"99","Edwin Simonian","Alfahallen - Gavlehov",2,3,"Team Thorengruppen SK",1
"100","Edwin Simonian","Alfahallen - Gavlehov",2,3,"Gävle GIK",1
"101","Edwin Simonian","Alfahallen - Gavlehov",2,3,"IBK Runsten",1
"102","Edwin Simonian","Alfahallen - Gavlehov",2,3,"Wibax-Piteå IBK",1
"103","Edwin Simonian","Rosvalla A",1,3,"Onyx IBK",1
"104","Edwin Simonian","Rosvalla A",1,3,"Craftstadens IBK Oskarshamn",1
"105","Erik Lundgren","Alfahallen - Gavlehov",2,10,"IBK Runsten",2
"106","Erik Lundgren","Alfahallen - Gavlehov",2,10,"AIK IBF",1
"107","Erik Lundgren","Alfahallen - Gavlehov",2,10,"RIG Umeå IBF",1
"108","Erik Lundgren","Håstaholmen",2,10,"RIG Umeå IBF",1
"109","Erik Lundgren","Håstaholmen",2,10,"Hudik/Björkberg IBK",2
"110","Erik Lundgren","Håstaholmen",2,10,"Djurgårdens IF IBS",1
"111","Erik Lundgren","Idre Fjäll Arena",1,10,"KAIS Mora IF",1
"112","Erik Lundgren","Idre Fjäll Arena",1,10,"AIK IBF",1
"113","Erik Lundgren","IFU Arena A",1,10,"Hagunda IF",1
"114","Erik Lundgren","IFU Arena A",1,10,"Salems IF",1
"115","Erik Lundgren","Norrmalmia Sph",1,10,"Hagunda IF",1
"116","Erik Lundgren","Norrmalmia Sph",1,10,"Wibax-Piteå IBK",1
"117","Erik Lundgren","Umeå Energi Arena",2,10,"Wibax-Piteå IBK",1
"118","Erik Lundgren","Umeå Energi Arena",2,10,"Team Thorengruppen SK",1
"119","Erik Lundgren","Umeå Energi Arena",2,10,"KAIS Mora IF",1
"120","Erik Lundgren","Umeå Energi Arena",2,10,"RIG Umeå IBF",1
"121","Erik Lundgren","Åby Arena",1,10,"FBC Lerum",1
"122","Erik Lundgren","Åby Arena",1,10,"Åby IBK",1
"123","Frans Dahlstedt","Colorama Arena",1,17,"Karlstad IBF",1
"124","Frans Dahlstedt","Colorama Arena",1,17,"Lillån IBK",1
"125","Frans Dahlstedt","Eriksdalshallen",2,17,"Djurgårdens IF IBS",2
"126","Frans Dahlstedt","Eriksdalshallen",2,17,"RIG Umeå IBF",1
"127","Frans Dahlstedt","Eriksdalshallen",2,17,"Wibax-Piteå IBK",1
"128","Frans Dahlstedt","Håstaholmen",1,17,"AIK IBF",1
"129","Frans Dahlstedt","Håstaholmen",1,17,"Hudik/Björkberg IBK",1
"130","Frans Dahlstedt","ICA Maxi Arena",2,17,"Visby IBK",2
"131","Frans Dahlstedt","ICA Maxi Arena",2,17,"Lillån IBK",1
"132","Frans Dahlstedt","ICA Maxi Arena",2,17,"Lagan IBK",1
"133","Frans Dahlstedt","Idre Fjäll Arena",2,17,"Djurgårdens IF IBS",1
"134","Frans Dahlstedt","Idre Fjäll Arena",2,17,"KAIS Mora IF",2
"135","Frans Dahlstedt","Idre Fjäll Arena",2,17,"Wibax-Piteå IBK",1
"136","Frans Dahlstedt","Idrottshuset, Örebro Plan 1",1,17,"Onyx IBK",1
"137","Frans Dahlstedt","Idrottshuset, Örebro Plan 1",1,17,"Lillån IBK",1
"138","Frans Dahlstedt","Norrmalmia Sph",2,17,"Hudik/Björkberg IBK",1
"139","Frans Dahlstedt","Norrmalmia Sph",2,17,"Gävle GIK",1
"140","Frans Dahlstedt","Norrmalmia Sph",2,17,"Wibax-Piteå IBK",2
"141","Frans Dahlstedt","Oskarshamns Sporthall A-hall",1,17,"Craftstadens IBK Oskarshamn",1
"142","Frans Dahlstedt","Oskarshamns Sporthall A-hall",1,17,"Onyx IBK",1
"143","Frans Dahlstedt","Rosvalla A",1,17,"Onyx IBK",1
"144","Frans Dahlstedt","Rosvalla A",1,17,"Strängnäs IBK",1
"145","Frans Dahlstedt","Rydsbergshallen",2,17,"FBC Lerum",2
"146","Frans Dahlstedt","Rydsbergshallen",2,17,"Craftstadens IBK Oskarshamn",1
"147","Frans Dahlstedt","Rydsbergshallen",2,17,"Karlstad IBF",1
"148","Frans Dahlstedt","Åby Arena",2,17,"Lagan IBK",1
"149","Frans Dahlstedt","Åby Arena",2,17,"Åby IBK",2
"150","Frans Dahlstedt","Åby Arena",2,17,"Fagerhult Habo IBK",1
"151","Glenn Boström","Eriksdalshallen",1,4,"Team Thorengruppen SK",1
"152","Glenn Boström","Eriksdalshallen",1,4,"Djurgårdens IF IBS",1
"153","Glenn Boström","Skogsängshallen",2,4,"IBK Runsten",1
"154","Glenn Boström","Skogsängshallen",2,4,"AIK IBF",1
"155","Glenn Boström","Skogsängshallen",2,4,"Salems IF",2
"156","Glenn Boström","Thomas Arena",1,4,"Lagan IBK",1
"157","Glenn Boström","Thomas Arena",1,4,"Strängnäs IBK",1
"158","Henrik Ibjer","Håstaholmen",1,1,"Hudik/Björkberg IBK",1
"159","Henrik Ibjer","Håstaholmen",1,1,"FBI Tullinge",1
"160","Henrik Nilsson","Kirsebergs Sporthall",1,1,"Malmö FBC",1
"161","Henrik Nilsson","Kirsebergs Sporthall",1,1,"Onyx IBK",1
"162","Håkan Söderman","Eriksdalshallen",1,5,"Team Thorengruppen SK",1
"163","Håkan Söderman","Eriksdalshallen",1,5,"Djurgårdens IF IBS",1
"164","Håkan Söderman","Oskarshamns Sporthall A-hall",1,5,"Åby IBK",1
"165","Håkan Söderman","Oskarshamns Sporthall A-hall",1,5,"Craftstadens IBK Oskarshamn",1
"166","Håkan Söderman","Skogsängshallen",2,5,"Salems IF",2
"167","Håkan Söderman","Skogsängshallen",2,5,"IBK Runsten",1
"168","Håkan Söderman","Skogsängshallen",2,5,"AIK IBF",1
"169","Håkan Söderman","Thomas Arena",1,5,"Lagan IBK",1
