"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Kruse","Stadsskogshallen, Alingsås",1,1,"Herrestads AIF",1
"2","Adam Kruse","Stadsskogshallen, Alingsås",1,1,"IBK Alingsås",1
"3","Adnan Tongur","Agnebergshallen",1,1,"Stenungsunds IBK",1
"4","Adnan Tongur","Agnebergshallen",1,1,"Herrestads AIF",1
"5","Albin Jakobsson","Arenan - Jönköpings Idrottshus",1,35,"Tyresö Trollbäcken IBK",1
"6","Albin Jakobsson","Arenan - Jönköpings Idrottshus",1,35,"Jönköping IBK Ungdom",1
"7","Albin Jakobsson","Arvika Sporthall",5,35,"IBK Lockerud Mariestad",1
"8","Albin Jakobsson","Arvika Sporthall",5,35,"Surahammars IBF",1
"9","Albin Jakobsson","Arvika Sporthall",5,35,"Arvika IBF",5
"10","Albin Jakobsson","Arvika Sporthall",5,35,"GS 86 AIF",1
"11","Albin Jakobsson","Arvika Sporthall",5,35,"Kumla IBK",1
"12","Albin Jakobsson","Arvika Sporthall",5,35,"Hagfors IBS",1
"13","Albin Jakobsson","Campushallen",2,35,"Värmdö IF",1
"14","Albin Jakobsson","Campushallen",2,35,"Ledberg IBF",2
"15","Albin Jakobsson","Campushallen",2,35,"Hammarby IF IBF",1
"16","Albin Jakobsson","Forshaga Sporthall",1,35,"GS 86 AIF",1
"17","Albin Jakobsson","Forshaga Sporthall",1,35,"Surahammars IBF",1
"18","Albin Jakobsson","Fortnox Arena Nivika hallen",1,35,"Växjö IBK U",1
"19","Albin Jakobsson","Fortnox Arena Nivika hallen",1,35,"Röke IBK",1
"20","Albin Jakobsson","Fristadhallen, Fristad",1,35,"FBC Sisjön",1
"21","Albin Jakobsson","Fristadhallen, Fristad",1,35,"Fristads GoIF",1
"22","Albin Jakobsson","Halmstad Arena A 1",1,35,"IK Stanstad",1
"23","Albin Jakobsson","Halmstad Arena A 1",1,35,"Halmstads IBK",1
"24","Albin Jakobsson","Hammarö Arena",5,35,"Arvika IBF",1
"25","Albin Jakobsson","Hammarö Arena",5,35,"Kumla IBK",1
"26","Albin Jakobsson","Hammarö Arena",5,35,"Skoghalls IBK",5
"27","Albin Jakobsson","Hammarö Arena",5,35,"Surahammars IBF",1
"28","Albin Jakobsson","Hammarö Arena",5,35,"IBF Västerås",1
"29","Albin Jakobsson","Hammarö Arena",5,35,"IBK Lockerud Mariestad",1
"30","Albin Jakobsson","ICA-kvantum hallen, Mariestad",1,35,"IBK Lockerud Mariestad",1
"31","Albin Jakobsson","ICA-kvantum hallen, Mariestad",1,35,"Kumla IBK",1
"32","Albin Jakobsson","Idrottens hus i Lidköping",3,35,"Floda IBK",1
"33","Albin Jakobsson","Idrottens hus i Lidköping",3,35,"Herrestads AIF",1
"34","Albin Jakobsson","Idrottens hus i Lidköping",3,35,"IBK Lidköping",3
"35","Albin Jakobsson","Idrottens hus i Lidköping",3,35,"Pixbo Wallenstam IBF",1
"36","Albin Jakobsson","Idrottshallen, Töreboda",1,35,"IBK Lockerud Mariestad",1
"37","Albin Jakobsson","Idrottshallen, Töreboda",1,35,"Skoghalls IBK",1
"38","Albin Jakobsson","Kumlahallen",1,35,"GS 86 AIF",1
"39","Albin Jakobsson","Kumlahallen",1,35,"Kumla IBK",1
"40","Albin Jakobsson","Rydsbergshallen",1,35,"IK Zenith",1
"41","Albin Jakobsson","Rydsbergshallen",1,35,"Floda IBK",1
"42","Albin Jakobsson","Sparbanken Wictory Center, Salmingplanen",1,35,"Munka-Ljungby IBK",1
"43","Albin Jakobsson","Sparbanken Wictory Center, Salmingplanen",1,35,"Warberg IBF",1
"44","Albin Jakobsson","Spångbergshallen",4,35,"GS 86 AIF",1
"45","Albin Jakobsson","Spångbergshallen",4,35,"Skoghalls IBK",1
"46","Albin Jakobsson","Spångbergshallen",4,35,"Surahammars IBF",1
"47","Albin Jakobsson","Spångbergshallen",4,35,"Kumla IBK",1
"48","Albin Jakobsson","Spångbergshallen",4,35,"Filipstad IBK",4
"49","Albin Jakobsson","Tibblehallen CC",1,35,"Rosersbergs IK",1
"50","Albin Jakobsson","Tibblehallen CC",1,35,"Täby FC",1
"51","Albin Jakobsson","Uddeholm Arena",5,35,"Filipstad IBK",1
"52","Albin Jakobsson","Uddeholm Arena",5,35,"IBF Västerås",1
"53","Albin Jakobsson","Uddeholm Arena",5,35,"Hagfors IBS",5
