"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund","Ersängshallen",4,15,"Umeå City IBF",1
"2","Albin Berglund","Ersängshallen",4,15,"IBF Dalen /IBS Dalen",1
"3","Albin Berglund","Ersängshallen",4,15,"Ersboda SK",4
"4","Albin Berglund","Ersängshallen",4,15,"Gamla Stan IBK",1
"5","Albin Berglund","Ersängshallen",4,15,"Rönnskär Railcare IF",1
"6","Albin Berglund","Hammarhallen Vännäs",1,15,"Spöland Vännäs IF",1
"7","Albin Berglund","Hammarhallen Vännäs",1,15,"Skellefteå IBK",1
"8","Albin Berglund","Midgårdshallen",4,15,"Umeå City IBF",2
"9","Albin Berglund","Midgårdshallen",4,15,"Robertsfors IK",1
"10","Albin Berglund","Midgårdshallen",4,15,"Gimonäs Umeå IF",1
"11","Albin Berglund","Midgårdshallen",4,15,"Gamla Stan IBK",1
"12","Albin Berglund","Midgårdshallen",4,15,"Gimonäs Umeå IF/IBF",1
"13","Albin Berglund","Midgårdshallen",4,15,"IBF Dalen/IBS Dalen",1
"14","Albin Berglund","Midgårdshallen",4,15,"Gullänget-Kroksta IBS",1
"15","Albin Berglund","Musköten 2",3,15,"Spöland Vännäs IF",1
"16","Albin Berglund","Musköten 2",3,15,"IBF Dalen /IBS Dalen",3
"17","Albin Berglund","Musköten 2",3,15,"Gimonäs Umeå IF",1
"18","Albin Berglund","Musköten 2",3,15,"Gimonäs Umeå IF/IBF",1
"19","Albin Berglund","Sporthushallen",1,15,"Gimonäs Umeå IF/IBF",1
"20","Albin Berglund","Sporthushallen",1,15,"Umeå City IBF",1
"21","Albin Berglund","Vildmannahallen",2,15,"Gimonäs Umeå IF",1
"22","Albin Berglund","Vildmannahallen",2,15,"Umeå City IBF",1
"23","Albin Berglund","Vildmannahallen",2,15,"Team Thorengruppen SK",1
"24","Albin Berglund","Vildmannahallen",2,15,"Umeå City IBF/P04Vit",1
"25","Alexander Bergman","Örnsköldsviks Sporthall",1,1,"Spöland Vännäs IF",1
"26","Alexander Bergman","Örnsköldsviks Sporthall",1,1,"Gullänget-Kroksta IBS",1
"27","Alvin Gustavsson","Balderhallen B",1,2,"Umeå City IBF",1
"28","Alvin Gustavsson","Balderhallen B",1,2,"Skellefteå IBK",1
"29","Alvin Gustavsson","Lejonströmshallen",1,2,"Gamla Stan IBK",1
"30","Alvin Gustavsson","Lejonströmshallen",1,2,"IBF Dalen /IBS Dalen",1
"31","Andreas Eriksson","FC Vindeln",1,1,"Umeå City IBF",1
"32","Andreas Eriksson","FC Vindeln",1,1,"Vindelns IF",1
"33","Andreas Nyman","Skyttis Arena",1,1,"Vindelns IF",1
"34","Andreas Nyman","Skyttis Arena",1,1,"Gullänget-Kroksta IBS",1
"35","Andreas Weckfors","Midgårdshallen",3,3,"Gimonäs Umeå IF",1
"36","Andreas Weckfors","Midgårdshallen",3,3,"Team Thorengruppen SK",1
"37","Andreas Weckfors","Midgårdshallen",3,3,"Umeå City IBF/P04Vit",1
"38","Andreas Weckfors","Midgårdshallen",3,3,"Umeå City IBF",2
"39","Andreas Weckfors","Midgårdshallen",3,3,"Holmsund City IBC",1
"40","Andreas Åström","Eddahallen",2,5,"IBF Dalen /IBS Dalen",1
"41","Andreas Åström","Eddahallen",2,5,"Skellefteå IBK",1
"42","Andreas Åström","Eddahallen",2,5,"Gamla Stan IBK",2
"43","Andreas Åström","Morö Backe A",1,5,"Spöland Vännäs IF",1
"44","Andreas Åström","Morö Backe A",1,5,"Skellefteå IBK",1
"45","Andreas Åström","Örjanshallen",2,5,"IBF Dalen/IBS Dalen",1
"46","Andreas Åström","Örjanshallen",2,5,"Rönnskär Railcare IF",2
"47","Andreas Åström","Örjanshallen",2,5,"Ersboda SK",1
"48","Arvid Larsson","Örnsköldsviks Sporthall",1,1,"Spöland Vännäs IF",1
"49","Arvid Larsson","Örnsköldsviks Sporthall",1,1,"Gullänget-Kroksta IBS",1
"50","Bjarne Andersson","Hammarhallen Vännäs",1,1,"Umeå City IBF",1
"51","Bjarne Andersson","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"52","Björn Glad","Ersängshallen",1,10,"IBF Dalen/IBS Dalen",1
"53","Björn Glad","Ersängshallen",1,10,"Ersboda SK",1
"54","Björn Glad","FC Vindeln",1,10,"Gullänget-Kroksta IBS",1
"55","Björn Glad","FC Vindeln",1,10,"Vindelns IF",1
"56","Björn Glad","Hammarhallen Vännäs",2,10,"Team Thorengruppen SK",1
"57","Björn Glad","Hammarhallen Vännäs",2,10,"Ersboda SK",1
"58","Björn Glad","Hammarhallen Vännäs",2,10,"Spöland Vännäs IF",2
"59","Björn Glad","Musköten 2",2,10,"Ersboda SK",1
"60","Björn Glad","Musköten 2",2,10,"IBF Dalen /IBS Dalen",1
"61","Björn Glad","Musköten 2",2,10,"Umeå City IBF",1
"62","Björn Glad","Musköten 2",2,10,"IBF Dalen/IBS Dalen",1
"63","Björn Glad","Storsjöhallen",2,10,"Gimonäs Umeå IF",1
"64","Björn Glad","Storsjöhallen",2,10,"Holmsund City IBC",2
"65","Björn Glad","Storsjöhallen",2,10,"Team Thorengruppen SK",1
"66","Björn Glad","Umeå Energi Arena Väst",2,10,"Gimonäs Umeå IF",1
"67","Björn Glad","Umeå Energi Arena Väst",2,10,"Ersboda SK",1
"68","Björn Glad","Umeå Energi Arena Väst",2,10,"Gamla Stan IBK",1
"69","Björn Glad","Umeå Energi Arena Väst",2,10,"Team Thorengruppen SK",1
"70","Christoffer Lind","Midgårdshallen",1,4,"Gimonäs Umeå IF",1
"71","Christoffer Lind","Midgårdshallen",1,4,"Team Thorengruppen SK",1
"72","Christoffer Lind","Musköten 1",3,4,"Ersboda SK",2
"73","Christoffer Lind","Musköten 1",3,4,"IBF Dalen /IBS Dalen",3
"74","Christoffer Lind","Musköten 1",3,4,"Gullänget-Kroksta IBS",1
"75","Daniel Degerman","Balderhallen A",1,6,"Gimonäs Umeå IF",1
"76","Daniel Degerman","Balderhallen A",1,6,"Gamla Stan IBK",1
"77","Daniel Degerman","Balderhallen B",2,6,"Holmsund City IBC",1
"78","Daniel Degerman","Balderhallen B",2,6,"Gimonäs Umeå IF/IBF",1
"79","Daniel Degerman","Balderhallen B",2,6,"Gamla Stan IBK",1
"80","Daniel Degerman","Balderhallen B",2,6,"Skellefteå IBK",1
"81","Daniel Degerman","Eddahallen",1,6,"IBF Dalen /IBS Dalen",1
"82","Daniel Degerman","Eddahallen",1,6,"Gamla Stan IBK",1
"83","Daniel Degerman","Morö Backe A",1,6,"Spöland Vännäs IF",1
"84","Daniel Degerman","Morö Backe A",1,6,"Skellefteå IBK",1
"85","Daniel Degerman","Örjanshallen",1,6,"Rönnskär Railcare IF",1
"86","Daniel Degerman","Örjanshallen",1,6,"Ersboda SK",1
"87","Daniel Johannesson","Ersängshallen",1,10,"Umeå City IBF",1
"88","Daniel Johannesson","Ersängshallen",1,10,"Ersboda SK",1
"89","Daniel Johannesson","Midgårdshallen",2,10,"Team Thorengruppen SK",1
"90","Daniel Johannesson","Midgårdshallen",2,10,"Umeå City IBF",1
"91","Daniel Johannesson","Midgårdshallen",2,10,"Vindelns IF",1
"92","Daniel Johannesson","Midgårdshallen",2,10,"Gullänget-Kroksta IBS",1
"93","Daniel Johannesson","Musköten 2",2,10,"IBF Dalen /Vit",1
"94","Daniel Johannesson","Musköten 2",2,10,"Vindelns IF",1
"95","Daniel Johannesson","Musköten 2",2,10,"IBF Dalen/IBS Dalen",1
"96","Daniel Johannesson","Musköten 2",2,10,"Holmsund City IBC",1
"97","Daniel Johannesson","Sjöfruhallen",2,10,"Gimonäs Umeå IF/IBF",2
"98","Daniel Johannesson","Sjöfruhallen",2,10,"IBF Dalen /IBS Dalen",1
"99","Daniel Johannesson","Sjöfruhallen",2,10,"Ersboda SK",1
"100","Daniel Johannesson","Umeå Energi Arena Väst",2,10,"Spöland Vännäs IF",1
"101","Daniel Johannesson","Umeå Energi Arena Väst",2,10,"Gimonäs Umeå IF",1
"102","Daniel Johannesson","Umeå Energi Arena Väst",2,10,"Holmsund City IBC",1
"103","Daniel Johannesson","Umeå Energi Arena Väst",2,10,"Umeå City IBF/P04Vit",1
"104","Daniel Johannesson","Umeå Energi Arena Öst",1,10,"Skellefteå IBK",1
"105","Daniel Johannesson","Umeå Energi Arena Öst",1,10,"Umeå City IBF/P04Vit",1
"106","David Jonsson","Balderhallen B",2,2,"Team Thorengruppen SK",1
"107","David Jonsson","Balderhallen B",2,2,"Gamla Stan IBK",1
"108","David Jonsson","Balderhallen B",2,2,"Umeå City IBF",1
"109","David Jonsson","Balderhallen B",2,2,"Skellefteå IBK",1
"110","David Karlsson","FC Vindeln",2,6,"Vindelns IF",1
"111","David Karlsson","FC Vindeln",2,6,"Umeå City IBF",1
"112","David Karlsson","FC Vindeln",2,6,"Umeå City IBF",1
"113","David Karlsson","FC Vindeln",2,6,"Vindelns IF",1
"114","David Karlsson","Jenningshallen",1,6,"Umeå City IBF/P04Vit",1
