"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Asp","Colorama Arena",1,4,"Karlstad IBF",1
"2","Anders Asp","Colorama Arena",1,4,"IKSU",1
"3","Anders Asp","Idre Fjäll Arena",1,4,"IBK Göteborg",1
"4","Anders Asp","Idre Fjäll Arena",1,4,"KAIS Mora IF",1
"5","Anders Asp","Skyttis Arena",1,4,"KAIS Mora IF",1
"6","Anders Asp","Skyttis Arena",1,4,"Örnsköldsvik IBK",1
"7","Anders Asp","Umeå Energi Arena",1,4,"IBK Dalen",1
"8","Anders Asp","Umeå Energi Arena",1,4,"Jönköpings IK",1
"9","Anders Fredriksson","Colorama Arena",2,7,"Karlstad IBF",2
"10","Anders Fredriksson","Colorama Arena",2,7,"Pixbo Wallenstam IBK",1
"11","Anders Fredriksson","Colorama Arena",2,7,"IBK Dalen",1
"12","Anders Fredriksson","Idre Fjäll Arena",1,7,"Warberg IC",1
"13","Anders Fredriksson","Idre Fjäll Arena",1,7,"KAIS Mora IF",1
"14","Anders Fredriksson","IFU Arena A",1,7,"IK Sirius FBC",1
"15","Anders Fredriksson","IFU Arena A",1,7,"Örnsköldsvik IBK",1
"16","Anders Fredriksson","IKSU Sport",1,7,"IKSU",1
"17","Anders Fredriksson","IKSU Sport",1,7,"Örnsköldsvik IBK",1
"18","Anders Fredriksson","Sparbanken Wictory Center, Salmingplanen",2,7,"Warberg IC",2
"19","Anders Fredriksson","Sparbanken Wictory Center, Salmingplanen",2,7,"IKSU",1
"20","Anders Fredriksson","Sparbanken Wictory Center, Salmingplanen",2,7,"IBK Göteborg",1
"21","Andreas Holm","Lisebergshallen",2,3,"Malmö FBC",1
"22","Andreas Holm","Lisebergshallen",2,3,"IKSU",1
"23","Andreas Holm","Lisebergshallen",2,3,"IBK Göteborg",2
"24","Andreas Holm","Sparbanken Wictory Center, Salmingplanen",1,3,"Endre IF",1
"25","Andreas Holm","Sparbanken Wictory Center, Salmingplanen",1,3,"Warberg IC",1
"26","Christoffer Markovski","Bombardier Arena A",1,7,"Västerås Rönnby IBK",1
"27","Christoffer Markovski","Bombardier Arena A",1,7,"Pixbo Wallenstam IBK",1
"28","Christoffer Markovski","ICA Maxi Arena",1,7,"Västerås Rönnby IBK",1
"29","Christoffer Markovski","ICA Maxi Arena",1,7,"Endre IF",1
"30","Christoffer Markovski","IFU Arena A",2,7,"Jönköpings IK",1
"31","Christoffer Markovski","IFU Arena A",2,7,"IK Sirius FBC",2
"32","Christoffer Markovski","IFU Arena A",2,7,"IBK Göteborg",1
"33","Christoffer Markovski","Tibblehallen CC",1,7,"Täby FC IBK",1
"34","Christoffer Markovski","Tibblehallen CC",1,7,"Malmö FBC",1
"35","Christoffer Markovski","Umeå Energi Arena",1,7,"IBK Dalen",1
"36","Christoffer Markovski","Umeå Energi Arena",1,7,"Pixbo Wallenstam IBK",1
"37","Christoffer Markovski","Umeå Energi Arena Vatten",1,7,"Endre IF",1
"38","Christoffer Markovski","Umeå Energi Arena Vatten",1,7,"IBK Dalen",1
"39","Daniel Dufvenberg","IFU Arena A",1,2,"IK Sirius FBC",1
"40","Daniel Dufvenberg","IFU Arena A",1,2,"Täby FC IBK",1
"41","Daniel Dufvenberg","IKSU Sport",1,2,"IKSU",1
"42","Daniel Dufvenberg","IKSU Sport",1,2,"KAIS Mora IF",1
"43","David Berger","Colorama Arena",1,4,"Örnsköldsvik IBK",1
"44","David Berger","Colorama Arena",1,4,"Karlstad IBF",1
"45","David Berger","ICA Maxi Arena",1,4,"IBK Dalen",1
"46","David Berger","ICA Maxi Arena",1,4,"Endre IF",1
"47","David Berger","Umeå Energi Arena",2,4,"IBK Göteborg",1
"48","David Berger","Umeå Energi Arena",2,4,"Malmö FBC",1
"49","David Berger","Umeå Energi Arena",2,4,"IBK Dalen",2
"50","Erik Lundgren","Bombardier Arena A",1,2,"Västerås Rönnby IBK",1
"51","Erik Lundgren","Bombardier Arena A",1,2,"Jönköpings IK",1
"52","Erik Lundgren","Idre Fjäll Arena",1,2,"KAIS Mora IF",1
"53","Erik Lundgren","Idre Fjäll Arena",1,2,"Malmö FBC",1
"54","Frans Dahlstedt","Arenan - Jönköpings Idrottshus",1,4,"Jönköpings IK",1
"55","Frans Dahlstedt","Arenan - Jönköpings Idrottshus",1,4,"IBK Göteborg",1
"56","Frans Dahlstedt","Baltiska Hallen A",1,4,"Malmö FBC",1
"57","Frans Dahlstedt","Baltiska Hallen A",1,4,"KAIS Mora IF",1
"58","Frans Dahlstedt","Lundenhallen",1,4,"IBK Dalen",1
"59","Frans Dahlstedt","Lundenhallen",1,4,"IBK Göteborg",1
"60","Frans Dahlstedt","Wallenstamhallen",1,4,"Warberg IC",1
"61","Frans Dahlstedt","Wallenstamhallen",1,4,"Pixbo Wallenstam IBK",1
"62","Johan Magnusson","Skyttis Arena",1,1,"Örnsköldsvik IBK",1
"63","Johan Magnusson","Skyttis Arena",1,1,"Endre IF",1
"64","Johnny Lindberg","Arenan - Jönköpings Idrottshus",2,20,"Jönköpings IK",2
"65","Johnny Lindberg","Arenan - Jönköpings Idrottshus",2,20,"KAIS Mora IF",1
"66","Johnny Lindberg","Arenan - Jönköpings Idrottshus",2,20,"Karlstad IBF",1
"67","Johnny Lindberg","Bombardier Arena A",4,20,"Malmö FBC",1
"68","Johnny Lindberg","Bombardier Arena A",4,20,"Västerås Rönnby IBK",4
"69","Johnny Lindberg","Bombardier Arena A",4,20,"IKSU",1
"70","Johnny Lindberg","Bombardier Arena A",4,20,"IBK Dalen",1
"71","Johnny Lindberg","Bombardier Arena A",4,20,"IK Sirius FBC",1
"72","Johnny Lindberg","Colorama Arena",1,20,"Warberg IC",1
"73","Johnny Lindberg","Colorama Arena",1,20,"Karlstad IBF",1
"74","Johnny Lindberg","ICA Maxi Arena",3,20,"Pixbo Wallenstam IBK",1
"75","Johnny Lindberg","ICA Maxi Arena",3,20,"Endre IF",3
