"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Holm","Fortnox Arena Nivika hallen",2,8,"Växjö IBK",2
"2","Andreas Holm","Fortnox Arena Nivika hallen",2,8,"FBC Kalmarsund",1
"3","Andreas Holm","Fortnox Arena Nivika hallen",2,8,"Höllvikens IBF",1
"4","Andreas Holm","Helsingborg Arena A",1,8,"FC Helsingborg",1
"5","Andreas Holm","Helsingborg Arena A",1,8,"Mullsjö AIS",1
"6","Andreas Holm","Idrottshuset, Örebro Plan 1",1,8,"Pixbo Wallenstam IBK",1
"7","Andreas Holm","Idrottshuset, Örebro Plan 1",1,8,"IBF Örebro",1
"8","Andreas Holm","JALAS® Arena",1,8,"IBF Örebro",1
"9","Andreas Holm","JALAS® Arena",1,8,"IBF Falun",1
"10","Andreas Holm","Linköpings Sporthall",1,8,"IK Sirius IBK",1
"11","Andreas Holm","Linköpings Sporthall",1,8,"Linköping IBK",1
"12","Andreas Holm","Salming Arena",1,8,"IBF Örebro",1
"13","Andreas Holm","Salming Arena",1,8,"Lindås Rasta IBK",1
"14","Andreas Holm","Wallenstamhallen",1,8,"Pixbo Wallenstam IBK",1
"15","Andreas Holm","Wallenstamhallen",1,8,"IK Sirius IBK",1
"16","Andreas Lybacken","Arenan - Jönköpings Idrottshus",1,19,"Pixbo Wallenstam IBK",1
"17","Andreas Lybacken","Arenan - Jönköpings Idrottshus",1,19,"Jönköpings IK",1
"18","Andreas Lybacken","Fortnox Arena Nivika hallen",3,19,"Mullsjö AIS",1
"19","Andreas Lybacken","Fortnox Arena Nivika hallen",3,19,"Växjö IBK",3
"20","Andreas Lybacken","Fortnox Arena Nivika hallen",3,19,"Linköping IBK",1
"21","Andreas Lybacken","Fortnox Arena Nivika hallen",3,19,"FC Helsingborg",1
"22","Andreas Lybacken","Halörhallen",2,19,"Linköping IBK",1
"23","Andreas Lybacken","Halörhallen",2,19,"Höllvikens IBF",2
"24","Andreas Lybacken","Halörhallen",2,19,"Mullsjö AIS",1
"25","Andreas Lybacken","Helsingborg Arena A",2,19,"Lindås Rasta IBK",1
"26","Andreas Lybacken","Helsingborg Arena A",2,19,"Höllvikens IBF",1
"27","Andreas Lybacken","Helsingborg Arena A",2,19,"FC Helsingborg",2
"28","Andreas Lybacken","IFU Arena A",2,19,"Jönköpings IK",1
"29","Andreas Lybacken","IFU Arena A",2,19,"Storvreta IBK",1
"30","Andreas Lybacken","IFU Arena A",2,19,"IK Sirius IBK",2
"31","Andreas Lybacken","Kalmar Sporthall A-hall",2,19,"Linköping IBK",1
"32","Andreas Lybacken","Kalmar Sporthall A-hall",2,19,"Växjö IBK",1
"33","Andreas Lybacken","Kalmar Sporthall A-hall",2,19,"FBC Kalmarsund",2
"34","Andreas Lybacken","Linköpings Sporthall",1,19,"IBK Dalen",1
"35","Andreas Lybacken","Linköpings Sporthall",1,19,"Linköping IBK",1
"36","Andreas Lybacken","Lundbystrand 1",1,19,"Pixbo Wallenstam IBK",1
"37","Andreas Lybacken","Lundbystrand 1",1,19,"Lindås Rasta IBK",1
"38","Andreas Lybacken","Nyhemshallen - Mullsjö",2,19,"Mullsjö AIS",2
"39","Andreas Lybacken","Nyhemshallen - Mullsjö",2,19,"Storvreta IBK",1
"40","Andreas Lybacken","Nyhemshallen - Mullsjö",2,19,"FC Helsingborg",1
"41","Andreas Lybacken","Salming Arena",1,19,"Lindås Rasta IBK",1
"42","Andreas Lybacken","Salming Arena",1,19,"Höllvikens IBF",1
"43","Andreas Lybacken","Umeå Energi Arena",2,19,"IBK Dalen",2
"44","Andreas Lybacken","Umeå Energi Arena",2,19,"IBF Falun",2
"45","Andreas Svensson","Arenan - Jönköpings Idrottshus",2,18,"Jönköpings IK",2
"46","Andreas Svensson","Arenan - Jönköpings Idrottshus",2,18,"Höllvikens IBF",1
"47","Andreas Svensson","Arenan - Jönköpings Idrottshus",2,18,"Mullsjö AIS",1
"48","Andreas Svensson","Fortnox Arena Nivika hallen",1,18,"Lindås Rasta IBK",1
"49","Andreas Svensson","Fortnox Arena Nivika hallen",1,18,"Växjö IBK",1
"50","Andreas Svensson","Idrottshuset, Örebro Plan 1",1,18,"IBF Örebro",1
"51","Andreas Svensson","Idrottshuset, Örebro Plan 1",1,18,"IBF Falun",1
"52","Andreas Svensson","IFU Arena A",6,18,"FBC Kalmarsund",1
"53","Andreas Svensson","IFU Arena A",6,18,"FC Helsingborg",1
"54","Andreas Svensson","IFU Arena A",6,18,"IBK Dalen",1
"55","Andreas Svensson","IFU Arena A",6,18,"IK Sirius IBK",3
"56","Andreas Svensson","IFU Arena A",6,18,"Mullsjö AIS",1
"57","Andreas Svensson","IFU Arena A",6,18,"Storvreta IBK",3
"58","Andreas Svensson","IFU Arena A",6,18,"IBF Örebro",1
"59","Andreas Svensson","IFU Arena A",6,18,"Lindås Rasta IBK",1
"60","Andreas Svensson","JALAS® Arena",2,18,"IBK Dalen",1
"61","Andreas Svensson","JALAS® Arena",2,18,"Lindås Rasta IBK",1
"62","Andreas Svensson","JALAS® Arena",2,18,"IBF Falun",2
"63","Andreas Svensson","Kalmar Sporthall A-hall",1,18,"FBC Kalmarsund",1
"64","Andreas Svensson","Kalmar Sporthall A-hall",1,18,"FC Helsingborg",1
"65","Andreas Svensson","Linköpings Sporthall",1,18,"Linköping IBK",1
"66","Andreas Svensson","Linköpings Sporthall",1,18,"Mullsjö AIS",1
"67","Andreas Svensson","Nyhemshallen - Mullsjö",1,18,"FBC Kalmarsund",1
"68","Andreas Svensson","Nyhemshallen - Mullsjö",1,18,"Mullsjö AIS",1
"69","Andreas Svensson","Umeå Energi Arena",2,18,"Pixbo Wallenstam IBK",1
"70","Andreas Svensson","Umeå Energi Arena",2,18,"IBK Dalen",2
"71","Andreas Svensson","Umeå Energi Arena",2,18,"Växjö IBK",1
"72","Andreas Svensson","Umeå Energi Arena Vatten",1,18,"IBF Örebro",1
"73","Andreas Svensson","Umeå Energi Arena Vatten",1,18,"IBK Dalen",1
"74","Christoffer Markovski","JALAS® Arena",1,1,"IBF Falun",1
"75","Christoffer Markovski","JALAS® Arena",1,1,"IK Sirius IBK",1
"76","Daniel Böcker","Arenan - Jönköpings Idrottshus",1,19,"Pixbo Wallenstam IBK",1
"77","Daniel Böcker","Arenan - Jönköpings Idrottshus",1,19,"Jönköpings IK",1
"78","Daniel Böcker","Fortnox Arena Nivika hallen",3,19,"Linköping IBK",1
"79","Daniel Böcker","Fortnox Arena Nivika hallen",3,19,"Växjö IBK",3
"80","Daniel Böcker","Fortnox Arena Nivika hallen",3,19,"FC Helsingborg",1
"81","Daniel Böcker","Fortnox Arena Nivika hallen",3,19,"Mullsjö AIS",1
"82","Daniel Böcker","Halörhallen",2,19,"Höllvikens IBF",2
"83","Daniel Böcker","Halörhallen",2,19,"Linköping IBK",1
"84","Daniel Böcker","Halörhallen",2,19,"Mullsjö AIS",1
"85","Daniel Böcker","Helsingborg Arena A",2,19,"Höllvikens IBF",1
"86","Daniel Böcker","Helsingborg Arena A",2,19,"Lindås Rasta IBK",1
"87","Daniel Böcker","Helsingborg Arena A",2,19,"FC Helsingborg",2
"88","Daniel Böcker","IFU Arena A",2,19,"IK Sirius IBK",2
"89","Daniel Böcker","IFU Arena A",2,19,"Jönköpings IK",1
"90","Daniel Böcker","IFU Arena A",2,19,"Storvreta IBK",1
"91","Daniel Böcker","Kalmar Sporthall A-hall",2,19,"Linköping IBK",1
"92","Daniel Böcker","Kalmar Sporthall A-hall",2,19,"FBC Kalmarsund",2
"93","Daniel Böcker","Kalmar Sporthall A-hall",2,19,"Växjö IBK",1
"94","Daniel Böcker","Linköpings Sporthall",1,19,"IBK Dalen",1
"95","Daniel Böcker","Linköpings Sporthall",1,19,"Linköping IBK",1
"96","Daniel Böcker","Lundbystrand 1",1,19,"Lindås Rasta IBK",1
"97","Daniel Böcker","Lundbystrand 1",1,19,"Pixbo Wallenstam IBK",1
"98","Daniel Böcker","Nyhemshallen - Mullsjö",2,19,"Mullsjö AIS",2
"99","Daniel Böcker","Nyhemshallen - Mullsjö",2,19,"FC Helsingborg",1
"100","Daniel Böcker","Nyhemshallen - Mullsjö",2,19,"Storvreta IBK",1
"101","Daniel Böcker","Salming Arena",1,19,"Lindås Rasta IBK",1
"102","Daniel Böcker","Salming Arena",1,19,"Höllvikens IBF",1
"103","Daniel Böcker","Umeå Energi Arena",2,19,"IBK Dalen",2
"104","Daniel Böcker","Umeå Energi Arena",2,19,"IBF Falun",2
"105","Daniel Fathi-Najafi","Arenan - Jönköpings Idrottshus",3,17,"Jönköpings IK",3
"106","Daniel Fathi-Najafi","Arenan - Jönköpings Idrottshus",3,17,"IBK Dalen",1
"107","Daniel Fathi-Najafi","Arenan - Jönköpings Idrottshus",3,17,"Mullsjö AIS",1
"108","Daniel Fathi-Najafi","Arenan - Jönköpings Idrottshus",3,17,"IBF Örebro",1
"109","Daniel Fathi-Najafi","Fortnox Arena Nivika hallen",2,17,"Växjö IBK",2
"110","Daniel Fathi-Najafi","Fortnox Arena Nivika hallen",2,17,"Storvreta IBK",1
"111","Daniel Fathi-Najafi","Fortnox Arena Nivika hallen",2,17,"Linköping IBK",1
"112","Daniel Fathi-Najafi","Halörhallen",3,17,"FC Helsingborg",1
"113","Daniel Fathi-Najafi","Halörhallen",3,17,"Höllvikens IBF",3
"114","Daniel Fathi-Najafi","Halörhallen",3,17,"FBC Kalmarsund",1
"115","Daniel Fathi-Najafi","Halörhallen",3,17,"IK Sirius IBK",1
"116","Daniel Fathi-Najafi","Helsingborg Arena A",1,17,"FC Helsingborg",1
"117","Daniel Fathi-Najafi","Helsingborg Arena A",1,17,"IBF Falun",1
"118","Daniel Fathi-Najafi","Idrottshuset, Örebro Plan 1",1,17,"IK Sirius IBK",1
"119","Daniel Fathi-Najafi","Idrottshuset, Örebro Plan 1",1,17,"IBF Örebro",1
"120","Daniel Fathi-Najafi","IFU Arena A",1,17,"Storvreta IBK",1
"121","Daniel Fathi-Najafi","IFU Arena A",1,17,"IK Sirius IBK",1
"122","Daniel Fathi-Najafi","JALAS® Arena",1,17,"IBF Falun",1
"123","Daniel Fathi-Najafi","JALAS® Arena",1,17,"Mullsjö AIS",1
"124","Daniel Fathi-Najafi","Kalmar Sporthall A-hall",1,17,"FBC Kalmarsund",1
"125","Daniel Fathi-Najafi","Kalmar Sporthall A-hall",1,17,"Pixbo Wallenstam IBK",1
"126","Daniel Fathi-Najafi","Linköpings Sporthall",2,17,"Höllvikens IBF",1
"127","Daniel Fathi-Najafi","Linköpings Sporthall",2,17,"Pixbo Wallenstam IBK",1
"128","Daniel Fathi-Najafi","Linköpings Sporthall",2,17,"Linköping IBK",2
"129","Daniel Fathi-Najafi","Nyhemshallen - Mullsjö",1,17,"Mullsjö AIS",1
"130","Daniel Fathi-Najafi","Nyhemshallen - Mullsjö",1,17,"Höllvikens IBF",1
"131","Daniel Fathi-Najafi","Wallenstamhallen",1,17,"Pixbo Wallenstam IBK",1
"132","Daniel Fathi-Najafi","Wallenstamhallen",1,17,"Storvreta IBK",1
"133","David Geiser","Halörhallen",1,18,"Storvreta IBK",1
"134","David Geiser","Halörhallen",1,18,"Höllvikens IBF",1
"135","David Geiser","Idrottens Hus A",1,18,"FC Helsingborg",1
"136","David Geiser","Idrottens Hus A",1,18,"IBK Dalen",1
"137","David Geiser","Idrottshuset, Örebro Plan 1",2,18,"Mullsjö AIS",1
"138","David Geiser","Idrottshuset, Örebro Plan 1",2,18,"Lindås Rasta IBK",1
"139","David Geiser","Idrottshuset, Örebro Plan 1",2,18,"IBF Örebro",2
"140","David Geiser","IFU Arena A",4,18,"Linköping IBK",1
"141","David Geiser","IFU Arena A",4,18,"Storvreta IBK",2
"142","David Geiser","IFU Arena A",4,18,"IK Sirius IBK",2
"143","David Geiser","IFU Arena A",4,18,"IBF Falun",1
"144","David Geiser","IFU Arena A",4,18,"IBK Dalen",2
"145","David Geiser","Kalmar Sporthall A-hall",1,18,"Mullsjö AIS",1
"146","David Geiser","Kalmar Sporthall A-hall",1,18,"FBC Kalmarsund",1
"147","David Geiser","Linköpings Sporthall",2,18,"Linköping IBK",1
"148","David Geiser","Linköpings Sporthall",2,18,"Linköping IBK",1
"149","David Geiser","Linköpings Sporthall",2,18,"FC Helsingborg",1
"150","David Geiser","Linköpings Sporthall",2,18,"Höllvikens IBF",1
"151","David Geiser","Lisebergshallen",1,18,"Lindås Rasta IBK",1
"152","David Geiser","Lisebergshallen",1,18,"Pixbo Wallenstam IBK",1
"153","David Geiser","Nyhemshallen - Mullsjö",2,18,"FBC Kalmarsund",1
"154","David Geiser","Nyhemshallen - Mullsjö",2,18,"Växjö IBK",1
"155","David Geiser","Nyhemshallen - Mullsjö",2,18,"Mullsjö AIS",2
"156","David Geiser","Salming Arena",2,18,"Storvreta IBK",1
"157","David Geiser","Salming Arena",2,18,"Jönköpings IK",1
"158","David Geiser","Salming Arena",2,18,"Lindås Rasta IBK",2
"159","David Geiser","Wallenstamhallen",2,18,"Pixbo Wallenstam IBK",2
"160","David Geiser","Wallenstamhallen",2,18,"Höllvikens IBF",1
"161","David Geiser","Wallenstamhallen",2,18,"IBF Falun",1
"162","Erik Lundgren","Idrottshuset, Örebro Plan 1",1,7,"Lindås Rasta IBK",1
"163","Erik Lundgren","Idrottshuset, Örebro Plan 1",1,7,"IBF Örebro",1
"164","Erik Lundgren","IFU Arena A",2,7,"Pixbo Wallenstam IBK",1
"165","Erik Lundgren","IFU Arena A",2,7,"Storvreta IBK",1
"166","Erik Lundgren","IFU Arena A",2,7,"IK Sirius IBK",1
"167","Erik Lundgren","IFU Arena A",2,7,"FC Helsingborg",1
"168","Erik Lundgren","JALAS® Arena",1,7,"IBF Falun",1
"169","Erik Lundgren","JALAS® Arena",1,7,"FBC Kalmarsund",1
"170","Erik Lundgren","Linköpings Sporthall",1,7,"Linköping IBK",1
"171","Erik Lundgren","Linköpings Sporthall",1,7,"Jönköpings IK",1
"172","Erik Lundgren","Umeå Energi Arena",2,7,"Lindås Rasta IBK",1
"173","Erik Lundgren","Umeå Energi Arena",2,7,"Höllvikens IBF",1
"174","Erik Lundgren","Umeå Energi Arena",2,7,"IBK Dalen",2
"175","Glenn Boström","Arenan - Jönköpings Idrottshus",1,17,"FBC Kalmarsund",1
"176","Glenn Boström","Arenan - Jönköpings Idrottshus",1,17,"Jönköpings IK",1
"177","Glenn Boström","Fortnox Arena Nivika hallen",1,17,"Växjö IBK",1
"178","Glenn Boström","Fortnox Arena Nivika hallen",1,17,"IBF Falun",1
"179","Glenn Boström","Halörhallen",1,17,"Höllvikens IBF",1
"180","Glenn Boström","Halörhallen",1,17,"IBF Falun",1
"181","Glenn Boström","Helsingborg Arena A",1,17,"FBC Kalmarsund",1
"182","Glenn Boström","Helsingborg Arena A",1,17,"FC Helsingborg",1
"183","Glenn Boström","Idrottshuset, Örebro Plan 1",1,17,"FC Helsingborg",1
"184","Glenn Boström","Idrottshuset, Örebro Plan 1",1,17,"IBF Örebro",1
"185","Glenn Boström","IFU Arena A",3,17,"FBC Kalmarsund",1
"186","Glenn Boström","IFU Arena A",3,17,"IBF Örebro",1
"187","Glenn Boström","IFU Arena A",3,17,"Storvreta IBK",2
"188","Glenn Boström","IFU Arena A",3,17,"IK Sirius IBK",1
"189","Glenn Boström","IFU Arena A",3,17,"Lindås Rasta IBK",1
"190","Glenn Boström","JALAS® Arena",3,17,"Pixbo Wallenstam IBK",1
"191","Glenn Boström","JALAS® Arena",3,17,"Jönköpings IK",1
"192","Glenn Boström","JALAS® Arena",3,17,"IK Sirius IBK",1
"193","Glenn Boström","JALAS® Arena",3,17,"IBF Falun",3
"194","Glenn Boström","Kalmar Sporthall A-hall",1,17,"FBC Kalmarsund",1
"195","Glenn Boström","Kalmar Sporthall A-hall",1,17,"Lindås Rasta IBK",1
"196","Glenn Boström","Linköpings Sporthall",1,17,"Jönköpings IK",1
"197","Glenn Boström","Linköpings Sporthall",1,17,"Linköping IBK",1
"198","Glenn Boström","Nyhemshallen - Mullsjö",1,17,"Mullsjö AIS",1
"199","Glenn Boström","Nyhemshallen - Mullsjö",1,17,"Jönköpings IK",1
"200","Glenn Boström","Umeå Energi Arena",1,17,"IBK Dalen",1
"201","Glenn Boström","Umeå Energi Arena",1,17,"IK Sirius IBK",1
"202","Glenn Boström","Wallenstamhallen",2,17,"Storvreta IBK",1
"203","Glenn Boström","Wallenstamhallen",2,17,"IBF Örebro",1
"204","Glenn Boström","Wallenstamhallen",2,17,"Pixbo Wallenstam IBK",2
"205","Henrik Nilsson","Arenan - Jönköpings Idrottshus",1,18,"Växjö IBK",1
"206","Henrik Nilsson","Arenan - Jönköpings Idrottshus",1,18,"Jönköpings IK",1
"207","Henrik Nilsson","Halörhallen",1,18,"Storvreta IBK",1
"208","Henrik Nilsson","Halörhallen",1,18,"Höllvikens IBF",1
"209","Henrik Nilsson","Idrottens Hus A",1,18,"IBK Dalen",1
"210","Henrik Nilsson","Idrottens Hus A",1,18,"FC Helsingborg",1
"211","Henrik Nilsson","Idrottshuset, Örebro Plan 1",2,18,"Mullsjö AIS",1
"212","Henrik Nilsson","Idrottshuset, Örebro Plan 1",2,18,"Lindås Rasta IBK",1
"213","Henrik Nilsson","Idrottshuset, Örebro Plan 1",2,18,"IBF Örebro",2
"214","Henrik Nilsson","IFU Arena A",4,18,"Linköping IBK",1
"215","Henrik Nilsson","IFU Arena A",4,18,"IBF Falun",1
"216","Henrik Nilsson","IFU Arena A",4,18,"IK Sirius IBK",2
"217","Henrik Nilsson","IFU Arena A",4,18,"Storvreta IBK",2
"218","Henrik Nilsson","IFU Arena A",4,18,"IBK Dalen",2
"219","Henrik Nilsson","Kalmar Sporthall A-hall",1,18,"Mullsjö AIS",1
"220","Henrik Nilsson","Kalmar Sporthall A-hall",1,18,"FBC Kalmarsund",1
"221","Henrik Nilsson","Linköpings Sporthall",1,18,"FC Helsingborg",1
"222","Henrik Nilsson","Linköpings Sporthall",1,18,"Linköping IBK",1
"223","Henrik Nilsson","Lisebergshallen",1,18,"Pixbo Wallenstam IBK",1
"224","Henrik Nilsson","Lisebergshallen",1,18,"Lindås Rasta IBK",1
"225","Henrik Nilsson","Nyhemshallen - Mullsjö",2,18,"Växjö IBK",1
"226","Henrik Nilsson","Nyhemshallen - Mullsjö",2,18,"FBC Kalmarsund",1
"227","Henrik Nilsson","Nyhemshallen - Mullsjö",2,18,"Mullsjö AIS",2
"228","Henrik Nilsson","Salming Arena",2,18,"Lindås Rasta IBK",2
"229","Henrik Nilsson","Salming Arena",2,18,"Storvreta IBK",1
"230","Henrik Nilsson","Salming Arena",2,18,"Jönköpings IK",1
"231","Henrik Nilsson","Wallenstamhallen",2,18,"Pixbo Wallenstam IBK",2
"232","Henrik Nilsson","Wallenstamhallen",2,18,"IBF Falun",1
"233","Henrik Nilsson","Wallenstamhallen",2,18,"Höllvikens IBF",1
"234","Håkan Söderman","Arenan - Jönköpings Idrottshus",2,19,"FBC Kalmarsund",1
"235","Håkan Söderman","Arenan - Jönköpings Idrottshus",2,19,"Jönköpings IK",2
"236","Håkan Söderman","Arenan - Jönköpings Idrottshus",2,19,"Växjö IBK",1
"237","Håkan Söderman","Fortnox Arena Nivika hallen",1,19,"IBF Falun",1
"238","Håkan Söderman","Fortnox Arena Nivika hallen",1,19,"Växjö IBK",1
"239","Håkan Söderman","Halörhallen",1,19,"IBF Falun",1
"240","Håkan Söderman","Halörhallen",1,19,"Höllvikens IBF",1
"241","Håkan Söderman","Helsingborg Arena A",1,19,"FBC Kalmarsund",1
"242","Håkan Söderman","Helsingborg Arena A",1,19,"FC Helsingborg",1
"243","Håkan Söderman","Idrottshuset, Örebro Plan 1",1,19,"FC Helsingborg",1
"244","Håkan Söderman","Idrottshuset, Örebro Plan 1",1,19,"IBF Örebro",1
"245","Håkan Söderman","IFU Arena A",3,19,"Lindås Rasta IBK",1
"246","Håkan Söderman","IFU Arena A",3,19,"FBC Kalmarsund",1
"247","Håkan Söderman","IFU Arena A",3,19,"IK Sirius IBK",1
"248","Håkan Söderman","IFU Arena A",3,19,"IBF Örebro",1
"249","Håkan Söderman","IFU Arena A",3,19,"Storvreta IBK",2
"250","Håkan Söderman","JALAS® Arena",4,19,"IBF Örebro",1
"251","Håkan Söderman","JALAS® Arena",4,19,"Pixbo Wallenstam IBK",1
"252","Håkan Söderman","JALAS® Arena",4,19,"IK Sirius IBK",1
"253","Håkan Söderman","JALAS® Arena",4,19,"IBF Falun",4
"254","Håkan Söderman","JALAS® Arena",4,19,"Jönköpings IK",1
"255","Håkan Söderman","Kalmar Sporthall A-hall",1,19,"FBC Kalmarsund",1
"256","Håkan Söderman","Kalmar Sporthall A-hall",1,19,"Lindås Rasta IBK",1
"257","Håkan Söderman","Linköpings Sporthall",1,19,"Jönköpings IK",1
"258","Håkan Söderman","Linköpings Sporthall",1,19,"Linköping IBK",1
"259","Håkan Söderman","Nyhemshallen - Mullsjö",1,19,"Mullsjö AIS",1
"260","Håkan Söderman","Nyhemshallen - Mullsjö",1,19,"Jönköpings IK",1
"261","Håkan Söderman","Umeå Energi Arena",1,19,"IK Sirius IBK",1
"262","Håkan Söderman","Umeå Energi Arena",1,19,"IBK Dalen",1
"263","Håkan Söderman","Wallenstamhallen",2,19,"Pixbo Wallenstam IBK",2
"264","Håkan Söderman","Wallenstamhallen",2,19,"IBF Örebro",1
"265","Håkan Söderman","Wallenstamhallen",2,19,"Storvreta IBK",1
"266","Jonas Ottosson","Idrottens Hus A",1,7,"FC Helsingborg",1
"267","Jonas Ottosson","Idrottens Hus A",1,7,"Jönköpings IK",1
