"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Adam Andersson, Jonatan Vallin","Täftehallen",2,2,"Täfteå IK",1
"2",2,"Adam Andersson, Jonatan Vallin","Täftehallen",2,2,"Täfteå IK",1
"3",3,"Adam Andersson, Jonatan Vallin","Täftehallen",2,2,"Holmsund City IBC",1
"4",4,"Adam Andersson, Jonatan Vallin","Täftehallen",2,2,"Ersboda SK",1
"5",5,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,7,"Holmsund City IBC",2
"6",6,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,7,"Ersboda SK",1
"7",7,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,7,"Gimonäs Umeå IF",1
"8",8,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,7,"Sandåkerns SK",1
"9",9,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,7,"Gimonäs Umeå IF",1
"10",10,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",2,7,"Hissjö SK",1
"11",11,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",2,7,"Umeå City IBF",1
"12",12,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",2,7,"Team Thorengruppen SK",1
"13",13,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",2,7,"IBF Dalen",1
"14",14,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,7,"Gimonäs Umeå IF",1
"15",15,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,7,"Sävar IK",1
"16",16,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,7,"Holmsund City IBC",1
"17",17,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,7,"Sävar IK",1
"18",18,"Agnes Persson, Ida Reian","Midgårdshallen",3,5,"Gimonäs Umeå IF",1
"19",19,"Agnes Persson, Ida Reian","Midgårdshallen",3,5,"Gimonäs Umeå IF",1
"20",20,"Agnes Persson, Ida Reian","Midgårdshallen",3,5,"Umeå City IBF",1
"21",21,"Agnes Persson, Ida Reian","Midgårdshallen",3,5,"Umeå City IBF",1
"22",22,"Agnes Persson, Ida Reian","Midgårdshallen",3,5,"Obbola IK",1
"23",23,"Agnes Persson, Ida Reian","Midgårdshallen",3,5,"Umeå City IBF",1
"24",24,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,5,"Sandåkerns SK",1
"25",25,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,5,"Team Thorengruppen SK",1
"26",26,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,5,"Röbäcks IF",1
"27",27,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,5,"Umeå City IBF",1
"28",28,"Agnes Persson, Robert Segerstedt","Midgårdshallen",1,1,"Täfteå IK",1
"29",29,"Agnes Persson, Robert Segerstedt","Midgårdshallen",1,1,"Sävar IK",1
"30",30,"Albin Berglund, Linus Berglund","Elofssonhallen",2,39,"Obbola IK",1
"31",31,"Albin Berglund, Linus Berglund","Elofssonhallen",2,39,"Sandåkerns SK",1
"32",32,"Albin Berglund, Linus Berglund","Elofssonhallen",2,39,"Röbäcks IF",1
"33",33,"Albin Berglund, Linus Berglund","Elofssonhallen",2,39,"Umeå City IBF",1
