"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Kruse, Adnan Tongur","Almåshallen B",1,1,"IBK Göteborg",1
"2","Adam Kruse, Adnan Tongur","Almåshallen B",1,1,"Lindome IBK",1
"3","Anders Asp, Arash Sohrevardi","Sundsvalls Sporthall-A",1,1,"Sundsvalls IBF",1
"4","Anders Asp, Arash Sohrevardi","Sundsvalls Sporthall-A",1,1,"IKSU Ungdom",1
"5","Anders Asp, Madelene Westerberg","Kristiansborgshallen",1,1,"Karlstad IBF Ungdom",1
"6","Anders Asp, Madelene Westerberg","Kristiansborgshallen",1,1,"Rönnby Västerås IBK Ungdom",1
"7","Anders Asp, Per Rosén","Folkungahallen",1,10,"Linköping IBK Ungdom",1
"8","Anders Asp, Per Rosén","Folkungahallen",1,10,"Åstorp/Kvidinge IBS",1
"9","Anders Asp, Per Rosén","Jakobsbergs Sporthall",1,10,"Bele Barkarby IF IBF",1
"10","Anders Asp, Per Rosén","Jakobsbergs Sporthall",1,10,"Åkersberga IBF",1
"11","Anders Asp, Per Rosén","Kristiansborgshallen",2,10,"IBK Lockerud Mariestad",1
"12","Anders Asp, Per Rosén","Kristiansborgshallen",2,10,"Västerås IBS",2
"13","Anders Asp, Per Rosén","Kristiansborgshallen",2,10,"Rönnby Västerås IBK Ungdom",1
"14","Anders Asp, Per Rosén","Sjöstadshallen",2,10,"Strömsbro IF",1
"15","Anders Asp, Per Rosén","Sjöstadshallen",2,10,"Hammarby IF IBF",2
"16","Anders Asp, Per Rosén","Sjöstadshallen",2,10,"Sundsvalls IBF",1
"17","Anders Asp, Per Rosén","Stenhagen BoKC",1,10,"Stenhagens KK",1
"18","Anders Asp, Per Rosén","Stenhagen BoKC",1,10,"Hammarby IF IBF",1
"19","Anders Asp, Per Rosén","Vasahallen",1,10,"Västra Mälardalen IB",1
"20","Anders Asp, Per Rosén","Vasahallen",1,10,"Pixbo Wallenstam IBF",1
"21","Anders Asp, Per Rosén","Västertorpshallen",1,10,"Älvsjö AIK IBF",1
"22","Anders Asp, Per Rosén","Västertorpshallen",1,10,"Hammarby IF IBF",1
"23","Anders Asp, Per Rosén","Åkersberga Sporthall A",1,10,"Åkersberga IBF",1
"24","Anders Asp, Per Rosén","Åkersberga Sporthall A",1,10,"IBF Dalen",1
"25","Anders Fredriksson, Johnny Lindberg","Karlbergshallen (KB-Hallen)",1,7,"Västra Mälardalen IB",1
"26","Anders Fredriksson, Johnny Lindberg","Karlbergshallen (KB-Hallen)",1,7,"Karlstad IBF Ungdom",1
