"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,1,"Albin Berglund, Linus Berglund","Sjöfruhallen",1,2,"Gimonäs Umeå IF",1
"2",2,2,"Albin Berglund, Linus Berglund","Sjöfruhallen",1,2,"Kågedalens AIF",1
"3",3,3,"Albin Berglund, Linus Berglund","Sävaråhallen",1,2,"Sävar IK",1
"4",4,4,"Albin Berglund, Linus Berglund","Sävaråhallen",1,2,"Kågedalens AIF",1
"5",5,5,"Alvina Mukkala, Peter Saari","Vildmannahallen",1,1,"Kågedalens AIF",1
"6",6,6,"Alvina Mukkala, Peter Saari","Vildmannahallen",1,1,"Sandåkerns SK",1
"7",7,7,"Anastasia Oberlauf, Morgan Poopuu","Vildmannahallen",1,1,"Sandåkerns SK",1
"8",8,8,"Anastasia Oberlauf, Morgan Poopuu","Vildmannahallen",1,1,"Ersboda SK",1
"9",9,9,"Andreas Eriksson, Manuel Garzon","Hammarhallen Vännäs",1,1,"Örnsköldsvik IBF",1
"10",10,10,"Andreas Eriksson, Manuel Garzon","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"11",11,11,"Andreas Eriksson, Mattias Karlsson","Hammarhallen Vännäs",1,5,"Sandåkerns SK",1
"12",12,12,"Andreas Eriksson, Mattias Karlsson","Hammarhallen Vännäs",1,5,"Spöland Vännäs IF",1
"13",13,13,"Andreas Eriksson, Mattias Karlsson","Midgårdshallen",1,5,"Ersboda SK",1
"14",14,14,"Andreas Eriksson, Mattias Karlsson","Midgårdshallen",1,5,"Spöland Vännäs IF",1
"15",15,15,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",2,5,"Spöland Vännäs IF",1
"16",16,16,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",2,5,"Sandåkerns SK",1
"17",17,17,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",2,5,"Gimonäs Umeå IF",2
"18",18,18,"Andreas Eriksson, Mattias Karlsson","Vildmannahallen",1,5,"Röbäcks IF",1
"19",19,19,"Andreas Eriksson, Mattias Karlsson","Vildmannahallen",1,5,"Sandåkerns SK",1
"20",20,20,"Bjarne Andersson, Manuel Garzon","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"21",21,21,"Bjarne Andersson, Manuel Garzon","Sjöfruhallen",1,1,"Röbäcks IF",1
"22",22,22,"Bjarne Andersson, Ulf Stödberg","Ersängshallen",1,2,"Gimonäs Umeå IF",1
"23",23,23,"Bjarne Andersson, Ulf Stödberg","Ersängshallen",1,2,"Ersboda SK",1
"24",24,24,"Bjarne Andersson, Ulf Stödberg","Vildmannahallen",1,2,"Gullänget-Kroksta IBS",1
"25",25,25,"Bjarne Andersson, Ulf Stödberg","Vildmannahallen",1,2,"Sandåkerns SK",1
"26",26,26,"Daniel Degerman, Jörgen Lundberg","Balderhallen A",1,1,"Sandåkerns SK",1
"27",27,27,"Daniel Degerman, Jörgen Lundberg","Balderhallen A",1,1,"Kågedalens AIF",1
"28",28,28,"Daniel Degerman, Lasse Ekesryd","Balderhallen B",1,1,"Röbäcks IF",1
"29",29,29,"Daniel Degerman, Lasse Ekesryd","Balderhallen B",1,1,"Kågedalens AIF",1
"30",30,30,"Daniel Degerman, Micael Holmbom","Balderhallen B",1,1,"Gimonäs Umeå IF",1
