"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund, Linus Berglund","Midgårdshallen",1,7,"Team Thorengruppen SK F03",1
"2","Albin Berglund, Linus Berglund","Midgårdshallen",1,7,"Gimonäs Umeå IF",1
"3","Albin Berglund, Linus Berglund","Sporthallen Musköten",1,7,"IBF Dalen/Sandåkerns SK",1
"4","Albin Berglund, Linus Berglund","Sporthallen Musköten",1,7,"Röbäcks IF",1
"5","Albin Berglund, Linus Berglund","Storsjöhallen",1,7,"Holmsund City IBC /GUIF",1
"6","Albin Berglund, Linus Berglund","Storsjöhallen",1,7,"Täfteå IK /Sävar IK",1
"7","Albin Berglund, Linus Berglund","Sävaråhallen",2,7,"Sävar IK/Täfteå IK",2
"8","Albin Berglund, Linus Berglund","Sävaråhallen",2,7,"IBF Dalen E-F",1
"9","Albin Berglund, Linus Berglund","Sävaråhallen",2,7,"Gullänget-Kroksta IBS",1
"10","Albin Berglund, Linus Berglund","Täftehallen",2,7,"IBF Dalen C-D",2
"11","Albin Berglund, Linus Berglund","Täftehallen",2,7,"Täfteå IK /Sävar IK",2
"12","Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",2,2,"Holmsund City IBC /GUIF",2
"13","Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",2,2,"Spöland Vännäs IF",1
"14","Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",2,2,"Vindelns IF",1
"15","Alexandra Nimrodsson, Sanna Åslin","Vildmannahallen",1,1,"Gamla Stan IBK",1
"16","Alexandra Nimrodsson, Sanna Åslin","Vildmannahallen",1,1,"Umeå City IBF /F03Blå",1
"17","Alvin Gustavsson, Elias Norden","Balderhallen B",1,1,"Gamla Stan IBK",1
"18","Alvin Gustavsson, Elias Norden","Balderhallen B",1,1,"Umeå City IBF /F03Blå",1
"19","Alvina Mukkala, Lisa Vestman","Vildmannahallen",1,1,"Spöland Vännäs IF",1
"20","Alvina Mukkala, Lisa Vestman","Vildmannahallen",1,1,"Umeå City IBF/F03Blå",1
"21","Alvina Mukkala, Louise Ramebäck","Elofssonhallen",1,1,"Obbola IK",1
"22","Alvina Mukkala, Louise Ramebäck","Elofssonhallen",1,1,"Röbäcks IF",1
"23","Alvina Mukkala, Peter Saari","Hammarhallen Vännäs",2,2,"Täfteå IK /Sävar IK",1
"24","Alvina Mukkala, Peter Saari","Hammarhallen Vännäs",2,2,"Spöland Vännäs IF",2
"25","Alvina Mukkala, Peter Saari","Hammarhallen Vännäs",2,2,"Umeå City IBF/F03Blå",1
"26","Alvina Mukkala, Rasmus Säfvenberg","Sporthallen Musköten",1,1,"IBF Dalen E-F",1
"27","Alvina Mukkala, Rasmus Säfvenberg","Sporthallen Musköten",1,1,"Rönnskär Railcare IF",1
"28","Alvina Mukkala, Robert Segerstedt","Ersängshallen",1,3,"Obbola IK",1
"29","Alvina Mukkala, Robert Segerstedt","Ersängshallen",1,3,"Ersboda SK",1
"30","Alvina Mukkala, Robert Segerstedt","Hammarhallen Vännäs",1,3,"IBF Dalen C-D",1
"31","Alvina Mukkala, Robert Segerstedt","Hammarhallen Vännäs",1,3,"Spöland Vännäs IF",1
"32","Alvina Mukkala, Robert Segerstedt","Sjöfruhallen",1,3,"Gimonäs Umeå IF",1
"33","Alvina Mukkala, Robert Segerstedt","Sjöfruhallen",1,3,"Örnsköldsvik IBK /IBF",1
"34","Alvina Mukkala, Ulf Stödberg","Sporthallen Musköten",1,1,"IBF Dalen E-F",1
"35","Alvina Mukkala, Ulf Stödberg","Sporthallen Musköten",1,1,"Kågedalens AIF",1
"36","Andreas Eriksson, Kim Fallbjörk","Sävaråhallen",1,1,"Gamla Stan IBK",1
"37","Andreas Eriksson, Kim Fallbjörk","Sävaråhallen",1,1,"Sävar IK/Täfteå IK",1
"38","Andreas Eriksson, Manuel Garzon","Sporthallen Musköten",1,1,"IKSU/IKSU Ungdom",1
"39","Andreas Eriksson, Manuel Garzon","Sporthallen Musköten",1,1,"IBF Dalen/Sandåkerns SK",1
