"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Adam Andersson, Jonatan Vallin","Täftehallen",1,1,"Ersboda SK",1
"2",2,"Adam Andersson, Jonatan Vallin","Täftehallen",1,1,"Täfteå IK",1
"3",3,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",1,1,"Hissjö SK",1
"4",4,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",1,1,"Team Thorengruppen SK",1
"5",5,"Agnes Persson, Ida Reian","Midgårdshallen",1,3,"Gimonäs Umeå IF",1
"6",6,"Agnes Persson, Ida Reian","Midgårdshallen",1,3,"Umeå City IBF",1
"7",7,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,3,"Sandåkerns SK",1
"8",8,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,3,"Team Thorengruppen SK",1
"9",9,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,3,"Röbäcks IF",1
"10",10,"Agnes Persson, Ida Reian","Umeå Energi Arena Öst",2,3,"Umeå City IBF",1
"11",11,"Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",1,1,"Sandåkerns SK",1
"12",12,"Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",1,1,"Holmsund City IBC",1
"13",13,"Alva Bergström, Elin Wirtala","Olasjöhallen",1,1,"Obbola IK",1
"14",14,"Alva Bergström, Elin Wirtala","Olasjöhallen",1,1,"Hissjö SK",1
"15",15,"Alva Forss, Agnes Persson","Umeå Energi Arena",2,2,"Holmsund City IBC",1
"16",16,"Alva Forss, Agnes Persson","Umeå Energi Arena",2,2,"Hissjö SK",1
"17",17,"Alva Forss, Agnes Persson","Umeå Energi Arena",2,2,"Team Thorengruppen SK",1
"18",18,"Alva Forss, Agnes Persson","Umeå Energi Arena",2,2,"Umeå City IBF",1
"19",19,"Alva Forss, Lina Näsström","Tegs Centralskola",1,2,"IBF Dalen",1
"20",20,"Alva Forss, Lina Näsström","Tegs Centralskola",1,2,"Vindelns IF",1
"21",21,"Alva Forss, Lina Näsström","Vildmannahallen",1,2,"Spöland Vännäs IF",1
"22",22,"Alva Forss, Lina Näsström","Vildmannahallen",1,2,"Umeå City IBF",1
"23",23,"Alva Forss, Robert Segerstedt","Umeå Energi Arena Väst",2,2,"Umeå City IBF",1
"24",24,"Alva Forss, Robert Segerstedt","Umeå Energi Arena Väst",2,2,"Sandåkerns SK",2
"25",25,"Alva Forss, Robert Segerstedt","Umeå Energi Arena Väst",2,2,"Obbola IK",1
"26",26,"Alvin Gustavsson","Lejonströmshallen",1,1,"Boliden FFI",1
"27",27,"Alvin Gustavsson","Lejonströmshallen",1,1,"Kågedalens AIF",1
"28",28,"Alvin Gustavsson, Elias Norden","Campushallen",1,1,"Skellefteå IBS",1
"29",29,"Alvin Gustavsson, Elias Norden","Campushallen",1,1,"Kågedalens AIF",1
"30",30,"Alvina Mukkala","Elofssonhallen",1,1,"Sävar IK",1
